,FLARE_TYPE,COINCIDENCE,MEANGBZ_1,MEANGBZ_2,MEANGBZ_3,MEANGBZ_4,MEANGBZ_5
1791,B,False,120.24,118.43,118.69,120.0,118.38
1792,B,False,127.11,131.44,125.18,129.19,123.14
1793,B,False,120.58,122.32,130.24,136.03,132.82
1794,B,False,131.48,129.27,131.57,128.73,129.2
1795,B,False,161.92,156.72,152.71,155.61,158.7
1796,B,False,115.06,115.89,116.31,116.85,117.57
1797,B,False,117.04,115.84,116.88,123.49,126.49
1798,B,True,140.21,134.69,134.26,131.65,126.89
1799,B,False,107.29,105.64,103.34,102.74,102.73
1800,B,False,151.43,149.16,146.05,147.3,146.74
1801,B,False,93.343,93.289,92.726,92.033,92.503
1802,B,False,76.496,74.222,75.294,73.645,77.764
1803,B,False,107.44,108.87,105.94,104.93,106.7
1804,B,False,92.351,92.354,91.794,93.442,93.285
1805,B,False,82.109,82.209,82.07,82.151,80.889
1806,B,False,89.25,89.125,88.685,90.146,89.418
1807,B,False,74.743,79.846,75.746,86.907,77.214
1808,B,False,124.58,124.33,124.14,124.94,124.56
1809,B,False,109.63,112.14,112.91,116.47,118.86
1810,B,False,80.607,80.1,79.789,80.69,79.518
1811,B,False,63.945,62.893,60.412,60.755,60.731
1812,B,False,109.15,112.35,114.0,113.36,115.62
1813,B,False,58.01,56.894,54.965,53.911,53.722
1814,B,False,109.04,99.352,102.7,101.23,91.882
1815,B,False,108.16,107.21,104.65,104.11,103.38
1816,B,False,118.17,117.39,115.68,117.62,116.37
1817,B,False,114.56,115.02,117.45,118.08,115.79
1818,B,False,138.02,135.11,129.46,131.11,136.14
1819,B,False,111.08,113.25,112.54,112.81,113.54
1820,B,True,79.502,79.643,79.554,79.319,79.5
1821,B,False,83.532,82.294,81.379,81.46,82.018
1822,B,False,95.145,95.509,96.594,94.869,95.095
1823,B,False,101.4,102.08,102.92,103.71,105.11
1824,B,False,103.99,104.12,104.44,107.38,108.27
1825,B,False,69.721,69.882,68.803,69.956,69.29
1826,B,False,112.72,113.77,116.54,116.07,117.6
1827,B,False,95.35,97.276,96.162,96.286,94.505
1828,B,False,85.089,84.483,84.68,83.802,83.78
1829,B,False,141.66,141.27,142.42,139.6,137.88
1830,B,False,107.49,108.07,107.68,107.17,106.22
1831,B,False,128.67,126.79,124.29,123.8,121.37
1832,B,False,143.49,146.94,146.92,147.37,148.1
1833,B,False,92.621,93.729,93.806,94.146,93.919
1834,B,False,106.91,106.9,106.27,105.91,104.78
1835,B,False,116.45,119.76,119.42,120.59,119.98
1836,B,False,122.24,122.38,123.31,121.88,120.67
1837,B,False,73.983,72.856,72.056,72.282,72.933
1838,B,False,101.43,100.2,101.86,103.34,103.86
1839,B,False,129.5,131.03,133.67,134.34,137.15
1840,B,False,116.25,113.42,111.89,112.55,112.1
1841,B,False,71.959,71.92,72.36,72.213,72.295
1842,B,False,107.1,106.91,106.43,109.0,107.72
1843,B,False,114.51,113.3,113.59,113.45,115.91
1844,B,False,127.67,128.27,132.16,129.09,129.76
1845,B,False,129.72,127.21,124.98,124.05,122.12
1846,B,False,70.449,68.732,69.807,69.655,70.597
1847,B,False,93.388,94.376,94.892,94.927,94.347
1848,B,False,67.226,75.993,63.338,64.862,77.929
1849,B,False,125.37,123.9,124.94,126.42,122.72
1850,B,False,94.919,96.377,96.817,98.586,95.647
1851,B,False,104.99,105.03,105.34,104.14,106.15
1852,B,False,117.36,115.37,114.88,117.76,117.04
1853,B,False,118.68,121.68,126.82,124.32,124.82
1854,B,False,107.6,106.64,107.54,107.84,106.1
1855,B,False,117.49,117.39,116.27,117.0,116.71
1856,B,False,64.89,64.561,64.202,63.844,64.883
1857,B,False,113.63,114.52,115.27,113.75,115.64
1858,B,False,139.77,142.44,142.28,140.14,141.0
1859,B,False,111.79,112.15,111.86,112.75,112.05
1860,B,False,108.47,109.57,109.95,111.33,110.81
1861,B,False,94.813,94.862,96.211,94.71,94.826
1862,B,False,132.73,129.35,131.76,130.24,128.73
1863,B,False,114.79,113.55,114.07,114.43,113.79
1864,B,False,101.43,101.91,102.99,103.52,102.93
1865,B,False,107.44,109.36,109.77,111.58,113.39
1866,B,False,102.19,103.52,105.0,105.02,104.46
1867,B,False,19.435,15.219,42.15,0.0,23.103
1868,B,False,128.4,130.54,127.74,128.26,128.65
1869,B,False,154.3,152.9,149.22,147.28,147.25
1870,B,False,101.34,102.23,103.54,104.35,103.59
1871,B,False,109.15,108.58,107.63,107.91,108.89
1872,B,False,69.528,68.81,70.881,71.463,72.941
1873,B,False,115.6,114.34,112.05,110.37,108.83
1874,B,False,137.34,136.32,136.46,135.3,133.51
