,FLARE_TYPE,COINCIDENCE,TOTPOT_1,TOTPOT_2,TOTPOT_3,TOTPOT_4,TOTPOT_5
588,M,True,3.7914e+23,3.8007e+23,3.7439e+23,3.7546e+23,3.6363e+23
589,M,False,3.6655e+23,3.7364e+23,3.6925e+23,3.7392e+23,3.6628e+23
590,M,False,7.8479e+23,7.7958e+23,7.7409e+23,7.6354e+23,7.6072e+23
591,M,False,2.4865e+23,2.4947e+23,2.5039e+23,2.4913e+23,2.4762e+23
592,M,False,2.698e+23,2.733e+23,2.6813e+23,2.7715e+23,2.858e+23
593,M,False,6.7925e+23,6.8913e+23,6.97e+23,6.9512e+23,7.018e+23
594,M,False,2.7618e+23,2.7575e+23,2.7419e+23,2.7705e+23,2.7435e+23
595,M,False,2.3478e+23,2.3201e+23,2.3043e+23,2.3075e+23,2.3144e+23
596,M,False,3.2131e+23,3.2014e+23,3.2137e+23,3.2256e+23,3.215e+23
597,M,True,4.308e+23,4.2892e+23,4.3296e+23,4.3726e+23,4.3646e+23
598,M,False,4.4448e+23,4.5032e+23,4.5417e+23,4.4953e+23,4.5065e+23
599,M,False,1.424e+24,1.4227e+24,1.4226e+24,1.4211e+24,1.4234e+24
600,M,True,1.14e+24,1.1412e+24,1.1498e+24,1.1523e+24,1.1516e+24
601,M,False,1.1516e+24,1.1535e+24,1.1474e+24,1.1463e+24,1.1483e+24
602,M,True,9.1216e+23,9.1551e+23,9.1612e+23,9.2299e+23,9.1587e+23
603,M,False,9.2158e+23,9.2231e+23,9.2645e+23,9.1792e+23,9.2319e+23
604,M,False,9.2645e+23,9.1792e+23,9.2319e+23,9.2181e+23,9.0845e+23
605,M,True,7.6214e+23,7.7072e+23,7.6606e+23,7.6073e+23,7.5868e+23
606,M,False,5.9107e+23,6.0743e+23,5.6688e+23,5.6618e+23,5.6931e+23
607,M,True,1.5503e+22,1.6283e+22,1.6769e+22,1.7401e+22,1.7506e+22
608,M,False,2.448e+22,2.4379e+22,2.4433e+22,2.5573e+22,2.7079e+22
609,M,True,2.5771e+23,2.6306e+23,2.634e+23,2.5525e+23,2.5518e+23
610,M,True,2.6801e+23,2.6696e+23,2.668e+23,2.6931e+23,2.6806e+23
611,M,False,2.7015e+23,2.7091e+23,2.6727e+23,2.6724e+23,2.6677e+23
612,M,True,3.3843e+23,3.3325e+23,3.3391e+23,3.3834e+23,3.4267e+23
613,M,False,3.4584e+23,3.4216e+23,3.401e+23,3.3908e+23,3.4483e+23
614,M,False,3.8238e+23,3.9509e+23,3.9989e+23,4.093e+23,4.0696e+23
615,M,False,7.7798e+23,7.7546e+23,7.9427e+23,7.8793e+23,7.8612e+23
616,M,False,6.3117e+23,6.3507e+23,6.4181e+23,6.4073e+23,6.4332e+23
617,M,False,9.3244e+23,9.3004e+23,9.3141e+23,9.3514e+23,9.3533e+23
618,M,True,3.5243e+23,3.5735e+23,3.6295e+23,3.7036e+23,3.7749e+23
619,M,True,4.5856e+23,4.644e+23,4.8092e+23,4.9931e+23,5.0577e+23
620,M,False,5.0577e+23,5.1849e+23,5.2532e+23,5.3493e+23,5.422e+23
621,M,False,5.6457e+23,5.7269e+23,5.834e+23,6.0072e+23,6.1636e+23
622,M,False,5.834e+23,6.0072e+23,6.1636e+23,6.3219e+23,6.5075e+23
623,M,False,7.1984e+23,7.3469e+23,7.4781e+23,7.5986e+23,7.7288e+23
624,M,False,8.6689e+23,8.7142e+23,8.7504e+23,8.8393e+23,8.8738e+23
625,M,False,9.0231e+23,9.0943e+23,9.1213e+23,9.1164e+23,9.1781e+23
626,M,False,9.1781e+23,9.2208e+23,9.312e+23,9.3631e+23,9.4199e+23
627,M,True,1.2503e+24,1.2518e+24,1.2587e+24,1.2569e+24,1.2629e+24
628,M,True,1.4076e+24,1.4154e+24,1.4052e+24,1.4121e+24,1.4155e+24
629,M,False,1.4914e+24,1.4739e+24,1.4848e+24,1.4879e+24,1.477e+24
630,M,True,1.631e+24,1.6284e+24,1.634e+24,1.6281e+24,1.6195e+24
631,M,True,1.6882e+24,1.6992e+24,1.6617e+24,1.6916e+24,1.7065e+24
632,M,False,1.6617e+24,1.6916e+24,1.7065e+24,1.7092e+24,1.7168e+24
633,M,True,1.6443e+24,1.6046e+24,1.597e+24,1.6089e+24,1.6004e+24
634,M,False,1.5844e+24,1.5667e+24,1.6121e+24,1.5986e+24,1.5888e+24
635,M,False,1.5892e+24,1.5805e+24,1.5918e+24,1.5704e+24,1.5924e+24
636,M,True,1.457e+24,1.4448e+24,1.4333e+24,1.4339e+24,1.4379e+24
637,M,True,1.3245e+24,1.2999e+24,1.3044e+24,1.3064e+24,1.3026e+24
638,M,False,1.3241e+24,1.2892e+24,1.3499e+24,1.2909e+24,1.3523e+24
639,M,False,1.2927e+24,1.312e+24,1.3052e+24,1.2983e+24,1.2976e+24
640,M,True,1.1629e+24,1.1664e+24,1.1546e+24,1.1304e+24,1.143e+24
641,M,False,9.5658e+22,9.5813e+22,9.6083e+22,9.7128e+22,9.4478e+22
642,M,True,2.7016e+23,2.684e+23,2.6827e+23,2.6838e+23,2.6759e+23
643,M,False,2.7574e+23,2.7521e+23,2.728e+23,2.7374e+23,2.7295e+23
644,M,False,2.6273e+23,2.6419e+23,2.6644e+23,2.6856e+23,2.6855e+23
645,M,False,6.4161e+21,7.3519e+21,9.2986e+21,8.744e+21,1.107e+22
646,M,False,7.8901e+22,9.5137e+22,9.3815e+22,9.7625e+22,9.365e+22
647,M,False,3.2987e+23,3.3092e+23,3.3284e+23,3.307e+23,3.3146e+23
648,M,False,2.1579e+23,2.181e+23,2.1266e+23,2.0751e+23,2.1193e+23
649,M,False,5.4027e+23,5.4158e+23,5.4272e+23,5.4193e+23,5.4336e+23
650,M,False,3.0519e+23,3.0392e+23,3.0635e+23,3.0479e+23,3.033e+23
651,C,True,1.3581e+23,1.3605e+23,1.3506e+23,1.3596e+23,1.366e+23
652,C,True,2.764e+22,2.7931e+22,2.779e+22,2.7509e+22,2.8482e+22
653,C,False,4.9291e+22,4.908e+22,4.9472e+22,5.0372e+22,5.0817e+22
654,C,False,2.5454e+23,2.4332e+23,2.3496e+23,2.4178e+23,2.4551e+23
655,C,False,1.3285e+23,1.3266e+23,1.3175e+23,1.3146e+23,1.3261e+23
656,C,False,2.7745e+21,4.6803e+21,3.7326e+21,4.9984e+21,5.6479e+21
