,FLARE_TYPE,COINCIDENCE,g_s_1,g_s_2,g_s_3,g_s_4,g_s_5
317,M,False,73999.0,59988.0,68787.0,70326.0,67799.0
318,M,False,988.85,1022.4,929.37,941.33,918.17
319,M,True,61746.0,39862.0,33780.0,28605.0,27357.0
320,M,False,24593.0,25366.0,24919.0,27333.0,25297.0
321,M,True,27923.0,29529.0,29883.0,30546.0,29244.0
322,M,False,30546.0,29244.0,31756.0,31577.0,33224.0
323,M,False,2266.2,3009.9,3055.3,3080.0,3939.4
324,M,True,28233.0,31276.0,30831.0,31143.0,30679.0
325,M,False,32590.0,31881.0,33117.0,35140.0,34397.0
326,M,False,28763.0,36374.0,29311.0,29991.0,30622.0
327,M,False,33227.0,33132.0,38261.0,35660.0,30808.0
328,M,False,6575.5,5697.2,5823.8,4835.0,6079.3
329,M,True,22554.0,25479.0,28488.0,25724.0,27133.0
330,M,False,24115.0,25826.0,29618.0,27030.0,24168.0
331,M,True,411480.0,383930.0,394790.0,382360.0,330610.0
332,M,True,61919.0,61940.0,43544.0,46238.0,46220.0
333,M,True,12902.0,14587.0,14528.0,16514.0,22446.0
334,M,False,66695.0,72078.0,71397.0,67720.0,64347.0
335,M,False,85178.0,97629.0,80778.0,62834.0,63516.0
336,M,False,44626.0,46170.0,56943.0,61056.0,57511.0
337,M,False,6943.9,6963.0,6779.3,6854.5,6952.4
338,M,True,178950.0,185370.0,191440.0,184570.0,178360.0
339,M,False,0.0,0.0,0.0,0.0,0.0
340,M,False,33299.0,29376.0,27148.0,26111.0,24783.0
341,M,False,64044.0,32409.0,55857.0,47359.0,61366.0
342,M,False,142950.0,229780.0,186270.0,107700.0,98763.0
343,M,False,178880.0,64203.0,126030.0,140160.0,154240.0
344,M,False,167540.0,132290.0,159330.0,255800.0,256650.0
345,M,False,337110.0,364050.0,331580.0,339710.0,350360.0
346,M,False,483710.0,279470.0,467610.0,498010.0,300700.0
347,M,True,177510.0,146970.0,152820.0,195040.0,182410.0
