,FLARE_TYPE,COINCIDENCE,MEANGBT_1,MEANGBT_2,MEANGBT_3,MEANGBT_4,MEANGBT_5
633,M,True,99.134,98.906,99.198,98.073,97.549
634,M,False,96.225,96.695,97.11,97.457,97.527
635,M,False,97.401,98.171,98.785,98.677,99.15
636,M,True,91.073,91.955,92.195,93.027,93.012
637,M,True,85.58,85.36,85.641,85.46,85.495
638,M,False,88.569,88.774,89.338,87.521,88.783
639,M,False,81.764,81.271,80.862,81.06,80.716
640,M,True,71.229,69.665,69.682,70.165,69.436
641,M,False,113.97,114.64,114.2,114.48,115.24
642,M,True,90.583,91.301,91.588,92.27,93.611
643,M,False,93.53,92.812,93.76,94.147,94.136
644,M,False,95.804,96.756,96.986,96.669,97.165
645,M,False,99.457,96.973,96.856,102.37,101.02
646,M,False,82.551,90.847,87.344,87.719,87.561
647,M,False,106.67,108.5,110.57,112.5,113.91
648,M,False,104.84,105.81,106.39,106.66,107.27
649,M,False,91.865,90.475,88.47,87.454,87.409
650,M,False,76.178,76.856,77.009,76.862,77.413
651,C,True,59.087,59.801,60.384,60.157,60.9
652,C,True,109.47,109.68,113.68,116.5,113.56
653,C,False,116.3,114.25,114.38,113.58,113.45
654,C,False,75.241,76.096,75.173,77.539,76.892
655,C,False,77.931,77.738,77.828,78.287,77.919
656,C,False,43.814,48.075,41.623,44.013,45.472
657,C,False,69.315,69.804,67.102,63.883,61.453
658,C,False,119.84,115.28,120.56,121.56,123.25
659,C,False,89.167,87.932,87.008,87.164,87.046
660,C,True,106.81,107.16,107.06,107.23,107.15
661,C,False,122.06,122.28,123.31,123.26,123.65
662,C,False,97.088,98.027,98.716,97.349,97.988
663,C,False,66.677,67.621,69.54,63.474,59.964
664,C,False,103.1,103.32,103.92,103.89,103.55
665,C,True,114.96,119.89,123.11,122.25,125.33
666,C,True,76.214,76.392,76.393,76.759,76.793
667,C,False,102.07,102.6,102.52,101.91,102.05
668,C,False,118.34,119.89,121.68,122.87,124.62
669,C,False,96.64,96.659,98.236,98.443,98.258
670,C,True,78.078,76.611,77.418,76.791,73.893
671,C,False,98.271,97.455,97.294,96.739,97.22
672,C,False,99.849,100.5,101.1,101.93,103.25
673,C,False,124.28,125.32,123.43,124.08,123.87
674,C,False,136.03,134.43,137.67,140.97,139.14
675,C,False,123.69,123.06,121.48,120.17,119.69
676,C,False,93.377,92.852,91.891,91.334,90.79
677,C,True,95.969,94.107,93.623,92.794,93.377
678,C,False,77.228,77.347,77.334,77.852,78.447
679,C,False,133.36,134.88,132.2,132.74,130.06
680,C,False,54.935,55.343,56.298,57.84,57.231
681,C,False,83.207,83.277,83.786,83.121,82.985
682,C,True,107.8,107.3,107.22,108.32,107.1
683,C,False,136.49,139.57,141.95,144.56,144.2
684,C,False,86.953,86.622,88.079,87.956,88.644
685,C,False,78.078,76.611,77.418,76.791,73.893
686,C,False,0.0,49.446,102.18,24.791,36.771
687,C,True,106.09,106.31,106.95,106.93,106.87
688,C,False,123.99,125.08,127.61,128.42,136.28
689,C,False,68.176,64.343,65.078,74.378,69.34
690,C,False,58.552,70.472,73.85,73.363,71.346
691,C,False,132.02,134.26,132.08,134.94,135.84
692,C,True,0.0,0.0,0.0,0.0,0.0
693,C,False,119.85,120.88,120.13,119.95,120.92
694,C,False,117.95,117.79,119.2,118.4,118.61
695,C,False,81.359,83.205,84.022,85.003,86.027
696,C,False,98.324,98.202,98.453,98.049,98.109
697,C,False,122.59,121.26,122.5,122.83,122.59
698,C,False,67.387,66.077,66.145,66.158,66.064
699,C,False,95.217,95.773,96.237,97.359,98.86
700,C,False,131.14,134.42,136.17,134.52,136.11
701,C,False,83.498,83.801,84.958,84.682,84.657
702,C,True,86.234,89.91,85.908,87.611,85.622
703,C,False,89.607,89.398,89.634,89.534,89.197
704,C,False,88.318,84.663,85.132,84.776,82.317
705,C,False,92.139,92.042,92.34,92.478,92.366
706,C,False,85.879,85.688,79.678,85.564,85.586
707,C,False,120.92,121.97,119.21,121.76,122.16
708,C,False,109.36,108.48,108.2,107.91,107.53
709,C,False,86.895,87.867,88.75,87.58,88.754
710,C,True,94.105,93.434,93.106,92.139,91.165
711,C,False,58.868,58.311,56.887,62.065,60.064
712,C,False,107.76,108.9,109.17,109.78,109.66
713,C,False,99.463,98.996,98.264,97.719,97.558
714,C,False,109.01,108.28,108.65,108.59,108.85
715,C,False,106.27,107.06,107.68,108.72,109.49
716,C,False,112.96,113.07,112.67,113.4,113.69
717,C,False,83.96,83.919,83.747,84.126,84.661
718,C,True,85.045,83.171,80.374,80.444,82.417
719,C,False,65.664,67.465,70.941,66.31,65.733
720,C,False,115.19,116.12,112.47,109.53,106.31
721,C,False,134.85,137.17,136.66,135.37,135.51
722,C,False,56.229,55.747,55.434,56.861,58.958
723,C,False,79.672,78.968,77.732,76.822,76.601
724,C,False,117.23,115.89,117.76,117.89,115.6
725,C,True,89.574,95.907,89.31,96.627,96.378
726,C,False,78.369,78.222,78.682,78.716,78.927
727,C,False,99.576,99.721,99.327,99.145,99.202
728,C,False,118.64,118.06,116.49,116.89,117.04
729,C,False,75.971,78.198,72.549,75.993,73.881
730,C,False,128.14,129.18,128.75,129.98,129.67
731,C,False,66.356,65.867,64.775,65.217,65.486
732,C,False,117.52,118.25,119.55,119.19,117.82
733,C,False,79.947,79.738,79.099,77.958,77.8
734,C,False,94.855,95.468,95.593,95.704,94.818
735,C,False,87.244,87.002,85.707,82.711,82.034
736,C,False,59.087,59.801,60.384,60.157,60.9
737,C,False,77.793,78.59,78.514,78.465,78.298
738,C,False,78.071,79.339,76.837,77.025,77.185
739,C,False,116.95,116.56,116.81,116.35,115.06
740,C,False,111.59,110.28,110.76,110.73,109.44
741,C,False,117.52,116.29,116.56,115.49,114.97
742,C,False,116.23,113.22,114.58,112.84,112.31
743,C,False,105.31,105.29,105.19,104.87,105.21
744,C,False,113.8,114.43,113.67,113.76,112.27
745,C,False,106.16,105.72,105.59,81.867,105.67
746,C,False,66.856,66.285,66.43,65.865,65.164
747,C,False,110.67,109.31,108.73,110.7,113.07
748,C,False,116.14,115.76,115.1,116.74,116.5
749,C,False,106.81,107.16,107.06,107.23,107.15
750,C,False,95.64,96.593,97.468,97.702,97.946
751,C,False,117.37,117.51,117.36,117.22,117.2
752,C,False,102.56,102.38,103.97,103.48,104.72
753,C,False,88.604,88.535,87.84,88.482,89.093
754,C,False,99.842,98.329,98.184,99.624,99.353
755,C,False,67.772,67.448,68.663,67.908,67.434
756,C,False,42.015,42.234,44.451,57.613,45.149
757,C,False,107.16,106.79,108.22,108.04,108.49
758,C,False,103.95,104.9,104.11,105.2,105.79
759,C,False,103.61,104.57,105.65,106.59,107.67
760,C,False,75.516,74.648,70.879,70.433,69.558
761,C,False,0.0,0.0,0.0,0.0,0.0
762,C,False,114.96,119.89,123.11,122.25,125.33
763,C,False,98.391,99.966,98.743,99.481,99.335
764,C,False,99.761,99.195,98.17,97.628,96.565
765,C,False,60.214,60.615,60.853,62.247,60.1
766,C,False,98.367,98.988,98.017,98.201,98.552
767,C,False,56.708,54.366,57.628,51.203,51.322
768,C,False,123.23,122.82,122.81,123.61,122.56
769,C,False,107.8,107.3,107.22,108.32,107.1
770,C,False,129.08,129.01,128.36,126.64,125.71
771,C,False,116.62,119.01,120.15,121.42,120.24
772,C,False,100.57,100.16,99.4,98.597,97.73
773,C,False,89.574,95.907,89.31,96.627,96.378
774,C,False,100.93,100.92,101.72,102.13,102.15
775,C,False,103.97,103.56,102.77,102.52,102.17
776,C,False,59.695,51.867,54.901,54.633,53.188
777,C,False,104.61,104.96,104.76,104.58,105.2
778,C,False,107.53,108.14,107.69,108.02,109.25
779,C,False,96.631,104.91,56.029,48.662,60.621
780,C,False,72.081,72.098,72.326,72.493,72.887
781,C,False,146.89,143.43,144.21,145.52,145.39
782,C,False,110.27,107.75,107.39,105.12,104.0
783,C,False,89.518,88.495,87.453,86.46,85.989
784,C,False,80.362,74.833,75.258,71.988,73.214
785,C,False,115.4,116.2,115.17,115.64,116.04
786,C,False,83.623,83.732,84.567,83.198,82.791
787,C,False,0.0,0.0,126.8,64.366,28.797
788,C,False,94.429,93.833,93.556,92.486,92.121
789,C,False,77.205,77.212,78.902,79.314,81.687
790,C,False,91.963,91.857,92.002,92.125,91.594
791,C,True,123.68,124.55,123.29,123.62,122.81
792,C,False,118.05,117.29,117.46,117.0,117.95
793,C,False,76.566,76.745,77.339,76.906,76.891
794,C,False,105.02,104.61,104.08,102.61,103.3
795,C,False,102.85,102.12,101.86,101.78,101.62
796,C,False,85.045,83.171,80.374,80.444,82.417
797,C,False,60.266,48.84,48.294,47.878,47.333
798,C,False,102.6,101.43,100.58,99.113,99.194
799,C,False,93.033,93.551,93.496,93.686,93.711
800,C,False,76.598,76.229,76.312,77.539,76.387
801,C,False,79.106,75.375,72.43,78.805,77.025
802,C,False,84.052,84.24,83.863,84.377,84.336
803,C,False,82.243,82.566,83.215,83.928,84.137
804,C,False,133.76,131.38,132.28,132.58,130.85
805,C,False,104.17,103.85,103.04,101.25,100.81
806,C,False,101.94,101.65,100.24,100.29,100.17
807,C,False,83.678,83.091,82.406,81.653,79.555
808,C,False,85.908,87.611,85.622,91.823,92.2
809,C,False,99.076,99.096,99.163,99.226,99.418
810,C,True,64.599,63.242,61.7,61.503,61.521
811,C,False,129.53,129.46,131.03,130.94,129.74
812,C,True,103.27,102.02,101.56,101.54,101.73
813,C,False,68.351,66.647,64.97,70.1,64.035
814,C,False,0.0,0.0,0.0,0.0,0.0
815,C,False,109.47,109.68,113.68,116.5,113.56
816,C,False,87.568,85.626,84.416,82.98,82.723
817,C,False,85.611,87.135,86.462,87.569,89.193
818,C,False,115.35,116.52,117.48,117.89,119.46
819,C,False,64.599,63.242,61.7,61.503,61.521
820,C,False,71.858,71.003,71.549,69.978,70.524
821,C,False,107.11,107.95,108.25,108.33,109.55
822,C,False,100.2,99.1,99.487,99.282,99.693
823,C,False,115.17,117.56,115.76,115.77,116.26
824,C,False,113.23,112.83,113.79,115.12,116.28
825,C,False,85.596,85.511,84.566,84.263,84.016
826,C,False,45.893,47.353,50.015,49.569,49.689
827,C,False,114.5,119.43,116.88,120.58,116.23
828,C,False,62.146,61.809,62.819,65.335,58.81
829,C,False,75.453,75.81,75.604,75.285,75.369
830,C,False,72.344,72.626,71.931,71.944,71.45
831,C,False,114.04,113.54,113.3,113.15,111.88
832,C,False,115.29,114.01,114.15,112.81,111.81
833,C,False,128.94,125.71,124.77,124.07,122.12
834,C,False,112.28,107.73,110.44,110.98,110.72
835,C,False,94.977,94.306,94.128,93.688,93.615
836,C,False,133.06,132.96,133.33,133.4,133.48
837,C,False,108.49,108.73,107.64,111.27,113.26
838,C,False,103.27,102.02,101.56,101.54,101.73
839,C,False,97.463,97.259,98.096,98.8,99.205
840,C,False,114.92,114.56,114.41,113.27,112.16
841,C,False,95.969,94.107,93.623,92.794,93.377
842,C,False,115.17,114.91,113.22,113.56,114.52
843,C,False,111.13,110.75,110.78,110.78,110.93
844,C,False,94.105,93.434,93.106,92.139,91.165
845,B,True,138.52,138.15,138.19,139.26,139.87
846,B,False,128.85,127.53,126.42,124.18,124.22
847,B,False,148.66,150.2,150.97,148.13,144.75
848,B,False,98.744,98.707,99.335,100.08,99.558
849,B,True,0.0,0.0,0.0,0.0,0.0
850,B,True,122.61,123.46,124.57,124.71,123.64
