,FLARE_TYPE,COINCIDENCE,MEANGBH_1,MEANGBH_2,MEANGBH_3,MEANGBH_4,MEANGBH_5
533,M,False,37.537,36.347,36.77,37.534,37.48
534,M,True,37.319,37.21,36.958,36.44,36.645
535,M,False,33.642,33.548,33.77,33.246,33.884
536,M,False,31.964,31.783,32.32,32.849,32.091
537,M,False,46.055,46.018,46.013,46.01,46.424
538,M,True,57.089,57.103,56.851,57.02,56.644
539,M,False,55.058,55.087,55.123,54.969,55.205
540,M,False,55.615,55.493,55.125,55.006,54.799
541,M,True,51.939,52.363,52.143,52.373,52.513
542,M,False,46.195,45.61,45.454,44.787,44.8
543,M,False,58.204,59.014,59.172,59.64,59.945
544,M,False,54.147,54.437,54.612,54.818,54.827
545,M,False,38.334,38.77,37.955,38.405,39.208
546,M,True,49.203,49.601,49.601,49.674,50.239
547,M,False,67.447,67.627,68.678,68.637,68.493
548,M,True,51.788,51.665,51.377,51.3,51.774
549,M,True,56.195,56.279,56.389,56.241,55.965
550,M,False,58.146,57.742,59.189,59.792,60.79
551,M,True,64.017,63.132,62.176,62.19,62.437
552,M,False,63.302,62.701,62.253,62.274,62.171
553,M,True,67.616,66.987,66.705,66.109,65.522
554,M,False,65.466,66.253,66.805,67.54,68.045
555,M,False,56.923,56.321,55.753,55.114,54.773
556,M,True,46.812,46.944,47.028,47.083,47.331
557,M,False,44.74,44.124,44.077,43.995,44.169
558,M,False,35.358,34.931,35.2,35.139,35.566
559,M,False,68.002,68.77,69.92,70.558,70.939
560,M,False,52.948,52.382,52.097,51.422,50.792
561,M,True,69.541,68.459,68.786,68.623,68.631
562,M,True,66.719,66.214,66.836,66.641,67.219
563,M,True,59.865,59.557,59.358,58.725,58.39
564,M,True,63.398,63.101,62.551,63.036,62.465
565,M,True,64.403,63.971,63.999,64.3,64.663
566,M,False,63.676,62.988,62.529,62.253,62.058
567,M,True,58.525,59.567,58.644,59.708,59.059
568,M,True,64.181,63.955,63.695,63.402,63.384
569,M,False,62.265,62.395,62.789,62.987,63.901
570,M,False,54.137,54.32,53.271,52.97,52.914
571,M,False,63.901,63.811,64.455,64.621,64.824
572,M,False,64.824,64.825,65.016,65.138,64.494
573,M,False,52.799,53.072,51.63,51.706,50.955
574,M,True,63.465,63.553,64.021,63.727,63.989
575,M,True,63.023,62.644,62.399,62.881,63.139
576,M,False,61.176,60.97,61.162,61.063,61.185
577,M,True,61.01,60.913,60.469,60.766,60.622
578,M,True,55.543,55.287,55.106,55.549,55.866
579,M,True,51.296,51.095,51.079,50.584,50.764
580,M,False,49.433,49.379,49.315,49.609,49.918
581,M,False,49.61,48.961,49.415,48.901,48.873
582,M,False,36.621,37.225,36.353,36.764,37.928
583,M,True,38.042,38.081,38.091,38.048,38.455
584,M,False,37.989,38.375,38.585,39.095,39.287
585,M,True,31.171,30.713,31.559,30.337,31.103
586,M,False,31.559,30.337,31.103,30.835,30.104
587,M,False,45.302,45.142,44.719,45.526,45.46
588,M,True,52.861,52.996,52.736,51.851,51.719
589,M,False,48.342,47.929,47.57,47.368,47.711
590,M,False,66.918,66.483,66.466,65.853,64.937
591,M,False,43.504,43.721,43.684,43.3,43.739
592,M,False,48.628,48.619,50.659,52.477,50.424
593,M,False,51.696,51.92,51.729,51.752,51.765
594,M,False,40.901,40.858,40.039,39.868,39.659
595,M,False,66.635,65.492,64.913,64.656,64.86
596,M,False,66.095,65.823,66.94,67.148,68.256
597,M,True,57.561,57.83,58.766,59.379,60.585
598,M,False,60.214,60.259,59.929,60.042,59.635
599,M,False,44.62,44.42,44.619,44.282,44.261
600,M,True,55.143,55.172,54.646,54.839,54.629
601,M,False,54.629,54.462,54.121,54.038,54.401
602,M,True,39.92,39.394,39.526,39.643,39.691
603,M,False,41.239,41.079,41.304,41.48,41.362
604,M,False,41.304,41.48,41.362,41.258,40.75
605,M,True,36.82,37.856,36.486,36.625,36.014
606,M,False,36.771,37.705,36.943,37.176,37.713
607,M,True,45.351,45.497,45.716,43.949,45.099
608,M,False,49.85,48.775,48.782,48.103,49.796
609,M,True,47.428,46.826,46.872,46.268,46.582
610,M,True,46.874,46.727,46.998,47.42,48.047
611,M,False,51.879,52.201,52.044,52.081,51.951
612,M,True,52.985,53.173,53.494,54.178,54.88
613,M,False,53.878,53.686,53.246,52.267,52.233
614,M,False,51.84,51.47,52.119,52.612,52.091
615,M,False,56.806,55.927,56.337,55.17,54.815
616,M,False,53.419,53.619,53.519,53.768,53.635
617,M,False,59.508,59.59,58.971,58.985,58.988
618,M,True,82.51,81.531,80.377,80.168,79.661
619,M,True,81.526,82.569,82.925,83.33,82.739
620,M,False,82.739,81.876,81.531,79.65,77.892
621,M,False,76.671,76.483,76.93,77.367,78.445
622,M,False,76.93,77.367,78.445,78.077,78.129
623,M,False,80.734,81.185,81.204,81.675,82.316
624,M,False,82.15,81.822,81.708,81.242,80.766
625,M,False,77.849,77.304,76.418,76.114,76.036
626,M,False,76.036,75.623,75.322,74.965,74.14
627,M,True,73.349,74.898,75.039,74.878,74.263
628,M,True,74.583,75.337,74.965,75.406,75.695
629,M,False,74.414,74.141,74.554,75.386,74.233
630,M,True,73.066,73.265,72.976,72.266,71.246
631,M,True,72.91,72.485,72.178,72.081,71.706
632,M,False,72.178,72.081,71.706,71.571,71.411
633,M,True,66.133,65.531,65.905,65.338,64.491
634,M,False,63.221,64.228,64.232,63.947,63.75
635,M,False,63.218,63.756,64.089,63.555,63.676
636,M,True,56.509,57.132,56.897,57.352,57.443
637,M,True,53.332,52.93,52.916,52.852,52.832
638,M,False,54.267,54.109,55.111,53.233,54.601
639,M,False,50.309,50.062,49.753,49.628,49.811
640,M,True,44.017,43.535,43.196,43.314,43.381
641,M,False,57.675,58.005,57.688,58.682,58.151
642,M,True,38.648,38.869,39.048,39.427,40.34
643,M,False,40.38,40.142,40.669,40.705,40.681
644,M,False,44.546,45.116,45.491,45.184,45.69
645,M,False,39.774,39.344,41.239,41.07,41.104
646,M,False,47.261,48.972,47.228,46.873,46.196
647,M,False,62.746,64.36,65.964,66.845,68.095
648,M,False,46.37,47.489,47.459,47.237,47.807
649,M,False,55.278,54.309,53.47,53.341,52.831
650,M,False,42.851,43.205,43.445,43.149,43.432
651,C,True,31.845,32.292,32.342,32.382,32.629
652,C,True,57.706,58.327,60.324,60.732,59.373
653,C,False,41.484,41.019,40.872,40.44,40.276
654,C,False,37.194,37.363,37.851,38.331,38.022
655,C,False,35.412,35.307,35.743,35.61,35.474
656,C,False,19.86,20.769,19.74,20.553,21.306
657,C,False,35.397,36.458,35.019,33.011,32.625
658,C,False,55.685,54.694,57.012,57.176,57.776
659,C,False,58.635,57.63,57.436,57.115,56.776
660,C,True,65.42,65.408,65.462,65.771,65.606
661,C,False,62.313,62.631,63.063,63.386,63.796
662,C,False,64.026,63.895,63.923,63.535,63.063
663,C,False,33.295,33.16,33.095,31.633,30.767
664,C,False,47.799,47.841,48.452,48.403,48.376
665,C,True,50.145,51.905,52.091,52.396,51.95
666,C,True,41.796,42.094,42.066,42.154,41.87
667,C,False,51.557,52.031,51.615,51.625,50.972
668,C,False,62.092,62.446,63.481,63.871,64.743
669,C,False,41.204,41.345,42.026,41.823,42.207
670,C,True,39.408,38.962,39.303,38.811,37.965
671,C,False,67.209,67.409,67.771,67.576,67.682
672,C,False,58.779,58.796,58.677,58.922,59.267
673,C,False,52.667,52.914,52.114,51.16,51.859
674,C,False,66.175,67.053,67.602,67.632,67.491
675,C,False,62.929,62.863,61.766,61.051,60.795
676,C,False,41.645,41.273,41.139,40.857,40.746
677,C,True,61.55,60.511,59.714,58.905,58.92
678,C,False,35.307,35.179,35.516,35.628,35.775
679,C,False,65.473,65.521,66.314,65.382,62.822
680,C,False,32.407,32.245,33.213,34.014,33.515
681,C,False,35.369,35.23,35.361,35.066,35.211
682,C,True,58.732,58.305,58.512,59.024,58.444
683,C,False,65.126,65.887,66.803,67.722,69.015
684,C,False,59.112,59.138,59.799,59.902,60.16
685,C,False,39.408,38.962,39.303,38.811,37.965
686,C,False,0.0,24.792,39.908,12.176,25.295
687,C,True,63.062,63.276,63.723,63.972,64.034
688,C,False,73.426,73.518,74.065,76.374,80.259
689,C,False,37.27,35.2,34.704,37.563,37.002
690,C,False,34.227,37.556,38.727,38.362,37.022
691,C,False,60.256,60.122,60.108,61.262,62.331
692,C,True,0.0,0.0,0.0,0.0,0.0
693,C,False,60.775,61.747,60.87,61.166,62.112
694,C,False,65.746,65.814,66.524,66.392,66.658
695,C,False,26.483,26.693,26.745,27.404,27.859
696,C,False,59.098,59.08,59.404,59.109,59.092
697,C,False,55.369,54.533,55.135,55.412,55.237
698,C,False,30.521,29.927,29.949,29.989,29.96
699,C,False,38.867,39.482,39.527,39.968,40.927
700,C,False,52.433,53.828,54.771,53.936,54.516
701,C,False,32.268,32.784,33.436,33.596,33.408
702,C,True,44.788,44.81,42.482,42.663,43.023
703,C,False,49.442,49.17,49.294,49.452,49.273
704,C,False,42.304,41.581,40.793,41.927,39.819
705,C,False,56.49,56.129,56.24,55.976,55.646
706,C,False,42.699,42.578,40.048,41.988,42.26
707,C,False,60.702,60.875,59.412,60.461,60.871
708,C,False,50.842,50.227,49.954,49.394,48.839
709,C,False,33.093,33.201,33.86,33.905,33.868
710,C,True,40.155,39.787,39.829,38.797,38.217
711,C,False,28.669,28.059,28.018,29.348,29.005
712,C,False,65.945,66.639,66.652,67.381,67.492
713,C,False,69.126,68.592,68.551,68.345,67.845
714,C,False,49.852,49.606,49.698,49.675,50.029
715,C,False,67.931,69.151,69.561,69.727,70.197
716,C,False,53.811,53.884,53.832,54.018,54.048
717,C,False,34.747,34.724,34.44,34.54,34.258
718,C,True,38.172,38.624,37.411,37.504,36.82
719,C,False,39.75,41.087,41.586,41.007,40.938
720,C,False,58.145,58.981,56.044,54.997,54.198
721,C,False,57.171,58.701,59.221,59.091,59.881
722,C,False,30.988,30.888,31.988,32.087,32.411
723,C,False,45.92,45.722,45.942,44.951,45.408
724,C,False,42.187,41.922,42.804,41.955,41.548
725,C,True,43.583,42.86,41.834,41.644,44.003
726,C,False,39.493,39.348,39.543,39.7,39.536
727,C,False,42.18,42.376,42.08,41.842,42.07
728,C,False,57.679,57.145,56.714,56.365,55.793
729,C,False,39.85,39.714,38.637,38.441,37.545
730,C,False,67.825,67.916,67.401,68.499,67.98
731,C,False,38.052,38.176,37.532,37.751,37.608
732,C,False,63.663,63.953,64.547,64.504,64.252
733,C,False,34.027,33.835,33.491,33.203,33.115
734,C,False,60.743,60.996,61.424,61.386,60.915
735,C,False,33.41,33.154,32.762,31.492,31.528
736,C,False,31.845,32.292,32.342,32.382,32.629
737,C,False,42.051,42.19,42.663,42.713,42.416
738,C,False,47.797,48.922,47.474,47.602,47.528
739,C,False,58.723,58.073,57.859,57.949,56.813
740,C,False,65.499,64.128,64.695,64.438,63.641
741,C,False,46.721,46.166,46.088,45.505,45.192
742,C,False,64.65,63.46,63.385,62.921,61.334
743,C,False,51.798,51.866,51.822,51.771,51.904
744,C,False,68.319,68.455,67.745,67.79,66.798
745,C,False,63.727,63.534,63.665,54.453,64.127
746,C,False,32.017,31.9,31.943,31.706,31.638
747,C,False,68.654,67.52,67.113,67.848,68.969
748,C,False,62.659,63.427,63.288,63.856,64.21
749,C,False,65.42,65.408,65.462,65.771,65.606
750,C,False,47.473,47.696,48.222,48.641,48.946
751,C,False,59.69,59.967,59.705,59.673,59.564
752,C,False,38.4,37.97,39.084,39.042,39.731
753,C,False,47.599,46.732,46.9,47.052,47.915
754,C,False,51.216,51.375,50.927,51.865,52.053
755,C,False,38.078,37.961,38.746,38.153,37.955
756,C,False,24.655,25.312,31.517,35.311,31.891
757,C,False,62.164,61.892,62.214,62.529,62.428
758,C,False,61.627,62.219,61.931,62.36,63.055
759,C,False,42.427,42.563,42.814,43.183,43.689
760,C,False,38.559,38.348,37.472,37.469,37.177
761,C,False,0.0,0.0,0.0,0.0,0.0
762,C,False,50.145,51.905,52.091,52.396,51.95
763,C,False,60.962,62.357,61.528,62.198,62.453
764,C,False,46.965,46.339,45.579,45.373,44.872
765,C,False,36.204,36.274,36.411,35.943,35.418
766,C,False,46.733,47.032,46.907,47.556,46.705
767,C,False,34.169,34.433,36.146,33.154,33.43
768,C,False,73.209,74.214,74.221,74.122,73.911
769,C,False,58.732,58.305,58.512,59.024,58.444
770,C,False,50.573,50.11,49.702,49.224,48.593
771,C,False,65.693,66.978,66.196,69.428,68.262
772,C,False,63.161,63.04,62.522,61.672,61.15
773,C,False,43.583,42.86,41.834,41.644,44.003
774,C,False,60.321,60.31,60.616,60.985,60.997
775,C,False,62.373,61.872,61.141,60.977,60.729
776,C,False,34.047,32.546,33.071,32.527,32.276
777,C,False,61.064,61.017,61.073,61.059,61.264
778,C,False,41.128,41.809,41.229,41.78,42.545
779,C,False,30.64,45.671,26.689,23.716,29.668
780,C,False,32.214,32.164,32.611,32.157,32.602
781,C,False,75.378,73.735,73.821,74.258,74.432
782,C,False,68.906,67.241,66.242,64.852,63.673
783,C,False,40.776,40.051,39.302,38.677,38.141
784,C,False,40.195,38.487,38.276,37.509,37.251
785,C,False,50.698,50.858,50.841,50.462,50.674
786,C,False,33.286,33.818,34.355,34.0,33.66
787,C,False,0.0,0.0,22.443,17.642,19.121
788,C,False,50.772,50.055,49.636,48.989,48.157
789,C,False,34.624,34.84,35.679,36.143,37.407
790,C,False,45.588,45.652,45.752,45.595,45.347
791,C,True,57.257,57.684,57.832,57.726,57.546
792,C,False,57.031,56.638,56.659,56.466,57.294
793,C,False,44.319,44.038,44.278,43.675,43.809
794,C,False,49.62,49.797,49.576,49.238,49.476
795,C,False,49.203,48.982,48.887,48.911,48.925
796,C,False,38.172,38.624,37.411,37.504,36.82
797,C,False,32.199,30.172,29.806,29.212,29.068
798,C,False,54.769,54.014,53.566,53.009,52.751
799,C,False,61.716,61.724,61.771,61.575,61.724
800,C,False,41.037,41.09,40.808,41.763,41.032
801,C,False,36.185,35.736,35.001,36.814,37.129
802,C,False,42.608,42.929,42.835,42.771,42.732
803,C,False,52.532,53.089,53.323,53.936,54.389
804,C,False,55.886,54.283,54.627,53.14,54.276
805,C,False,75.944,75.329,75.504,74.477,74.31
806,C,False,58.27,57.974,57.128,57.097,56.807
807,C,False,29.751,29.228,28.956,28.781,27.8
808,C,False,42.482,42.663,43.023,45.514,44.902
809,C,False,42.878,42.699,42.959,43.135,43.139
810,C,True,35.578,35.073,35.159,34.933,34.698
811,C,False,83.812,83.861,85.029,84.745,83.531
812,C,True,54.092,53.216,52.994,52.545,52.564
813,C,False,34.597,34.639,33.938,34.165,33.758
814,C,False,0.0,0.0,0.0,0.0,0.0
815,C,False,57.706,58.327,60.324,60.732,59.373
816,C,False,61.626,60.039,59.197,58.103,58.352
817,C,False,43.495,42.786,43.772,44.02,43.82
818,C,False,60.268,61.655,61.31,61.311,61.779
819,C,False,35.578,35.073,35.159,34.933,34.698
820,C,False,37.266,36.986,36.706,36.55,36.649
821,C,False,64.393,64.233,64.226,63.934,64.689
822,C,False,71.74,71.211,71.213,71.046,71.693
823,C,False,39.969,41.162,40.85,41.191,40.879
824,C,False,68.923,68.398,68.747,69.299,70.126
825,C,False,45.307,45.217,44.7,44.616,44.457
826,C,False,27.43,27.922,29.676,28.309,28.398
827,C,False,46.324,47.195,45.532,47.926,46.251
828,C,False,31.219,29.784,30.779,32.239,29.506
829,C,False,43.342,43.258,43.288,43.124,43.097
830,C,False,33.441,33.588,33.521,33.227,33.028
831,C,False,51.718,51.67,51.463,51.397,50.707
832,C,False,52.161,51.504,51.439,50.366,49.358
833,C,False,62.98,61.21,60.614,60.275,59.358
834,C,False,55.608,54.85,56.357,57.163,55.163
835,C,False,54.773,54.149,53.847,53.863,53.699
836,C,False,57.415,57.628,58.552,59.019,57.978
837,C,False,70.378,71.438,71.338,72.555,74.188
838,C,False,54.092,53.216,52.994,52.545,52.564
839,C,False,41.071,40.783,41.546,41.873,42.012
840,C,False,55.079,54.754,54.616,53.947,53.654
841,C,False,61.55,60.511,59.714,58.905,58.92
842,C,False,59.674,58.979,58.705,58.661,59.316
843,C,False,50.669,50.259,50.124,50.294,50.177
844,C,False,40.155,39.787,39.829,38.797,38.217
845,B,True,91.724,91.516,91.562,94.449,94.972
846,B,False,74.676,74.16,73.97,73.109,72.63
847,B,False,67.508,68.621,68.689,65.388,64.199
848,B,False,30.938,31.21,31.29,31.42,31.068
849,B,True,0.0,0.0,0.0,0.0,0.0
850,B,True,68.888,69.134,70.146,70.519,71.032
851,B,False,73.813,74.284,76.911,78.428,80.591
852,B,False,39.647,40.02,39.696,39.659,39.733
853,B,False,52.076,64.062,65.616,66.366,62.397
854,B,False,53.549,53.574,52.894,51.855,51.155
855,B,True,28.916,29.209,28.436,28.596,28.553
856,B,False,51.671,50.836,51.97,51.015,50.735
857,B,True,34.929,35.878,35.829,35.016,34.915
858,B,False,51.552,50.317,50.744,50.539,50.028
859,B,False,61.502,60.692,60.714,59.379,58.452
860,B,True,32.208,32.212,32.356,31.964,32.404
861,B,True,33.141,32.976,33.268,33.361,33.424
862,B,True,75.191,87.209,88.15,88.753,75.757
863,B,True,33.134,33.796,34.022,33.924,34.157
864,B,False,48.183,48.225,49.259,49.246,49.251
865,B,False,53.017,53.4,52.53,52.941,53.632
866,B,True,30.746,30.79,30.5,30.609,30.141
867,B,True,72.123,75.753,76.87,77.888,78.891
868,B,False,73.144,73.105,72.871,71.179,73.587
869,B,True,45.034,43.926,44.09,43.45,42.321
870,B,True,64.658,64.508,64.94,64.608,65.659
871,B,True,49.542,49.925,50.53,50.891,51.4
872,B,True,46.481,45.991,45.005,45.784,44.879
873,B,True,46.485,46.89,48.23,48.573,50.093
874,B,True,63.48,64.376,63.324,65.171,65.192
875,B,True,28.122,28.23,28.087,28.13,28.457
876,B,True,73.647,74.598,67.957,66.239,63.934
877,B,False,64.482,65.127,64.141,63.57,63.361
878,B,False,69.348,69.705,67.802,66.886,65.449
879,B,True,37.15,37.056,36.936,37.343,37.066
880,B,False,52.248,52.997,53.022,52.77,53.258
881,B,False,81.799,84.826,83.896,80.061,81.665
882,B,True,55.688,54.885,55.079,53.809,54.49
883,B,True,66.967,66.32,66.297,66.381,65.326
884,B,False,76.911,73.782,72.568,73.961,69.243
885,B,False,62.804,62.364,63.192,62.691,63.529
886,B,False,70.289,70.043,69.708,68.864,68.822
887,B,True,27.619,28.396,28.513,27.864,28.305
888,B,False,55.122,55.159,55.187,56.594,56.977
889,B,True,61.58,62.414,64.179,64.431,64.6
890,B,True,31.764,31.396,32.676,32.68,32.556
891,B,True,24.265,27.131,29.116,28.617,28.713
892,B,True,59.21,58.779,56.947,58.732,59.362
893,B,False,39.212,38.822,39.189,39.054,39.228
894,B,False,54.548,54.1,54.365,54.906,55.784
895,B,False,42.364,43.432,44.366,45.054,44.975
896,B,False,34.531,34.712,34.697,34.08,34.572
897,B,False,58.708,56.825,59.055,59.441,43.72
898,B,False,83.166,82.487,82.459,81.661,81.547
899,B,False,86.727,88.163,87.836,89.12,86.44
900,B,False,77.593,76.625,74.611,74.395,72.869
901,B,True,81.174,81.747,80.915,84.3,83.902
902,B,True,60.98,60.028,61.593,59.442,59.948
903,B,False,44.062,45.112,44.625,44.665,45.311
904,B,False,52.597,53.238,54.718,54.933,57.201
905,B,True,46.187,46.411,46.439,46.242,46.16
906,B,False,51.071,51.235,51.591,51.864,52.044
907,B,True,90.957,93.737,94.785,98.297,99.851
908,B,False,48.545,50.877,51.298,50.905,50.079
909,B,False,67.927,67.379,66.748,65.493,68.486
910,B,True,24.853,26.72,28.737,30.995,29.974
911,B,False,74.453,75.287,70.154,69.727,71.539
912,B,False,46.354,47.468,47.172,47.471,48.45
913,B,True,64.811,63.443,63.41,63.982,63.289
914,B,False,72.655,71.742,69.922,70.447,69.499
915,B,False,48.004,48.715,48.605,50.255,50.479
916,B,False,49.638,50.086,51.857,53.211,53.711
917,B,False,48.876,49.309,48.979,49.166,49.214
918,B,False,61.305,63.395,64.617,66.727,65.981
919,B,False,74.226,73.441,72.498,71.01,71.484
920,B,False,29.707,30.849,30.882,30.716,30.404
921,B,True,74.062,73.168,73.068,73.86,72.786
922,B,False,96.668,108.04,109.47,109.97,107.98
923,B,True,75.68,74.477,74.724,73.834,76.093
924,B,False,54.134,53.81,53.983,53.558,53.683
925,B,False,59.053,60.582,60.612,58.628,59.089
926,B,True,45.886,46.079,47.251,46.951,45.899
927,B,True,56.5,55.602,55.958,56.402,55.241
928,B,False,31.116,31.969,31.236,31.29,30.776
929,B,False,80.456,79.855,78.708,79.26,78.126
930,B,False,32.537,31.964,31.107,30.656,31.159
931,B,False,44.48,43.962,43.679,43.867,43.642
932,B,True,27.598,27.993,27.886,27.452,28.445
933,B,False,69.212,70.291,70.017,71.959,72.183
934,B,True,55.623,55.761,54.477,53.963,52.31
935,B,False,95.031,95.392,88.364,89.767,89.411
936,B,False,31.53,31.609,32.204,32.526,32.99
937,B,False,45.614,45.029,44.799,44.399,44.364
938,B,True,31.462,31.533,31.312,31.014,31.046
939,B,False,65.033,64.133,64.556,64.36,64.951
940,B,False,49.722,48.517,52.659,52.828,53.372
941,B,False,51.649,52.187,51.556,51.735,51.947
942,B,False,69.641,70.855,72.431,71.597,72.457
943,B,True,29.72,29.179,28.98,29.321,28.851
944,B,False,59.902,62.399,63.431,65.733,66.18
945,B,True,66.223,64.217,63.362,62.127,60.57
946,B,False,60.341,60.207,59.845,60.358,61.795
947,B,True,61.163,60.542,61.697,61.244,59.466
948,B,False,53.285,54.816,54.544,54.357,54.982
949,B,False,78.936,77.122,78.646,76.285,74.11
950,B,False,43.562,43.396,42.696,42.913,42.87
951,B,True,43.573,44.508,45.163,45.299,46.074
952,B,True,39.417,39.659,40.339,40.105,40.391
953,B,False,29.05,29.268,28.86,28.825,28.987
954,B,False,32.919,32.937,33.177,33.194,33.451
955,B,False,53.614,53.844,53.296,53.562,53.849
956,B,False,36.721,36.952,36.987,37.336,37.911
957,B,True,56.787,57.486,57.624,56.949,57.981
958,B,True,47.742,48.262,48.329,48.192,48.461
959,B,False,33.335,33.169,34.251,33.816,34.064
960,B,True,0.0,0.0,0.0,0.0,0.0
961,B,False,44.013,42.649,43.201,43.759,44.619
962,B,True,50.911,50.774,51.081,51.588,51.303
963,B,True,43.135,42.635,42.267,41.474,41.167
964,B,False,32.556,32.643,32.313,34.13,34.839
965,B,True,33.602,33.521,33.611,33.223,33.541
966,B,True,70.413,68.773,69.596,70.25,69.096
967,B,True,70.555,72.409,72.996,74.424,74.154
968,B,True,32.911,32.408,32.701,31.038,31.601
969,B,False,64.038,64.827,68.218,69.102,73.808
970,B,False,32.068,33.172,32.596,33.662,31.563
971,B,True,74.886,72.863,71.661,71.051,71.487
972,B,False,58.472,58.43,58.525,58.605,59.083
973,B,False,67.286,67.711,65.628,65.6,64.497
974,B,False,58.437,59.31,57.292,57.117,58.281
975,B,True,43.524,43.945,45.071,44.51,44.488
976,B,True,47.251,47.481,47.964,48.511,49.141
977,B,False,44.089,44.081,45.519,45.911,46.496
978,B,False,28.942,28.599,28.443,28.537,28.693
979,B,False,30.163,29.938,30.07,30.83,30.504
980,B,True,67.165,65.006,63.449,63.754,64.288
981,B,False,55.108,55.628,54.162,55.297,53.961
982,B,False,42.371,44.201,46.397,49.229,51.207
983,B,False,33.793,33.675,32.741,32.992,33.284
984,B,True,31.663,31.498,31.207,31.305,31.014
985,B,False,49.799,50.165,50.773,50.853,50.81
986,B,False,40.552,40.699,40.537,40.107,39.971
987,B,True,65.587,65.43,66.101,64.585,62.841
988,B,True,62.38,63.604,65.782,66.535,69.082
989,B,False,46.227,46.701,46.337,46.288,46.25
990,B,False,85.945,86.515,86.265,87.109,88.473
991,B,False,79.446,79.854,79.97,80.328,79.974
992,B,False,38.235,38.701,38.953,39.635,38.882
993,B,False,37.044,36.428,36.636,37.891,37.88
994,B,True,44.867,38.156,37.135,37.523,37.025
995,B,False,37.807,38.258,38.865,39.144,39.636
996,B,True,70.613,70.021,69.438,68.398,67.947
997,B,False,58.283,57.914,59.2,59.6,59.998
998,B,False,23.39,23.67,23.51,23.853,23.421
999,B,True,40.576,40.717,40.711,40.948,40.839
1000,B,True,68.896,69.393,68.202,68.033,67.534
1001,B,True,40.918,40.855,41.167,41.665,41.529
1002,B,False,46.159,48.545,50.877,51.298,50.905
1003,B,False,91.574,89.515,92.267,93.842,93.125
1004,B,False,40.081,40.928,41.298,41.22,41.588
1005,B,True,31.202,32.004,34.759,36.674,34.493
1006,B,True,70.83,68.791,68.287,69.245,70.354
1007,B,False,61.969,63.092,61.252,62.533,61.917
1008,B,True,42.96,42.475,42.947,42.083,42.996
1009,B,False,55.951,55.811,56.073,56.223,56.033
1010,B,True,74.772,75.333,74.321,73.966,73.823
1011,B,False,38.769,39.356,39.503,39.443,39.356
1012,B,False,59.342,58.928,58.653,58.423,57.926
1013,B,False,53.799,53.157,53.699,57.54,56.676
1014,B,False,50.272,50.507,51.573,51.671,50.836
1015,B,True,49.913,50.383,50.761,51.956,53.739
1016,B,True,69.288,68.521,69.225,67.91,68.039
1017,B,False,73.456,73.643,73.63,71.289,70.631
1018,B,False,60.355,60.683,61.68,62.05,62.873
1019,B,True,37.81,37.327,36.376,36.768,37.125
1020,B,False,32.675,32.597,32.561,32.406,32.261
1021,B,True,59.781,59.688,59.693,60.775,62.276
1022,B,True,31.143,32.211,31.838,31.536,31.722
1023,B,True,70.138,69.877,70.375,70.236,69.809
1024,B,True,68.18,70.186,69.687,71.022,70.048
1025,B,False,35.301,34.4,34.067,33.144,32.404
1026,B,False,70.328,69.259,69.245,68.637,66.093
1027,B,True,29.699,28.982,29.442,29.163,29.492
1028,B,False,68.039,67.253,65.786,64.972,65.326
1029,B,False,41.824,41.079,40.969,41.642,42.502
1030,B,False,64.844,65.456,65.752,65.235,66.466
1031,B,False,37.452,35.926,33.458,35.736,32.936
1032,B,True,62.265,62.528,62.268,63.1,63.283
1033,B,True,32.597,32.598,33.167,33.206,33.213
1034,B,True,30.698,30.996,31.104,31.514,31.782
1035,B,True,51.421,52.28,52.782,52.691,53.17
1036,B,False,48.673,48.451,49.402,50.491,50.444
1037,B,False,40.859,41.066,41.884,42.066,42.449
1038,B,False,39.558,39.611,39.761,39.848,39.799
1039,B,True,66.606,66.473,66.856,66.971,67.064
1040,B,True,33.527,33.959,35.124,35.25,35.145
1041,B,False,54.249,54.053,53.476,53.22,53.135
1042,B,False,56.642,56.728,57.115,57.991,57.912
1043,B,False,41.474,41.167,40.181,39.881,39.366
1044,B,True,35.999,36.396,36.082,36.461,35.999
1045,B,False,39.891,40.871,40.242,40.526,40.795
1046,B,False,29.93,29.762,30.091,29.926,29.447
1047,B,False,66.855,65.703,66.222,67.472,66.169
1048,B,False,39.841,40.984,41.275,40.78,40.974
1049,B,False,82.942,83.528,81.537,79.61,80.088
1050,B,False,56.005,57.644,58.745,59.501,60.248
1051,B,False,36.905,37.749,39.542,38.409,40.646
1052,B,False,60.965,59.984,59.412,58.903,57.98
1053,B,False,54.9,56.621,54.089,53.895,55.378
1054,B,True,33.396,33.876,33.465,33.586,33.847
1055,B,True,38.734,39.307,38.799,39.082,39.054
1056,B,False,73.363,75.735,77.062,76.684,77.015
1057,B,False,67.577,69.392,71.302,72.252,71.14
1058,B,False,54.723,53.427,52.102,51.945,51.479
1059,B,False,54.418,53.808,53.558,53.148,52.889
1060,B,True,50.683,50.439,50.176,49.964,49.104
1061,B,False,94.196,88.377,87.885,86.93,89.843
1062,B,False,52.384,52.756,52.1,51.921,51.198
1063,B,False,30.945,31.075,30.89,30.831,30.774
1064,B,False,58.13,57.831,60.083,61.728,61.414
1065,B,False,81.983,80.054,80.194,78.267,81.007
