,FLARE_TYPE,COINCIDENCE,ABSNJZH_1,ABSNJZH_2,ABSNJZH_3,ABSNJZH_4,ABSNJZH_5
2226,N,False,153.0,162.1,161.01,152.44,154.52
2227,N,False,74.494,82.375,74.531,76.235,76.562
2228,N,False,11.024,24.697,18.036,6.1266,20.162
2229,N,False,9.3744,11.635,9.4234,11.918,10.129
2230,N,False,16.743,16.09,12.69,16.609,18.435
2231,N,False,4.1541,4.7735,5.169,4.4996,6.1413
2232,N,False,2.962,0.8157,1.2495,1.8458,0.73047
2233,N,False,3.7211,3.3127,6.7374,0.89197,0.43142
2234,N,False,158.43,161.43,147.12,152.83,151.06
2235,N,False,2.9023,0.40629,7.0692,8.0592,0.22265
2236,N,False,5.2079,4.355,3.9367,6.3354,7.0634
2237,N,False,281.33,291.11,278.23,273.36,310.97
2238,N,False,42.31,46.564,46.073,49.242,47.547
2239,N,False,23.669,22.327,23.587,17.285,22.036
2240,N,False,85.01,71.397,64.742,85.681,108.42
2241,N,False,2.0287,3.5438,1.3032,0.59338,2.907
2242,N,False,131.58,128.2,125.16,124.02,123.36
2243,N,False,61.152,53.553,54.5,56.907,48.541
2244,N,False,11.772,12.768,8.015,5.4957,9.2569
2245,N,False,7.5164,9.8322,9.645,7.6071,6.2012
2246,N,False,500.49,526.05,554.38,540.8,525.18
2247,N,False,5.3715,2.6218,1.8949,4.9786,4.5944
2248,N,False,85.881,85.322,85.308,84.371,84.335
2249,N,False,48.924,59.933,61.955,58.28,61.818
2250,N,False,90.637,92.13,103.54,87.68,86.957
2251,N,False,15.561,16.468,15.186,10.319,13.298
2252,N,False,57.056,65.518,74.693,83.252,87.484
2253,N,False,6.7655,1.5268,13.579,1.3111,2.0178
2254,N,False,2.4466,0.05113,2.0299,2.2972,5.146
2255,N,False,32.69,31.589,29.527,39.803,22.12
2256,N,False,0.69486,2.16,4.3807,3.194,1.0992
2257,N,False,0.60568,1.1449,2.2241,1.3729,1.7736
2258,N,False,31.512,25.299,30.204,41.846,44.448
2259,N,False,200.97,195.86,202.47,212.24,226.99
2260,N,False,7.2017,7.7562,8.3819,6.7606,9.1078
2261,N,False,17.863,10.847,15.624,6.8447,8.5101
2262,N,False,3.1705,0.67757,0.99999,0.45821,1.0598
2263,N,False,40.931,41.374,48.166,41.509,43.177
2264,N,False,7.7384,11.143,10.116,7.3188,6.6714
2265,N,False,11.927,12.306,10.446,8.5036,1.5096
2266,N,False,16.568,13.966,20.776,20.737,21.406
2267,N,False,97.675,115.96,114.85,99.331,120.46
2268,N,False,17.268,22.503,28.484,22.444,26.274
2269,N,False,17.268,22.503,28.484,22.444,26.274
2270,N,False,56.537,57.198,56.027,51.403,54.54
2271,N,False,44.624,36.775,38.086,41.15,37.996
2272,N,False,6.259,4.9854,1.9304,6.104,7.3213
2273,N,False,3.8685,2.2964,5.1226,7.6603,2.0011
2274,N,False,46.196,45.935,47.07,49.729,44.52
2275,N,False,11.253,9.0958,9.1056,3.3268,6.6538
2276,N,False,55.596,57.104,55.41,56.799,55.907
2277,N,False,60.543,67.529,72.407,72.536,80.748
2278,N,False,60.166,60.851,61.478,61.172,62.821
2279,N,False,6.8295,8.7979,7.3384,8.0278,4.7011
2280,N,False,40.053,33.087,38.589,31.038,36.511
2281,N,False,17.976,13.196,14.152,19.062,12.197
2282,N,False,13.338,11.876,14.026,14.959,17.403
2283,N,False,5.0393,4.3464,3.0022,5.2012,4.651
2284,N,False,3.9218,10.52,8.7379,4.7726,1.185
2285,N,False,0.68679,1.9577,6.6822,8.5326,4.8492
2286,N,False,15.017,9.0068,12.696,14.484,20.28
2287,N,False,25.653,28.767,28.291,21.684,28.388
2288,N,False,20.093,22.526,17.477,18.29,15.017
2289,N,False,22.139,23.698,17.537,21.096,16.574
2290,N,False,52.111,56.567,56.462,38.934,32.893
2291,N,False,153.53,157.02,150.31,145.77,151.07
2292,N,False,20.425,16.03,15.493,17.731,19.263
2293,N,False,64.148,66.142,56.86,62.828,62.376
2294,N,False,12.035,10.213,8.1404,17.821,20.123
2295,N,False,44.638,35.301,33.188,31.278,33.579
2296,N,False,77.428,75.764,61.067,52.18,73.284
2297,N,False,57.95,37.884,26.869,22.938,23.538
2298,N,False,25.668,29.56,36.242,43.373,32.276
2299,N,False,3.8853,4.555,7.2717,10.045,3.6921
2300,N,False,7.0636,7.436,5.2528,3.7065,3.4311
2301,N,False,21.537,23.849,25.73,22.475,19.215
2302,N,False,163.04,175.02,165.89,151.41,161.48
2303,N,False,6.6672,6.0481,8.907,7.1397,6.8898
2304,N,False,35.567,41.254,32.363,45.575,42.696
2305,N,False,2.5243,6.2742,6.6252,6.2573,1.7499
2306,N,False,21.937,31.886,34.346,49.058,34.027
2307,N,False,35.901,42.447,38.041,24.768,34.913
2308,N,False,5.8952,6.1487,8.1904,11.409,6.1237
2309,N,False,140.5,145.21,150.82,151.76,154.17
2310,N,False,8.1646,5.3056,8.2517,8.4431,5.3851
2311,N,False,62.983,54.652,54.566,44.513,55.685
2312,N,False,6.1641,4.9739,5.6218,7.1105,11.824
2313,N,False,2.5334,0.53804,1.5741,1.2549,1.7662
2314,N,False,24.617,26.676,27.392,28.231,30.329
2315,N,False,5.2317,4.1897,4.3041,2.9607,4.2733
2316,N,False,1.2646,2.4682,4.4412,9.5741,3.8241
2317,N,False,1.2033,1.715,6.3336,2.4195,4.9778
2318,N,False,1.0613,0.12835,1.2434,2.3023,0.039147
2319,N,False,1.049,1.5844,2.1667,0.29325,5.1144
2320,N,False,0.70555,0.39132,0.66505,0.46352,0.17071
2321,N,False,28.725,29.548,31.432,33.18,37.027
2322,N,False,67.512,66.112,65.151,63.999,64.802
2323,N,False,3.0009,0.73506,2.1479,3.3558,0.8419
2324,N,False,0.27949,0.19254,0.2222,0.71371,0.46182
2325,N,False,3.1855,5.9175,5.4348,5.8001,3.7035
2326,N,False,7.3732,8.1291,11.608,5.5242,8.3741
2327,N,False,31.734,34.388,32.421,32.599,41.512
2328,N,False,5.6325,6.2551,5.6178,4.5186,6.6403
2329,N,False,35.67,33.399,26.285,31.509,25.572
2330,N,False,4.2497,0.49992,6.8798,8.7557,1.0055
2331,N,False,149.1,148.89,146.42,146.62,152.98
2332,N,False,149.1,148.89,146.42,146.62,152.98
2333,N,False,149.1,148.89,146.42,146.62,152.98
2334,N,False,82.263,74.547,57.561,75.727,74.753
2335,N,False,14.797,5.9633,6.1207,9.4479,5.8592
2336,N,False,166.47,174.64,172.87,185.37,172.18
2337,N,False,45.312,47.051,30.845,42.191,50.497
2338,N,False,3.6888,4.9454,5.3124,5.8749,0.54328
2339,N,False,52.513,53.118,49.788,49.634,48.339
2340,N,False,17.343,15.081,12.744,18.398,18.781
2341,N,False,10.154,12.595,9.7888,12.858,8.5716
2342,N,False,5.1412,6.2317,10.006,11.125,13.482
2343,N,False,9.2289,10.69,7.921,9.79,10.491
2344,N,False,9.2721,8.5847,8.9871,13.298,12.077
2345,N,False,16.655,19.099,18.26,15.18,14.835
2346,N,False,3.823,13.659,13.729,18.948,22.357
2347,N,False,18.698,23.735,24.903,22.365,22.83
2348,N,False,68.438,80.786,69.389,63.912,73.235
2349,N,False,3.1335,6.0234,7.6825,6.5254,7.9851
2350,N,False,30.405,27.953,27.975,32.597,26.544
2351,N,False,81.543,86.284,82.25,76.103,77.296
2352,N,False,2.0307,0.75274,4.0602,2.6057,7.3359
2353,N,False,2.3658,3.1208,3.0633,3.343,2.9124
2354,N,False,6.2132,5.7691,1.7329,1.0432,5.173
2355,N,False,80.68,116.16,103.94,110.6,91.395
2356,N,False,0.54187,1.4642,4.8495,6.1414,4.948
2357,N,False,13.964,11.109,9.4895,6.1362,2.8935
2358,N,False,17.58,18.303,24.518,25.615,23.875
2359,N,False,6.125,5.9907,7.5622,3.8219,4.5239
2360,N,False,8.7437,10.007,9.4386,7.1484,10.377
2361,N,False,11.619,6.9984,7.1246,10.291,8.7823
2362,N,False,12.725,14.125,10.331,8.9777,10.351
2363,N,False,6.3782,5.1224,5.3768,7.6051,3.1264
2364,N,False,2.4843,11.527,12.028,11.102,9.5107
2365,N,False,17.61,20.272,21.928,20.854,19.494
2366,N,False,9.6943,5.7498,5.6597,5.7582,8.7141
2367,N,False,80.998,83.423,83.46,85.47,89.166
2368,N,False,2.6771,3.937,0.75643,0.98651,1.8285
2369,N,False,9.7987,10.787,9.5715,8.7811,5.5984
2370,N,False,12.584,11.042,19.084,12.463,8.9565
2371,N,False,0.8092,2.2474,0.17866,0.87511,0.58881
2372,N,False,57.71,52.045,47.015,43.999,44.712
2373,N,False,0.098779,0.72682,2.7533,0.28331,6.2345
2374,N,False,3.0708,5.8562,3.6538,5.5467,2.3735
2375,N,False,11.261,13.178,10.204,8.8621,5.3264
2376,N,False,2.8605,3.8774,6.2152,2.2184,2.9539
2377,N,False,7.6242,7.58,3.9328,2.5465,3.2848
2378,N,False,19.628,20.1,20.591,21.873,28.076
2379,N,False,16.856,21.098,16.258,11.795,21.579
2380,N,False,3.2286,4.1765,4.2046,4.0866,4.3752
2381,N,False,6.6121,9.5074,6.8465,10.533,5.93
2382,N,False,16.697,18.013,20.765,15.796,18.225
2383,N,False,18.462,19.17,16.839,17.888,18.127
2384,N,False,30.71,31.505,29.928,29.243,25.683
2385,N,False,8.1784,7.5996,8.8587,13.831,11.746
2386,N,False,3.6738,5.3399,0.82502,0.27153,2.4066
2387,N,False,21.165,19.308,21.266,20.394,23.544
2388,N,False,15.797,12.422,18.301,17.754,21.193
2389,N,False,9.254,10.045,8.6206,8.4499,6.3507
2390,N,False,0.21232,3.5971,0.11459,2.9992,0.99581
2391,N,False,19.613,17.944,15.747,18.823,16.244
2392,N,False,8.6516,8.4902,8.8223,7.8574,8.9351
2393,N,False,1.6321,1.4809,2.3178,0.00034319,1.4216
2394,N,False,8.786,11.396,12.242,13.98,14.104
2395,N,False,3.4476,0.46567,2.3112,4.2155,7.4089
2396,N,False,13.223,14.743,16.567,15.776,12.737
2397,N,False,64.098,69.351,66.495,67.233,69.352
2398,N,False,0.29814,1.134,3.045,0.9467,3.0326
2399,N,False,1.5813,0.33307,1.2332,1.8519,2.1067
2400,N,False,84.154,72.238,90.825,73.007,79.354
2401,N,False,23.831,26.816,28.437,22.307,30.812
2402,N,False,0.044964,0.12539,0.24774,0.15545,0.9742
2403,N,False,7.9442,8.4996,7.2019,5.6677,4.668
2404,N,False,6.4961,1.4296,11.095,13.328,10.889
2405,N,False,21.504,21.746,25.332,17.453,22.799
2406,N,False,23.752,14.854,28.142,27.398,34.14
2407,N,False,57.85,66.298,58.227,56.734,53.785
2408,N,False,1.5519,0.60413,0.62241,1.3956,0.039341
2409,N,False,0.57004,1.0462,0.82322,1.6363,1.1597
2410,N,False,1.5647,5.0997,7.2093,5.5677,1.0382
2411,N,False,283.48,312.43,335.35,350.19,355.68
2412,N,False,19.809,18.559,20.503,17.706,23.109
2413,N,False,34.523,35.879,33.69,32.193,30.491
2414,N,False,13.096,10.997,13.659,16.148,19.022
2415,N,False,315.16,322.7,343.59,333.19,339.86
2416,N,False,11.185,0.4352,7.7713,4.5577,9.8975
2417,N,False,0.20008,0.74492,1.5985,1.4757,4.2648
2418,N,False,1.4835,1.7068,4.1344,6.1628,0.0064949
2419,N,False,14.43,12.59,3.6993,4.8064,6.7178
2420,N,False,91.131,93.527,90.49,93.108,93.337
2421,N,False,23.543,19.014,19.789,17.775,18.517
2422,N,False,31.435,28.463,29.256,30.224,30.041
2423,N,False,563.47,550.45,557.13,557.22,567.77
2424,N,False,43.771,38.028,42.381,39.623,40.301
2425,N,False,3.9374,4.3237,5.595,7.8233,9.3957
