,FLARE_TYPE,COINCIDENCE,TOTUSJH_1,TOTUSJH_2,TOTUSJH_3,TOTUSJH_4,TOTUSJH_5
1632,B,False,72.972,68.468,71.106,68.172,71.895
1633,B,False,720.76,720.68,735.57,745.91,751.31
1634,B,False,342.77,335.85,347.39,336.0,332.38
1635,B,False,29.997,54.384,56.737,64.113,73.426
1636,B,False,818.66,814.86,826.38,845.24,832.26
1637,B,False,393.5,401.7,392.96,394.12,382.8
1638,B,False,1414.9,1411.9,1391.5,1375.1,1342.0
1639,B,False,99.303,99.414,103.82,101.9,105.61
1640,B,False,73.846,74.801,70.648,69.275,71.222
1641,B,False,1009.6,998.4,1010.7,1026.1,1036.8
1642,B,False,12.912,13.017,13.108,13.641,14.574
1643,B,False,1070.0,1071.7,1073.1,1053.3,1052.2
1644,B,False,528.27,526.04,534.74,537.67,551.5
1645,B,False,1185.3,1187.2,1187.7,1199.6,1195.5
1646,B,False,291.78,291.76,278.59,276.69,255.79
1647,B,False,497.21,491.15,495.09,502.15,509.19
1648,B,False,530.41,539.65,527.43,518.42,515.51
1649,B,False,965.75,974.45,980.26,985.03,977.76
1650,B,False,42.624,42.996,41.295,41.379,41.753
1651,B,True,340.7,273.23,326.85,328.53,323.34
1652,B,False,266.04,273.42,273.29,288.98,299.03
1653,B,False,1183.3,1184.3,1172.3,1177.9,1169.5
1654,B,False,1286.5,1268.3,1277.9,1296.0,1312.3
1655,B,False,416.56,428.05,428.89,422.48,414.37
1656,B,False,539.53,540.23,524.93,528.09,529.27
1657,B,False,116.68,116.73,120.07,120.58,125.45
1658,B,False,97.932,97.353,101.43,99.9,107.32
1659,B,False,116.93,127.71,133.78,148.94,143.37
1660,B,False,220.49,217.3,230.58,234.61,228.94
1661,B,False,227.02,221.16,211.6,223.11,218.42
1662,B,False,202.36,215.78,217.09,205.57,197.47
1663,B,False,905.83,889.97,911.69,909.11,921.55
1664,B,False,132.77,136.62,134.32,134.24,129.61
1665,B,False,815.39,823.5,819.38,828.83,818.32
1666,B,False,111.22,110.03,105.81,106.29,108.82
1667,B,False,739.6,742.57,751.51,753.96,771.91
1668,B,True,342.1,341.22,344.38,341.09,338.29
1669,B,True,509.68,521.48,501.45,491.01,476.01
1670,B,False,1143.6,1157.3,1136.7,1128.6,1117.8
1671,B,False,256.63,259.51,250.97,244.77,251.76
1672,B,False,930.27,923.15,945.38,931.44,928.31
1673,B,False,366.02,384.25,383.8,382.32,363.6
1674,B,False,994.52,997.52,1000.3,1017.6,1026.6
1675,B,False,289.99,285.97,294.42,293.26,285.54
1676,B,False,326.02,347.6,337.39,335.96,349.0
1677,B,False,1161.1,1180.5,1152.7,1162.6,1159.2
1678,B,True,215.18,212.82,214.34,203.66,202.31
1679,B,False,678.19,683.72,667.48,652.67,656.5
1680,B,False,1377.1,1381.7,1368.4,1359.7,1352.0
1681,B,False,95.264,99.417,93.733,98.919,118.45
1682,B,False,214.14,209.28,201.52,201.94,193.34
1683,B,False,791.93,795.51,804.5,810.82,816.84
1684,B,False,530.59,516.37,526.84,538.89,523.01
1685,B,False,403.18,367.9,357.04,344.5,354.97
1686,B,False,481.85,469.14,471.0,469.66,465.83
1687,B,False,187.88,190.49,189.34,189.39,191.5
1688,B,False,205.46,188.65,178.11,188.71,199.84
1689,B,False,876.86,898.55,924.89,922.13,926.38
1690,B,False,36.928,43.899,47.149,49.992,53.168
1691,B,False,456.54,459.72,470.7,477.3,488.72
1692,B,False,1031.1,1011.6,1008.8,998.36,999.15
1693,B,False,327.45,333.53,340.47,331.84,340.37
1694,B,False,823.29,840.89,833.82,826.35,843.24
1695,B,False,191.48,189.69,198.26,191.95,199.61
1696,B,False,1036.9,1003.6,1000.2,971.41,959.55
1697,B,True,576.44,567.1,559.12,560.12,545.33
1698,B,False,285.12,294.27,281.82,284.42,279.41
1699,B,False,576.86,575.74,591.08,588.17,593.77
1700,B,False,71.503,68.272,65.785,68.302,73.474
1701,B,False,164.61,166.22,162.5,158.85,158.6
1702,B,False,468.96,459.74,459.98,474.71,455.47
1703,B,False,266.74,253.68,247.48,250.57,254.3
1704,B,False,516.88,500.92,492.45,477.01,468.83
1705,B,True,102.71,106.34,108.91,102.36,100.81
1706,B,False,439.91,478.1,478.41,527.15,549.43
1707,B,False,98.024,102.39,112.88,111.39,124.71
1708,B,False,209.29,211.53,217.43,231.94,232.47
1709,B,False,1356.3,1337.5,1322.8,1338.3,1317.4
1710,B,False,512.84,526.94,506.44,501.54,499.68
