,FLARE_TYPE,COINCIDENCE,MEANJZH_1,MEANJZH_2,MEANJZH_3,MEANJZH_4,MEANJZH_5
1941,N,False,-0.0013485,-0.00091468,-0.0017489,-0.0027868,-0.002926
1942,N,False,-0.0018298,-2.3099e-05,-0.002751,-0.0045798,-0.0064122
1943,N,False,-0.00035712,-0.00026138,-0.0010973,-0.00071205,0.00028455
1944,N,False,-0.0093393,-0.0094867,-0.0093098,-0.0092838,-0.0095321
1945,N,False,-0.0030786,-0.0053719,-0.0066525,-0.0074542,-0.0045409
1946,N,False,0.0021522,0.001938,0.0019909,0.0011825,0.0011749
1947,N,False,-0.0072997,-0.0084547,-0.0018696,0.0011564,-0.0039159
1948,N,False,-0.018701,-0.015492,-0.01388,-0.019484,-0.022106
1949,N,False,-0.016962,-0.01677,-0.016662,-0.01647,-0.016102
1950,N,False,0.00083547,0.0025422,0.0027412,0.0004833,0.0012766
1951,N,False,0.0013764,0.0011021,0.00050724,0.0010331,0.00062618
1952,N,False,0.0072925,0.005717,0.005307,0.0045708,0.0051234
1953,N,False,0.014553,0.013716,0.013697,0.01439,0.012476
1954,N,False,-0.010933,-0.017169,-0.016764,-0.01149,-0.018884
1955,N,False,0.0051316,0.0048997,0.005002,0.0050579,0.0043276
1956,N,False,0.0031804,0.0032839,0.002656,0.0033027,0.0033646
1957,N,False,6.481e-05,-0.00050443,-0.001139,0.0011951,-0.00053264
1958,N,False,0.00398,0.0040602,0.004125,0.0056839,0.0051351
1959,N,False,-0.00080725,-0.00045772,-0.00072217,-0.00093566,-0.0012248
1960,N,False,-0.0081361,-0.0084101,-0.0080746,-0.0094389,-0.0096811
1961,N,False,0.0018383,0.0016015,0.0018377,0.0024313,0.0016882
1962,N,False,0.0049562,0.0050852,0.0030765,0.0040369,0.0024634
1963,N,False,-0.0030726,-0.0031225,-0.0029404,-0.0023546,-0.0027122
1964,N,False,-0.0025444,-0.0029038,-0.0031827,-0.0026239,-0.002132
1965,N,False,-0.0023077,-0.0017108,-0.0022647,-0.0017942,-0.0018378
1966,N,False,0.010081,0.010648,0.012407,0.0095863,0.010128
1967,N,False,-0.0014419,-0.0013256,-0.00079596,-0.00068997,-0.0015126
1968,N,False,0.00096408,0.0017273,0.0018147,0.0019718,0.0026185
1969,N,False,0.00096408,0.0017273,0.0018147,0.0019718,0.0026185
1970,N,False,0.010163,0.009709,0.0089324,0.0086792,0.0093114
1971,N,False,-0.0056136,-0.0069507,-0.0072075,-0.0076746,-0.0075621
1972,N,False,9.4255e-05,0.00012994,0.00025519,-4.3889e-05,-9.4919e-05
1973,N,False,-0.007866,-0.0069069,-0.0050735,-0.0076678,-0.0031062
1974,N,False,-0.0011358,4.7696e-05,0.00043807,-0.00056155,0.00071364
1975,N,False,-0.00079278,-0.00044803,-0.00059581,-0.00020975,-7.7474e-05
1976,N,False,-0.0063625,-0.0062459,-0.006162,-0.0062184,-0.0059483
1977,N,False,0.0027918,0.0028832,0.0026458,0.0022737,0.0018028
1978,N,False,-0.006514,-0.0064759,-0.0018381,-0.0043585,-0.0044883
1979,N,False,0.0018144,0.0023087,0.0020869,0.0025831,0.0024361
1980,N,False,0.0018144,0.0023087,0.0020869,0.0025831,0.0024361
1981,N,False,-0.0059805,-0.0038329,-0.0052015,-0.0055742,-0.0046332
1982,N,False,-0.0059805,-0.0038329,-0.0052015,-0.0055742,-0.0046332
1983,N,False,0.001781,0.0018263,-1.8668e-05,0.00090817,0.00072371
1984,N,False,0.0019927,0.0018335,0.001842,0.0019672,0.0021084
1985,N,False,-0.0028161,-0.0026295,-0.0032963,-0.004438,-0.0040865
1986,N,False,0.0030765,0.0032386,0.0036794,0.003581,0.0031386
1987,N,False,-0.0052069,-0.0059504,-0.005914,-0.0057367,-0.0055112
1988,N,False,0.0088959,0.007907,0.0070423,0.010358,0.012231
1989,N,False,0.0023207,-0.0011974,6.5569e-05,-0.0019914,-0.0030814
1990,N,False,-0.0073187,-0.0097164,-0.0082038,-0.01293,-0.011726
1991,N,False,0.0032298,0.0016312,0.0023378,0.00032549,0.0014827
1992,N,False,-0.0093513,-0.0093722,-0.0097408,-0.01022,-0.01078
1993,N,False,0.0038639,0.0030895,0.0014594,0.00072604,0.0010622
1994,N,False,-0.012725,-0.012967,-0.012518,-0.012554,-0.01199
1995,N,False,-0.018402,-0.019188,-0.019934,-0.019201,-0.016987
1996,N,False,0.00013676,-0.00028897,0.00039144,0.00074344,0.00075776
1997,N,False,-0.0006766,0.002893,-0.0014794,-0.0068337,-0.0027211
1998,N,False,0.0013025,-0.00084948,-0.00043568,-2.0294e-05,-0.00094677
1999,N,False,0.0045055,0.0034374,0.0028325,0.002748,0.0019645
2000,N,False,0.011128,0.010976,0.011343,0.010699,0.0075684
2001,N,False,0.008554,0.0071788,0.0078118,0.0043917,0.0061641
2002,N,False,0.0034686,0.0039545,0.002817,0.0044541,0.0040021
2003,N,False,-0.0021618,-0.0037439,-0.0023022,-0.00077575,-0.0019524
2004,N,False,-0.014815,-0.015662,-0.016826,-0.016398,-0.016747
2005,N,False,0.0070167,0.0064553,0.0058548,0.0045311,0.0047202
2006,N,False,0.00116,0.00053964,-0.0010154,-0.0039404,-0.0055097
2007,N,False,0.00073293,0.0018459,0.0017186,0.0021327,0.0018816
2008,N,False,0.0091909,0.0085446,0.0081715,0.0073205,0.006722
2009,N,False,-0.0058485,-0.0058852,-0.0027339,-0.0054766,-0.0015013
2010,N,False,-0.004948,-0.0030082,-0.0025453,-0.0040676,-0.002331
2011,N,False,0.0023223,0.0011234,0.0025454,0.0016008,0.0018598
2012,N,False,-0.00031235,0.00048459,0.00011179,-0.00066533,0.00077791
2013,N,False,0.0059763,0.0056675,0.0058036,0.0049735,0.0051
2014,N,False,0.0059763,0.0056675,0.0058036,0.0049735,0.0051
2015,N,False,0.01789,0.0046779,0.0086417,0.0074434,0.0018166
2016,N,False,9.5482e-05,-0.00072043,5.0864e-05,-5.9005e-06,0.0017244
2017,N,False,-0.0042936,-0.0046436,-0.0038081,-0.0041345,-0.0044417
