,FLARE_TYPE,COINCIDENCE,slf_1,slf_2,slf_3,slf_4,slf_5
251,M,False,4.9591,4.3456,4.1012,4.652,4.5223
252,M,False,36.792,36.861,35.777,36.039,38.611
253,M,False,31.43,31.463,32.801,32.309,32.893
254,M,False,9.8078,9.732,9.6071,9.6201,10.07
255,M,False,11.144,11.343,11.331,11.219,11.005
256,M,False,10.483,10.404,10.375,10.359,10.165
257,M,False,11.941,12.237,12.588,12.404,12.503
258,M,False,20.594,20.294,20.608,21.039,20.892
259,M,False,27.628,27.337,27.869,25.803,26.47
260,M,True,16.632,16.689,16.946,16.703,17.183
261,M,False,17.504,17.25,16.914,16.965,16.972
262,M,False,3.9599,4.0947,3.9781,4.041,4.0762
263,M,False,0.0,0.0,0.0,0.0,0.0
264,M,False,12.822,12.861,12.75,12.825,12.693
265,M,False,18.304,18.02,17.87,17.952,18.294
266,M,False,45.868,57.848,60.997,50.107,54.417
267,M,False,101.82,0.0,0.0,0.0,93.844
268,M,False,44.53,43.544,45.294,45.523,40.298
269,M,False,31.212,31.817,32.169,32.267,32.205
270,M,True,5.1282,4.997,4.864,4.7538,4.8087
271,M,False,4.7538,4.8087,4.6707,3.5194,3.6407
272,M,False,18.952,20.128,19.767,21.691,22.306
273,M,False,25.608,26.333,27.071,26.307,26.457
274,M,True,27.492,26.991,27.231,27.733,27.961
275,M,False,27.128,27.206,27.164,27.546,27.602
276,M,True,17.72,17.409,17.842,17.469,19.965
277,M,False,11.313,11.394,11.359,11.51,11.319
278,M,True,11.123,11.104,10.784,10.972,11.02
279,M,True,9.4941,9.4657,9.3487,9.3687,9.162
280,M,False,8.9011,8.9559,8.9516,8.9109,8.9523
281,M,False,8.9516,8.9109,8.9523,8.7674,8.8358
282,M,False,18.99,19.091,19.634,20.325,20.075
283,M,False,8.6303,8.7089,8.6722,8.7236,8.8131
284,M,False,8.7236,8.8131,8.8357,8.8025,8.8607
285,M,True,4.3915,4.3923,1.8284,1.724,3.4265
286,M,True,17.918,21.008,23.044,32.251,27.505
287,M,True,11.464,11.337,11.408,11.081,11.307
288,M,False,5.6085,5.5294,5.8321,5.6421,5.8927
289,M,False,6.602,6.522,6.3192,7.1405,7.1534
290,M,False,6.4887,8.9714,8.8294,9.0387,9.4294
291,M,False,5.4502,5.5694,5.5508,5.3943,5.4192
292,M,True,14.567,14.785,14.716,14.593,14.596
293,M,False,12.102,12.297,12.254,12.085,12.547
294,M,False,26.314,26.316,26.334,26.393,26.246
295,M,False,13.03,12.935,12.837,12.626,13.077
296,M,True,7.7652,7.6836,7.6395,7.6707,7.6635
297,M,False,7.6395,7.6707,7.6635,7.67,7.723
298,M,False,12.968,13.141,13.078,13.125,12.932
299,M,False,87.035,105.03,102.11,104.36,105.18
300,M,False,11.217,11.405,11.284,11.349,11.172
301,M,True,12.009,12.068,12.107,12.147,12.165
302,M,False,12.095,12.215,12.248,12.116,12.066
303,M,True,14.081,13.899,13.693,13.759,13.856
304,M,True,11.772,11.593,11.546,11.598,11.379
305,M,True,11.155,11.318,11.338,11.334,11.136
306,M,True,10.677,10.708,10.687,10.683,10.683
307,M,True,11.336,11.366,11.533,11.409,11.511
308,M,False,9.4432,9.4832,9.341,8.8967,8.8605
309,M,False,7.6135,8.5938,8.0852,7.5576,7.7046
310,M,False,24.141,23.467,23.51,23.623,24.019
311,M,False,2.7417,2.7472,2.5407,2.5873,2.7247
312,M,True,8.7515,8.9826,8.9662,9.0497,9.0497
313,M,True,10.63,11.001,10.854,11.02,11.162
314,M,False,9.1579,9.3051,9.4374,9.6806,9.6543
315,M,False,12.456,9.6624,12.899,8.076,7.0005
316,M,True,2.8522,2.9079,2.6708,4.845,3.0026
317,M,False,2.3896,2.3889,2.3451,2.3488,2.3413
318,M,False,29.211,28.151,29.393,28.396,29.834
319,M,True,25.253,27.109,28.457,29.617,29.166
320,M,False,46.052,43.448,46.232,42.343,42.636
321,M,True,17.904,18.166,18.02,18.16,18.193
322,M,False,18.16,18.193,17.879,17.777,17.613
323,M,False,40.001,40.158,40.246,40.078,39.601
324,M,True,18.187,18.373,18.422,18.392,18.19
325,M,False,18.463,18.646,18.213,17.84,18.342
326,M,False,18.884,18.477,19.009,19.427,19.186
327,M,False,17.704,17.694,17.655,17.254,17.261
328,M,False,14.757,14.601,14.364,15.349,15.04
329,M,True,12.939,12.846,12.762,13.061,12.929
330,M,False,19.287,18.968,19.017,18.969,19.403
331,M,True,3.1994,2.4381,2.3339,2.1449,2.5092
332,M,True,18.333,20.203,17.728,19.307,19.306
333,M,True,12.654,12.557,12.21,12.099,11.789
334,M,False,27.972,28.128,28.15,28.015,27.88
335,M,False,21.991,24.781,24.32,23.845,25.572
336,M,False,32.212,32.225,32.951,30.028,23.549
337,M,False,13.188,13.249,13.513,13.376,13.391
338,M,True,9.1305,9.0991,9.0977,9.1321,9.118
339,M,False,0.0,0.0,0.0,0.0,0.0
340,M,False,12.746,15.513,13.054,12.797,12.588
341,M,False,4.7027,5.9109,6.3972,6.2837,5.7916
342,M,False,9.2071,8.4407,9.2856,9.7114,10.655
343,M,False,7.0375,2.855,3.9775,2.8186,2.8927
344,M,False,2.5572,2.9476,2.6078,2.5862,5.3363
345,M,False,11.172,10.955,10.524,10.826,8.8928
346,M,False,4.7565,5.1398,5.5921,5.7626,5.9318
347,M,True,20.63,12.679,17.748,20.37,17.817
348,M,False,21.339,18.837,18.251,19.38,14.859
349,M,False,18.485,11.124,16.12,18.453,19.448
350,M,True,8.0321,7.9871,7.9396,7.9797,7.8434
351,M,False,7.7271,7.6844,7.6201,7.5185,7.4963
352,M,True,24.513,24.619,24.539,24.031,24.024
353,M,True,5.7769,5.7565,5.738,5.76,5.6939
354,M,False,5.6764,5.6668,5.642,5.5894,5.6312
355,M,False,5.433,5.4468,5.4417,5.4019,5.3595
356,M,False,20.286,20.037,19.918,20.1,19.848
357,M,False,5.1806,5.2065,5.2227,5.1682,5.1934
358,M,False,5.1211,5.1436,5.1614,5.0938,5.1103
359,M,False,16.851,16.769,16.743,16.897,17.25
360,M,True,4.4573,4.4577,4.4694,4.4769,4.4785
361,M,False,6.3413,6.36,6.4195,6.139,6.1849
362,M,False,6.3665,6.4282,6.3524,6.3383,6.3995
363,M,False,7.7077,7.6572,7.7002,7.6734,7.7639
364,M,True,9.9042,9.8493,9.9224,9.8376,9.9671
365,M,False,10.322,10.434,10.363,10.276,4.8038
366,M,False,8.3417,8.2149,8.4767,8.484,8.4344
367,M,True,32.78,32.417,32.078,32.285,32.094
368,M,True,28.391,28.182,28.651,28.116,28.433
369,M,True,22.825,22.553,22.629,22.696,22.312
370,M,True,19.717,19.822,19.823,19.867,19.465
371,M,True,17.251,17.268,17.178,17.156,17.117
372,M,True,14.835,14.781,14.992,14.483,14.489
373,M,True,14.512,14.746,14.941,14.923,14.765
374,M,False,14.794,14.659,14.373,14.721,14.668
375,M,False,14.314,14.388,14.376,14.207,14.106
376,M,True,10.301,10.252,10.293,10.443,10.577
377,M,False,10.572,10.302,10.37,10.272,10.235
378,M,False,10.123,10.142,10.271,10.149,10.197
379,M,False,9.8669,9.8544,9.9713,9.9354,9.7705
380,M,False,13.314,13.254,13.361,13.586,13.78
381,M,False,9.1018,9.1647,9.1893,0.0,0.0
382,M,False,20.89,19.24,21.597,21.481,21.213
383,M,False,17.733,17.85,18.284,18.487,18.278
384,M,False,88.042,90.18,83.952,86.001,84.108
385,M,False,0.0,0.0,0.0,0.0,0.0
386,M,False,154.64,157.27,155.53,149.71,152.12
387,M,False,15.749,15.81,15.773,15.955,16.107
388,M,True,8.5994,13.739,10.971,25.561,30.254
389,M,True,0.0,0.0,0.0,0.0,0.0
390,M,True,37.78,37.49,35.363,32.346,31.996
391,M,False,34.8,34.112,26.568,29.14,27.317
392,M,False,22.118,22.08,22.769,23.206,23.246
393,M,False,18.384,18.132,18.632,17.919,17.463
394,M,True,18.422,18.675,18.756,19.025,18.675
395,M,False,19.551,19.651,20.967,20.692,20.199
396,M,False,7.8907,4.6883,11.765,7.3979,5.8456
397,M,True,15.946,16.062,16.068,16.22,16.299
398,M,True,24.298,24.45,20.3,20.059,20.272
399,M,False,71.743,77.884,74.736,69.339,61.151
400,M,False,122.14,120.45,120.51,120.05,115.97
401,M,False,14.606,14.316,14.331,14.441,14.301
402,M,True,30.839,30.548,31.186,30.78,31.02
403,M,False,30.755,30.514,30.688,30.778,30.6
404,M,False,6.4293,6.5934,6.7751,6.9128,6.9352
405,M,False,5.7142,5.5968,5.7712,5.8091,5.8302
406,M,False,99.744,95.018,98.268,0.0,99.931
407,M,False,50.466,50.937,53.876,51.269,53.344
408,M,False,11.455,11.598,11.509,11.734,12.042
409,M,True,19.825,20.164,20.304,20.311,20.348
410,M,False,44.987,46.005,48.055,49.136,52.655
411,M,False,33.269,35.069,34.594,34.377,34.768
412,M,False,23.508,23.513,23.554,23.543,23.494
413,M,False,60.246,59.965,58.567,57.707,57.981
414,M,False,10.758,10.853,10.81,10.99,10.946
415,M,True,7.7897,8.9796,10.769,10.055,27.793
416,M,True,32.88,62.178,66.137,64.769,60.554
417,M,True,57.913,57.23,56.918,54.113,53.673
418,M,True,12.386,12.601,12.596,12.6,12.731
419,M,True,68.678,73.38,73.281,76.364,72.125
420,M,False,91.623,90.98,87.139,92.743,86.535
421,M,False,12.425,11.912,11.315,11.259,10.889
422,M,False,95.8,92.934,97.041,99.932,103.45
423,M,False,15.027,14.761,14.734,14.979,14.789
424,M,False,87.95,97.008,98.506,102.99,104.36
425,M,False,6.0049,5.9216,5.7712,5.4203,5.369
426,M,False,62.402,64.513,65.795,65.873,63.364
427,M,False,102.7,98.812,97.31,84.675,81.849
428,M,True,11.55,11.167,11.043,10.999,10.378
429,M,False,11.875,11.965,12.473,12.14,13.001
430,M,False,60.449,60.146,60.809,60.026,60.632
431,M,False,41.722,41.981,41.405,40.579,41.574
432,M,False,42.743,42.446,43.154,43.25,43.013
433,M,True,290.47,284.22,283.9,279.51,276.85
434,M,False,283.9,279.51,276.85,200.92,174.12
435,M,False,149.97,121.32,235.97,144.3,183.21
436,M,True,3.1907,3.8771,1.1685,4.3261,1.507
437,M,True,6.7644,6.942,7.0022,6.6322,6.9962
438,M,False,5.604,5.4761,5.4983,5.388,5.2917
439,M,False,5.4018,5.3169,5.432,5.36,5.3876
440,M,False,5.3876,5.3037,5.3703,5.276,5.2546
441,M,False,5.1667,5.1865,5.0179,5.0836,5.1836
442,M,True,4.458,4.3415,4.4294,4.3684,4.3415
443,M,False,4.2451,4.315,4.2255,4.3076,4.2549
444,M,True,4.7976,4.7487,4.8167,4.7991,4.7967
445,M,True,4.7268,4.754,4.7413,4.7379,4.8267
446,M,True,5.564,5.656,5.6358,5.7172,5.724
447,M,False,5.6358,5.7172,5.724,5.6613,5.6303
448,M,False,5.5942,5.6707,5.7489,5.6241,5.643
449,M,False,5.7502,5.6441,5.6492,5.7274,5.6908
450,M,False,5.6164,5.6611,5.7028,5.6864,5.6014
451,M,True,5.6897,5.722,5.6786,5.6588,5.6853
452,M,False,5.6854,5.687,5.744,5.6988,5.7095
453,M,False,5.8343,5.7876,5.8513,5.8018,5.8442
454,M,False,6.0175,5.7228,6.0019,6.012,5.9502
455,M,False,5.9444,6.0,6.0093,5.9448,5.9423
456,M,True,5.9147,5.9332,5.9778,6.0106,5.3836
457,M,True,6.4311,6.4361,4.2277,4.209,4.1422
458,M,False,4.1697,3.9737,3.9315,4.1212,4.843
459,M,False,9.5364,13.597,14.208,13.201,12.869
460,M,False,16.286,14.605,16.756,17.05,16.55
461,M,False,13.773,13.61,15.112,14.242,15.527
462,M,False,16.325,16.191,14.242,17.239,14.336
463,M,False,13.595,14.08,14.818,13.293,14.984
464,M,False,14.984,15.015,13.036,12.593,13.831
465,M,False,13.865,13.877,14.467,14.379,12.977
466,M,True,67.001,70.762,75.971,76.785,76.693
467,M,False,66.416,62.732,67.977,61.483,62.158
468,M,True,38.607,49.705,48.558,57.505,47.871
469,M,True,57.489,45.35,21.902,21.5,20.797
470,M,True,14.48,14.971,14.977,14.742,14.938
