,FLARE_TYPE,COINCIDENCE,ABSNJZH_1,AREA_ACR_1,MEANGAM_1,MEANGBH_1,MEANGBT_1,MEANGBZ_1,MEANJZD_1,MEANJZH_1,MEANPOT_1,MEANSHR_1,R_VALUE_1,SAVNCPP_1,SHRGT45_1,TOTPOT_1,TOTUSJH_1,TOTUSJZ_1,USFLUX_1,d_l_f_1,g_s_1,slf_1,ABSNJZH_2,AREA_ACR_2,MEANGAM_2,MEANGBH_2,MEANGBT_2,MEANGBZ_2,MEANJZD_2,MEANJZH_2,MEANPOT_2,MEANSHR_2,R_VALUE_2,SAVNCPP_2,SHRGT45_2,TOTPOT_2,TOTUSJH_2,TOTUSJZ_2,USFLUX_2,d_l_f_2,g_s_2,slf_2,ABSNJZH_3,AREA_ACR_3,MEANGAM_3,MEANGBH_3,MEANGBT_3,MEANGBZ_3,MEANJZD_3,MEANJZH_3,MEANPOT_3,MEANSHR_3,R_VALUE_3,SAVNCPP_3,SHRGT45_3,TOTPOT_3,TOTUSJH_3,TOTUSJZ_3,USFLUX_3,d_l_f_3,g_s_3,slf_3,ABSNJZH_4,AREA_ACR_4,MEANGAM_4,MEANGBH_4,MEANGBT_4,MEANGBZ_4,MEANJZD_4,MEANJZH_4,MEANPOT_4,MEANSHR_4,R_VALUE_4,SAVNCPP_4,SHRGT45_4,TOTPOT_4,TOTUSJH_4,TOTUSJZ_4,USFLUX_4,d_l_f_4,g_s_4,slf_4
1680,B,False,7.982200000000001,37.3258,48.723400000000005,101.9308,154.93200000000002,154.806,0.467936,0.0080786,5176.56,31.056400000000004,0.41768,393328000000.0,14.402199999999999,6.838839999999999e+21,82.04659999999998,1240360000000.0,7.17094e+20,0.0,0.0,0.0,13.185,37.753,49.14175,98.4555,148.92749999999998,149.12,0.552785,0.01278375,5313.25,32.742000000000004,0.0,504095000000.0,16.41225,7.217925e+21,75.67175,1183100000000.0,7.257724999999999e+20,70.75825,94.16025,22.281000000000002,16.5765,39.13850000000001,51.26675,99.31349999999999,147.42249999999999,144.565,0.9225275,0.01581,5513.275,33.400499999999994,0.0,597340000000.0,18.43625,7.721150000000001e+21,65.59049999999999,1153100000000.0,7.334324999999999e+20,100.14375,111.4425,28.614000000000004,13.128,44.151599999999995,52.8806,95.8108,139.85399999999998,134.17600000000002,0.31916120000000003,0.01040102,4967.639999999999,34.7444,0.9921,283549800000.0,21.9976,8.407999999999999e+21,67.4372,1330980000000.0,7.832859999999999e+20,103.548,122.40599999999999,27.669
1681,B,False,3.8878500000000003,294.1325,34.7775,53.865249999999996,115.15500000000002,117.6025,0.0266698,7.960250000000001e-05,3341.225,27.941249999999997,3.927725,1521425000000.0,12.925,6.123025e+22,641.5,12621000000000.0,9.311400000000001e+21,79.1265,339.2775,13.42575,3.7084025,307.5525,35.44275,53.422250000000005,113.2775,115.8075,0.085913425,0.0002613655,3436.5,21.39075,3.98815,2201100000000.0,13.6995,6.446025e+22,646.16,12830000000000.0,9.484375e+21,77.74475,327.055,12.988,5.78566,311.428,36.0286,54.1668,115.34200000000001,117.34400000000001,0.021945078,0.000406218,3513.0600000000004,29.0214,4.0209,1696582000000.0,14.918000000000001,6.6541200000000006e+22,658.342,13089600000000.0,9.62582e+21,83.7018,652.392,14.7212,6.93947,315.65,37.215199999999996,55.1866,115.032,116.98200000000001,0.00504224,0.0004673918,3576.7599999999998,29.974,3.8807799999999992,1409564000000.0,16.2424,6.82164e+22,685.134,13499400000000.0,9.693719999999998e+21,80.034,847.232,14.4118
1682,B,False,17.494999999999997,333.23199999999997,41.5012,64.572,122.19800000000001,127.13200000000002,0.044319000000000004,-0.001255708,4454.32,33.8074,4.05648,832308000000.0,23.7006,8.24536e+22,839.6199999999999,16560400000000.0,9.4388e+21,130.25799999999998,1841.8399999999997,20.324400000000004,17.770719999999997,338.108,42.27740000000001,63.6914,119.644,123.95599999999999,0.05132380000000001,-0.0012625380000000001,4474.46,27.528999999999996,3.99374,875746000000.0,25.3242,8.3831e+22,833.3340000000001,16478000000000.0,9.410379999999999e+21,145.93200000000002,2482.74,21.4216,27.53,351.34000000000003,42.4524,63.776599999999995,119.98800000000001,124.05199999999999,-0.04898999999999999,-0.0019016699999999998,4586.78,34.6734,4.021939999999999,1437908000000.0,25.666199999999996,8.8273e+22,856.492,17148600000000.0,9.60994e+21,144.92800000000003,3443.1400000000003,19.1954,41.67059999999999,355.93600000000004,42.3578,64.1092,120.022,124.35999999999999,0.0273802,-0.0029273199999999997,4767.46,34.768,4.12598,718594000000.0,26.227999999999998,9.01144e+22,855.3299999999999,17034400000000.0,9.611860000000002e+21,141.47599999999997,3453.12,17.410800000000002
1686,B,False,96.39150000000001,954.935,43.138000000000005,52.9675,114.445,116.41,-0.104828,-0.00366715,7652.0,35.992999999999995,3.9654,4655550000000.0,28.584,2.67165e+23,1169.0,25541500000000.0,1.6938000000000002e+22,85.9745,2496.6000000000004,7.7334499999999995,108.13650000000001,964.6025,42.85175,51.568,111.35,113.8725,0.0239625,-0.003860325,7338.325,35.927,3.9329750000000003,6330525000000.0,28.07575,2.71945e+23,1177.625,26310750000000.0,1.753125e+22,102.11625000000001,2910.075,9.1732,106.798,960.426,43.4566,51.3648,110.174,111.7,0.1020692,-0.0036922400000000003,7048.32,36.232,3.7678400000000005,6851720000000.0,28.760399999999997,2.7084400000000003e+23,1166.52,26095000000000.0,1.76664e+22,103.82740000000001,2782.48,9.20206,119.27,969.5475,43.54275,53.06075,111.1025,111.15,0.06171825,-0.004215725,7215.174999999999,36.079499999999996,3.787325,5898825000000.0,28.42575,2.709775e+23,1154.0500000000002,25401250000000.0,1.731975e+22,114.5325,3372.4500000000003,10.08645
1687,B,False,37.662400000000005,433.416,45.164,70.67699999999999,125.574,124.30799999999999,0.2778,0.00313344,5529.8,35.1682,3.4865000000000004,2216720000000.0,28.135199999999998,8.831939999999999e+22,629.492,12922600000000.0,7.823999999999999e+21,194.346,1838.3,24.915599999999998,64.712,435.5759999999999,45.50600000000001,71.0146,125.968,124.66599999999998,0.238516,0.005448079999999999,5439.26,35.1422,3.0993,3603000000000.0,28.308799999999998,8.596220000000002e+22,629.78,12980000000000.0,7.719499999999999e+21,193.932,2223.2,24.1372,61.8772,438.408,44.926,70.3606,126.074,125.172,0.22109600000000001,0.00524332,5353.14,34.536199999999994,3.23468,3917920000000.0,26.6612,8.390680000000002e+22,620.0840000000001,12718800000000.0,7.65692e+21,192.67000000000002,2089.54,24.2744,61.1948,441.258,44.3806,69.4444,125.03,123.78599999999999,0.171856,0.0052397,5277.16,34.1492,3.1856999999999998,3929100000000.0,25.4958,8.180440000000002e+22,587.5840000000001,12190800000000.0,7.489660000000001e+21,192.00799999999998,2143.9,24.750999999999998
1688,B,False,88.5518,328.534,46.328199999999995,64.30600000000001,115.78399999999999,119.55,0.109881,0.00745904,5742.1,36.6698,3.8806599999999998,3371860000000.0,29.0996,9.055700000000002e+22,594.842,12572000000000.0,7.53776e+21,143.492,2099.7799999999997,18.297800000000002,110.912,326.34599999999995,46.22280000000001,64.54479999999998,116.112,119.00999999999999,0.158156,0.009293860000000001,5871.960000000001,36.206,3.7830399999999997,4864160000000.0,28.4056,9.304160000000001e+22,602.0799999999999,12661800000000.0,7.575999999999999e+21,143.834,2095.48,17.7698,103.6214,331.832,45.644400000000005,65.3564,117.44399999999999,119.694,0.202642,0.00874406,5827.14,35.7632,3.8361400000000003,4017340000000.0,28.041999999999994,9.17058e+22,603.548,12523400000000.0,7.57208e+21,147.53400000000002,1829.4,18.255,111.68400000000001,333.88800000000003,45.70199999999999,66.4372,120.15799999999999,121.35799999999999,0.26357200000000003,0.0096672,5954.219999999999,35.785799999999995,3.8290999999999995,4026340000000.0,28.292400000000004,9.1328e+22,583.5799999999999,11839400000000.0,7.530780000000001e+21,149.99200000000002,1730.94,18.847199999999997
1689,B,False,7.740367999999999,43.2838,48.360400000000006,57.169000000000004,116.102,116.60800000000002,1.106678,-0.0036571099999999994,3022.06,38.72879999999999,2.19626,1303900000000.0,32.428000000000004,8.70062e+21,95.92139999999999,2363180000000.0,1.0921399999999999e+21,0.0,0.0,0.0,13.569460000000001,51.6866,49.3268,60.471399999999996,120.242,120.826,0.9606,-0.00533404,3305.04,39.7172,0.9209800000000001,1326200000000.0,34.182,1.1185599999999998e+22,120.19599999999998,2984880000000.0,1.31628e+21,80.817,21.867399999999996,43.1982,12.662040000000001,62.797399999999996,45.186800000000005,63.28040000000001,127.23400000000001,130.06599999999997,0.762818,-0.004842480000000001,3247.96,35.8252,2.77634,1098260000000.0,28.5106,1.1422599999999997e+22,132.16400000000002,3052140000000.0,1.54568e+21,105.548,38.0834,46.482800000000005,9.00398,67.87140000000001,41.7546,67.95060000000001,136.572,137.14000000000001,1.177122,-0.00339434,3453.5600000000004,32.767399999999995,2.75514,1689440000000.0,22.327199999999998,1.2130399999999999e+22,152.32800000000003,3102280000000.0,1.7262e+21,110.072,55.565999999999995,41.696
1690,B,True,125.50399999999999,266.1460000000001,36.5082,57.4514,116.28399999999999,119.86000000000001,0.139394,0.01059604,4343.76,28.641399999999997,3.9778400000000005,5395800000000.0,14.987200000000001,6.844960000000001e+22,576.888,10971400000000.0,8.27868e+21,113.47200000000001,925.566,17.849600000000002,125.28399999999999,271.02599999999995,36.7524,60.27139999999999,119.74000000000001,124.542,0.246458,0.01080446,4637.7,28.802599999999995,3.98928,6112960000000.0,14.705400000000001,7.136e+22,615.2139999999999,11477800000000.0,8.444880000000001e+21,113.88200000000002,1161.8020000000001,17.1558,136.1,276.25600000000003,37.519000000000005,62.0868,122.96,129.15,0.2494688,0.0124774,5083.839999999999,29.5944,3.9912799999999997,6113120000000.0,15.684800000000001,7.3682799999999994e+22,631.6220000000001,11326800000000.0,8.316320000000001e+21,111.228,1567.02,16.479,132.33,285.39599999999996,37.69199999999999,63.1092,122.128,128.692,0.23094,0.0120212,5244.780000000001,30.250799999999998,3.9971400000000004,5907640000000.0,16.9564,7.6739e+22,659.176,11867400000000.0,8.40624e+21,113.274,1629.7199999999998,16.091
1695,B,False,1.481106,138.06599999999997,27.791200000000003,46.0316,127.046,125.13,-0.1289806,0.0002789036,1372.2,22.032600000000002,2.23606,483140000000.0,2.468,6.55924e+21,122.282,2984160000000.0,2.0173800000000001e+21,0.0,0.0,0.0,3.3308424000000003,134.142,27.893199999999997,47.6474,131.06199999999998,128.82,-0.476966,-0.00010405500000000003,1486.54,22.2116,1.5401399999999998,810834000000.0,2.52836,6.58462e+21,124.446,2970320000000.0,1.92266e+21,0.0,0.0,0.0,5.07438,131.358,27.5476,49.160399999999996,134.2,132.47599999999997,-0.795642,-0.001682386,1617.8,22.346200000000003,2.35324,1228140000000.0,2.5123399999999996,6.513739999999999e+21,127.00999999999999,2930740000000.0,1.81596e+21,0.0,0.0,0.0,10.959875,134.9325,26.835749999999997,43.72775,131.075,131.515,-0.28349625,-0.0034013999999999997,1628.15,22.71725,2.523975,486207500000.0,3.7218,6.987325e+21,140.345,3257975000000.0,1.931625e+21,0.0,0.0,0.0
1702,B,False,23.6064,191.372,38.477399999999996,60.7048,126.03999999999999,125.626,0.675276,-0.00422504,5730.9400000000005,30.790999999999997,0.0,2033760000000.0,18.765800000000002,4.24298e+22,322.16600000000005,5925980000000.0,4.05054e+21,147.446,210.41,27.0248,33.46366666666667,203.61666666666667,39.25366666666667,62.788999999999994,125.67333333333333,123.59333333333332,0.51822,-0.005666233333333333,5558.099999999999,31.198000000000004,2.6704333333333334,1655266666666.6667,19.605333333333334,4.3602e+22,316.0833333333333,6038233333333.333,4.139366666666667e+21,130.46666666666667,160.77,23.240333333333336,27.619999999999997,199.85250000000002,39.64275000000001,62.08200000000001,123.99249999999999,121.44999999999999,0.585015,-0.004356225,5292.875,31.63325,2.641975,2004875000000.0,20.5295,4.4552499999999995e+22,315.71999999999997,6172700000000.0,4.268625e+21,120.72749999999999,423.7025,21.151249999999997,28.3415,195.23999999999998,39.908249999999995,61.97749999999999,123.025,119.62,0.45792499999999997,-0.004180825,5005.75,31.579,2.551175,1681375000000.0,19.365000000000002,4.5080250000000005e+22,319.185,6534275000000.0,4.353e+21,124.79750000000001,424.935,21.38125
1704,B,False,29.674,127.856,49.359,87.9896,140.824,142.14600000000002,-0.1764712,-0.009715699999999999,4037.8399999999992,33.7924,3.1338000000000004,1011614000000.0,23.049999999999997,1.6406600000000003e+22,192.03,3645020000000.0,1.8326199999999999e+21,100.8672,132.4498,30.3504,31.726999999999997,133.97400000000002,50.437200000000004,83.587,133.57999999999998,132.6,-0.08488899999999999,-0.00921964,3941.34,35.0184,2.81276,1176708000000.0,25.235400000000002,1.7985199999999998e+22,196.99200000000002,4002480000000.0,1.9214e+21,107.01400000000001,96.5258,31.6338,40.6892,139.9,50.3778,82.30640000000001,132.608,131.666,-0.05636946,-0.010695119999999999,3849.62,35.2944,3.15674,1662300000000.0,25.413800000000002,1.9373e+22,215.094,4549560000000.0,2.0619400000000001e+21,111.08800000000001,105.6344,31.2584,39.322,148.42400000000004,51.8338,79.25399999999999,128.28199999999998,127.774,-0.34634200000000004,-0.00909774,3885.1800000000003,36.9446,3.3811600000000004,1477090000000.0,29.159400000000005,2.25112e+22,233.346,5138480000000.0,2.2536200000000001e+21,106.4194,107.99499999999998,29.414800000000003
1709,B,False,141.882,404.462,42.2532,43.64639999999999,89.2302,93.0398,0.19318799999999997,0.00571316,4447.039999999999,35.4114,3.9041399999999995,3370240000000.0,24.3936,1.4668000000000002e+23,924.7239999999999,18808600000000.0,1.47536e+22,126.146,2820.6,15.047,140.44,415.81800000000004,42.0706,43.191599999999994,89.0008,92.9056,0.17082799999999998,0.00564822,4516.9800000000005,35.3202,3.7828199999999996,3371400000000.0,24.593399999999995,1.49166e+23,973.2360000000001,19330000000000.0,1.49626e+22,125.43199999999999,2565.3599999999997,14.7036,166.368,409.358,42.219,44.2308,90.3702,94.646,0.186116,0.006831079999999999,4801.839999999999,35.7646,3.85436,3903640000000.0,25.5024,1.5541400000000002e+23,968.5779999999999,19356600000000.0,1.49244e+22,124.34399999999998,2385.2799999999997,14.456999999999999,188.676,401.97799999999995,42.111000000000004,46.4,93.5996,97.9506,0.1462528,0.00818742,5360.84,35.9236,3.94208,4680000000000.0,25.3674,1.63986e+23,973.292,19328000000000.0,1.4749600000000001e+22,125.588,1955.8,14.8904
1718,B,True,9.61754,191.418,49.1238,87.2142,135.892,133.21599999999998,0.5731580000000001,0.002434726,5388.66,32.746,2.8898200000000003,1213920000000.0,22.952199999999998,2.82038e+22,249.62400000000002,4706660000000.0,2.50538e+21,120.48599999999999,273.308,22.750999999999998,13.37324,191.392,47.7372,82.628,134.168,133.192,0.78664,0.0032110199999999998,5084.9,32.208800000000004,2.66352,1773160000000.0,22.2108,2.81928e+22,259.782,5004760000000.0,2.6518800000000003e+21,120.418,286.37199999999996,23.0192,9.8458,194.79799999999997,48.5318,76.75399999999999,126.86799999999998,126.848,0.849038,0.00202822,4530.360000000001,33.9342,2.9364199999999996,2216040000000.0,25.4146,2.9335e+22,290.934,6035380000000.0,2.8342199999999996e+21,121.758,262.206,23.286800000000003,14.973400000000002,193.978,48.299,75.8404,126.878,127.39000000000001,0.657062,0.00296706,4498.4,34.1654,3.1119,1785680000000.0,25.2306,3.0166999999999996e+22,291.698,6172620000000.0,2.9034000000000003e+21,123.43199999999999,310.92400000000004,22.4614
