,FLARE_TYPE,COINCIDENCE,ABSNJZH_1,AREA_ACR_1,MEANGAM_1,MEANGBH_1,MEANGBT_1,MEANGBZ_1,MEANJZD_1,MEANJZH_1,MEANPOT_1,MEANSHR_1,R_VALUE_1,SAVNCPP_1,SHRGT45_1,TOTPOT_1,TOTUSJH_1,TOTUSJZ_1,USFLUX_1,d_l_f_1,g_s_1,slf_1,ABSNJZH_2,AREA_ACR_2,MEANGAM_2,MEANGBH_2,MEANGBT_2,MEANGBZ_2,MEANJZD_2,MEANJZH_2,MEANPOT_2,MEANSHR_2,R_VALUE_2,SAVNCPP_2,SHRGT45_2,TOTPOT_2,TOTUSJH_2,TOTUSJZ_2,USFLUX_2,d_l_f_2,g_s_2,slf_2
668,M,True,570.9599999999999,1248.5800000000002,58.7204,62.91020000000001,92.97940000000001,101.738,-0.03419306,-0.0122502,17127.2,40.97240000000001,4.70064,16588600000000.0,58.11120000000001,1.0602e+24,2720.3,51941600000000.0,3.1784e+22,286.80999999999995,56459.0,11.5642,604.3059999999999,1247.7599999999998,58.6414,61.995799999999996,91.54339999999999,100.722,-0.0200902,-0.012769999999999998,17071.2,51.354200000000006,4.66504,19250800000000.0,57.92779999999999,1.07288e+24,2740.0200000000004,51942000000000.0,3.18964e+22,290.014,61688.8,11.6066
669,M,True,650.984,1279.36,57.93919999999999,64.2672,94.5694,105.402,-0.022173504,-0.014150600000000003,17769.6,50.5278,4.87046,17097400000000.0,56.828199999999995,1.0858e+24,2878.3999999999996,54316800000000.0,3.2442e+22,300.12199999999996,61244.0,12.0098,657.412,1295.26,57.8944,64.1172,93.8016,104.172,-0.024753519999999998,-0.01377,17251.0,50.6356,4.90884,17253600000000.0,56.7556,1.09406e+24,2901.5199999999995,55794200000000.0,3.3082799999999996e+22,301.21799999999996,64326.6,11.95
670,M,False,628.27,1305.6200000000001,58.0518,62.7008,91.8904,102.126,-0.08001076,-0.012603800000000002,16719.6,50.848200000000006,4.87092,17522200000000.0,56.9394,1.1071399999999999e+24,2923.98,56739400000000.0,3.36064e+22,303.176,61189.6,12.0122,592.9379999999999,1318.02,58.229,62.123599999999996,90.8382,101.19999999999999,-0.114944,-0.0117536,16769.0,51.0462,4.89276,14589600000000.0,57.415800000000004,1.1237200000000001e+24,2984.3,56860800000000.0,3.3805399999999996e+22,303.264,57228.2,11.869800000000001
672,M,True,938.7719999999999,1443.6,56.544000000000004,63.723400000000005,94.72140000000002,105.57000000000001,-0.0895612,-0.016534399999999998,16701.6,49.69340000000001,4.90864,26907200000000.0,55.541,1.25946e+24,3712.8,67493000000000.0,3.93394e+22,313.826,62996.2,11.8148,935.1359999999999,1461.52,56.57860000000001,62.56880000000001,93.5204,104.58999999999999,-0.04149219999999999,-0.0158302,16326.2,49.831399999999995,4.96966,26927200000000.0,55.2792,1.2807000000000002e+24,3792.88,69063200000000.0,4.014299999999999e+22,314.434,76006.0,11.6956
673,M,False,958.7860000000001,1468.82,56.5924,62.867399999999996,93.9152,105.38199999999999,-0.047463599999999995,-0.0162242,16358.2,49.8914,4.9819,27337200000000.0,55.2956,1.2841400000000002e+24,3846.0,69899400000000.0,4.0307800000000004e+22,313.844,79236.0,11.705400000000001,1033.4333333333334,1498.6333333333332,56.189,64.75666666666666,96.065,108.88,-0.06033033333333334,-0.018836666666666668,17447.333333333332,49.36166666666667,4.997866666666667,27561333333333.332,55.22366666666667,1.2713333333333332e+24,3931.933333333333,67601666666666.664,3.9596000000000005e+22,313.81333333333333,81899.66666666667,11.597
675,M,False,1009.4066666666668,1489.0,56.26533333333333,64.44866666666667,95.682,108.22333333333334,-0.07515899999999999,-0.018063666666666665,17175.0,49.448,4.9953,27940000000000.0,55.196,1.2754e+24,3918.933333333333,68432666666666.664,3.982933333333334e+22,313.3233333333333,82936.0,11.625666666666667,1069.44,1505.0,56.2802,64.8172,96.0322,108.77399999999997,-0.0888148,-0.0194884,17502.4,49.553,5.0063200000000005,30224600000000.0,55.3476,1.27532e+24,3928.1,67665000000000.0,3.95812e+22,314.608,72717.2,11.644
676,M,False,1054.7800000000002,1503.88,56.2134,64.85940000000001,96.16279999999999,109.01199999999999,-0.0913176,-0.019306200000000003,17534.4,49.4614,5.000780000000001,28907200000000.0,55.291599999999995,1.2721599999999998e+24,3926.1800000000003,67410600000000.0,3.95438e+22,314.3,73948.6,11.648,1083.92,1511.8200000000002,56.393600000000006,63.916599999999995,94.484,106.81199999999998,-0.06146839999999999,-0.019109,17050.0,49.741200000000006,5.02896,31361600000000.0,55.4126,1.2846799999999998e+24,3917.06,68588000000000.0,3.995639999999999e+22,315.04800000000006,69972.4,11.5892
678,M,True,1013.46,1568.1799999999998,56.2774,63.6192,94.3404,107.28600000000002,-0.08361400000000001,-0.016900400000000003,16684.0,49.6976,5.02958,21186200000000.0,54.923199999999994,1.32876e+24,4186.18,74065600000000.0,4.1461199999999995e+22,311.416,73453.8,11.230599999999999,944.686,1586.3,56.2322,64.4162,95.25840000000001,108.38600000000001,-0.0713656,-0.015823399999999998,16902.8,49.5608,5.029300000000001,17305200000000.0,54.555600000000005,1.34018e+24,4276.859999999999,75335000000000.0,4.1674800000000005e+22,311.27599999999995,73763.4,11.2496
679,M,True,772.556,1701.02,54.5004,62.8702,96.10319999999999,109.674,-0.10606419999999998,-0.0114646,16334.4,47.621,5.11216,10725200000000.0,51.120400000000004,1.46172e+24,4651.16,82770200000000.0,4.701379999999999e+22,315.246,91654.8,10.9984,728.9240000000001,1692.0600000000002,54.3732,63.552800000000005,97.35499999999999,110.78599999999999,-0.143226,-0.0109742,16633.6,47.589,5.05488,10238820000000.0,51.3168,1.46714e+24,4725.24,83725000000000.0,4.71372e+22,317.45,74837.0,11.198600000000003
680,M,False,851.8219999999999,1996.86,50.935199999999995,61.1112,96.55440000000002,110.87,-0.0554422,-0.011175000000000001,14889.0,35.6952,5.14704,5882160000000.0,44.737,1.50728e+24,5400.84,94414800000000.0,5.516400000000001e+22,310.534,97478.2,10.991200000000001,891.582,2006.28,50.5758,61.0456,96.7886,111.16599999999998,-0.0407298,-0.0115418,14707.8,35.525999999999996,5.1303399999999995,9703540000000.0,44.171,1.5086799999999999e+24,5526.8,96154200000000.0,5.62126e+22,323.12399999999997,99249.0,11.512400000000001
681,M,True,800.126,2008.8799999999999,50.660000000000004,60.787400000000005,95.8828,109.15,-0.05113435200000001,-0.010165660000000002,14540.2,44.4654,5.16036,9298100000000.0,44.2808,1.51994e+24,5613.68,96838200000000.0,5.6892799999999996e+22,314.57399999999996,103150.0,11.131200000000002,807.8280000000001,2020.4199999999996,50.650400000000005,60.8318,96.489,109.626,-0.07019679999999999,-0.0102271,14473.6,44.3432,5.16866,7701320000000.0,43.842200000000005,1.5178399999999998e+24,5653.000000000001,96558200000000.0,5.73084e+22,310.46,111238.6,10.8916
682,M,True,195.006,1900.3799999999999,46.0144,55.4702,90.2782,103.58399999999999,-0.0972398,-0.00236562,12633.8,39.8632,5.102919999999999,12513800000000.0,35.6668,1.38282e+24,5434.48,88371000000000.0,6.24586e+22,385.576,91480.2,14.866800000000001,168.526,1900.1599999999999,46.03679999999999,55.4948,90.2836,103.30799999999999,-0.07982620000000001,-0.0020656399999999997,12645.6,39.7782,5.07844,13636800000000.0,35.3982,1.3698199999999997e+24,5323.0,86428400000000.0,6.2052e+22,351.03000000000003,94673.8,13.713
683,M,True,32.34644,1802.3799999999999,43.6748,51.1188,83.6668,97.19120000000001,-0.07719659999999999,7.6928e-05,11009.0,30.183999999999997,4.94236,15690600000000.0,31.889999999999997,1.29334e+24,5265.96,86121000000000.0,6.675e+22,352.52000000000004,49852.8,15.930599999999998,87.7478,1825.9599999999998,43.4734,51.0054,83.76140000000001,97.5418,-0.055956399999999996,0.00099337,10927.2,37.5812,4.93896,18460600000000.0,31.539800000000003,1.2796000000000002e+24,5243.58,85227200000000.0,6.6742e+22,360.892,59526.8,16.4772
702,M,False,308.28200000000004,886.134,32.6472,40.569399999999995,95.06980000000001,98.773,-0.026412029999999996,0.00625492,4214.339999999999,27.2404,3.9895399999999994,15898600000000.0,14.015,2.7571599999999997e+23,1778.28,35172000000000.0,3.3409e+22,77.21459999999999,64.184,8.941059999999998,309.83599999999996,900.034,32.629000000000005,39.1178,91.422,95.41220000000001,0.032694,0.005936660000000001,3965.46,27.026400000000002,4.0449,16755600000000.0,13.478399999999999,2.7481e+23,1809.48,36514800000000.0,3.4438000000000003e+22,76.70360000000001,128.288,8.86164
717,M,True,39.3318,428.802,49.711600000000004,46.949200000000005,83.1146,86.5352,0.37679,0.001942,9716.38,42.6996,3.5342,4002820000000.0,44.4654,2.6110799999999998e+23,707.268,16165000000000.0,1.27632e+22,322.85,1326.2400000000002,25.948200000000003,37.7516,432.87600000000003,48.6034,46.8446,82.95559999999999,86.9472,0.25824800000000003,0.0018271000000000003,9504.36,41.452000000000005,3.7176,2803940000000.0,42.1846,2.61088e+23,728.8820000000001,16452800000000.0,1.31366e+22,322.792,1655.58,25.641399999999997
718,M,True,51.3644,521.454,47.4976,47.2132,90.857,96.04159999999999,-0.00678292,0.0020100200000000004,7896.5199999999995,40.427,4.283860000000001,3042340000000.0,38.669000000000004,2.6782800000000003e+23,979.394,21754000000000.0,1.57588e+22,321.114,2044.2599999999998,26.101,60.806200000000004,536.1,48.0186,48.991,92.44019999999999,98.3142,-0.11671259999999999,0.002442,8047.94,40.66340000000001,4.3129,3067980000000.0,38.87179999999999,2.66102e+23,1028.52,22658800000000.0,1.5716999999999999e+22,320.732,1602.3200000000002,26.349200000000003
