,FLARE_TYPE,COINCIDENCE,ABSNJZH_1,AREA_ACR_1,MEANGAM_1,MEANGBH_1,MEANGBT_1,MEANGBZ_1,MEANJZD_1,MEANJZH_1,MEANPOT_1,MEANSHR_1,R_VALUE_1,SAVNCPP_1,SHRGT45_1,TOTPOT_1,TOTUSJH_1,TOTUSJZ_1,USFLUX_1,d_l_f_1,g_s_1,slf_1
51,M,False,256.59250000000003,168.9375,42.748000000000005,62.1785,112.36999999999999,125.105,-0.1391525,-0.02586025,5397.950000000001,34.9675,4.003825000000001,9831400000000.0,23.443749999999998,7.1119e+22,725.9475,13085250000000.0,6.102199999999999e+21,83.5855,2996.4750000000004,13.856499999999999
52,M,False,,,,,,,,,,,,,,,,,,,,
53,M,False,,,,,,,,,,,,,,,,,,,,
54,M,False,,,,,,,,,,,,,,,,,,,,
55,M,False,12.0318,699.844,35.9328,60.5332,129.856,129.924,0.709204,0.00014974199999999996,3033.2400000000002,27.601000000000006,3.78166,6889240000000.0,12.015600000000001,7.49372e+22,856.01,18574200000000.0,1.10166e+22,92.88980000000001,756.662,15.385200000000001
56,M,True,,,,,,,,,,,,,,,,,,,,
57,M,False,,,,,,,,,,,,,,,,,,,,
58,M,False,,,,,,,,,,,,,,,,,,,,
59,M,False,,,,,,,,,,,,,,,,,,,,
60,M,False,47.649,242.73000000000002,33.263,41.3184,85.6458,91.2402,-0.24636560000000002,-0.0032292,3703.9,26.843200000000003,3.73974,2154500000000.0,11.910400000000001,7.2652199999999996e+22,547.26,10468840000000.0,1.01002e+22,135.558,76.4408,36.07812
61,M,True,10.303,302.09999999999997,53.99433333333334,77.859,119.85333333333334,117.98,0.2591866666666667,-0.0010384933333333335,5165.066666666667,41.26166666666666,3.5612,1317366666666.6667,35.23233333333334,6.7946999999999995e+22,493.1233333333333,11111333333333.334,5.467266666666667e+21,201.01333333333332,2983.3000000000006,24.01133333333333
62,M,True,761.7049999999999,841.8275000000001,60.15275,79.7845,105.17,114.0875,0.031448000000000004,0.024745000000000003,14247.5,50.4225,4.82005,21239750000000.0,55.229749999999996,5.825575000000001e+23,2679.025,45924000000000.0,1.88505e+22,168.2125,88017.75,8.50095
63,M,False,,,,,,,,,,,,,,,,,,,,
64,M,False,1015.4799999999999,1098.56,58.323,66.87039999999999,92.4688,100.38119999999999,0.182434,0.0243046,14956.0,50.778999999999996,4.870839999999999,30795800000000.0,57.4418,8.29884e+23,3015.3399999999997,52649200000000.0,2.61596e+22,184.942,82741.6,8.37002
65,M,True,847.7560000000001,1106.7,48.6946,62.2568,100.78,110.704,-0.0995576,0.019059,10900.6,41.724000000000004,4.989,28900800000000.0,38.923,6.439e+23,3019.4,52777200000000.0,3.13842e+22,205.664,34088.6,10.511
66,M,True,,,,,,,,,,,,,,,,,,,,
