,FLARE_TYPE,COINCIDENCE,SAVNCPP_1,SAVNCPP_2,SAVNCPP_3,SAVNCPP_4,SAVNCPP_5,SAVNCPP_6,SAVNCPP_7,SAVNCPP_8,SAVNCPP_9,SAVNCPP_10,SAVNCPP_11,SAVNCPP_12,SAVNCPP_13,SAVNCPP_14,SAVNCPP_15,SAVNCPP_16,SAVNCPP_17,SAVNCPP_18,SAVNCPP_19,SAVNCPP_20,SAVNCPP_21,SAVNCPP_22,SAVNCPP_23,SAVNCPP_24,SAVNCPP_25,SAVNCPP_26,SAVNCPP_27,SAVNCPP_28,SAVNCPP_29,SAVNCPP_30,SAVNCPP_31,SAVNCPP_32,SAVNCPP_33,SAVNCPP_34,SAVNCPP_35,SAVNCPP_36,SAVNCPP_37,SAVNCPP_38,SAVNCPP_39,SAVNCPP_40
532,M,True,19120000000000.0,20632000000000.0,23434000000000.0,23166000000000.0,23211000000000.0,26984000000000.0,28202000000000.0,27662000000000.0,26815000000000.0,28421000000000.0,29067000000000.0,29669000000000.0,29313000000000.0,29305000000000.0,30359000000000.0,30432000000000.0,31344000000000.0,34732000000000.0,34156000000000.0,35808000000000.0,37939000000000.0,40037000000000.0,40606000000000.0,41217000000000.0,42618000000000.0,42323000000000.0,43535000000000.0,43392000000000.0,46414000000000.0,51545000000000.0,53734000000000.0,53060000000000.0,53973000000000.0,52638000000000.0,56471000000000.0,57029000000000.0,55554000000000.0,58510000000000.0,56085000000000.0,56104000000000.0
533,M,False,23211000000000.0,26984000000000.0,28202000000000.0,27662000000000.0,26815000000000.0,28421000000000.0,29067000000000.0,29669000000000.0,29313000000000.0,29305000000000.0,30359000000000.0,30432000000000.0,31344000000000.0,34732000000000.0,34156000000000.0,35808000000000.0,37939000000000.0,40037000000000.0,40606000000000.0,41217000000000.0,42618000000000.0,42323000000000.0,43535000000000.0,43392000000000.0,46414000000000.0,51545000000000.0,53734000000000.0,53060000000000.0,53973000000000.0,52638000000000.0,56471000000000.0,57029000000000.0,55554000000000.0,58510000000000.0,56085000000000.0,56104000000000.0,55658000000000.0,56987000000000.0,57477000000000.0,58324000000000.0
534,M,False,29067000000000.0,29669000000000.0,29313000000000.0,29305000000000.0,30359000000000.0,30432000000000.0,31344000000000.0,34732000000000.0,34156000000000.0,35808000000000.0,37939000000000.0,40037000000000.0,40606000000000.0,41217000000000.0,42618000000000.0,42323000000000.0,43535000000000.0,43392000000000.0,46414000000000.0,51545000000000.0,53734000000000.0,53060000000000.0,53973000000000.0,52638000000000.0,56471000000000.0,57029000000000.0,55554000000000.0,58510000000000.0,56085000000000.0,56104000000000.0,55658000000000.0,56987000000000.0,57477000000000.0,58324000000000.0,56112000000000.0,55572000000000.0,54507000000000.0,55176000000000.0,55369000000000.0,57686000000000.0
535,M,False,29313000000000.0,29305000000000.0,30359000000000.0,30432000000000.0,31344000000000.0,34732000000000.0,34156000000000.0,35808000000000.0,37939000000000.0,40037000000000.0,40606000000000.0,41217000000000.0,42618000000000.0,42323000000000.0,43535000000000.0,43392000000000.0,46414000000000.0,51545000000000.0,53734000000000.0,53060000000000.0,53973000000000.0,52638000000000.0,56471000000000.0,57029000000000.0,55554000000000.0,58510000000000.0,56085000000000.0,56104000000000.0,55658000000000.0,56987000000000.0,57477000000000.0,58324000000000.0,56112000000000.0,55572000000000.0,54507000000000.0,55176000000000.0,55369000000000.0,57686000000000.0,57818000000000.0,58958000000000.0
536,M,False,40037000000000.0,40606000000000.0,41217000000000.0,42618000000000.0,42323000000000.0,43535000000000.0,43392000000000.0,46414000000000.0,51545000000000.0,53734000000000.0,53060000000000.0,53973000000000.0,52638000000000.0,56471000000000.0,57029000000000.0,55554000000000.0,58510000000000.0,56085000000000.0,56104000000000.0,55658000000000.0,56987000000000.0,57477000000000.0,58324000000000.0,56112000000000.0,55572000000000.0,54507000000000.0,55176000000000.0,55369000000000.0,57686000000000.0,57818000000000.0,58958000000000.0,60533000000000.0,59994000000000.0,60699000000000.0,60499000000000.0,58783000000000.0,60923000000000.0,62600000000000.0,63055000000000.0,64811000000000.0
537,M,True,60110000000000.0,60157000000000.0,60130000000000.0,57339000000000.0,59506000000000.0,61446000000000.0,65151000000000.0,64476000000000.0,64646000000000.0,64375000000000.0,63139000000000.0,60818000000000.0,59010000000000.0,58665000000000.0,58258000000000.0,58533000000000.0,58314000000000.0,55347000000000.0,53773000000000.0,51739000000000.0,48567000000000.0,49644000000000.0,50849000000000.0,51300000000000.0,51339000000000.0,50076000000000.0,51781000000000.0,51727000000000.0,49369000000000.0,53450000000000.0,55690000000000.0,55657000000000.0,58062000000000.0,62826000000000.0,62490000000000.0,62045000000000.0,60103000000000.0,59589000000000.0,58829000000000.0,55263000000000.0
538,M,True,81745000000000.0,82301000000000.0,80023000000000.0,84702000000000.0,86924000000000.0,85135000000000.0,83534000000000.0,80590000000000.0,80438000000000.0,76344000000000.0,78090000000000.0,80679000000000.0,85673000000000.0,90474000000000.0,89661000000000.0,86475000000000.0,88936000000000.0,86096000000000.0,87457000000000.0,84508000000000.0,90016000000000.0,88632000000000.0,90844000000000.0,86974000000000.0,84761000000000.0,86528000000000.0,84839000000000.0,86590000000000.0,89361000000000.0,87850000000000.0,89847000000000.0,91204000000000.0,91032000000000.0,90854000000000.0,89158000000000.0,89790000000000.0,90722000000000.0,90468000000000.0,87800000000000.0,87664000000000.0
539,M,False,87457000000000.0,84508000000000.0,90016000000000.0,88632000000000.0,90844000000000.0,86974000000000.0,84761000000000.0,86528000000000.0,84839000000000.0,86590000000000.0,89361000000000.0,87850000000000.0,89847000000000.0,91204000000000.0,91032000000000.0,90854000000000.0,89158000000000.0,89790000000000.0,90722000000000.0,90468000000000.0,87800000000000.0,87664000000000.0,87788000000000.0,87630000000000.0,87841000000000.0,90347000000000.0,92414000000000.0,92491000000000.0,97277000000000.0,95214000000000.0,90350000000000.0,89875000000000.0,92087000000000.0,95328000000000.0,92874000000000.0,91665000000000.0,91029000000000.0,90019000000000.0,89567000000000.0,90415000000000.0
540,M,True,103340000000000.0,95269000000000.0,93369000000000.0,99681000000000.0,102910000000000.0,101160000000000.0,104570000000000.0,98932000000000.0,95148000000000.0,94805000000000.0,90718000000000.0,78372000000000.0,105930000000000.0,100260000000000.0,101550000000000.0,104660000000000.0,101510000000000.0,105640000000000.0,106810000000000.0,101770000000000.0,98141000000000.0,105000000000000.0,94951000000000.0,102270000000000.0,95492000000000.0,94087000000000.0,93014000000000.0,96991000000000.0,95037000000000.0,93707000000000.0,93210000000000.0,94000000000000.0,92720000000000.0,90203000000000.0,87196000000000.0,90338000000000.0,90755000000000.0,84725000000000.0,82684000000000.0,81844000000000.0
541,M,False,93369000000000.0,99681000000000.0,102910000000000.0,101160000000000.0,104570000000000.0,98932000000000.0,95148000000000.0,94805000000000.0,90718000000000.0,78372000000000.0,105930000000000.0,100260000000000.0,101550000000000.0,104660000000000.0,101510000000000.0,105640000000000.0,106810000000000.0,101770000000000.0,98141000000000.0,105000000000000.0,94951000000000.0,102270000000000.0,95492000000000.0,94087000000000.0,93014000000000.0,96991000000000.0,95037000000000.0,93707000000000.0,93210000000000.0,94000000000000.0,92720000000000.0,90203000000000.0,87196000000000.0,90338000000000.0,90755000000000.0,84725000000000.0,82684000000000.0,81844000000000.0,89723000000000.0,92855000000000.0
542,M,True,67285000000000.0,72310000000000.0,73437000000000.0,75114000000000.0,74213000000000.0,73254000000000.0,75107000000000.0,76262000000000.0,77290000000000.0,77634000000000.0,77154000000000.0,71263000000000.0,74662000000000.0,74449000000000.0,65362000000000.0,71003000000000.0,73348000000000.0,70529000000000.0,64226000000000.0,64952000000000.0,60204000000000.0,61112000000000.0,64668000000000.0,67279000000000.0,62406000000000.0,59413000000000.0,57088000000000.0,63207000000000.0,58870000000000.0,56968000000000.0,55673000000000.0,53361000000000.0,50797000000000.0,50266000000000.0,51607000000000.0,47846000000000.0,41387000000000.0,45054000000000.0,43933000000000.0,45461000000000.0
543,M,False,25992000000000.0,30003000000000.0,30706000000000.0,25952000000000.0,22267000000000.0,25562000000000.0,25697000000000.0,20766000000000.0,24531000000000.0,23688000000000.0,24912000000000.0,23306000000000.0,24206000000000.0,21922000000000.0,24705000000000.0,23384000000000.0,28671000000000.0,24422000000000.0,25484000000000.0,23822000000000.0,21859000000000.0,18648000000000.0,19049000000000.0,18534000000000.0,20039000000000.0,21802000000000.0,18428000000000.0,18291000000000.0,23201000000000.0,24011000000000.0,20872000000000.0,17349000000000.0,28663000000000.0,27154000000000.0,28226000000000.0,24034000000000.0,22932000000000.0,23505000000000.0,20696000000000.0,16795000000000.0
