,FLARE_TYPE,COINCIDENCE,g_s_1,g_s_2,g_s_3,g_s_4,g_s_5,g_s_6,g_s_7,g_s_8,g_s_9,g_s_10,g_s_11,g_s_12,g_s_13,g_s_14,g_s_15,g_s_16,g_s_17,g_s_18,g_s_19,g_s_20,g_s_21,g_s_22,g_s_23,g_s_24,g_s_25,g_s_26,g_s_27,g_s_28,g_s_29,g_s_30,g_s_31,g_s_32,g_s_33,g_s_34,g_s_35,g_s_36,g_s_37,g_s_38,g_s_39,g_s_40
1789,N,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1790,N,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1791,N,False,58.738,53.374,53.601,65.276,68.697,69.538,69.719,66.671,69.499,71.442,68.457,68.457,68.819,67.412,61.445,61.718,63.107,62.346,61.14,58.951,67.239,74.259,69.762,73.06,76.046,74.457,68.207,71.845,67.225,63.328,59.909,55.706,55.143,47.549,52.096,53.917,54.622,52.22,49.846,46.639
1792,N,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1793,N,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1794,N,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1795,N,False,12600.0,13544.0,11197.0,12014.0,13115.0,12076.0,15389.0,15113.0,15631.0,15297.0,17609.0,15518.0,17149.0,16416.0,17007.0,16052.0,15696.0,18658.0,16792.0,17660.0,15760.0,15196.0,15556.0,18347.0,18238.0,14742.0,13904.0,15605.0,17295.0,12498.0,9911.3,10193.0,11687.0,11453.0,11934.0,11247.0,10914.0,11096.0,13699.0,11770.0
1796,N,False,3983.4,3964.6,4456.6,4281.5,3304.8,3256.4,2681.7,3262.8,2615.6,2767.5,2772.4,2779.7,2760.7,2681.7,2695.7,2728.4,2647.9,3269.7,3266.3,3451.5,3581.4,3568.8,3513.2,3448.3,3523.8,3459.1,2616.0,3221.5,3391.3,4892.2,4815.7,4140.6,3270.8,5853.5,4193.5,5013.3,4586.1,4653.9,5156.9,4590.8
1797,N,False,15985.0,17099.0,17287.0,18311.0,15164.0,15194.0,13880.0,15303.0,15313.0,16081.0,17301.0,18006.0,15472.0,16680.0,15670.0,18075.0,15952.0,19040.0,19047.0,15829.0,16393.0,15474.0,15441.0,18046.0,18639.0,16345.0,16979.0,18696.0,18554.0,17062.0,16884.0,16100.0,16618.0,16172.0,18011.0,16994.0,17075.0,17076.0,14862.0,15203.0
1798,N,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.099,6.7973,0.0,8.0513,9.4108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
