,FLARE_TYPE,COINCIDENCE,d_l_f_1,d_l_f_2,d_l_f_3,d_l_f_4,d_l_f_5,d_l_f_6,d_l_f_7,d_l_f_8,d_l_f_9,d_l_f_10,d_l_f_11,d_l_f_12,d_l_f_13,d_l_f_14,d_l_f_15,d_l_f_16,d_l_f_17,d_l_f_18,d_l_f_19,d_l_f_20,d_l_f_21,d_l_f_22,d_l_f_23,d_l_f_24,d_l_f_25,d_l_f_26,d_l_f_27,d_l_f_28,d_l_f_29,d_l_f_30,d_l_f_31,d_l_f_32,d_l_f_33,d_l_f_34,d_l_f_35,d_l_f_36,d_l_f_37,d_l_f_38,d_l_f_39,d_l_f_40
120,M,False,226.29,299.67,297.62,294.96,303.57,294.84,293.12,292.18,291.89,293.29,295.55,282.82,284.7,214.66,279.08,277.3,273.18,263.35,262.82,265.88,262.07,266.51,264.2,263.96,265.58,265.8,266.38,263.42,262.04,264.76,261.25,257.76,256.56,254.2,206.02,257.01,253.47,254.52,255.75,258.2
121,M,False,294.64,294.34,294.06,294.08,296.01,296.38,292.27,291.82,295.83,299.3,299.02,301.97,304.39,304.05,300.21,303.7,303.04,304.67,304.15,305.86,307.61,309.26,308.75,309.36,306.87,304.49,304.58,306.43,306.37,303.65,305.39,307.9,308.77,310.42,309.65,307.35,308.87,308.72,310.6,312.93
122,M,False,318.53,318.85,317.8,318.37,319.39,319.6,319.94,320.35,320.97,321.12,322.44,322.99,325.0,316.54,318.86,318.73,320.5,319.84,314.41,307.1,302.89,296.83,297.39,294.82,293.33,296.1,296.06,304.51,300.74,298.31,298.57,301.17,305.2,308.66,310.98,312.87,313.37,309.68,304.44,308.55
123,M,True,98.248,104.47,103.44,104.97,103.84,108.71,104.69,105.8,105.41,103.26,104.27,102.72,106.8,107.42,109.61,110.35,109.8,107.54,107.4,109.86,109.61,108.24,107.15,108.6,104.65,101.11,104.49,105.34,107.06,106.49,104.45,103.87,104.23,103.41,105.75,104.92,101.74,104.52,103.99,102.54
124,M,True,281.01,280.53,276.42,280.65,278.75,277.21,284.14,274.03,270.37,246.49,270.94,269.52,264.41,278.74,277.14,277.14,283.62,279.94,280.06,268.16,273.43,308.15,314.51,272.35,267.29,269.83,267.94,266.3,262.95,329.35,263.61,258.85,250.65,247.73,239.83,237.72,238.56,232.74,240.94,239.89
125,M,False,280.53,276.42,280.65,278.75,277.21,284.14,274.03,270.37,246.49,270.94,269.52,264.41,278.74,277.14,277.14,283.62,279.94,280.06,268.16,273.43,308.15,314.51,272.35,267.29,269.83,267.94,266.3,262.95,329.35,263.61,258.85,250.65,247.73,239.83,237.72,238.56,232.74,240.94,239.89,238.1
126,M,False,283.62,279.94,280.06,268.16,273.43,308.15,314.51,272.35,267.29,269.83,267.94,266.3,262.95,329.35,263.61,258.85,250.65,247.73,239.83,237.72,238.56,232.74,240.94,239.89,238.1,238.14,238.39,236.0,233.84,239.19,241.59,236.13,234.52,231.11,224.24,228.4,238.24,227.14,235.94,228.49
127,M,True,267.94,266.3,262.95,329.35,263.61,258.85,250.65,247.73,239.83,237.72,238.56,232.74,240.94,239.89,238.1,238.14,238.39,236.0,233.84,239.19,241.59,236.13,234.52,231.11,224.24,228.4,238.24,227.14,235.94,228.49,231.9,232.75,233.17,241.83,242.82,241.87,240.01,248.05,245.79,240.65
128,M,False,250.65,247.73,239.83,237.72,238.56,232.74,240.94,239.89,238.1,238.14,238.39,236.0,233.84,239.19,241.59,236.13,234.52,231.11,224.24,228.4,238.24,227.14,235.94,228.49,231.9,232.75,233.17,241.83,242.82,241.87,240.01,248.05,245.79,240.65,245.79,245.84,244.27,247.25,240.83,242.29
129,M,False,233.84,239.19,241.59,236.13,234.52,231.11,224.24,228.4,238.24,227.14,235.94,228.49,231.9,232.75,233.17,241.83,242.82,241.87,240.01,248.05,245.79,240.65,245.79,245.84,244.27,247.25,240.83,242.29,243.29,238.43,248.64,242.54,235.4,237.49,235.38,229.5,234.09,230.94,218.61,229.21
130,M,False,248.05,245.79,240.65,245.79,245.84,244.27,247.25,240.83,242.29,243.29,238.43,248.64,242.54,235.4,237.49,235.38,229.5,234.09,230.94,218.61,229.21,224.76,227.73,222.65,212.07,207.21,204.63,206.37,210.38,204.43,212.16,214.23,209.19,207.59,211.1,213.37,209.8,204.85,192.22,199.3
131,M,False,222.65,212.07,207.21,204.63,206.37,210.38,204.43,212.16,214.23,209.19,207.59,211.1,213.37,209.8,204.85,192.22,199.3,202.5,200.53,206.68,209.68,207.0,210.35,212.3,208.65,204.99,203.77,205.36,201.55,200.33,201.27,202.27,203.42,202.6,203.62,203.74,202.19,203.76,205.21,204.58
132,M,False,198.25,199.99,195.21,193.8,194.32,199.65,203.94,201.7,167.05,214.25,216.8,214.24,207.49,206.45,205.09,201.74,206.03,207.72,213.84,216.52,219.87,218.59,224.65,226.72,223.47,225.63,225.12,227.52,228.36,229.48,220.66,223.24,224.76,225.21,224.62,225.22,227.74,227.3,225.14,224.03
133,M,False,314.48,312.35,311.03,309.76,309.32,310.48,312.31,311.36,311.94,310.09,308.37,305.78,306.84,307.83,310.19,311.06,309.64,310.61,311.61,313.16,311.62,311.78,312.45,312.09,308.33,309.15,306.28,307.62,309.31,308.27,311.14,305.62,308.25,309.7,309.87,305.16,307.16,305.09,308.87,307.43
134,M,False,291.51,292.97,294.02,293.05,292.04,289.14,289.08,289.54,290.16,289.02,287.29,289.34,289.08,291.94,292.78,293.14,292.87,293.34,292.62,293.97,297.64,295.82,292.14,292.6,293.96,295.84,295.72,296.34,296.16,298.76,296.03,300.36,299.28,299.58,299.1,299.82,301.76,301.03,299.24,300.55
135,M,True,182.74,185.42,188.37,190.68,190.23,190.38,195.1,196.95,196.94,202.21,203.05,211.04,205.63,201.7,207.92,208.39,210.69,210.89,212.27,216.56,218.16,214.99,209.28,205.72,204.77,207.23,208.54,206.4,216.34,207.96,211.0,211.68,211.76,209.09,210.0,204.32,209.66,210.6,206.01,201.22
136,M,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249.16,0.0,243.28,236.21,235.52,236.24,238.47,235.55,235.52,236.22,235.52,234.87,234.87,235.59
137,M,True,65.3,69.146,41.75,21.835,23.672,13.539,17.187,40.251,34.225,46.848,47.544,58.744,58.482,63.551,54.285,63.202,55.971,51.354,49.193,58.889,49.424,57.84,50.358,47.197,59.629,63.949,48.797,44.224,40.889,51.968,63.981,66.534,111.04,125.84,119.04,126.83,141.66,148.14,143.75,143.7
138,M,False,85.801,197.5,186.55,193.45,192.35,192.21,89.407,89.574,87.491,86.4,192.91,192.25,192.16,190.7,190.98,190.71,86.421,88.188,87.48,86.472,87.029,87.989,86.849,189.23,189.4,188.98,186.85,83.995,187.59,186.94,86.579,88.22,186.32,185.53,183.1,183.35,183.0,90.999,90.111,92.121
139,M,True,355.68,353.97,356.29,354.87,350.92,338.74,355.3,342.69,357.73,360.21,359.94,359.89,358.15,352.43,362.8,362.86,363.92,367.94,368.27,367.85,366.97,368.09,367.41,366.98,365.88,367.92,354.67,353.71,368.43,362.13,364.13,351.52,345.99,349.68,362.27,365.27,360.61,362.03,345.33,358.34
140,M,True,344.23,338.13,339.08,342.83,331.77,330.74,330.58,313.83,337.71,337.59,335.89,343.77,347.9,340.87,341.27,340.16,340.68,340.29,335.92,338.27,335.99,314.46,316.2,333.3,333.98,332.94,332.58,335.02,329.13,328.69,327.16,332.84,334.88,334.43,332.88,333.87,333.82,328.31,333.51,325.45
141,M,False,337.71,337.59,335.89,343.77,347.9,340.87,341.27,340.16,340.68,340.29,335.92,338.27,335.99,314.46,316.2,333.3,333.98,332.94,332.58,335.02,329.13,328.69,327.16,332.84,334.88,334.43,332.88,333.87,333.82,328.31,333.51,325.45,327.39,327.71,331.33,329.41,328.4,329.38,331.0,327.25
142,M,False,316.33,312.26,316.64,314.57,314.25,312.12,315.19,313.37,314.28,312.88,311.98,311.86,310.86,309.6,301.53,302.85,303.99,306.8,309.35,312.36,309.08,308.07,308.67,309.27,300.25,308.42,300.83,299.54,299.82,300.34,301.69,298.73,299.91,303.97,302.66,301.68,304.83,302.4,303.06,304.52
143,M,False,120.93,111.06,107.87,76.663,79.473,80.75,92.772,80.865,81.491,76.698,83.367,79.555,323.33,288.11,71.355,62.793,60.171,41.324,51.269,49.172,51.533,46.994,40.108,38.346,39.601,38.907,39.373,37.221,36.356,38.0,37.08,37.014,36.136,36.278,35.163,37.0,36.434,36.014,36.53,36.014
144,M,False,555.78,565.36,570.24,567.31,558.19,569.79,564.5,553.97,555.68,566.89,577.59,570.21,572.24,577.46,577.18,572.22,566.42,577.25,581.15,572.93,568.6,579.04,574.51,564.71,561.18,566.06,568.51,570.63,574.57,583.77,573.96,575.66,573.66,563.46,558.12,553.92,553.4,553.93,560.19,565.19
145,M,True,13.737,32.798,15.024,16.271,10.071,6.7019,8.8433,10.648,28.015,8.586,176.73,0.0,28.127,36.539,45.266,44.407,49.031,49.041,41.979,37.061,29.614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.92,0.0,12.691,0.0,0.0,0.0,0.0,0.0,0.0
146,M,False,0.0,0.0,0.0,0.0,0.0,135.92,0.0,12.691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.385,0.0,23.022,0.0,208.57,211.53,20.025,0.0,35.182,0.0,91.682,0.0,171.93,210.4,20.336,99.369
147,M,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.2462,0.0,8.0623,8.2462,0.0,0.0,0.0,0.0,0.0,0.0,35.609,35.0,29.445,29.893,259.31,258.98,257.82,257.26,256.98,258.16,257.09,243.39,258.85,259.11,258.55
148,M,False,209.85,210.46,211.38,211.02,212.44,213.17,212.69,213.71,213.39,212.91,214.62,215.85,215.3,216.73,217.94,216.92,216.12,214.77,216.43,216.05,217.43,217.62,218.17,218.52,218.11,217.8,220.27,220.24,219.77,220.34,221.22,219.88,219.48,221.59,222.0,221.57,221.99,223.25,223.95,223.59
149,M,True,905.32,528.75,75.538,645.18,76.531,75.425,313.13,66.328,62.801,66.462,69.346,72.682,138.22,72.479,67.227,222.58,64.729,66.106,64.612,183.5,351.97,469.05,113.99,123.15,66.885,67.243,68.701,70.124,69.811,71.17,68.635,129.27,190.9,402.33,192.52,325.5,172.57,68.469,1021.5,70.181
150,M,True,308.86,314.88,310.13,322.4,327.33,315.66,315.44,323.52,316.42,317.12,321.25,328.44,336.95,337.84,348.61,348.57,348.11,350.23,425.59,427.73,429.15,429.55,431.55,432.34,435.91,434.19,434.82,439.61,440.34,439.3,438.66,436.12,436.94,437.01,441.14,443.01,445.46,443.96,443.46,442.92
151,M,False,440.34,439.3,438.66,436.12,436.94,437.01,441.14,443.01,445.46,443.96,443.46,442.92,441.52,442.05,445.52,444.79,442.16,438.59,436.85,439.51,440.49,442.28,439.06,440.96,443.69,442.63,437.78,438.07,436.79,441.35,437.79,435.96,432.29,426.56,427.41,431.52,432.05,429.14,432.07,431.86
152,M,True,365.53,367.48,378.01,380.15,379.31,378.26,388.37,392.63,396.55,401.82,395.05,402.24,415.64,414.26,414.97,412.39,417.8,421.63,417.19,413.92,412.45,418.83,429.01,431.15,429.81,487.4,503.42,506.38,509.55,510.72,510.59,508.01,516.01,517.12,523.23,535.29,542.39,551.62,557.19,570.6
153,M,False,503.42,506.38,509.55,510.72,510.59,508.01,516.01,517.12,523.23,535.29,542.39,551.62,557.19,570.6,585.44,591.77,607.48,609.07,612.56,619.97,624.4,629.85,638.52,641.3,643.46,643.69,656.82,658.92,660.35,664.45,665.01,667.89,670.29,673.13,669.62,675.81,674.3,674.63,678.82,674.02
154,M,True,223.61,222.38,219.23,219.62,221.26,221.65,221.31,221.97,220.29,219.18,220.55,220.08,214.95,215.17,211.92,215.32,213.09,213.1,214.2,210.89,207.52,206.63,207.85,208.24,207.56,206.75,208.67,208.9,208.51,211.05,211.23,211.0,210.27,214.71,212.34,212.67,212.86,211.68,209.76,210.1
155,M,False,211.34,212.11,211.91,211.63,210.74,210.66,210.81,208.73,208.33,209.93,210.62,212.25,211.3,209.67,208.18,209.06,209.34,208.57,207.26,207.76,210.1,210.1,207.89,207.26,209.03,209.61,209.16,209.09,207.82,207.51,208.91,209.26,209.19,209.42,210.02,210.11,210.83,209.81,210.84,211.56
156,M,False,207.76,210.1,210.1,207.89,207.26,209.03,209.61,209.16,209.09,207.82,207.51,208.91,209.26,209.19,209.42,210.02,210.11,210.83,209.81,210.84,211.56,212.74,212.96,212.41,214.57,215.89,214.1,214.49,214.98,214.94,216.02,217.12,217.07,217.7,219.23,219.12,220.02,219.26,220.17,220.31
157,M,True,265.19,265.92,264.66,263.55,264.54,265.37,265.08,265.73,266.76,266.15,267.65,267.64,267.86,267.88,269.12,269.2,269.59,265.97,266.16,264.8,265.26,264.78,262.85,263.34,265.03,264.09,263.87,268.28,263.26,262.69,263.8,264.08,262.87,261.71,259.74,258.33,257.73,259.26,260.25,260.79
