index,nar,time_start,xray_class,time_peak,time_end,USFLUX,MEANGAM,MEANGBT,MEANGBZ,MEANGBH,MEANJZD,TOTUSJZ,MEANJZH,TOTUSJH,ABSNJZH,SAVNCPP,MEANPOT,TOTPOT,MEANSHR,SHRGT45,R_VALUE,AREA_ACR,g_s,slf,d_l_f
153,11511,2012-06-23 18:36:00,NULL,not applicable,not applicable,1.2224966101694916e+21,41.44133898305084,166.5271186440678,162.62830508474576,95.12698305084744,0.0313737479661016,1980708474576.2712,-0.0135037847457627,113.98130508474576,22.82383050847457,534517983050.8475,4554.881355932203,1.024332372881356e+22,27.388000000000005,10.616674576271183,2.210483870967742,90.39893220338983,61.62959259259259,25.66795,83.7319827586207
154,11517,2012-07-02 21:00:00,NULL,not applicable,not applicable,2.6648050847457623e+22,52.43427118644068,105.87016949152542,107.5193220338983,63.67406779661016,0.1715022881355932,48122542372881.36,-0.0060919677966101,2223.438983050848,275.5596610169492,9616516949152.545,8801.618644067796,5.295510169491525e+23,42.56544067796611,41.13922033898306,4.360925423728814,1672.7033898305085,16280.525423728814,42.558593220338985,739.6157627118644
155,11518,2012-07-08 21:00:00,NULL,not applicable,not applicable,4.1340087719298246e+21,34.26221052631579,130.79684210526315,129.64491228070176,63.11377192982456,0.388830350877193,6723063157894.737,-0.0008790246666666,310.8314035087719,6.327808385964913,1448122456140.3508,2416.461403508772,2.133657894736842e+22,25.864280701754385,6.500352631578948,2.1626125,350.7975438596491,37.13025217391304,98.61806521739132,253.77043478260867
156,11523,2012-07-16 19:36:00,NULL,not applicable,not applicable,5.976452631578947e+21,43.11856140350877,126.3619298245614,126.22508771929824,63.49970175438597,0.2149736842105263,8766378947368.421,0.0012627714561403,435.9794736842105,12.086552280701753,1145865789473.6843,6068.164912280701,7.1595666666666666e+22,34.051736842105264,26.81956140350877,3.465331578947368,284.96526315789475,390.098947368421,21.58878947368421,146.2656140350877
157,11529,2012-07-30 07:36:00,NULL,not applicable,not applicable,6.862322033898307e+22,40.23435593220339,101.45210169491524,105.24762711864408,50.47798305084746,0.0279355286101694,92189542372881.36,-0.0002617698135593,4518.986440677966,99.35197288135592,4899123220338.983,7876.259322033898,1.0585593220338985e+24,34.07259322033899,25.0178813559322,4.773096610169492,3283.8338983050844,31020.57627118644,45.81437288135593,1069.4949152542374
158,11533,2012-08-03 23:12:00,NULL,not applicable,not applicable,5.837379661016948e+22,37.686915254237285,96.40328813559324,97.44206779661016,42.8264406779661,0.0521819257627118,67206423728813.56,-0.0048543508474576,3352.32372881356,426.9601694915255,8520057627118.645,7091.384745762711,8.284533898305085e+23,31.589881355932206,21.30681355932203,4.310559322033898,2299.0084745762706,3710.784745762712,46.89038983050848,921.2638983050848
159,11534,2012-08-01 17:12:00,NULL,not applicable,not applicable,3.242731578947368e+21,31.065438596491223,137.16947368421052,138.07929824561404,60.2529298245614,0.8037703508771931,5545517543859.649,0.0067316736842105,251.19263157894736,36.24035087719299,2606175438596.491,1680.145614035088,1.1813071929824562e+22,21.35991228070176,2.9228052631578945,2.126583333333333,503.05157894736845,,,
160,11537,2012-08-06 11:00:00,NULL,not applicable,not applicable,1.750489830508475e+21,61.93250847457627,88.15291525423729,83.23450847457627,61.96186440677966,-0.0782156794915254,2204596610169.492,-0.0049497796610169,92.5447118644068,13.924277966101698,215255593220.339,13091.983050847455,4.91488813559322e+22,49.512254237288126,62.04379661016949,2.275733333333333,79.5144745762712,,2.8689,16.279
161,11541,2012-08-07 03:24:00,NULL,not applicable,not applicable,3.662508474576271e+22,38.23369491525424,110.84915254237288,111.36033898305084,50.78496610169491,0.2950650847457627,54867254237288.13,0.0044129728813559,2490.359322033899,263.7542372881356,15488508474576.271,4760.159322033897,3.799842372881356e+23,31.5558813559322,20.34025423728814,4.145864406779661,2140.869491525424,2464.359322033899,58.61993220338984,790.7881355932202
162,11545,2012-08-11 21:24:00,NULL,not applicable,not applicable,2.166407254237288e+22,39.55683050847457,123.45788135593222,123.02203389830508,64.3541779661017,0.1377132474576271,24486246949152.543,0.0012213481694915,1217.914966101695,54.93574275423728,2035474237288.1355,3479.2288135593217,1.3927970338983053e+23,28.809203389830508,15.304459322033896,3.76888125,728.1039915254238,3013.057739130434,57.53665523809523,606.1026152380952
