index,time_start,time_peak,time_end,nar,xray_class,COINCIDENCE
157,2012-07-30 07:36:00,not applicable,not applicable,11529,N,False
158,2012-08-03 23:12:00,not applicable,not applicable,11533,N,False
159,2012-08-01 17:12:00,not applicable,not applicable,11534,N,False
160,2012-08-06 11:00:00,not applicable,not applicable,11537,N,False
161,2012-08-07 03:24:00,not applicable,not applicable,11541,N,False
162,2012-08-11 21:24:00,not applicable,not applicable,11545,N,False
163,2012-08-19 21:24:00,not applicable,not applicable,11546,N,False
164,2012-08-19 21:24:00,not applicable,not applicable,11547,N,False
165,2012-08-20 18:12:00,not applicable,not applicable,11549,N,False
166,2012-08-21 11:12:00,not applicable,not applicable,11550,N,False
167,2012-08-22 23:12:00,not applicable,not applicable,11551,N,False
168,2012-09-01 07:00:00,not applicable,not applicable,11557,N,False
169,2012-09-01 07:00:00,not applicable,not applicable,11559,N,False
170,2012-09-02 06:00:00,not applicable,not applicable,11561,N,False
171,2012-09-13 13:36:00,not applicable,not applicable,11570,N,False
172,2012-09-16 01:00:00,not applicable,not applicable,11571,N,False
173,2012-09-16 13:00:00,not applicable,not applicable,11572,N,False
174,2012-09-25 04:36:00,not applicable,not applicable,11581,N,False
175,2012-10-09 22:24:00,not applicable,not applicable,11586,N,False
176,2012-10-08 04:24:00,not applicable,not applicable,11588,N,False
177,2012-10-18 21:36:00,not applicable,not applicable,11592,N,False
178,2012-10-18 06:48:00,not applicable,not applicable,11595,N,False
179,2012-10-27 20:24:00,not applicable,not applicable,11600,N,False
180,2012-10-30 14:24:00,not applicable,not applicable,11601,N,False
181,2012-11-03 08:24:00,not applicable,not applicable,11602,N,False
182,2012-11-10 06:00:00,not applicable,not applicable,11605,N,False
183,2012-11-13 04:24:00,not applicable,not applicable,11609,N,False
184,2012-11-13 22:24:00,not applicable,not applicable,11612,N,False
185,2012-11-19 16:24:00,not applicable,not applicable,11616,N,False
186,2012-11-17 14:12:00,not applicable,not applicable,11617,N,False
187,2012-11-27 10:00:00,not applicable,not applicable,11622,N,False
188,2012-11-28 19:00:00,not applicable,not applicable,11624,N,False
189,2012-12-05 08:36:00,not applicable,not applicable,11626,N,False
190,2012-12-05 20:36:00,not applicable,not applicable,11627,N,False
191,2013-01-04 13:24:00,not applicable,not applicable,11642,N,False
192,2013-01-06 03:24:00,not applicable,not applicable,11647,N,False
193,2013-01-08 21:24:00,not applicable,not applicable,11648,N,False
194,2013-01-11 09:24:00,not applicable,not applicable,11649,N,False
195,2013-01-08 09:24:00,not applicable,not applicable,11651,N,False
196,2013-01-15 00:00:00,not applicable,not applicable,11656,N,False
197,2013-01-29 22:48:00,not applicable,not applicable,11662,N,False
198,2013-01-28 23:24:00,not applicable,not applicable,11664,N,False
199,2013-02-03 22:24:00,not applicable,not applicable,11668,N,False
200,2013-02-16 13:48:00,not applicable,not applicable,11671,N,False
201,2013-02-14 01:48:00,not applicable,not applicable,11672,N,False
202,2013-02-22 05:36:00,not applicable,not applicable,11677,N,False
203,2013-03-05 21:24:00,not applicable,not applicable,11685,N,False
204,2013-03-10 01:24:00,not applicable,not applicable,11693,N,False
205,2013-03-15 20:12:00,not applicable,not applicable,11697,N,False
206,2013-03-19 02:12:00,not applicable,not applicable,11699,N,False
207,2013-03-23 16:48:00,not applicable,not applicable,11702,N,False
208,2013-03-28 00:24:00,not applicable,not applicable,11705,N,False
209,2013-03-28 14:00:00,not applicable,not applicable,11706,N,False
210,2013-04-01 02:00:00,not applicable,not applicable,11707,N,False
211,2013-03-28 20:00:00,not applicable,not applicable,11709,N,False
212,2013-04-02 12:36:00,not applicable,not applicable,11712,N,False
213,2013-04-08 19:12:00,not applicable,not applicable,11716,N,False
214,2013-04-10 05:36:00,not applicable,not applicable,11720,N,False
215,2013-04-14 23:36:00,not applicable,not applicable,11722,N,False
216,2013-04-20 16:12:00,not applicable,not applicable,11725,N,False
217,2013-04-28 20:48:00,not applicable,not applicable,11728,N,False
218,2013-04-25 02:48:00,not applicable,not applicable,11729,N,False
219,2013-05-06 10:24:00,not applicable,not applicable,11737,N,False
220,2013-05-16 08:48:00,not applicable,not applicable,11747,N,False
221,2013-05-16 14:48:00,not applicable,not applicable,11749,N,False
222,2013-06-01 17:36:00,not applicable,not applicable,11758,N,False
223,2013-06-01 17:36:00,not applicable,not applicable,11759,N,False
224,2013-06-03 08:48:00,not applicable,not applicable,11763,N,False
225,2013-06-04 20:48:00,not applicable,not applicable,11764,N,False
226,2013-06-04 17:12:00,not applicable,not applicable,11766,N,False
227,2013-06-11 11:12:00,not applicable,not applicable,11767,N,False
228,2013-06-20 10:00:00,not applicable,not applicable,11771,N,False
229,2013-06-28 20:12:00,not applicable,not applicable,11779,N,False
230,2013-07-01 02:36:00,not applicable,not applicable,11782,N,False
231,2013-07-04 03:00:00,not applicable,not applicable,11786,N,False
232,2013-07-10 22:00:00,not applicable,not applicable,11789,N,False
233,2013-07-08 22:00:00,not applicable,not applicable,11790,N,False
234,2013-07-20 03:12:00,not applicable,not applicable,11795,N,False
235,2013-07-18 09:12:00,not applicable,not applicable,11796,N,False
236,2013-07-20 13:24:00,not applicable,not applicable,11797,N,False
237,2013-07-29 02:00:00,not applicable,not applicable,11799,N,False
238,2013-07-25 02:00:00,not applicable,not applicable,11802,N,False
239,2013-07-22 02:00:00,not applicable,not applicable,11804,N,False
240,2013-08-04 21:00:00,not applicable,not applicable,11811,N,False
241,2013-08-01 15:00:00,not applicable,not applicable,11812,N,False
242,2013-08-13 09:00:00,not applicable,not applicable,11814,N,False
243,2013-08-06 05:48:00,not applicable,not applicable,11815,N,False
244,2013-08-14 20:12:00,not applicable,not applicable,11816,N,False
245,2013-08-16 08:12:00,not applicable,not applicable,11821,N,False
246,2013-08-18 08:12:00,not applicable,not applicable,11822,N,False
247,2013-08-22 20:00:00,not applicable,not applicable,11826,N,False
248,2013-08-24 11:48:00,not applicable,not applicable,11831,N,False
249,2013-08-24 11:48:00,not applicable,not applicable,11832,N,False
250,2013-08-24 11:48:00,not applicable,not applicable,11833,N,False
251,2013-09-01 18:48:00,not applicable,not applicable,11835,N,False
252,2013-09-11 00:48:00,not applicable,not applicable,11839,N,False
253,2013-09-07 13:12:00,not applicable,not applicable,11840,N,False
254,2013-09-12 23:24:00,not applicable,not applicable,11842,N,False
255,2013-09-20 04:24:00,not applicable,not applicable,11843,N,False
256,2013-09-24 04:48:00,not applicable,not applicable,11848,N,False
257,2013-09-24 10:48:00,not applicable,not applicable,11849,N,False
258,2013-09-27 16:48:00,not applicable,not applicable,11851,N,False
259,2013-09-24 12:00:00,not applicable,not applicable,11852,N,False
260,2013-10-01 18:00:00,not applicable,not applicable,11854,N,False
261,2013-10-04 00:00:00,not applicable,not applicable,11855,N,False
262,2013-10-01 23:36:00,not applicable,not applicable,11858,N,False
263,2013-10-06 01:48:00,not applicable,not applicable,11859,N,False
264,2013-10-10 07:48:00,not applicable,not applicable,11860,N,False
265,2013-10-07 19:48:00,not applicable,not applicable,11862,N,False
266,2013-10-11 17:24:00,not applicable,not applicable,11863,N,False
267,2013-10-13 23:24:00,not applicable,not applicable,11864,N,False
268,2013-10-09 11:24:00,not applicable,not applicable,11866,N,False
269,2013-10-19 09:12:00,not applicable,not applicable,11871,N,False
270,2013-10-20 21:12:00,not applicable,not applicable,11872,N,False
271,2013-10-21 03:12:00,not applicable,not applicable,11874,N,False
