,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,tss,validation_tss,loss,validation_loss,hss,validation_hss
82,82.0,7.0,,,,,,0.7844242453575134,0.7215400338172913,1.0919264554977417,1.330222249031067,0.7641156911849976,0.7221331000328064
83,83.0,8.0,,,,,,0.7950533032417297,0.7882067561149597,1.0596767663955688,1.1421964168548584,0.7690250873565674,0.7651908993721008
84,84.0,9.0,,,,,,0.7523441314697266,0.6875264644622803,1.0627049207687378,1.3361424207687378,0.7530677318572998,0.7089003920555115
85,85.0,10.0,,,,,,0.7212848663330078,0.6875264644622803,1.1796131134033203,1.4295254945755005,0.7182177305221558,0.7089003920555115
86,86.0,11.0,,,,,,0.7079893350601196,0.6875264644622803,1.165730118751526,1.4407309293746948,0.7248426079750061,0.7089003920555115
87,87.0,12.0,,,,,,0.5520938634872437,0.462089329957962,1.7103753089904783,2.5959603786468506,0.577074408531189,0.5381205081939697
88,88.0,13.0,,,,,,0.4436167776584625,0.7008216977119446,2.4122116565704346,1.7297133207321167,0.5208753347396851,0.7131462097167969
89,89.0,14.0,,,,,,0.6306970119476318,0.6736529469490051,1.6292239427566528,1.52644145488739,0.6743479371070862,0.7090222835540771
90,90.0,15.0,,,,,,0.6034321784973145,0.7176439166069031,1.6538172960281372,1.5305885076522827,0.6462510824203491,0.7254242897033691
91,91.0,16.0,,,,,,0.5874009132385254,0.7176439166069031,1.741055965423584,1.6386151313781738,0.6426355838775635,0.7254242897033691
92,92.0,17.0,,,,,,0.604345440864563,0.7176439166069031,1.709904432296753,1.6992549896240234,0.6492077112197876,0.7254242897033691
93,93.0,18.0,,,,,,0.6741881966590881,0.8001835942268372,1.5797672271728516,1.3158527612686155,0.7026973962783813,0.7907679080963135
94,94.0,19.0,,,,,,0.6442974805831909,0.8001835942268372,1.5352014303207395,1.3131848573684692,0.6709149479866028,0.7907679080963135
95,95.0,20.0,,,,,,0.666052520275116,0.7503118515014648,1.535669445991516,1.4251214265823364,0.6380128264427185,0.6946794390678406
96,96.0,21.0,,,,,,0.7524283528327942,0.7649509310722351,1.3181360960006714,1.4082951545715332,0.7467724680900574,0.7328028678894043
97,97.0,22.0,,,,,,0.7674763798713684,0.7649509310722351,1.2866719961166382,1.4105857610702517,0.7663777470588684,0.7328028678894043
98,98.0,23.0,,,,,,0.7578145265579224,0.7409567832946777,1.2338043451309204,1.2572776079177856,0.7509897947311401,0.7167611122131348
99,99.0,24.0,,,,,,0.7357449531555176,0.7409567832946777,1.29659903049469,1.2436474561691284,0.7375961542129517,0.7167611122131348
100,100.0,25.0,,,,,,0.7264353036880493,0.7409567832946777,1.2896991968154907,1.2410322427749634,0.7333194017410278,0.7167611122131348
101,101.0,26.0,,,,,,0.7380442023277283,0.7060510516166687,1.2246917486190796,1.954997181892395,0.7394994497299194,0.624120831489563
102,102.0,27.0,,,,,,0.7561134696006775,0.7503962516784668,1.238489866256714,1.5368157625198364,0.69416743516922,0.7098259925842285
103,103.0,28.0,,,,,,0.7891045212745667,0.7649509310722351,1.003151297569275,1.4448158740997314,0.7495146989822388,0.7328028678894043
