,FLARE_TYPE,COINCIDENCE,MEANJZH_1,MEANJZH_2,MEANJZH_3,MEANJZH_4,MEANJZH_5,MEANJZH_6,MEANJZH_7,MEANJZH_8,MEANJZH_9,MEANJZH_10,MEANJZH_11,MEANJZH_12,MEANJZH_13,MEANJZH_14,MEANJZH_15,MEANJZH_16,MEANJZH_17,MEANJZH_18,MEANJZH_19,MEANJZH_20,MEANJZH_21,MEANJZH_22,MEANJZH_23,MEANJZH_24,MEANJZH_25
77,M,False,0.017381,0.017725,0.018196,0.018252,0.018289,0.018335,0.018767,0.019267,0.019509,0.019972,0.020501,0.02065,0.020501,0.020554,0.020105,0.02065,0.021392,0.021206,0.021838,0.021678,0.022535,0.022287,0.022538,0.022519,0.022433
78,M,True,0.032631,0.033139,0.033153,0.032849,0.032456,0.032875,0.032068,0.031608,0.032461,0.03174,0.031198,0.031289,0.031293,0.032391,0.03189,0.033069,0.032789,0.032898,0.033097,0.033846,0.033061,0.03367,0.032967,0.034345,0.032702
79,M,False,0.031239,0.03353,0.034282,0.03378,0.034426,0.034484,0.033936,0.034301,0.032293,0.033209,0.032577,0.032024,0.031674,0.030529,0.030513,0.030248,0.028857,0.028919,0.028576,0.028261,0.029798,0.02997,0.030983,0.031335,0.033957
80,M,True,0.019357,0.019339,0.019025,0.018728,0.018605,0.018486,0.018432,0.01835,0.018537,0.018144,0.018258,0.018655,0.018275,0.018215,0.018375,0.018361,0.018746,0.018459,0.018497,0.018175,0.018151,0.018444,0.018278,0.018483,0.018458
81,M,False,0.017188,0.017226,0.016898,0.016822,0.016537,0.016859,0.017162,0.016748,0.016724,0.016796,0.016618,0.016366,0.016409,0.01622,0.016038,0.015662,0.015856,0.015285,0.015089,0.01491,0.014839,0.014741,0.014918,0.014699,0.014306
82,M,True,-0.0026255,-0.0025911,-0.0024967,-0.0025831,-0.0022056,-0.0021038,-0.0026891,-0.0027275,-0.002234,-0.0026623,-0.0025896,-0.0030592,-0.0031952,-0.0023837,-0.0034102,-0.0025465,-0.0030365,-0.0028474,-0.0025264,-0.0027541,-0.0027682,-0.0031902,-0.002826,-0.002803,-0.0027369
83,M,False,-0.003846,-0.0038335,-0.0035323,-0.0037006,-0.0032127,-0.0030231,-0.0026485,-0.0022707,-0.0024299,-0.0017708,-0.002142,-0.0018149,-0.0018053,-0.0019291,-0.0018883,-0.0021479,-0.0021549,-0.0026014,-0.0025648,-0.0030125,-0.0029238,-0.0031767,-0.0033607,-0.0030313,-0.0028216
84,M,False,-0.0021549,-0.0026014,-0.0025648,-0.0030125,-0.0029238,-0.0031767,-0.0033607,-0.0030313,-0.0028216,-0.0030548,-0.0024028,-0.0025603,-0.0025206,-0.0029864,-0.0024969,-0.0026484,-0.0027014,-0.0025094,-0.002477,-0.0025315,-0.0022103,-0.0019213,-0.0021643,-0.0022703,-0.0021901
85,M,True,-0.0014641,-0.0013295,-0.0020975,-0.0016883,-0.0010415,-0.00081105,-0.0010127,-0.0010579,-0.00048461,-0.00065085,-0.00030928,-0.00042669,-0.0005726,-4.3764e-05,-0.00068512,-0.00015604,-0.00026622,0.00015422,0.00069579,0.0001644,-4.0934e-05,-0.0002522,-0.00071484,-0.001294,-0.0017752
86,M,True,0.0098359,0.010353,0.0098498,0.0096615,0.0089188,0.0088026,0.008906,0.0095199,0.0090917,0.0093424,0.0087018,0.0089822,0.0089927,0.0080763,0.0079966,0.00796,0.0074661,0.0066443,0.0070654,0.0053949,0.006165,0.005888,0.0065683,0.0072072,0.0068189
87,M,False,0.0089234,0.0083326,0.0083873,0.0085925,0.008579,0.0080127,0.0082539,0.0087792,0.0091368,0.0096427,0.0087584,0.0092255,0.01011,0.0093898,0.0093186,0.0093689,0.0094295,0.0096282,0.0093577,0.0092346,0.009411,0.0096647,0.0092056,0.0085474,0.0076443
88,M,False,0.0057163,0.0066135,0.0060058,0.0066148,0.0049197,0.0060806,0.0062224,0.0064418,0.0059634,0.006836,0.0067547,0.0067156,0.0066964,0.0067225,0.0060277,0.006266,0.0059056,0.0060854,0.0053464,0.0056865,0.0059486,0.0057388,0.005462,0.0052535,0.0049252
89,M,False,-0.0019396,-0.0020951,-0.0017475,-0.0020122,-0.0023354,-0.0020747,-0.0021321,-0.002375,-0.0023463,-0.0019736,-0.0016391,-0.0015486,-0.0024184,-0.0018733,-0.0015974,-0.0015106,-0.0014509,-0.0015561,-0.00078194,-0.0012812,-0.0010806,-0.00098788,-0.00098688,-0.0015194,-0.00096394
90,M,True,0.0047297,0.0046287,0.0049743,0.0048532,0.0046332,0.0051213,0.0047267,0.0049733,0.0046504,0.0051344,0.0048098,0.0048002,0.0051104,0.0049379,0.0048234,0.0046352,0.0044964,0.0046036,0.0041995,0.0040347,0.0043014,0.0043639,0.0043923,0.0046506,0.0048739
91,M,True,-0.0067457,-0.0090913,-0.0078478,-0.0070742,-0.0069252,-0.005979,-0.011854,-0.0084532,-0.007838,-0.0077779,-0.0052512,-0.0081803,-0.010696,-0.0097427,-0.010182,-0.0092332,-0.0086918,-0.0083944,-0.0080928,-0.0094038,-0.0093911,-0.0088566,-0.0085856,-0.00061541,-0.00311
92,M,False,-0.006913,-0.0064888,-0.0074789,-0.0054943,-0.0041099,-0.0057319,-0.0092483,-0.0050638,-0.0058705,-0.0084891,-0.007235,-0.0079966,-0.0074062,-0.011987,-0.0067367,-0.0077247,-0.012422,-0.013063,-0.007681,-0.012841,-0.012772,-0.013093,-0.0079419,-0.0090845,-0.0081979
93,M,False,0.00065957,0.00096513,0.00015239,0.0010804,0.000543,0.0007572,0.0013623,0.00089162,0.00089265,0.0011599,0.00075133,0.00062279,0.0013282,0.00044576,0.0011241,0.00025866,0.00095289,-0.00058313,-0.00068933,7.4643e-05,5.2277e-05,0.00010848,0.00028857,0.00050655,0.00070015
94,M,True,-0.0081979,-0.014669,-0.0080827,-0.0084158,-0.0076466,-0.0080628,-0.005725,-0.007506,-0.0080508,-0.0037046,-0.0027942,-0.0036805,-0.0071375,-0.0027534,-0.0082037,-0.0092813,-0.01023,-0.0058976,-0.0037543,-0.0077527,-0.0089999,-0.0081654,-0.018194,-0.0076293,-0.01316
95,M,False,-0.0084158,-0.0076466,-0.0080628,-0.005725,-0.007506,-0.0080508,-0.0037046,-0.0027942,-0.0036805,-0.0071375,-0.0027534,-0.0082037,-0.0092813,-0.01023,-0.0058976,-0.0037543,-0.0077527,-0.0089999,-0.0081654,-0.018194,-0.0076293,-0.01316,-0.0071018,-0.012594,-0.0079775
96,M,False,-0.0037046,-0.0027942,-0.0036805,-0.0071375,-0.0027534,-0.0082037,-0.0092813,-0.01023,-0.0058976,-0.0037543,-0.0077527,-0.0089999,-0.0081654,-0.018194,-0.0076293,-0.01316,-0.0071018,-0.012594,-0.0079775,-0.0061287,-0.013785,-0.015092,-0.014118,-0.01334,-0.014757
97,M,False,-0.0092813,-0.01023,-0.0058976,-0.0037543,-0.0077527,-0.0089999,-0.0081654,-0.018194,-0.0076293,-0.01316,-0.0071018,-0.012594,-0.0079775,-0.0061287,-0.013785,-0.015092,-0.014118,-0.01334,-0.014757,-0.013261,-0.013046,-0.013331,-0.013019,-0.010922,-0.012573
98,M,True,-0.0052658,-0.0056284,-0.0058068,-0.0042537,-0.0038684,-0.0039888,-0.0057151,-0.0060008,-0.003762,-0.0032499,-0.001451,-0.0028576,-0.0044216,-0.0039244,-0.0065555,-0.0030103,-0.0035541,-0.0037138,-0.0035794,-0.0064959,-0.0036647,-0.0047393,-0.0032677,-0.0031354,-0.0041209
99,M,False,-0.0086483,-0.011818,-0.012398,-0.011267,-0.010602,-0.010098,-0.0098104,-0.010074,-0.01098,-0.011452,-0.011793,-0.014637,-0.014995,-0.013053,-0.014345,-0.015417,-0.014982,-0.015841,-0.015723,-0.017514,-0.018339,-0.01866,-0.018261,-0.018297,-0.01876
100,M,False,-0.006639,-0.0061653,-0.0057403,-0.0053101,-0.006259,-0.0075363,-0.0084426,-0.0072698,-0.0078823,-0.0067026,-0.0072265,-0.0069251,-0.0064369,-0.006218,-0.0050284,-0.0043573,-0.0042057,-0.0037059,-0.0035105,-0.0036036,-0.0037238,-0.0026753,-0.0028801,-0.0030516,-0.0036525
101,M,False,-0.0063997,-0.0061476,-0.0065924,-0.0069542,-0.0067155,-0.0067831,-0.0065097,-0.0069162,-0.0067564,-0.0068282,-0.0068966,-0.0067504,-0.0069534,-0.0066849,-0.0060125,-0.0059114,-0.0061833,-0.006327,-0.0061018,-0.0057948,-0.005561,-0.0054952,-0.0061926,-0.0060869,-0.0061773
102,M,True,-0.014509,-0.014266,-0.013229,-0.015031,-0.014628,-0.015973,-0.015758,-0.014933,-0.01424,-0.013004,-0.012572,-0.014195,-0.014217,-0.014803,-0.015099,-0.015482,-0.01574,-0.015733,-0.01743,-0.017627,-0.017788,-0.017305,-0.018686,-0.018767,-0.019714
103,M,True,-0.013309,-0.02165,-0.021628,-0.013669,-0.022151,-0.022805,-0.014684,-0.022161,-0.022874,-0.02287,-0.022778,-0.022675,-0.023204,-0.023438,-0.021951,-0.022309,-0.023051,-0.023676,-0.024512,-0.024844,-0.024298,-0.023728,-0.023429,-0.023848,-0.024394
104,M,False,-0.030799,-0.031781,-0.031694,-0.031392,-0.031312,-0.030601,-0.031085,-0.030171,-0.029398,-0.02982,-0.029276,-0.02943,-0.029267,-0.028652,-0.029638,-0.028529,-0.027142,-0.027884,-0.027587,-0.027239,-0.026989,-0.025636,-0.025943,-0.027327,-0.029032
105,M,False,-0.01484,-0.014196,-0.014624,-0.013613,-0.012844,-0.012024,-0.011677,-0.011573,-0.011526,-0.011543,-0.011708,-0.012528,-0.01248,-0.013379,-0.01307,-0.01323,-0.013364,-0.013884,-0.013944,-0.014199,-0.014191,-0.014721,-0.014421,-0.013645,-0.012844
106,M,False,-0.0009104,-0.0010871,-0.0011294,-0.00127,-0.0011957,-0.0010395,-0.0010513,-0.0012349,-0.0011326,-0.0014975,-0.0015323,-0.0014318,-0.0016383,-0.0018793,-0.0022214,-0.0020536,-0.0022427,-0.0021332,-0.002399,-0.0024473,-0.0022024,-0.0024735,-0.0020759,-0.0020006,-0.0020259
107,M,False,-0.0023779,-0.0022372,-0.0022215,-0.0021398,-0.0020199,-0.0017058,-0.0017418,-0.0018072,-0.001854,-0.001609,-0.0014659,-0.0012634,-0.0017582,-0.0019874,-0.0016662,-0.0018145,-0.001642,-0.0019621,-0.0019952,-0.0018856,-0.0019253,-0.0019648,-0.0014037,-0.002069,-0.0023068
108,M,True,-0.0032041,-0.0039294,-0.0026339,-0.0021957,-0.0039863,-0.0063965,-0.0023522,-0.0085027,-0.0014927,-0.002864,-0.0053678,-0.0072042,-0.0086329,-0.0067597,-0.0077105,-0.0026432,-0.0027257,-0.009677,-0.0098601,-0.0091838,-0.0048833,-0.011381,-0.007918,-0.0064508,-0.012087
109,M,True,0.0025505,-0.0006541,0.0034591,0.0046324,0.003887,-0.00080989,0.00010964,-0.00080908,-0.00026046,-0.0026387,0.0041589,-9.2892e-05,-0.0015533,0.00046029,-0.00039785,-0.00090926,0.003186,0.00085371,0.0024083,0.0021775,0.00012855,-0.001527,-0.00078038,-0.00090346,-0.0002367
110,M,True,0.0015256,0.001603,0.0024388,0.0019106,0.0023221,0.0016821,0.0027949,0.0019843,0.0028388,0.0028314,0.0026652,0.0024221,0.0018459,0.0026363,0.0016749,0.0022308,0.0023281,0.0020098,0.0019723,0.00058025,0.0024305,0.00046306,0.0021356,0.001421,0.0016309
111,M,True,-0.0019464,0.0005082,-0.0015083,0.0006542,0.00050842,0.00035654,0.00020244,-0.0020673,0.00077714,-0.00073572,-0.0010198,-0.0016889,-0.001617,0.00017311,-0.00025675,0.00013334,-0.00034064,-0.00052322,-0.00056972,-0.0005521,-0.00062259,-0.00073356,-0.00061323,-0.00067177,-0.00054312
112,M,True,-0.00012962,-0.00017774,-0.00015086,-0.00028177,-0.00047002,-0.00039556,-0.00024259,-0.00063753,-0.0008531,-0.00093607,-0.00089922,-0.0005848,-0.0007999,-0.00039233,-0.00043704,-0.000577,-0.00037921,-0.00036726,-0.00016563,1.367e-05,-0.00035551,-0.00037093,-0.00020618,-0.00019695,-1.7979e-05
113,M,True,-0.00050749,-0.00049918,-0.00060586,-0.00045476,-0.00054623,-0.00081866,-0.00066821,-0.00081293,-0.0007453,-0.00059382,-0.0004465,-0.00057182,-0.00089525,-0.00078567,-0.00041656,-0.00047123,-0.000402,-0.00069805,-0.0006352,-0.0007342,-0.00084118,-0.0008488,-0.001122,-0.0010263,-0.0011674
114,M,False,-0.0012214,-0.0012735,-0.0014644,-0.0015485,-0.0013808,-0.0014359,-0.0015328,-0.0015481,-0.001525,-0.0018054,-0.0018189,-0.0018523,-0.0017271,-0.0015783,-0.0015837,-0.0016134,-0.0015888,-0.0014785,-0.001229,-0.0014247,-0.0013602,-0.0011545,-0.0011149,-0.0013525,-0.0013472
115,M,False,-0.0011545,-0.0011149,-0.0013525,-0.0013472,-0.001479,-0.00139,-0.00099921,-0.0012515,-0.0014749,-0.0016611,-0.0015366,-0.001563,-0.0015076,-0.0014777,-0.0013293,-0.0014837,-0.00099936,-0.0011025,-0.0010402,-0.0011433,-0.0015927,-0.0013654,-0.0014981,-0.0013953,-0.0013436
