,LD1,xray_class,jitter
145,-2.393684961181993,B,0.20810637018108258
146,-3.522031108680013,B,0.19550397880955406
147,-2.3829775725664564,B,0.4315487642553797
148,-1.6849002887420887,B,0.9503595538131059
149,-1.384906414831412,B,0.6628719452614458
150,0.20118038504103763,B,0.9638977137347531
151,-2.15488058388247,B,0.2680815637492895
152,-0.6970089987134519,B,0.7878781648507638
153,-2.295483137290058,B,0.05192767614024696
156,-1.8317108646037485,B,0.1479209365102675
158,-1.3262877019323125,B,0.0773864261887589
162,-1.1572746245110204,B,0.8628789970885536
163,-1.1741067438287969,B,0.4778843691405036
165,-1.4347550696437599,B,0.40802772780940944
169,-1.892288616635583,B,0.04973336506831161
170,-1.880616733610839,B,0.010143092527626685
171,-1.1718936749842621,B,0.9042218737786525
172,-1.7367490893054016,B,0.4735180863777009
173,-1.4098340610881743,B,0.8456706239090269
174,-3.1101169416590757,B,0.5389480009724347
175,-1.6966298455843971,B,0.6087220424506385
176,-0.944438047483537,B,0.966090822573961
179,-2.3387138150290854,B,0.45811829582687946
181,-0.9747831026860286,B,0.7431524788632348
182,-1.0468677470515888,B,0.17744253972042046
184,-2.728289446269825,B,0.9700381211284781
185,-2.4008112664692045,B,0.20572667487560914
187,-0.32629005054810956,B,0.3582654845168717
189,-1.384601132397238,B,0.9394044972301556
191,-3.1578514150873445,B,0.24317389284379054
192,-3.130016111701791,B,0.11075499420385604
193,-1.4903125260895456,B,0.3517650650205515
194,-1.8486978867480965,B,0.9938239880353313
195,-2.4330729197931857,B,0.03994108606840585
197,-0.7372161743296728,B,0.2452175229198731
201,-2.0844979419646283,B,0.32346906898192773
202,-0.45166360367942193,B,0.08508951969103895
203,-1.9387573450391131,B,0.61188785719421
204,-2.74173267773672,B,0.8857370662244237
206,-1.3545782036798482,B,0.944899983070311
207,-0.9380294200624638,B,0.3558948319475076
209,-1.82070107050393,B,0.4703580031023259
210,-1.9226009601542764,B,0.06084214478013972
211,-2.2081485362818043,B,0.8767155175079606
213,-1.2620477995428108,B,0.3724614902649118
214,-2.7823898178643014,B,0.48752224972783154
215,-2.165518650164398,B,0.4921432849317452
218,-1.6888483724860555,B,0.5902768860535486
219,-0.8617043450526564,B,0.6009670920060859
220,-1.222504171523257,B,0.7120843263436952
221,-2.6637870528479293,B,0.4600843766355881
223,-2.162784591836497,B,0.9779609645182502
226,-2.2617338240794482,B,0.0801802656681091
228,-1.9093147399739987,B,0.9479027593640323
232,-2.6379244967724977,B,0.8876681853808648
233,-2.1420741691573006,B,0.8608215552321695
236,-1.291023403058128,B,0.27834074690036137
240,-1.7282125922092648,B,0.46187436349028776
241,-1.5494626489132919,B,0.8110798373905825
242,-2.3435227555818114,B,0.18872041387831529
243,-1.7976270945606652,B,0.7893298199451948
244,-1.9539953146559097,B,0.2412000123273187
246,-1.4103439693072874,B,0.9149544150654988
247,-1.454860679066522,B,0.7147824196597848
249,-1.2605935033786353,B,0.48070813197394957
251,-1.3030915676872907,B,0.7217007338847043
252,-2.341887466958517,B,0.7212127218883841
253,-1.3868505120885637,B,0.08655244859221922
