,FLARE_TYPE,COINCIDENCE,slf_1,slf_2,slf_3,slf_4,slf_5,slf_6,slf_7,slf_8,slf_9,slf_10,slf_11,slf_12,slf_13,slf_14,slf_15
143,M,False,11.064,10.854,10.374,10.282,10.294,10.064,10.505,10.305,10.147,10.073,10.034,9.8744,9.692,9.8554,9.9123
144,M,False,9.692,9.8554,9.9123,9.7248,9.5802,9.3475,9.1112,9.0781,9.4841,8.8207,9.3351,9.0459,9.0899,9.2637,9.2498
145,M,False,9.5314,9.4627,9.0943,9.355,9.3144,9.2174,9.2797,9.185,9.1311,9.1241,9.0111,9.2609,8.9799,8.6686,8.817
146,M,False,8.2542,7.799,7.7132,7.5826,7.6332,7.665,7.4874,7.7298,7.7173,7.5602,7.4639,7.4364,7.5583,7.496,7.2058
147,M,False,6.5876,6.5863,6.3931,6.3453,6.4807,6.6183,6.7598,6.5545,5.4491,7.0448,7.109,7.1218,6.8063,6.8011,6.7412
148,M,False,10.429,10.377,10.49,10.208,10.246,10.422,10.341,10.391,10.188,10.261,10.063,9.922,9.9999,9.9539,9.8878
149,M,False,12.507,12.259,12.137,12.351,12.235,12.367,12.45,12.356,12.537,12.386,12.421,12.225,12.228,12.286,12.474
150,M,False,15.788,16.092,16.319,16.148,15.977,15.949,16.17,16.332,16.434,16.396,16.191,16.621,16.591,16.83,17.104
151,M,True,24.608,25.121,26.031,25.782,26.232,26.769,28.454,28.589,28.355,30.03,30.687,32.058,31.316,29.451,31.107
152,M,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153,M,False,35.718,36.644,36.388,36.778,37.936,37.475,37.942,38.442,38.303,37.461,36.82,37.801,37.7,38.824,38.516
154,M,True,4.247,4.5522,2.9312,1.5031,1.6791,0.96118,1.2117,2.7827,2.2658,2.9816,2.7686,3.1962,3.0748,3.4733,2.6655
155,M,False,6.4447,14.977,14.151,14.553,14.605,14.575,6.7409,6.7514,6.5861,6.5287,14.554,14.597,14.539,14.498,14.595
156,M,True,15.973,15.833,16.0,15.996,15.69,15.095,15.875,15.297,16.02,16.174,16.038,15.922,15.778,15.614,15.877
157,M,True,13.119,12.919,12.993,12.983,12.557,12.491,12.43,11.892,12.769,12.921,12.632,12.903,13.197,12.826,12.842
158,M,False,12.769,12.921,12.632,12.903,13.197,12.826,12.842,12.829,12.765,12.765,12.439,12.658,12.53,11.618,11.728
159,M,False,10.962,10.674,10.838,10.807,10.8,10.67,10.816,10.719,10.797,10.733,10.663,10.752,10.773,10.693,10.368
160,M,False,10.28,10.171,10.255,10.406,10.115,10.153,10.052,10.136,10.191,10.027,10.063,10.088,10.041,10.157,10.198
161,M,False,9.1671,8.3708,8.0795,5.7948,5.9996,6.0902,6.8844,5.9144,6.0362,5.6213,6.1322,5.8641,23.378,21.01,5.2282
162,M,False,39.467,39.891,40.414,40.699,40.114,40.936,40.428,39.472,39.842,40.032,41.896,40.872,41.828,41.667,40.324
163,M,True,2.0655,4.8351,1.8315,2.1235,1.3948,1.2021,1.7702,2.9492,6.3447,2.0729,89.497,0.0,8.7856,8.9086,10.401
164,M,False,0.0,0.0,0.0,0.0,0.0,55.935,0.0,4.0532,0.0,0.0,0.0,0.0,0.0,0.0,0.0
165,M,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
166,M,False,10.205,10.33,10.307,10.271,10.479,10.464,10.494,10.612,10.441,10.338,10.489,10.556,10.483,10.539,10.65
167,M,True,112.33,65.891,9.8583,81.32,10.104,9.8906,39.965,8.5913,8.0083,8.377,8.5462,9.034,16.446,8.7349,7.7639
168,M,False,10.828,10.556,10.542,10.17,10.495,10.432,10.665,10.838,10.898,10.841,10.194,11.097,10.617,10.953,11.116
169,M,True,25.965,26.095,26.207,26.718,27.157,25.961,26.041,26.78,26.508,26.022,26.501,27.012,27.526,27.09,27.884
170,M,False,34.165,33.994,34.115,33.669,34.155,34.021,33.473,33.8,33.953,33.894,33.703,33.469,32.967,33.737,34.731
171,M,True,30.408,30.713,31.495,32.162,31.653,31.145,32.038,32.291,32.565,32.764,32.297,32.208,33.742,33.434,33.407
172,M,False,37.519,38.227,38.345,37.737,38.315,38.194,38.758,38.54,38.923,39.315,39.4,39.884,39.281,40.016,40.463
173,M,True,11.266,11.165,10.993,10.95,11.11,11.226,11.123,11.081,10.92,10.798,10.906,11.142,10.62,10.684,10.3
174,M,False,9.848,9.9125,9.9115,9.8412,9.7842,9.7829,9.77,9.631,9.6391,9.6626,9.7229,9.9056,9.7461,9.6119,9.6127
175,M,False,9.4835,9.6326,9.5166,9.4774,9.4148,9.6829,9.7235,9.6054,9.5465,9.4502,9.4994,9.6659,9.628,9.6812,9.7196
176,M,True,11.529,11.632,11.398,11.415,11.505,11.529,11.432,11.6,11.701,11.55,11.617,11.65,11.54,11.549,11.582
177,M,True,11.349,11.062,11.024,11.12,11.212,11.002,10.979,10.853,10.811,10.712,10.74,10.695,10.795,10.88,10.873
178,M,True,10.795,10.88,10.873,10.862,10.969,10.779,10.805,10.965,10.846,10.83,10.741,10.749,10.745,10.785,10.828
179,M,True,10.745,10.785,10.828,10.874,10.849,10.78,10.743,10.907,10.969,10.932,11.043,11.055,10.877,10.961,11.049
180,M,True,10.416,10.558,10.524,10.542,10.524,10.637,10.617,10.641,10.672,10.625,10.697,10.755,10.763,10.782,10.872
181,M,False,10.625,10.697,10.755,10.763,10.782,10.872,10.872,10.646,10.771,10.813,10.772,10.879,10.791,10.759,10.781
182,M,False,10.872,10.646,10.771,10.813,10.772,10.879,10.791,10.759,10.781,10.849,10.911,10.476,10.937,10.953,10.499
183,M,True,10.781,10.849,10.911,10.476,10.937,10.953,10.499,11.065,11.032,10.907,10.423,10.31,10.413,10.342,10.391
184,M,True,10.937,10.953,10.499,11.065,11.032,10.907,10.423,10.31,10.413,10.342,10.391,10.36,10.274,10.253,10.125
185,M,False,10.211,10.106,10.249,10.217,10.133,10.209,10.264,10.303,10.361,10.28,10.213,10.121,10.132,10.172,10.086
186,M,False,28.011,34.389,6.3972,33.356,40.97,54.196,75.734,86.569,96.84,0.0,0.0,26.648,18.877,10.775,74.194
187,M,True,9.9278,9.9676,10.136,9.9445,9.9627,9.7397,9.8527,9.863,9.9215,9.798,9.7902,9.8601,9.9032,9.8174,9.8124
188,M,False,9.9627,9.7397,9.8527,9.863,9.9215,9.798,9.7902,9.8601,9.9032,9.8174,9.8124,9.8357,9.9124,9.7496,9.913
189,M,False,9.8601,9.9032,9.8174,9.8124,9.8357,9.9124,9.7496,9.913,9.8321,9.9418,10.077,9.9085,9.8863,9.8278,9.6498
190,M,True,9.1577,9.1746,9.0854,8.9359,8.9095,8.9682,8.9334,9.0758,9.1455,9.1145,9.3191,9.2189,9.1396,9.3496,9.3205
191,M,False,9.0758,9.1455,9.1145,9.3191,9.2189,9.1396,9.3496,9.3205,9.367,9.4536,9.4652,9.7448,9.6155,9.5806,9.5799
192,M,True,10.081,9.9514,9.8881,10.026,10.237,10.152,10.221,10.304,10.225,10.123,10.166,10.132,10.057,10.034,9.9868
193,M,False,10.221,10.304,10.225,10.123,10.166,10.132,10.057,10.034,9.9868,9.9957,10.197,10.167,10.235,10.253,10.21
194,M,True,10.235,10.243,10.232,10.134,10.269,10.174,10.202,10.148,10.114,10.12,10.219,10.088,10.07,10.258,10.373
