,FLARE_TYPE,COINCIDENCE,MEANGAM_1,MEANGAM_2,MEANGAM_3,MEANGAM_4,MEANGAM_5,MEANGAM_6,MEANGAM_7,MEANGAM_8,MEANGAM_9,MEANGAM_10,MEANGAM_11,MEANGAM_12,MEANGAM_13,MEANGAM_14,MEANGAM_15
1440,B,False,35.197,35.086,34.828,34.723,34.592,34.16,34.346,34.477,34.462,34.21,34.101,34.197,34.175,34.276,34.196
1441,B,False,40.084,39.587,39.077,38.815,38.985,38.379,37.73,37.115,37.076,36.511,36.868,36.723,36.86,36.879,37.337
1442,B,True,61.69,61.729,61.667,61.942,62.364,62.297,62.374,62.048,62.432,62.26,62.463,62.338,62.406,62.119,62.108
1443,B,False,40.793,41.033,40.451,40.085,40.267,40.077,40.316,40.902,40.865,40.226,40.84,40.453,40.499,40.569,40.345
1444,B,False,28.822,28.627,28.438,28.358,28.297,28.584,28.548,28.422,28.225,28.486,28.628,28.26,28.308,28.509,28.743
1445,B,False,60.706,60.752,60.519,60.511,60.443,60.514,60.357,60.347,60.355,60.665,60.43,60.727,60.729,60.68,60.675
1446,B,False,45.725,45.828,46.0,46.019,46.164,46.487,46.664,46.681,46.964,46.861,47.094,47.271,47.274,47.238,47.343
1447,B,False,32.575,32.367,31.674,31.792,31.902,32.19,31.993,31.995,32.353,32.847,32.405,32.631,33.313,33.474,33.616
1448,B,True,31.611,30.884,30.829,30.489,31.077,30.264,31.996,31.394,31.94,31.52,32.08,31.922,32.048,32.291,32.207
1449,B,False,40.511,40.61,40.512,40.753,40.907,40.558,40.601,40.226,40.525,40.667,40.27,39.762,39.785,39.672,39.461
1450,B,False,30.523,30.652,30.562,30.649,30.654,30.607,30.512,30.305,30.004,30.228,30.216,30.544,30.281,30.028,30.301
1451,B,False,41.062,41.387,41.407,39.759,40.404,39.638,38.278,38.703,39.653,38.573,37.505,37.323,38.22,38.803,39.739
1452,B,False,33.806,33.709,32.907,32.712,32.145,32.339,32.039,32.101,32.491,32.307,32.066,31.818,32.307,32.216,31.895
1453,B,False,42.905,44.462,46.726,47.718,46.487,46.311,46.116,46.48,47.604,47.653,45.417,46.41,45.051,45.522,45.192
1454,B,False,0.0,27.251,25.805,30.166,30.229,38.908,43.972,38.489,41.598,44.637,40.84,40.366,37.865,44.907,44.244
1455,B,False,30.431,30.595,30.57,30.974,30.375,30.57,30.541,29.954,30.314,30.21,31.03,30.266,30.01,29.137,29.912
1456,B,False,45.657,45.877,45.387,45.64,45.008,44.869,45.519,45.716,44.858,44.092,43.68,44.304,43.243,42.725,44.629
1457,B,False,37.817,36.204,37.689,36.216,35.747,35.362,35.636,36.567,37.518,37.2,34.334,36.074,37.851,37.553,37.392
1458,B,False,46.112,46.765,46.578,46.801,46.497,46.751,46.475,46.548,46.718,46.676,46.665,46.418,46.779,47.048,47.068
1459,B,False,33.09,33.204,33.101,32.903,32.915,32.928,33.022,32.817,33.16,33.14,33.19,33.199,33.188,33.331,33.415
1460,B,False,41.314,40.521,40.113,40.397,40.255,40.172,39.936,39.655,40.187,40.182,39.768,39.421,38.888,38.61,38.876
1461,B,False,35.575,36.045,35.444,35.294,35.368,35.412,35.477,34.975,34.782,34.302,34.764,34.759,34.182,34.222,35.204
1462,B,False,42.675,43.729,42.342,42.129,40.457,42.978,42.263,39.956,38.83,39.231,38.415,38.257,37.314,35.235,36.272
1463,B,False,47.644,48.134,48.034,47.241,47.41,47.056,47.092,47.013,46.882,46.413,46.205,46.112,46.288,46.533,46.88
1464,B,False,37.647,37.67,37.561,37.247,37.531,37.027,37.109,37.284,37.592,37.47,37.203,36.783,36.837,36.9,37.008
1465,B,False,37.13,37.318,37.307,37.291,37.383,37.213,37.628,37.576,37.748,37.715,37.96,38.169,38.06,37.813,38.033
1466,B,True,26.461,26.7,27.31,27.395,26.73,27.029,27.656,26.65,26.136,27.1,27.193,27.483,27.866,27.408,27.113
1467,B,False,42.023,41.952,41.588,41.647,41.637,41.605,41.432,41.68,41.679,41.568,41.795,42.156,42.041,42.204,41.746
1468,B,False,32.289,32.567,31.375,31.953,31.094,30.688,31.599,32.095,32.227,31.995,30.927,30.736,30.959,31.633,30.236
1469,B,False,53.895,53.201,52.788,52.66,52.021,51.76,51.795,51.279,50.486,50.557,50.987,51.245,50.722,50.657,48.959
1470,B,False,28.876,28.913,28.683,28.52,28.739,29.032,29.225,29.288,29.23,29.433,29.41,29.706,29.426,29.135,29.602
1471,B,False,53.387,53.89,54.416,54.63,54.525,55.092,55.462,55.772,55.809,56.265,56.104,56.335,56.458,56.501,56.382
1472,B,False,34.633,34.479,34.318,34.404,34.289,34.098,34.025,34.101,34.476,34.315,34.394,34.114,34.509,34.345,34.357
1473,B,False,38.283,38.353,37.873,37.972,37.644,37.885,37.218,37.082,37.307,37.317,37.165,36.545,37.091,37.415,37.45
1474,B,False,31.315,31.153,31.446,31.947,31.756,31.066,31.245,31.017,31.258,31.437,30.033,30.066,30.372,30.526,30.812
1475,B,False,39.494,40.175,40.242,39.685,39.415,38.93,38.866,39.152,38.803,38.695,38.657,39.03,39.369,39.348,39.345
1476,B,False,56.303,56.214,56.177,56.081,55.981,55.496,55.488,55.135,55.107,55.001,55.158,54.915,54.891,54.705,54.651
1477,B,False,55.241,55.622,55.485,55.253,55.665,55.65,55.771,56.055,55.995,56.809,56.367,56.181,55.762,55.998,55.328
1478,B,False,34.852,35.744,35.506,35.107,35.423,35.997,35.841,35.764,36.497,35.402,35.826,35.578,35.697,36.123,35.119
1479,B,False,38.745,39.678,39.765,40.076,41.116,41.481,40.121,41.351,40.913,40.596,40.425,39.577,40.75,41.361,39.787
1480,B,False,39.525,40.792,40.532,41.828,39.443,38.973,40.545,41.828,39.248,39.389,41.185,39.129,38.832,39.475,38.32
1481,B,False,25.111,24.873,24.973,25.051,24.777,24.319,24.441,24.456,24.491,24.861,24.754,24.697,24.932,25.213,24.976
1482,B,False,27.04,27.012,26.911,26.987,27.004,26.945,27.334,27.115,26.907,26.894,27.146,27.041,26.975,26.998,27.105
1483,B,False,31.143,32.059,31.833,31.83,31.332,31.686,31.779,31.311,31.512,30.887,31.181,31.251,31.592,31.084,31.423
1484,B,False,29.87,30.459,29.926,29.859,29.715,29.899,29.834,30.142,29.982,30.097,30.312,30.156,29.46,29.338,29.014
1485,B,False,44.526,43.717,43.295,42.89,42.825,43.152,42.497,42.762,42.332,42.57,43.309,43.102,42.504,42.316,42.279
1486,B,False,45.285,45.163,45.28,45.12,45.352,45.08,45.209,45.594,45.914,45.879,45.577,45.455,45.628,45.676,45.821
1487,B,False,40.943,38.26,42.341,42.22,41.274,45.134,44.767,44.163,43.054,44.039,42.069,41.391,41.412,40.929,42.015
1488,B,False,32.858,32.031,32.641,32.936,32.599,33.179,33.051,33.257,32.797,32.6,32.569,32.836,33.573,33.303,33.048
1489,B,False,36.654,36.2,36.442,35.89,36.088,35.715,35.632,35.644,35.076,35.133,35.145,35.259,35.228,34.899,35.13
1490,B,False,49.044,49.578,49.265,48.966,48.768,48.747,48.571,49.326,49.347,49.294,49.336,49.312,48.829,48.888,48.338
1491,B,False,36.358,36.822,37.115,37.294,37.222,37.496,37.019,37.47,37.596,37.075,36.658,37.251,37.051,36.946,37.33
1492,B,False,45.97,45.846,45.996,45.843,45.97,46.073,46.094,45.414,45.442,45.036,45.949,46.137,46.307,47.19,47.732
1493,B,False,47.831,47.84,47.4,47.85,47.754,47.285,47.391,46.565,46.772,47.139,46.605,46.237,46.186,45.961,46.435
1494,B,False,28.475,28.368,28.036,28.08,27.839,27.78,27.607,27.265,27.647,28.071,27.638,27.773,27.642,28.216,28.498
1495,B,False,44.958,45.861,45.988,45.946,46.071,46.384,47.419,48.306,48.368,49.473,49.574,50.481,50.651,50.638,50.663
1496,B,False,35.285,35.314,36.309,35.638,35.534,36.133,35.205,35.772,36.573,36.46,37.476,38.205,37.229,36.791,36.375
1497,B,False,32.308,31.747,32.284,32.027,31.757,31.55,31.592,31.354,31.181,31.714,32.612,32.075,31.954,31.596,31.702
1498,B,False,46.609,46.204,46.408,47.072,46.932,46.79,46.682,46.949,46.79,48.642,49.841,50.506,51.376,51.255,50.412
1499,B,False,29.369,29.968,29.892,29.953,29.725,29.505,29.485,29.248,29.4,28.929,29.932,30.449,30.925,30.506,31.232
1500,B,False,34.2,34.396,34.22,34.172,34.092,34.406,33.969,34.209,34.095,33.678,33.924,34.138,33.646,33.744,33.908
1501,B,False,50.3,47.81,49.383,48.364,48.608,47.773,49.325,46.623,48.802,48.363,47.062,47.421,48.717,46.07,47.84
1502,B,False,27.814,27.636,27.683,27.978,27.699,27.906,28.029,28.534,28.563,28.739,28.708,29.094,29.119,29.404,29.64
1503,B,False,55.247,55.029,54.914,54.841,55.21,54.893,55.01,54.146,53.811,53.399,53.653,52.924,53.053,51.975,52.665
1504,B,False,26.227,27.286,26.836,25.024,26.724,25.512,25.658,27.351,26.41,26.758,25.641,25.957,27.502,25.852,24.995
1505,B,False,43.573,42.653,40.765,41.112,41.571,41.492,42.416,43.036,42.927,41.325,40.961,39.478,39.544,40.507,39.647
1506,B,False,51.653,52.035,51.995,51.769,52.141,52.63,52.714,52.901,52.79,52.626,52.502,52.743,52.526,52.711,52.909
1507,B,False,55.038,55.143,55.966,55.335,54.945,54.657,55.523,54.95,54.543,54.273,54.415,55.266,54.709,54.706,55.666
1508,B,False,53.643,52.989,52.433,53.034,53.297,53.29,53.019,53.753,52.921,52.819,52.394,52.615,52.837,53.563,52.702
1509,B,False,30.652,30.342,29.591,29.227,29.534,29.224,30.283,29.693,28.761,29.014,28.966,29.117,29.108,29.356,29.024
1510,B,False,47.523,47.024,47.098,46.57,46.611,47.377,46.785,46.086,45.486,46.507,46.274,45.919,46.299,47.409,45.863
1511,B,False,46.054,45.849,46.759,48.729,45.828,45.582,44.383,47.996,46.872,44.626,44.317,44.49,45.74,47.7,46.774
1512,B,True,46.725,46.393,46.294,46.245,46.032,46.14,45.91,45.64,46.239,46.189,45.493,45.639,45.329,44.736,45.323
1513,B,False,48.35,48.227,48.431,48.312,48.391,48.526,49.029,49.226,49.719,49.712,49.49,49.296,49.275,49.584,49.463
1514,B,False,34.289,34.44,34.596,35.154,35.148,34.964,33.869,33.854,34.602,35.08,35.687,35.186,35.183,35.78,35.22
1515,B,False,44.732,44.945,45.003,45.078,44.729,45.163,45.139,44.788,44.881,45.235,45.777,45.767,45.477,45.383,45.549
1516,B,False,50.619,50.355,49.83,49.396,49.277,49.003,48.904,48.639,48.745,48.433,48.223,48.038,47.477,47.612,47.467
1517,B,False,30.922,30.906,31.245,31.24,32.022,31.57,31.969,31.782,32.339,32.313,32.858,32.031,32.641,32.936,32.599
1518,B,False,37.501,37.414,36.881,37.021,36.93,36.638,37.028,37.247,37.427,36.773,37.207,37.03,36.637,37.344,36.634
1519,B,False,62.374,62.048,62.432,62.26,62.463,62.338,62.406,62.119,62.108,62.349,62.492,62.236,62.152,61.774,61.852
1520,B,False,34.184,34.086,34.306,34.146,34.012,33.906,33.48,33.538,33.421,33.25,32.933,32.673,32.554,32.474,32.618
1521,B,False,26.212,26.175,25.958,25.986,26.168,26.162,25.96,25.999,25.858,25.549,25.517,25.616,25.957,26.307,26.331
1522,B,True,48.738,48.865,48.314,48.054,48.643,48.347,48.215,47.958,47.994,47.787,47.609,47.069,46.696,47.332,47.183
1523,B,False,37.424,37.011,37.544,37.854,37.923,38.305,38.799,38.791,39.159,38.852,39.463,40.109,40.564,40.634,40.833
1524,B,False,35.294,35.368,35.412,35.477,34.975,34.782,34.302,34.764,34.759,34.182,34.222,35.204,34.893,35.019,35.281
1525,B,False,35.496,36.461,35.379,35.831,35.844,35.389,35.699,35.992,35.365,35.204,35.396,35.393,35.863,35.448,34.816
1526,B,False,46.346,46.112,45.918,46.278,46.484,46.9,46.984,46.774,47.279,47.157,47.162,47.44,47.192,46.884,46.59
1527,B,False,43.425,42.129,41.738,40.407,40.782,38.999,39.048,38.269,37.843,37.095,36.427,35.935,34.391,35.363,34.633
1528,B,False,41.843,41.796,41.658,41.6,41.735,41.863,42.24,42.371,42.142,42.508,42.634,42.747,42.807,42.545,42.702
