,FLARE_TYPE,COINCIDENCE,g_s_1,g_s_2,g_s_3,g_s_4,g_s_5,g_s_6,g_s_7,g_s_8,g_s_9,g_s_10,g_s_11,g_s_12,g_s_13,g_s_14,g_s_15
1988,N,False,437.05,276.55,403.17,372.32,277.29,273.52,265.25,269.16,264.54,409.12,363.51,380.82,207.05,378.51,550.66
1989,N,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990,N,False,0.0,0.0,0.0,0.0,0.0,12.263,15.498,0.0,13.121,12.94,15.187,18.473,21.646,43.887,19.176
1991,N,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992,N,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993,N,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994,N,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995,N,False,592.27,573.82,530.01,531.49,568.08,575.08,544.56,542.88,574.83,588.33,585.85,561.1,604.41,579.28,588.7
1996,N,False,7291.2,7972.3,7145.1,7101.5,7676.8,6980.2,7536.5,6823.3,7574.4,6738.7,6652.2,7099.4,7714.8,7753.1,8632.1
1997,N,False,42.87,52.295,37.853,34.126,43.109,51.429,60.666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998,N,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999,N,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000,N,False,5652.8,2725.2,6387.3,6327.6,3612.2,3653.1,3715.0,3734.1,6277.7,3618.6,3672.3,3813.9,5518.3,3721.7,3684.4
2001,N,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002,N,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,N,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004,N,False,17866.0,22956.0,21571.0,18258.0,18982.0,16042.0,17287.0,22542.0,19574.0,17540.0,18584.0,16461.0,16665.0,16691.0,18466.0
