,FLARE_TYPE,COINCIDENCE,MEANGBH_1,MEANGBH_2,MEANGBH_3,MEANGBH_4,MEANGBH_5,MEANGBH_6,MEANGBH_7,MEANGBH_8,MEANGBH_9,MEANGBH_10,MEANGBH_11,MEANGBH_12,MEANGBH_13,MEANGBH_14,MEANGBH_15
1935,N,False,70.727,71.121,71.736,72.131,73.505,73.411,75.116,75.138,75.279,77.414,76.492,76.918,76.116,75.773,76.87
1936,N,False,68.519,67.432,67.329,67.145,67.863,67.753,67.164,67.513,67.515,67.927,68.114,68.59,68.727,68.914,69.132
1937,N,False,82.386,80.096,77.357,75.519,76.57,78.474,77.879,74.507,71.198,73.403,74.593,71.852,73.2,76.823,77.375
1938,N,False,104.05,99.214,94.408,95.49,90.387,87.967,90.968,91.442,94.604,99.295,99.331,100.13,102.43,102.1,99.957
1939,N,False,64.323,63.451,63.403,62.977,62.798,61.945,61.491,62.15,61.778,61.554,62.177,62.293,62.519,62.427,62.35
1940,N,False,62.666,62.104,62.382,61.79,60.195,59.265,59.75,59.329,59.633,59.118,58.992,58.453,59.157,58.767,59.306
1941,N,False,66.543,66.557,66.487,64.898,64.348,62.218,62.446,62.169,62.098,62.442,63.279,63.221,63.552,63.565,64.176
1942,N,False,48.007,47.645,47.595,47.432,47.322,47.484,47.285,47.486,47.27,47.748,47.811,48.407,48.524,48.733,49.014
1943,N,False,55.694,54.76,56.868,57.324,59.004,59.266,60.983,62.575,62.031,64.191,64.206,65.89,64.558,64.98,63.359
1944,N,False,63.142,64.919,64.009,62.916,64.722,64.838,64.531,61.593,61.905,62.889,62.136,61.837,64.01,63.659,62.187
1945,N,False,47.599,47.618,47.799,47.745,47.793,47.913,48.129,48.36,48.657,48.632,48.851,49.32,49.704,50.022,50.301
1946,N,False,44.646,44.705,45.005,44.325,44.312,43.951,43.953,43.436,43.283,43.468,43.59,43.149,42.957,43.489,43.461
