,FLARE_TYPE,COINCIDENCE,d_l_f_1,d_l_f_2,d_l_f_3,d_l_f_4,d_l_f_5,d_l_f_6,d_l_f_7,d_l_f_8,d_l_f_9,d_l_f_10,d_l_f_11,d_l_f_12,d_l_f_13,d_l_f_14,d_l_f_15
473,M,True,391.65,392.18,392.26,394.46,395.24,392.43,390.41,389.01,388.16,389.02,388.07,390.14,389.92,389.21,387.48
474,M,False,377.64,377.35,379.61,378.65,378.4,379.65,380.96,381.38,381.4,381.54,381.0,381.19,381.32,381.48,380.18
475,M,False,378.78,380.08,377.84,377.85,379.19,379.6,376.28,374.22,374.14,372.78,370.95,371.75,371.12,370.09,368.45
476,M,False,703.7,705.41,705.47,709.86,711.12,707.16,710.66,710.97,709.05,710.21,712.73,714.27,715.51,716.83,713.44
477,M,False,735.33,731.27,728.71,736.03,782.41,771.62,780.03,818.36,776.23,770.13,786.95,772.76,798.15,800.03,840.34
478,M,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
479,M,False,140.2,129.91,126.76,158.45,110.93,118.48,127.21,138.06,178.53,141.92,181.05,177.52,210.4,218.14,174.1
480,M,False,239.92,217.25,165.96,171.24,121.47,167.62,114.42,98.016,117.13,96.47,118.78,106.71,97.008,84.636,98.466
481,M,False,237.63,242.25,245.9,250.58,257.18,273.11,274.83,267.04,274.9,277.32,279.59,291.3,294.83,290.88,295.74
482,M,True,162.89,156.64,159.9,155.06,159.66,163.32,162.37,159.66,162.12,160.0,162.04,164.45,165.77,159.82,160.2
483,M,False,162.62,162.32,165.04,163.47,161.78,164.75,158.88,155.97,151.72,152.72,150.4,145.43,142.26,141.77,140.49
484,M,True,139.75,138.19,139.65,135.06,134.57,137.64,137.78,138.02,141.61,140.78,140.4,137.06,135.7,140.75,138.38
485,M,True,98.169,99.138,100.09,99.725,100.42,101.94,100.3,102.15,100.97,100.72,102.0,100.35,101.87,102.74,104.7
486,M,False,98.844,97.68,95.636,96.385,95.799,96.479,96.895,96.619,95.795,93.688,95.628,96.01,96.689,96.895,96.665
487,M,True,114.3,114.7,113.66,113.27,113.62,113.97,113.57,115.1,114.86,115.1,115.15,115.32,115.91,115.99,116.55
488,M,False,113.27,113.62,113.97,113.57,115.1,114.86,115.1,115.15,115.32,115.91,115.99,116.55,115.74,116.67,117.28
489,M,False,115.32,115.91,115.99,116.55,115.74,116.67,117.28,116.53,117.39,117.5,117.1,117.54,117.95,118.96,119.91
490,M,False,130.94,131.1,130.07,130.96,131.1,131.83,131.49,132.07,133.01,132.38,132.72,133.35,133.84,133.77,134.66
491,M,True,213.49,212.76,211.96,210.94,210.44,209.93,211.42,210.45,209.99,211.24,210.69,211.03,211.22,213.05,211.1
492,M,True,222.36,224.33,225.23,226.83,228.05,228.22,223.75,227.93,229.44,232.3,233.46,237.55,237.45,235.15,235.32
493,M,False,234.27,238.03,236.48,238.47,238.6,236.14,237.12,239.03,240.52,240.08,242.44,242.9,243.17,243.21,243.13
494,M,False,224.82,225.31,220.04,220.78,222.8,224.77,216.22,224.65,225.75,225.9,226.25,233.58,237.46,237.69,237.81
495,M,False,226.84,228.38,226.59,224.69,228.08,226.15,223.33,224.29,223.1,223.35,222.71,219.66,218.75,220.55,224.44
496,M,False,303.41,170.55,294.19,295.69,296.55,292.38,291.15,230.67,291.24,289.37,279.67,266.3,298.47,309.02,277.94
497,M,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
498,M,True,77.201,76.922,119.39,132.74,138.08,121.07,116.87,117.63,108.93,116.3,124.2,110.42,128.26,128.35,116.35
499,M,False,100.19,104.32,107.99,112.5,122.77,122.62,125.01,129.4,130.34,138.81,148.38,141.0,133.72,137.17,141.06
500,M,False,130.34,138.81,148.38,141.0,133.72,137.17,141.06,145.18,137.48,139.85,128.95,132.2,137.5,126.4,118.3
501,M,False,92.752,126.96,127.81,74.698,58.883,59.664,83.036,72.691,51.35,72.185,66.712,76.94,74.624,78.9,82.554
502,M,False,414.78,409.44,402.41,386.67,378.99,376.29,299.22,159.53,198.26,165.08,343.79,187.75,180.75,194.38,249.67
503,M,True,209.57,209.81,209.04,207.98,210.6,210.78,211.3,210.45,211.4,211.53,212.34,210.88,210.99,212.04,212.97
504,M,False,212.97,214.32,214.04,215.52,215.24,214.87,213.54,215.08,214.24,213.28,213.02,213.78,212.81,213.64,213.7
505,M,False,414.03,413.78,415.1,417.48,420.69,422.49,418.49,426.72,422.89,391.36,392.57,398.63,414.48,410.99,415.6
506,M,True,162.18,160.68,160.82,165.21,166.67,171.09,168.83,172.2,173.72,178.62,174.33,172.89,171.63,167.76,162.29
507,M,False,651.08,649.44,641.57,635.66,634.97,643.54,640.61,631.57,617.53,637.51,606.83,609.66,617.84,609.61,608.85
508,M,False,7.0711,0.0,0.0,0.0,0.0,0.0,0.0,6.4031,7.0711,7.8102,7.8102,0.0,0.0,0.0,0.0
509,M,True,263.69,263.03,262.66,261.42,263.3,264.89,265.32,265.54,266.4,266.32,267.24,268.46,269.15,268.65,268.91
510,M,False,283.94,284.35,283.8,285.2,286.57,287.66,286.12,288.44,287.86,287.7,286.3,287.37,288.55,286.93,287.13
511,M,False,286.12,288.44,287.86,287.7,286.3,287.37,288.55,286.93,287.13,288.04,288.07,289.87,289.68,289.88,289.81
512,M,True,70.629,74.287,74.252,74.526,71.463,70.031,71.294,73.094,73.398,75.521,76.176,72.731,73.287,79.597,74.467
513,M,False,78.479,78.303,78.442,79.415,79.29,78.84,80.104,80.01,79.14,80.051,79.482,78.95,78.403,78.819,79.041
514,M,False,332.24,331.09,330.43,330.79,330.95,332.13,331.88,332.02,331.49,332.57,332.56,331.88,331.98,331.51,331.43
515,M,False,345.03,343.99,344.16,343.44,344.78,345.1,345.47,345.25,345.3,345.51,345.08,344.76,345.03,345.14,344.45
516,M,False,390.27,401.11,410.02,405.95,401.04,413.56,414.95,425.3,417.81,418.7,417.17,422.63,427.69,427.99,430.95
517,M,True,199.97,195.87,195.09,194.09,193.65,194.27,194.58,197.25,189.73,189.71,186.93,187.89,187.48,188.2,187.83
518,M,False,171.13,172.85,175.13,176.41,177.6,180.65,181.38,180.75,183.2,184.02,185.31,184.71,185.84,187.63,189.0
519,M,True,122.31,121.71,124.37,127.19,127.96,129.76,127.35,124.78,127.38,125.07,126.32,126.36,128.02,127.63,126.82
520,M,True,130.1,131.49,125.33,126.67,134.82,126.83,125.47,129.53,123.97,122.97,124.94,128.97,128.83,130.99,132.37
521,M,False,166.77,167.74,167.61,165.2,165.63,166.5,165.77,165.51,164.85,162.98,162.61,163.2,164.67,162.63,163.06
522,M,True,169.26,172.33,174.48,173.67,175.89,179.31,180.24,181.36,180.63,183.41,184.05,185.77,185.25,184.28,181.62
523,M,False,231.15,232.13,232.52,233.0,232.22,233.27,234.45,234.66,235.88,236.82,239.27,239.37,239.61,240.58,241.55
524,M,True,299.22,300.3,302.07,299.94,300.69,301.94,303.04,304.54,302.69,302.92,304.07,305.29,306.38,306.46,307.41
525,M,False,302.84,303.43,302.72,303.79,304.38,304.05,304.91,305.06,304.0,304.04,304.13,304.69,303.38,303.15,303.17
526,M,True,395.07,394.94,395.73,395.48,394.43,393.89,391.29,392.76,394.01,380.2,396.39,395.98,395.06,393.87,394.34
527,M,False,393.22,393.06,391.71,392.84,393.13,394.15,396.36,395.94,397.22,397.29,396.88,395.38,394.37,394.54,395.61
528,M,False,448.42,450.14,426.73,427.23,440.4,434.22,424.53,428.57,430.79,431.23,446.11,427.02,430.48,422.12,420.2
529,M,False,103.08,103.36,101.19,100.44,100.55,99.976,101.38,107.4,107.68,109.6,108.78,109.19,109.54,107.79,106.52
530,M,False,249.22,249.71,249.38,247.61,249.34,246.49,249.33,252.82,252.02,251.45,254.16,251.19,250.91,250.3,253.33
531,M,True,236.43,237.17,236.96,237.94,237.9,238.72,238.99,239.63,240.13,241.15,239.59,238.66,239.32,238.58,240.76
532,M,True,259.47,260.94,262.45,263.11,263.08,264.07,264.04,264.27,264.42,264.94,267.45,266.9,267.59,267.58,267.15
533,M,True,115.51,118.82,123.8,127.62,132.5,132.09,126.76,132.68,137.67,141.92,144.9,139.88,145.56,147.37,147.42
534,M,True,286.34,285.97,286.55,286.9,288.29,290.07,289.9,290.15,289.9,290.05,291.18,292.32,291.35,292.03,293.26
535,M,True,298.87,299.56,300.29,300.08,301.81,300.13,301.39,300.8,301.31,302.46,302.18,304.0,303.94,303.3,304.15
536,M,False,302.46,302.18,304.0,303.94,303.3,304.15,303.93,302.91,302.75,302.58,303.08,302.22,302.24,301.13,301.8
537,M,True,197.81,197.14,201.06,196.91,191.99,185.81,189.08,195.28,197.58,202.99,203.95,196.81,190.82,184.66,186.79
538,M,True,313.22,313.19,313.74,314.37,314.61,314.13,314.53,314.88,314.18,314.45,313.26,312.45,312.63,313.11,313.6
539,M,False,314.88,314.18,314.45,313.26,312.45,312.63,313.11,313.6,313.92,313.92,314.53,314.56,314.57,315.46,316.17
540,M,False,190.82,184.66,186.79,185.28,175.45,175.91,172.84,171.82,170.54,179.38,174.16,168.02,174.21,172.43,172.79
541,M,False,312.45,312.63,313.11,313.6,313.92,313.92,314.53,314.56,314.57,315.46,316.17,315.1,314.13,314.38,313.25
542,M,False,313.92,313.92,314.53,314.56,314.57,315.46,316.17,315.1,314.13,314.38,313.25,313.39,313.26,312.35,313.3
543,M,False,178.19,169.5,163.01,162.92,162.37,162.89,159.1,155.84,157.56,154.55,153.82,150.39,156.85,157.83,162.91
544,M,True,311.18,312.43,311.75,310.15,310.14,310.67,310.79,312.55,312.23,311.78,311.02,309.3,309.71,310.08,311.75
545,M,True,315.03,314.62,315.32,315.17,315.06,317.67,318.36,318.62,317.54,316.78,316.9,317.85,316.6,315.52,315.59
546,M,False,311.49,311.42,310.82,309.44,309.5,326.69,324.67,327.56,309.37,327.33,308.16,323.9,307.97,316.61,315.97
547,M,True,316.61,315.97,315.42,316.9,309.27,310.73,311.09,310.71,310.5,309.2,309.86,309.92,310.36,310.65,323.31
548,M,True,382.24,384.81,386.94,385.78,388.11,340.31,341.56,390.53,340.75,342.0,391.01,391.59,392.72,394.53,396.34
549,M,True,350.73,353.07,352.1,357.72,356.39,360.33,359.84,362.45,365.45,369.01,369.42,366.54,369.39,365.67,363.16
550,M,False,285.82,279.67,278.77,284.51,284.06,277.32,279.13,280.55,279.2,281.43,286.03,288.04,287.91,277.3,279.95
551,M,False,292.46,290.45,286.53,281.0,283.65,285.78,283.4,281.74,279.21,281.88,278.05,282.93,284.4,285.19,278.93
552,M,False,400.64,396.26,397.35,393.99,398.08,394.75,397.43,391.82,386.83,385.07,379.63,370.45,363.86,361.47,358.18
553,M,True,896.4,27.203,903.64,900.82,904.2,905.64,28.46,26.776,29.137,30.486,31.636,30.206,28.973,30.275,32.161
554,M,False,32.464,34.142,33.167,34.842,28.26,31.08,29.103,33.451,33.388,32.638,32.862,32.935,33.63,33.001,35.731
555,M,True,114.67,173.43,198.55,148.12,146.94,124.04,30.667,104.99,141.04,122.7,438.62,172.24,429.02,98.031,444.81
556,M,False,198.55,148.12,146.94,124.04,30.667,104.99,141.04,122.7,438.62,172.24,429.02,98.031,444.81,262.7,194.7
557,M,False,302.65,303.85,305.75,305.22,306.64,305.62,305.17,306.42,306.23,305.6,303.26,302.91,304.27,305.48,306.56
558,M,True,246.35,243.13,250.4,257.08,257.15,252.11,255.7,256.45,257.26,256.74,258.33,262.48,262.66,264.92,262.35
559,M,False,279.83,280.84,282.45,281.51,281.1,281.62,277.65,278.41,279.4,281.04,282.53,283.6,284.38,285.9,285.78
560,M,False,268.45,265.28,266.13,264.52,264.92,263.76,266.01,265.27,265.32,261.96,258.82,260.83,262.69,263.08,264.13
561,M,False,225.61,226.43,226.3,224.84,225.96,226.43,227.66,228.54,227.27,230.39,227.51,227.72,227.4,228.76,228.86
562,M,False,547.6,519.98,526.49,556.85,536.65,552.23,559.32,573.43,564.01,565.59,341.86,154.23,157.57,153.0,155.0
563,M,False,185.67,194.86,200.06,195.98,194.04,195.7,226.71,196.31,198.74,198.7,195.41,193.2,229.73,229.91,230.68
564,M,False,76.005,76.399,75.808,84.06,74.979,73.648,74.157,81.09,79.644,79.571,79.458,78.64,85.706,89.873,94.292
565,M,False,273.02,196.37,199.57,192.09,262.38,267.48,260.82,265.38,255.22,258.36,263.21,266.43,269.64,269.8,276.13
566,M,False,119.15,120.31,107.52,106.13,118.27,115.97,115.36,118.07,109.19,110.79,114.11,116.86,117.05,116.13,116.42
567,M,True,68.098,67.212,66.943,66.504,66.614,66.572,65.839,66.15,64.602,65.331,67.285,68.187,104.03,102.62,70.719
568,M,False,78.876,78.431,79.378,83.383,86.807,85.381,87.149,113.12,110.89,110.12,111.01,101.64,104.15,100.54,99.684
569,M,False,204.82,196.41,217.92,266.96,205.43,206.42,192.04,189.59,179.62,173.71,169.58,191.07,208.48,218.57,193.66
570,M,True,298.65,297.39,296.86,298.13,298.09,297.64,297.19,298.27,297.86,297.95,297.1,296.73,294.92,294.33,295.24
571,M,False,298.09,297.64,297.19,298.27,297.86,297.95,297.1,296.73,294.92,294.33,295.24,295.08,292.62,291.12,291.56
572,M,True,272.7,272.0,272.54,272.75,274.11,272.98,272.35,273.08,270.78,270.42,269.78,268.74,270.49,271.07,268.24
573,M,False,268.49,268.72,266.79,266.6,267.11,266.1,265.74,265.28,264.98,265.33,265.72,265.93,264.36,265.95,266.28
574,M,False,266.79,266.6,267.11,266.1,265.74,265.28,264.98,265.33,265.72,265.93,264.36,265.95,266.28,265.32,266.32
575,M,True,265.93,262.77,261.26,261.52,265.14,266.06,266.51,266.11,268.42,262.85,265.71,264.12,261.78,262.83,261.95
576,M,False,294.15,307.63,304.03,305.87,301.63,304.45,314.74,296.8,304.35,274.37,286.56,287.76,307.0,290.53,245.66
577,M,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
578,M,False,79.404,4.2426,3.6056,0.0,6.3246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.306,81.302,0.0
579,M,True,322.86,322.62,322.84,323.49,323.1,322.45,321.89,323.71,322.81,322.96,322.91,322.63,323.64,323.84,323.13
580,M,True,321.14,321.47,321.32,321.34,320.3,320.06,320.75,321.41,320.74,320.7,320.64,320.99,320.96,321.11,319.8
581,M,False,318.49,319.38,318.25,319.5,317.99,317.09,315.94,317.91,317.1,317.19,319.12,318.72,318.24,319.01,316.21
582,M,True,321.65,322.36,322.03,321.92,321.47,321.63,322.43,323.19,324.96,324.99,324.25,327.25,328.39,328.38,325.97
583,M,False,324.25,327.25,328.39,328.38,325.97,327.22,327.77,327.7,326.53,325.38,325.12,328.58,325.55,328.61,327.16
584,M,False,320.71,319.58,320.43,319.5,316.42,316.15,315.93,317.4,320.99,318.01,321.5,324.47,322.82,326.94,327.18
585,M,False,217.83,221.78,216.86,216.84,219.53,220.4,221.27,218.42,221.22,221.67,220.08,220.11,221.86,220.99,220.2
586,M,False,211.79,212.02,213.01,214.56,213.97,212.59,211.66,209.4,205.65,204.08,202.69,199.13,198.51,197.17,198.92
587,M,False,207.33,206.95,196.12,200.33,203.48,206.52,209.47,211.17,213.36,208.75,207.81,207.0,197.93,211.32,202.56
588,M,True,66.358,66.2,65.762,66.922,87.87,88.8,88.295,87.504,85.8,85.442,87.486,87.262,86.269,86.771,85.6
589,M,True,85.6,84.921,85.174,84.06,86.334,86.371,83.754,82.083,82.402,81.862,81.163,80.466,80.899,80.092,82.262
590,M,False,86.334,86.371,83.754,82.083,82.402,81.862,81.163,80.466,80.899,80.092,82.262,81.708,81.915,83.3,84.203
591,M,False,81.163,80.466,80.899,80.092,82.262,81.708,81.915,83.3,84.203,84.002,83.842,82.382,80.57,81.049,80.973
592,M,False,80.899,80.092,82.262,81.708,81.915,83.3,84.203,84.002,83.842,82.382,80.57,81.049,80.973,80.864,79.986
593,M,False,82.382,80.57,81.049,80.973,80.864,79.986,80.545,79.176,78.621,76.325,77.515,79.506,79.014,80.184,79.009
594,M,False,79.009,79.326,77.754,78.307,77.986,78.055,78.207,78.09,77.247,77.048,77.241,77.67,77.215,78.166,78.629
595,M,True,78.413,77.943,78.793,85.448,78.928,78.318,78.27,79.873,79.768,78.955,80.156,79.824,79.634,80.955,80.141
596,M,True,109.61,110.09,107.98,106.18,107.02,107.83,108.96,109.38,110.01,119.01,109.3,108.89,108.33,108.01,107.82
597,M,False,109.66,110.18,109.36,109.51,109.0,109.47,109.49,110.75,111.21,111.01,111.38,111.15,109.74,110.27,111.52
598,M,True,105.78,105.81,104.79,105.86,105.45,105.6,105.91,105.07,105.51,105.96,105.65,105.88,105.48,105.17,106.01
599,M,False,104.79,105.86,105.45,105.6,105.91,105.07,105.51,105.96,105.65,105.88,105.48,105.17,106.01,104.34,104.1
600,M,True,112.27,112.45,112.52,112.68,112.23,111.64,111.38,112.42,112.93,109.47,110.16,110.21,110.56,111.4,111.23
601,M,False,111.4,111.23,111.45,111.42,111.14,112.78,112.99,112.41,113.43,113.11,113.96,112.53,112.41,112.79,113.5
602,M,True,125.52,125.69,125.94,126.35,126.73,129.57,130.05,129.1,129.93,129.46,130.13,129.41,129.03,127.99,129.46
603,M,True,134.55,135.67,138.03,139.54,138.7,138.06,137.49,135.31,137.6,138.64,138.52,135.18,137.14,138.45,138.06
604,M,False,143.88,143.13,142.86,142.53,144.0,143.18,143.77,144.91,145.04,146.08,147.16,147.25,147.74,148.29,147.5
605,M,True,154.04,153.52,153.03,152.7,152.68,153.02,154.12,154.64,156.14,156.76,155.65,153.96,154.61,155.64,155.83
606,M,False,191.88,193.35,193.83,194.09,186.76,191.76,193.09,194.48,192.76,191.98,191.2,191.02,189.93,189.72,189.74
607,M,True,0.0,0.0,0.0,0.0,37.363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.188
608,M,False,21.737,21.326,21.617,21.56,19.105,18.439,0.0,0.0,24.166,23.77,23.77,23.409,23.409,0.0,0.0
609,M,False,74.25,75.321,76.249,75.853,75.871,76.863,75.225,14.319,77.505,75.633,76.542,76.684,75.871,77.37,77.088
610,M,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
611,M,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
612,M,False,232.48,231.31,232.5,231.22,230.74,229.95,231.39,231.15,231.59,230.93,232.08,234.7,235.44,234.32,233.43
613,M,False,29.628,29.043,30.258,30.412,84.159,81.834,79.775,78.62,80.35,84.117,79.504,95.417,94.679,94.398,95.287
614,M,False,96.605,91.688,85.837,91.58,92.114,91.842,87.925,89.808,89.881,91.265,93.544,89.592,93.35,93.374,95.402
615,M,False,85.735,80.41,85.357,85.844,91.504,91.202,96.157,94.59,96.937,90.525,92.682,100.5,94.209,90.294,90.289
616,C,True,19.996,20.925,20.159,20.793,22.293,23.105,21.721,16.551,22.164,21.538,22.184,22.004,22.159,22.752,21.87
617,C,True,44.873,45.354,45.4,45.379,46.035,45.092,20.098,21.019,29.982,29.315,27.501,257.85,258.02,130.31,19.201
618,C,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,287.45,293.46,296.04,268.1,268.65
619,C,False,535.15,535.33,540.21,540.55,536.38,540.03,533.28,524.65,529.4,527.2,523.47,537.89,513.68,534.5,522.92
620,C,False,240.03,240.35,240.19,241.01,241.01,240.19,240.03,241.01,241.17,240.03,241.17,242.16,241.17,241.17,240.03
621,C,False,24.562,27.223,24.877,28.162,27.393,74.682,76.603,73.497,50.92,64.34,46.793,29.904,37.209,32.921,44.403
622,C,False,461.24,452.0,409.53,312.36,288.1,408.59,443.27,431.02,446.68,439.95,451.76,413.73,433.64,426.78,430.61
623,C,False,97.0,96.26,0.0,0.0,95.36,68.68,73.246,74.813,75.213,74.632,77.104,77.936,78.772,78.23,79.925
624,C,False,206.21,206.43,208.82,205.58,205.43,205.92,206.5,207.01,207.97,208.39,207.97,209.03,209.31,210.44,210.65
625,C,True,644.64,643.8,646.24,645.5,643.62,645.0,646.26,655.62,650.32,645.09,646.78,650.03,659.46,666.07,665.11
626,C,False,1777.9,1780.5,1779.8,1779.1,1776.9,1767.6,1777.2,1776.6,1766.9,1755.1,1761.4,1765.5,1770.2,1772.8,1776.0
627,C,False,261.17,260.28,259.39,259.39,259.39,259.39,259.39,259.39,259.39,259.39,259.39,259.39,258.5,258.5,258.5
628,C,False,0.0,0.0,0.0,4.1231,0.0,16.807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
629,C,False,597.27,595.0,635.08,635.55,590.91,589.81,592.82,634.95,584.34,633.08,633.18,633.43,632.43,633.56,633.62
630,C,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
631,C,True,186.44,188.05,187.86,186.93,183.47,185.52,184.02,182.67,180.67,181.19,182.06,180.81,182.05,180.17,180.34
632,C,False,969.53,971.96,972.92,966.33,967.38,967.91,966.26,962.46,960.54,959.02,961.49,960.37,959.72,957.66,956.84
633,C,False,181.55,183.44,185.37,186.79,186.1,186.77,186.37,186.81,186.96,181.53,184.45,183.42,183.64,186.17,185.97
634,C,False,299.07,298.18,295.1,294.7,294.27,294.82,298.5,295.68,296.49,296.83,297.56,306.2,307.0,307.0,307.0
635,C,True,248.32,249.25,248.77,249.33,248.77,248.8,248.35,248.39,249.56,249.8,249.8,249.8,250.03,248.8,249.36
636,C,False,331.03,329.16,330.69,329.04,330.21,337.1,337.14,337.12,339.18,338.37,336.79,338.59,340.45,339.98,338.71
637,C,False,569.68,570.83,569.79,568.93,569.72,571.6,572.03,572.3,571.64,571.67,570.25,572.19,574.61,575.23,576.83
638,C,False,49.041,47.272,49.041,0.0,34.205,34.205,49.332,34.828,35.609,34.828,34.828,39.219,34.828,26.41,25.133
639,C,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
640,C,False,286.68,310.78,317.14,298.26,299.86,305.75,275.89,260.96,271.03,295.21,239.57,236.92,230.67,242.24,229.43
641,C,False,871.46,870.76,872.96,867.26,868.38,871.38,876.38,890.54,889.15,887.81,880.2,886.1,890.73,896.83,885.61
642,C,True,48.545,43.403,45.437,43.893,42.012,42.012,43.878,42.0,44.429,44.135,42.0,42.241,42.0,41.012,41.012
643,C,False,703.07,682.65,699.52,699.56,702.27,722.38,580.28,577.65,570.46,567.95,582.06,559.56,544.88,559.28,547.72
644,C,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
645,C,False,1180.8,1192.2,1178.6,1169.3,1153.0,1162.8,1141.7,1161.0,1115.3,1135.4,1156.3,1175.1,1174.1,1213.4,1144.5
646,C,False,29.128,40.594,34.015,34.428,35.128,24.564,26.944,25.73,40.025,42.828,42.541,42.627,43.352,42.275,10.577
647,C,True,0.0,71.512,71.868,71.868,72.801,72.801,55.176,73.055,0.0,0.0,48.663,74.673,74.673,74.33,75.273
648,C,False,14.866,15.556,15.556,14.866,14.866,14.866,14.866,14.866,14.866,14.866,14.866,14.142,15.556,14.213,14.142
649,C,False,201.56,203.66,203.18,203.72,202.05,203.13,202.07,200.73,201.59,201.16,201.91,201.54,203.75,200.98,200.87
650,C,False,248.32,249.25,248.77,249.33,248.77,248.8,248.35,248.39,249.56,249.8,249.8,249.8,250.03,248.8,249.36
651,C,False,22.757,24.387,17.899,34.032,56.956,27.048,33.813,15.356,22.329,20.384,19.409,17.153,17.845,12.821,9.638
652,C,True,646.88,645.89,643.07,644.55,643.98,639.34,639.19,640.11,643.88,648.13,646.9,646.31,645.89,644.5,645.89
653,C,False,87.805,85.011,88.258,88.019,87.407,87.541,89.715,88.951,90.733,91.355,92.938,93.156,94.545,96.406,93.503
654,C,False,145.16,339.93,321.81,39.98,124.44,205.31,200.42,189.58,119.24,135.84,79.157,75.599,156.31,54.625,42.609
655,C,False,323.69,315.13,225.74,291.29,278.45,206.42,243.87,221.34,206.9,198.19,203.87,229.47,201.14,216.2,205.6
656,C,False,103.24,103.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
657,C,True,52.158,48.372,54.827,14.81,79.42,21.681,38.963,54.349,15.089,52.518,20.497,23.465,32.73,33.22,32.25
658,C,False,140.51,39.044,116.3,105.23,160.36,135.02,40.688,108.96,105.33,101.61,108.88,127.77,38.181,36.998,129.43
659,C,False,948.29,944.27,942.36,941.12,943.51,945.01,941.41,940.44,944.66,941.27,939.45,938.32,934.19,935.38,940.65
660,C,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
661,C,False,560.23,561.47,562.32,562.6,562.42,560.4,559.92,562.67,561.48,561.86,563.56,564.56,563.1,561.74,563.96
662,C,False,19.235,19.105,25.116,19.235,19.235,26.589,26.963,25.012,25.703,24.716,19.235,19.235,19.235,18.248,19.235
663,C,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
664,C,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
665,C,False,1157.8,1183.1,1166.2,1139.7,1096.6,1106.5,1130.1,1091.3,1087.7,1084.0,1118.0,1122.6,1150.4,1144.7,1146.3
666,C,True,234.29,126.04,57.112,160.9,31.929,40.054,40.374,54.025,166.28,431.17,147.7,47.491,26.168,56.707,66.969
667,C,False,393.21,392.91,392.93,389.71,390.62,393.34,392.14,391.86,393.5,392.21,397.02,396.51,395.05,397.4,398.81
668,C,False,180.9,179.9,0.0,0.0,0.0,0.0,0.0,185.19,185.43,184.32,184.2,185.19,185.31,185.31,184.2
669,C,False,340.42,340.63,340.44,340.75,343.51,343.05,343.35,343.14,343.45,344.79,345.87,344.66,345.58,345.25,345.26
670,C,False,269.03,224.29,225.64,230.23,294.55,277.02,246.62,238.44,268.13,235.4,234.0,233.23,231.41,291.27,231.16
671,C,False,185.02,185.02,185.33,186.02,186.54,186.51,188.01,186.5,188.51,188.01,188.52,188.52,188.54,189.55,189.54
672,C,False,418.14,416.82,428.9,422.95,417.48,408.13,402.86,402.55,419.88,421.75,421.48,412.85,396.09,371.78,384.92
673,C,False,9.8995,10.63,11.314,18.788,17.889,0.0,0.0,0.0,0.0,0.0,15.556,15.556,0.0,16.27,17.358
674,C,True,587.38,586.14,583.59,584.84,583.18,583.97,579.03,580.18,581.22,577.78,577.09,577.65,576.51,577.99,576.97
675,C,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.374,0.0,0.0,0.0,0.0,60.394,0.0
676,C,False,739.35,738.41,740.35,741.89,743.19,746.24,743.56,753.72,750.84,752.65,755.97,753.18,755.54,749.83,757.16
677,C,False,187.88,187.54,188.94,188.02,187.35,187.71,187.79,188.21,188.16,188.02,188.0,189.18,190.42,188.32,188.79
678,C,False,640.28,650.75,657.27,670.59,673.19,673.6,677.08,534.89,537.87,525.89,519.58,513.91,501.81,509.13,518.94
679,C,False,187.01,191.37,193.85,194.94,196.96,199.41,199.86,199.17,200.17,195.98,197.78,196.33,194.51,194.32,192.23
680,C,False,186.05,185.36,183.55,185.89,185.12,185.07,185.66,186.38,187.21,186.89,187.32,186.63,187.43,186.63,185.25
681,C,False,153.22,150.89,153.92,152.08,158.46,161.29,162.73,164.47,161.81,161.92,163.57,161.95,168.41,175.76,184.37
