,FLARE_TYPE,COINCIDENCE,AREA_ACR_1,AREA_ACR_2,AREA_ACR_3,AREA_ACR_4,AREA_ACR_5,AREA_ACR_6,AREA_ACR_7,AREA_ACR_8,AREA_ACR_9,AREA_ACR_10,AREA_ACR_11,AREA_ACR_12,AREA_ACR_13,AREA_ACR_14,AREA_ACR_15
1275,B,False,25.693,24.742,24.596,22.911,22.609,23.811,24.113,22.985,21.253,20.873,22.19,22.066,23.31,22.629,24.367
1276,B,True,611.44,613.14,611.39,611.27,614.07,603.03,599.83,597.25,598.05,599.7,603.16,588.26,588.63,578.31,584.2
1277,B,True,96.311,95.446,93.592,93.715,95.266,96.98,97.767,95.506,97.578,95.636,94.602,95.361,96.311,95.099,92.431
1278,B,True,5.3503,6.123,5.4416,6.6804,7.4305,8.0062,8.4201,9.3149,10.04,9.3747,9.1431,11.194,19.4,19.583,18.68
1279,B,False,340.93,343.68,347.19,347.88,351.76,351.62,356.95,359.6,362.53,366.17,370.49,373.3,373.98,372.52,379.85
1280,B,False,393.31,390.72,395.09,404.08,398.86,392.65,397.22,397.37,400.13,396.85,397.05,398.05,395.42,391.02,399.75
1281,B,False,251.97,248.78,255.57,254.15,255.18,257.4,257.78,264.12,262.83,272.8,273.91,279.44,283.69,278.82,283.37
1282,B,False,796.33,788.11,787.21,788.37,785.6,787.42,789.39,787.93,789.77,796.12,799.77,801.29,801.42,797.73,799.79
1283,B,False,129.6,131.46,132.56,135.21,136.01,139.67,140.87,142.91,142.92,144.4,147.19,148.03,151.01,154.39,153.73
1284,B,False,80.125,78.385,80.148,82.381,81.455,80.289,77.7,78.559,74.152,76.026,76.238,75.077,73.655,71.932,71.344
1285,B,False,224.43,217.54,220.75,214.88,214.24,213.1,216.33,216.05,213.17,213.49,220.07,217.79,218.78,213.62,216.68
1286,B,False,144.73,145.67,147.65,152.31,154.63,152.66,153.43,155.41,157.05,154.71,154.71,153.45,151.34,152.83,153.96
