,FLARE_TYPE,COINCIDENCE,MEANJZH_1,MEANJZH_2,MEANJZH_3,MEANJZH_4,MEANJZH_5,MEANJZH_6,MEANJZH_7,MEANJZH_8,MEANJZH_9,MEANJZH_10,MEANJZH_11,MEANJZH_12,MEANJZH_13,MEANJZH_14,MEANJZH_15
638,C,False,-0.016095,-0.015446,-0.014998,-0.015371,-0.015553,-0.015376,-0.014644,-0.014579,-0.012943,-0.012787,-0.012943,-0.012374,-0.012728,-0.012162,-0.01257
639,C,False,-0.0036167,-0.0047864,-0.0053338,-0.005415,-0.0076862,-0.0063198,-0.0086044,-0.0070423,-0.0093452,-0.0084692,-0.0084256,-0.0052195,-0.0078214,-0.0075764,-0.0070035
640,C,False,-0.0070694,-0.0066871,-0.0073516,-0.0064911,-0.0066352,-0.006884,-0.0064502,-0.0066932,-0.0069339,-0.0072109,-0.0067164,-0.0070992,-0.0071591,-0.0075937,-0.0074631
641,C,False,-0.00048051,-0.00048214,-0.0002796,-0.00053791,-0.00037105,-0.00044071,-0.00040112,-0.00019602,1.4247e-05,-0.00020218,-0.00047262,-0.00052086,-0.00023172,-0.0002339,-0.00028713
642,C,True,-0.0067611,-0.0068854,-0.0069023,-0.0061751,-0.0065482,-0.0063645,-0.0065351,-0.0063009,-0.0064455,-0.006404,-0.0063432,-0.0068207,-0.0074187,-0.0074737,-0.0076842
643,C,False,0.0031038,0.0029274,0.0031151,0.0030388,0.0030908,0.0032998,0.0034628,0.0031807,0.0034539,0.0031106,0.0036819,0.0031603,0.0029997,0.0029429,0.0034646
644,C,False,0.0029726,0.0021454,0.00264,0.0025608,0.0038597,0.0053902,0.0036849,0.0034077,0.0021068,0.0030133,0.003565,0.0029354,0.0019969,0.002874,0.0042949
645,C,False,-0.017685,-0.017857,-0.018485,-0.019611,-0.018482,-0.018259,-0.01907,-0.019237,-0.01931,-0.018691,-0.018738,-0.019029,-0.018672,-0.018481,-0.018473
646,C,False,0.0022252,0.002467,0.0020449,0.0024575,0.0024198,0.0022875,0.0026157,0.002953,0.003016,0.0029699,0.0026955,0.0028638,0.0030624,0.0028094,0.0031933
647,C,True,0.0064567,0.0059213,0.0059878,0.0059448,0.0048644,0.0049461,0.0060799,0.0058703,0.0066398,0.0062893,0.0055514,0.0052061,0.0044969,0.0047066,0.0040029
648,C,False,0.010352,0.011584,0.010978,0.010128,0.010842,0.01212,0.0095848,0.0080128,0.006881,0.0065975,0.0054999,0.0071956,0.007733,0.0066733,0.0073671
649,C,False,-0.0019332,-0.0020705,-0.0014227,-0.0018818,-0.0022923,-0.0031864,-0.0030822,-0.0027889,-0.0034471,-0.0031578,-0.0032111,-0.0030131,-0.0028498,-0.0029729,-0.0031826
650,C,False,0.0088282,0.0088447,0.0088961,0.0085889,0.0081209,0.0086988,0.0087483,0.0055414,0.0088756,0.0051592,0.0049423,0.0084403,0.0086416,0.0092607,0.008989
651,C,False,0.0,-0.0023703,0.014949,-0.0018296,-0.0022904,-0.000519,0.0010911,-0.0017972,-0.0036614,0.0038269,0.0028344,-0.0017014,-0.0050245,-0.0011338,-0.0036697
652,C,True,0.0077999,0.0076789,0.0074991,0.0077368,0.0074616,0.0074082,0.0072713,0.0072176,0.0072993,0.0073638,0.0072057,0.0076777,0.007689,0.0072626,0.006991
653,C,False,-0.0075134,-0.0078033,-0.0078784,-0.0065304,-0.010183,-0.010509,-0.012365,-0.012212,-0.0070807,-0.0096592,-0.010454,-0.0047188,-0.0055901,-0.0032103,-0.0032853
654,C,False,0.0047927,-0.0066757,-0.005548,0.00082548,0.0033763,-0.0067143,-0.0073137,0.00031917,0.0022365,-0.0040213,0.0017658,0.0017731,0.0010804,0.00076832,-0.002239
655,C,False,0.0062601,0.011309,0.012029,0.0071634,0.010713,0.0094105,0.0062318,0.0073935,0.0051212,0.0077779,0.0067333,0.007751,0.0046868,0.0020635,0.0028507
656,C,False,-0.024535,-0.024177,-0.024511,-0.026168,-0.028456,-0.029135,-0.029222,-0.029573,-0.033261,-0.033482,-0.035498,-0.034822,-0.033236,-0.03312,-0.034809
657,C,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0058665,-0.0012778,-0.010136,-0.010304,-0.0059366
658,C,False,-0.0033388,-0.0024149,-0.0029017,-0.0028834,-0.0030643,-0.0036241,-0.0031067,-0.0036843,-0.0031666,-0.0031785,-0.0033018,-0.0033809,-0.0035986,-0.0037772,-0.003218
659,C,False,0.01518,0.014802,0.015611,0.015332,0.015466,0.015503,0.014972,0.015107,0.015397,0.015216,0.015235,0.014761,0.01544,0.015064,0.014196
660,C,False,-0.0048835,-0.0054203,-0.0055642,-0.0049821,-0.0063518,-0.0057014,-0.0057376,-0.005877,-0.0058355,-0.005796,-0.0060587,-0.0056296,-0.0056778,-0.0055469,-0.0050938
661,C,False,0.0025361,0.002485,0.0018623,0.0026103,0.0030391,0.0030746,0.0028231,0.0029657,0.0018457,0.0031005,0.0031089,0.0031795,0.0036093,0.0034977,0.0036104
662,C,False,0.0091699,0.0092209,0.0088104,0.0089432,0.0092744,0.0090927,0.0086585,0.0085649,0.0081871,0.0083483,0.0087988,0.0083272,0.0083459,0.0079561,0.0081232
663,C,False,-0.0046473,-0.0045687,-0.0046413,-0.004555,-0.004281,-0.0043896,-0.0042161,-0.0043913,-0.0039813,-0.0041737,-0.0042952,-0.0041544,-0.0050064,-0.0045041,-0.0050663
664,C,False,0.0042769,0.0047534,0.0046907,0.0050732,0.0056155,0.0059666,0.0053354,0.0043208,0.0055173,0.0055964,0.0049571,0.0054342,0.0047949,0.0049627,0.004707
665,C,False,0.0024829,0.0016669,0.0016903,0.0018053,0.0017419,0.0022861,0.0017994,0.0015626,0.0019812,0.0017396,0.0016449,0.0016716,0.0018834,0.0016092,0.0017982
666,C,True,-0.022304,-0.022992,-0.021566,-0.025324,-0.025368,-0.019541,-0.02171,-0.018967,-0.017052,-0.023778,-0.022765,-0.021827,-0.016495,-0.018706,-0.014805
667,C,False,0.00056147,0.0011323,0.0013257,0.0013988,0.0011136,0.001385,0.0012051,0.001232,0.0010792,0.00092336,0.0011622,0.0015571,0.0012915,0.0012632,0.00097112
668,C,False,0.0024588,0.0034909,0.0024841,0.0026775,0.0067258,0.0026621,0.0070995,0.007007,0.0067741,0.0069749,0.0079484,0.0043825,0.0058354,0.010767,0.00015759
669,C,False,0.011693,0.011492,0.011712,0.011523,0.011264,0.011178,0.010429,0.01113,0.011251,0.011199,0.010647,0.010815,0.010718,0.011411,0.011348
670,C,False,0.0072827,0.0076625,0.0065183,0.0077452,0.0072083,0.0072137,0.0076081,0.0070914,0.0074362,0.0072802,0.0066183,0.0069445,0.0068629,0.0063541,0.0065706
671,C,False,-0.00090097,-0.0019912,-0.001831,-0.0010856,-0.0018381,-0.00096004,7.0204e-05,-0.00024351,-0.0009093,0.00036733,-0.00096437,-0.00012761,-0.0010207,-0.00054514,0.0010403
672,C,False,-0.001178,-0.001042,-0.00077801,-0.0009616,-0.0011029,-0.0012673,-0.0011232,-0.001498,-0.0023142,-0.0026257,-0.0021329,-0.0023323,-0.0025588,-0.0018145,-0.0017163
673,C,False,0.0088209,0.0085666,0.0091874,0.0090629,0.0092372,0.0089993,0.0089387,0.008852,0.008558,0.0087469,0.0089837,0.0083298,0.0088018,0.0084594,0.0085981
674,C,True,-0.0035169,-0.0032375,-0.003275,-0.0031685,-0.0030834,-0.0032383,-0.0034281,-0.003042,-0.0031634,-0.0032333,-0.0028836,-0.0028155,-0.0028554,-0.0024961,-0.0026257
675,C,False,-0.0011677,0.00018179,0.00097189,-0.00068547,4.271e-05,1.2312e-05,-0.00033859,0.00038623,0.0012812,0.001854,0.00076837,0.00029132,-8.5712e-05,0.0017094,0.00085099
676,C,False,-0.0028146,-0.0025165,-0.0018027,-0.0017338,-0.0012536,-0.0012825,-0.0010766,-0.00091775,-0.00097566,-0.0009313,-0.00096192,-0.00016136,-0.0003834,-0.00013255,-0.00031246
677,C,False,-0.0098382,-0.0099252,-0.0097348,-0.0095208,-0.009261,-0.0086925,-0.0084954,-0.0088117,-0.0091561,-0.009555,-0.009562,-0.0094155,-0.009296,-0.0093735,-0.0092653
678,C,False,-0.0024913,-0.0023268,-0.002229,-0.0024817,-0.002556,-0.0025404,-0.0023681,-0.0027509,-0.0026952,-0.0028532,-0.0025352,-0.0024622,-0.0024626,-0.0027451,-0.0024612
679,C,False,-0.0015029,-0.0018055,-0.0015788,-0.001924,-0.0025433,-0.0016895,-0.0019071,-0.0010681,-0.0011287,-0.0020669,-0.0018718,-0.001434,-0.0015808,-0.00051176,-0.001012
680,C,False,-0.013321,-0.01288,-0.01251,-0.012438,-0.012541,-0.012536,-0.011683,-0.011181,-0.010565,-0.010542,-0.010682,-0.010152,-0.010044,-0.010048,-0.0097315
681,C,False,-0.006589,-0.006715,-0.0068387,-0.0070088,-0.0069709,-0.0071141,-0.0070887,-0.0069148,-0.0071486,-0.0069984,-0.006645,-0.0069389,-0.0065075,-0.0064104,-0.0064698
682,C,True,0.00078981,0.0021998,0.00087065,0.0016753,0.00085129,0.00090636,0.0023377,0.0019372,0.0008648,0.0016658,0.001284,-0.00014689,0.00080229,0.00073935,0.00138
683,C,False,9.2778e-05,-0.00037167,0.0014992,0.0015179,-0.00019782,0.00078651,0.0012258,0.00091546,0.0007119,0.0038538,0.0016477,0.0024651,0.0013556,0.0020537,-0.00051174
684,C,False,0.0050562,0.0032008,0.0036333,0.0037246,0.0033054,0.0025332,0.0023586,8.1763e-05,0.0010407,-0.0010711,-0.0023349,-0.0020065,-0.0051096,-0.0054722,-0.0080463
685,C,False,0.0049897,0.0047766,0.005064,0.0046698,0.0033093,0.0037434,0.0040922,0.003433,0.0036785,0.002944,0.0023745,0.0026476,0.0037038,0.0028823,0.0035353
686,C,False,-0.0056036,-0.0065617,-0.0064584,-0.0062301,-0.0053147,-0.005514,-0.0045657,-0.0020323,-0.0039293,-0.0045043,-0.0014749,-0.0019027,-0.0034519,-0.0032473,-0.0013551
687,C,False,0.0024829,6.5851e-06,0.0013413,0.001763,0.0011463,0.0012986,0.0016566,0.0023014,0.0023868,0.0027907,0.0030388,0.0027075,0.0030258,0.0017926,0.0029226
688,C,False,0.0068099,0.0037734,0.0049978,0.0058688,0.0059991,0.0051229,0.0056264,0.006934,0.006649,0.0050837,0.0046312,0.0045843,0.0033754,0.0034868,0.0026952
689,C,True,-0.00096412,-0.0031509,-0.0029979,-0.0010456,-0.006525,-0.00070553,-0.0027415,-0.0013652,-0.0016282,-0.0058014,0.0020971,0.00050349,-0.011559,0.0055538,5.3348e-05
690,C,False,0.0020604,0.0020663,0.0016849,0.0017628,0.0017265,0.0027628,0.0027884,0.0027598,0.001435,0.0021051,0.0028142,0.0033568,0.004158,0.0040378,0.0036827
691,C,False,-0.00095861,-0.00071483,-0.0010622,-0.0012583,-0.0013878,-0.0013833,-0.0012032,-0.00091977,-0.0012197,-0.0014603,-0.0013412,-0.0015885,-0.0015735,-0.0013677,-0.0018291
692,C,False,0.0021371,0.0020365,0.0025588,0.0022511,0.0026506,0.0026172,0.0031705,0.0037964,0.0038668,0.0029363,0.0030193,0.0036154,0.003377,0.002505,0.0029898
693,C,False,-0.00027524,-0.00013806,0.00032931,0.0011356,0.0019357,0.0013338,0.0018451,0.0011378,0.00045644,0.0002401,0.00014357,-0.00034669,0.00071374,0.00078703,0.0015221
694,C,False,0.0067002,0.0059764,0.0054103,0.005529,0.0057816,0.0057623,0.0055336,0.0057724,0.0058621,0.0057908,0.0054937,0.0057885,0.0060752,0.0066975,0.0064176
695,C,False,0.014822,0.014257,0.015282,0.014698,0.014545,0.015357,0.014582,0.01374,0.014185,0.014683,0.014524,0.014312,0.013979,0.014502,0.014709
696,C,False,-0.00021151,-0.00025546,-0.0002087,-0.00021594,-0.00032387,-0.00012435,-0.00037684,-0.00039768,-0.00028667,-0.00037985,-0.00050527,-0.00041195,-0.00011679,-0.00019484,-0.00035539
697,C,False,0.00682,0.0075767,0.0075516,0.0071315,0.0079344,0.0077344,0.0083797,0.008319,0.008478,0.0082391,0.0079167,0.0080786,0.0080426,0.0081345,0.0081987
698,C,False,0.0020179,0.001912,0.0015405,0.0013968,0.001624,0.0012298,0.0010838,0.00096851,0.00096462,0.00064835,0.0011382,0.00079254,0.0011644,0.0015657,0.0008976
699,C,False,-0.0027406,-0.002363,-0.0025079,-0.0023546,-0.002325,-0.0022623,-0.0022109,-0.0019773,-0.0021057,-0.0020756,-0.0025537,-0.0021194,-0.0021101,-0.0020894,-0.002187
700,C,False,-0.0010382,-0.0012667,-0.0017895,-0.0016308,-0.0017317,-0.0017163,-0.0013206,-0.0012271,-0.00079494,-0.0014449,-0.0017885,-0.0009151,-0.001384,-0.0010511,-0.0018502
701,C,False,0.017506,0.0085731,0.012861,0.012841,0.013726,0.010705,0.01777,0.01181,0.012409,0.011318,0.011776,0.011603,0.010351,0.015472,0.012502
702,C,False,0.00040326,-0.00015227,0.0003632,0.00088528,-0.00048444,2.3202e-05,-0.0007121,-0.0002664,0.00078536,0.00028221,-0.00040364,9.5694e-05,2.2247e-05,0.00040162,-0.00070073
703,C,False,-0.00047631,-0.00058532,-0.00046263,-0.00063578,-0.0006161,-0.00073338,-0.00060585,-0.00067419,-0.00095015,-0.00066867,-0.00041394,-0.0010474,-0.00073925,-0.00068268,-0.00091516
704,C,False,-0.016777,-0.017129,-0.017203,-0.015712,-0.015159,-0.014975,-0.014812,-0.015464,-0.0153,-0.014467,-0.015146,-0.015922,-0.015553,-0.014511,-0.013206
705,C,False,0.0011768,0.0010461,0.0012695,0.0013309,0.0013585,0.0013702,0.0012171,0.0012432,0.00098447,0.0012189,0.0010661,0.0011003,0.00071575,0.00056998,0.00044679
706,C,False,0.0086938,0.008381,0.011226,0.010352,0.010512,0.010814,0.010201,0.010039,0.010734,0.011339,0.010585,0.011663,0.010583,0.010838,0.010691
707,C,False,0.0047323,0.0048038,0.0046082,0.0028518,0.0045286,0.0043067,0.0046499,0.0046239,0.0043744,0.0042542,0.0048681,0.0046107,0.0045642,0.004364,0.0044579
708,C,False,-0.0046493,-0.0047452,-0.0045869,-0.00493,-0.0048671,-0.0047946,-0.0047578,-0.0048474,-0.004282,-0.0048351,-0.0038236,-0.0045198,-0.0050219,-0.0050111,-0.0053021
709,C,False,-0.00040802,-0.00067102,-0.00080605,-0.00031769,-0.00058184,-0.00053598,0.00023724,0.00048584,1.879e-05,0.00017729,0.00030557,-0.00033296,0.00058276,0.00071204,0.00099932
710,C,False,0.0045642,0.004364,0.0044579,0.0045851,0.0045126,0.0044481,0.0045292,0.0047131,0.0046127,0.0043629,0.004312,0.0044851,0.0043006,0.0047911,0.0044578
711,C,False,0.0030078,0.003001,0.0023992,0.0026148,0.0026588,0.0027733,0.0026094,0.0024432,0.0025899,0.0028606,0.0024214,0.0028111,0.0029414,0.0033701,0.0032356
712,C,False,0.0054764,0.0058828,0.0060145,0.0060293,0.0060333,0.0068169,0.00661,0.0064876,0.006243,0.0060656,0.0059953,0.006343,0.0058668,0.0058257,0.0054748
713,C,False,-0.001442,-0.00099869,-0.0012309,-0.00039836,-0.0009555,-0.00062638,-0.00092259,0.00013072,-0.00067392,-0.00082273,-0.00065616,-0.00071907,-0.00095614,-0.0010441,-0.0013921
714,C,False,-0.0016555,-0.0017244,-0.0014485,-0.0014011,-0.0019989,-0.0015827,-0.0017576,-0.0014868,-0.0019067,-0.0015379,-0.0012468,-0.0014875,-0.0010994,-0.0010876,-0.0013208
715,C,False,0.00015094,0.00038719,-3.0348e-05,0.00039476,0.00063778,0.00093177,0.0017239,0.0017764,0.0016017,0.0022053,0.0026204,0.0027295,0.003038,0.0024751,0.003287
716,C,False,0.0069803,0.0071208,0.0074526,0.0074112,0.0075135,0.0068648,0.0062652,0.0069369,0.0073897,0.007555,0.007429,0.0069963,0.0067165,0.0071001,0.0069587
717,C,False,0.0038027,0.0066539,0.0085428,0.0095449,0.010332,0.014827,0.012567,0.0093826,0.01161,0.012461,0.0094981,0.016176,0.016131,0.014261,0.011568
718,C,False,-0.010237,-0.0096385,-0.0095993,-0.010836,-0.010639,-0.010982,-0.011576,-0.012036,-0.012143,-0.012694,-0.012281,-0.013743,-0.014015,-0.014314,-0.014054
719,C,False,-0.0012037,-0.0010169,-0.0010335,-0.0012307,-0.00095976,-0.00064963,-0.00060373,-0.00070382,-0.0003431,-0.00046863,-0.00092361,-0.00016241,-0.00078337,-0.0013893,-0.0013626
720,C,False,0.0036125,0.0037808,0.0039872,0.0044137,0.0045337,0.0052277,0.0047157,0.0051272,0.0048208,0.0053394,0.0049172,0.0051256,0.0057262,0.0055421,0.0055148
721,C,False,0.001412,0.0012452,-0.00056367,-0.00018972,-0.00029149,-0.0010941,-0.0009527,-0.00075142,-0.00070479,-0.00095158,-0.0011615,-0.0011568,-0.0017382,-0.00078114,-0.0010406
722,C,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00090169,0.0035095,-0.00019001,-0.0029637,-0.00049089,-0.00015851,-0.0013247,-0.00077378
723,C,False,-0.0034282,-0.0045536,-0.0053372,-0.0043575,-0.0058576,-0.0058109,-0.005539,-0.0069493,-0.0065477,-0.0080372,-0.0051371,-0.0058786,-0.004394,-0.0056662,-0.0058125
724,C,False,-0.0045165,-0.0052714,-0.0049947,-0.004365,-0.0036678,-0.0033544,-0.0041779,-0.0030138,-0.0039537,-0.0032718,-0.0041376,-0.0026569,-0.0031752,-0.0053703,-0.0045147
725,C,False,0.0092921,0.010481,0.010664,0.0098256,0.010513,0.0095001,0.0094606,0.0090406,0.0098039,0.0092422,0.0090971,0.0093901,0.0085689,0.0076522,0.0088295
726,C,False,-0.00044592,-0.00070427,-0.00096714,-0.001476,-0.0014932,-0.0014541,-0.0010461,-0.0012598,-0.0014645,-0.001832,-0.0022041,-0.0020128,-0.0024701,-0.0023218,-0.0018721
727,C,False,0.0021003,0.0028864,-0.0014295,0.002769,0.003181,-0.001287,0.0033135,0.0039305,0.0033811,0.0042345,0.0037774,0.003442,0.0037304,0.0038488,0.0038942
728,C,False,-0.00528,-0.005416,-0.005137,-0.0048264,-0.004815,-0.0058003,-0.0062292,-0.0068152,-0.0061114,-0.0063045,-0.0055084,-0.0054819,-0.0058691,-0.0063788,-0.0055689
