,FLARE_TYPE,COINCIDENCE,SHRGT45_1,SHRGT45_2,SHRGT45_3,SHRGT45_4,SHRGT45_5,SHRGT45_6,SHRGT45_7,SHRGT45_8,SHRGT45_9,SHRGT45_10,SHRGT45_11,SHRGT45_12,SHRGT45_13,SHRGT45_14,SHRGT45_15
1970,N,False,8.5771,9.0909,7.6506,9.9037,9.5946,6.4131,9.166,9.9558,11.189,9.7027,7.0101,8.7886,10.106,6.6055,7.3077
1971,N,False,11.015,10.974,8.6575,11.683,10.65,7.0073,10.275,7.0175,9.2827,6.0423,7.3718,7.4074,8.689,13.371,14.328
1972,N,False,28.421,28.184,28.329,28.932,28.219,28.421,28.853,28.846,28.567,28.6,28.835,28.118,28.826,28.56,28.07
1973,N,False,13.991,13.646,13.9,14.713,14.552,13.745,13.452,14.426,13.96,12.995,12.833,12.028,11.604,11.039,10.778
1974,N,False,12.93,12.547,13.089,13.885,12.13,12.08,10.043,9.6806,8.9684,9.1227,7.2602,6.7683,8.4516,9.4078,9.2363
1975,N,False,57.937,57.413,57.6,57.591,57.778,57.577,57.81,57.053,57.784,57.503,57.231,57.176,58.523,58.515,57.619
1976,N,False,2.3453,2.3938,2.4803,3.1408,3.073,3.4297,4.3667,5.0587,3.5117,3.4992,3.9445,3.8779,4.1531,4.9592,3.8283
1977,N,False,6.2999,4.9563,6.0402,6.3328,6.7508,5.9374,5.8915,6.842,6.6748,6.6609,6.3269,7.6639,6.2987,5.4545,5.7336
1978,N,False,29.068,28.279,28.683,29.373,29.533,30.255,30.427,31.504,30.994,30.405,29.209,30.674,30.812,30.923,29.993
1979,N,False,6.6363,5.9396,5.817,7.1463,6.2169,4.5315,5.361,5.7569,5.3075,5.2803,5.3122,5.6257,5.5589,5.506,5.5918
1980,N,False,30.23,30.746,28.0,28.76,27.445,27.831,28.576,28.204,25.946,23.774,26.486,25.446,26.987,25.545,23.537
1981,N,False,38.055,37.654,37.669,37.802,37.198,36.933,37.004,37.543,36.539,36.587,36.441,35.957,36.696,36.234,36.096
1982,N,False,4.7791,3.7178,3.6281,3.1866,4.4118,3.4691,4.1106,3.0689,2.9545,2.7941,4.483,6.0345,7.0151,7.8844,8.6196
1983,N,False,2.821,3.1845,2.5821,3.5728,3.1826,3.2773,4.3599,4.5562,3.4826,3.1898,2.9492,3.1737,4.1171,3.981,3.5978
1984,N,False,12.798,12.981,12.84,13.291,12.897,12.934,12.799,12.73,12.911,12.412,12.06,12.193,12.692,12.401,12.55
1985,N,False,4.6512,5.7078,6.2907,4.9676,3.3632,4.2755,5.5188,3.6408,4.8,4.2493,2.454,2.8571,2.459,2.0134,1.1236
1986,N,False,21.348,22.381,21.254,23.412,22.748,21.452,21.952,21.276,21.872,23.345,23.455,21.451,20.417,21.494,20.965
1987,N,False,27.705,26.369,28.876,29.001,30.571,31.363,30.588,30.402,30.851,33.443,33.307,33.953,33.372,30.439,29.668
1988,N,False,21.489,21.741,20.744,21.323,20.786,22.084,22.977,21.554,22.358,22.672,21.552,20.894,20.074,20.384,20.377
1989,N,False,6.058,3.5613,3.0642,4.7125,5.1224,5.0721,4.9086,4.7619,3.5454,4.0916,6.8286,4.0482,4.1841,4.1605,3.5264
1990,N,False,12.853,10.613,11.66,7.4037,7.8842,9.372,9.8788,12.075,8.351,9.5588,11.137,11.796,6.2963,4.3424,6.6586
1991,N,False,38.84,38.059,37.767,38.498,37.775,35.947,35.944,34.951,36.799,36.605,38.195,40.697,41.323,41.742,42.647
1992,N,False,3.5019,1.9737,2.2222,0.0,0.0,0.0,0.0,0.0,0.0,1.6064,2.0513,6.8571,4.023,6.383,8.2569
1993,N,False,2.0966,1.9444,2.7422,1.5799,3.0756,3.1429,2.5362,2.6886,4.0552,3.6269,3.7829,4.4025,3.6556,4.4046,4.5491
1994,N,False,3.5933,3.5882,3.5011,4.0565,3.0563,3.5419,3.3947,3.2821,2.9089,2.8189,3.0706,3.5203,2.9993,2.9848,3.617
1995,N,False,39.495,39.106,39.316,39.042,38.211,37.144,37.596,36.114,37.637,37.091,37.188,36.818,38.102,37.683,38.453
1996,N,False,41.943,42.4,41.949,41.898,41.31,43.097,41.95,41.699,41.486,41.183,42.333,41.94,41.753,41.807,42.442
1997,N,False,6.3898,7.0245,6.6701,6.3931,6.4387,6.1754,5.9346,5.0362,6.0486,5.635,5.8026,5.684,5.2138,6.3296,6.121
1998,N,False,11.593,12.365,11.875,11.362,11.735,12.524,12.17,11.888,11.566,11.485,12.249,12.355,12.911,12.113,11.0
1999,N,False,4.8206,5.3825,5.8469,5.7488,6.1679,6.6267,6.6034,5.9605,5.292,5.086,4.4755,4.0927,4.4364,5.183,5.2281
2000,N,False,34.259,34.365,33.9,33.912,33.954,34.214,34.472,34.158,34.693,34.128,34.322,34.106,34.611,34.238,34.702
2001,N,False,15.709,11.924,13.957,11.667,12.702,14.494,22.457,22.129,14.234,14.047,12.958,13.602,16.814,15.936,17.277
2002,N,False,5.2367,5.2904,5.6986,5.4413,6.0495,7.1809,7.6338,6.5819,6.787,7.2617,7.1309,7.3505,7.1883,6.3126,5.8388
2003,N,False,5.2367,5.2904,5.6986,5.4413,6.0495,7.1809,7.6338,6.5819,6.787,7.2617,7.1309,7.3505,7.1883,6.3126,5.8388
2004,N,False,36.522,35.878,36.448,35.989,35.845,35.943,35.68,35.782,35.619,36.622,36.103,35.874,35.87,35.713,35.532
2005,N,False,38.246,38.462,37.742,38.027,38.058,39.042,38.024,37.854,38.606,37.797,39.155,40.05,39.811,37.473,38.975
2006,N,False,3.0635,3.1881,3.3525,4.1083,3.3825,3.4331,2.8986,2.4518,1.5557,2.7375,0.7799,2.1777,1.4567,1.7406,1.8501
2007,N,False,4.305,4.2094,5.5018,3.581,3.4557,3.4283,3.1978,2.8978,4.0283,4.26,3.3295,3.5672,4.4879,4.8565,3.1978
2008,N,False,28.948,28.985,28.755,28.912,29.017,29.356,29.287,29.308,29.26,29.374,29.384,29.261,29.133,29.32,29.174
