,FLARE_TYPE,COINCIDENCE,MEANGAM_21,MEANGAM_22,MEANGAM_23,MEANGAM_24,MEANGAM_25,MEANGAM_26,MEANGAM_27,MEANGAM_28,MEANGAM_29,MEANGAM_30,MEANGAM_31,MEANGAM_32,MEANGAM_33,MEANGAM_34,MEANGAM_35,MEANGAM_36,MEANGAM_37,MEANGAM_38,MEANGAM_39,MEANGAM_40,MEANGAM_41,MEANGAM_42,MEANGAM_43,MEANGAM_44,MEANGAM_45,MEANGAM_46,MEANGAM_47,MEANGAM_48,MEANGAM_49,MEANGAM_50,MEANGAM_51,MEANGAM_52,MEANGAM_53,MEANGAM_54,MEANGAM_55,MEANGAM_56,MEANGAM_57,MEANGAM_58,MEANGAM_59,MEANGAM_60,MEANGAM_61,MEANGAM_62,MEANGAM_63,MEANGAM_64,MEANGAM_65,MEANGAM_66,MEANGAM_67,MEANGAM_68,MEANGAM_69,MEANGAM_70,MEANGAM_71,MEANGAM_72,MEANGAM_73,MEANGAM_74,MEANGAM_75,MEANGAM_76,MEANGAM_77,MEANGAM_78,MEANGAM_79,MEANGAM_80,MEANGAM_81,MEANGAM_82,MEANGAM_83,MEANGAM_84,MEANGAM_85,MEANGAM_86,MEANGAM_87,MEANGAM_88,MEANGAM_89,MEANGAM_90,MEANGAM_91,MEANGAM_92,MEANGAM_93,MEANGAM_94,MEANGAM_95,MEANGAM_96,MEANGAM_97,MEANGAM_98,MEANGAM_99,MEANGAM_100
10,X,False,52.182,52.029,51.924,51.949,53.322,52.049,52.177,52.356,52.489,52.57,52.742,52.829,52.759,52.777,52.806,52.788,52.792,52.793,52.787,52.851,52.894,52.844,52.895,52.875,52.963,52.938,52.937,52.933,53.041,53.152,53.248,53.1,53.068,53.083,53.017,53.007,52.943,53.036,52.907,52.949,52.799,52.733,52.702,52.766,52.706,52.614,52.525,52.496,52.536,52.486,52.459,52.482,52.15,51.967,51.831,51.654,51.42,51.426,51.364,51.428,51.453,51.526,51.658,51.897,51.998,52.045,52.276,52.454,52.554,52.557,52.466,52.577,52.577,52.649,52.617,52.48,52.522,52.484,52.538,52.484
11,X,False,42.834,42.538,43.182,43.061,43.248,42.892,42.665,42.667,41.751,42.463,41.947,42.381,42.14,41.201,42.031,42.255,41.536,41.158,39.885,39.76,40.417,39.279,40.116,40.06,39.905,39.811,40.3,40.188,39.636,40.481,40.34,39.18,39.15,39.756,39.586,39.025,39.18,38.601,38.293,38.634,38.682,38.314,38.168,38.278,38.839,38.846,38.596,39.141,38.591,38.791,38.362,38.456,39.014,38.853,39.294,38.838,38.995,38.357,38.462,38.117,38.097,38.338,37.624,37.222,37.746,37.505,37.958,37.095,37.211,36.916,36.369,36.184,35.729,35.927,35.783,35.728,35.85,35.549,35.482,35.383
12,X,True,41.89,41.933,42.015,41.796,41.949,41.919,41.697,41.903,41.826,41.783,41.758,42.01,42.486,42.619,42.377,42.264,42.261,42.518,42.249,42.032,41.92,42.135,41.974,42.079,42.041,42.012,42.067,41.966,41.696,41.737,41.858,41.871,41.858,42.037,42.238,41.95,42.027,42.002,42.129,41.978,41.988,42.009,41.669,41.913,42.214,42.036,42.003,42.002,42.327,42.101,41.972,41.716,41.667,41.779,41.984,41.572,41.804,42.017,41.492,41.272,41.505,41.304,41.478,41.512,41.376,41.369,41.411,41.517,41.478,41.467,41.686,41.639,41.644,41.617,41.693,41.872,41.281,41.327,41.342,41.147
13,X,False,42.674,43.546,43.036,43.345,43.274,42.687,43.068,42.904,42.877,42.803,42.794,41.905,41.911,41.794,41.957,42.283,41.176,41.795,41.751,43.315,41.865,41.346,41.63,41.686,40.966,40.442,40.039,39.707,39.317,38.87,38.739,38.286,37.598,37.413,37.98,38.013,38.099,37.593,36.941,37.347,36.46,36.392,37.431,36.789,35.662,35.97,35.779,36.075,34.875,34.07,34.006,32.5,32.72,32.011,31.835,31.25,30.114,29.8,29.226,29.472,29.939,28.453,29.211,28.087,27.865,27.62,26.982,27.388,27.015,27.121,26.589,27.284,26.308,26.408,26.01,26.708,26.261,25.937,25.8,25.439
14,X,False,44.08,44.027,44.074,44.197,44.092,44.313,44.238,44.292,44.282,44.408,44.496,44.307,44.248,44.207,44.339,44.402,44.378,44.006,44.061,44.207,44.411,44.315,44.247,44.463,44.491,44.891,44.72,44.913,44.909,44.918,44.979,44.816,44.96,45.007,44.898,45.025,44.989,45.042,45.024,45.206,45.059,45.154,45.138,45.046,45.135,45.312,45.332,45.337,45.426,45.478,45.23,45.304,44.938,44.978,44.962,45.223,45.52,45.061,45.022,45.114,45.168,45.523,45.33,45.564,45.573,45.767,45.569,45.42,45.591,45.57,45.632,45.535,45.608,45.521,45.567,45.164,45.041,45.335,44.9,45.274
15,X,False,54.083,54.016,53.751,53.759,53.561,53.415,53.196,53.218,53.219,53.18,53.212,53.182,53.111,53.08,52.814,52.897,52.844,52.908,52.855,53.109,53.142,52.977,53.167,53.193,53.214,53.271,53.282,53.241,53.359,53.54,53.464,53.502,53.47,53.463,53.516,53.331,53.264,53.157,53.3,53.004,52.977,52.861,52.54,52.16,52.447,52.476,52.362,52.196,52.425,52.583,52.458,52.511,52.529,52.561,52.63,52.74,52.766,52.831,52.896,52.745,52.769,52.696,52.829,52.756,52.64,52.771,52.529,52.529,52.608,52.839,52.783,52.617,52.531,52.354,52.535,52.455,52.321,52.483,52.363,52.255
16,X,False,38.586,38.441,37.994,38.203,38.095,38.149,38.208,37.716,37.617,37.765,37.884,37.992,37.917,38.256,38.204,38.077,37.984,38.187,38.32,39.397,38.348,38.621,37.813,37.822,38.05,38.267,38.149,38.073,37.635,37.063,37.303,37.084,37.245,37.053,36.889,36.798,36.679,37.503,36.818,37.273,36.97,36.968,37.034,37.42,37.293,37.08,37.384,37.235,37.016,36.565,36.837,36.769,36.994,36.973,36.746,37.037,36.866,36.689,36.472,36.552,36.604,36.309,36.465,36.364,36.108,36.026,35.974,36.105,36.035,36.169,35.967,36.603,36.759,36.715,36.469,36.673,37.05,36.995,36.76,37.011
17,X,False,55.573,55.546,55.537,55.514,55.484,55.411,55.473,55.553,55.49,55.541,55.521,55.54,55.668,55.604,55.586,55.612,55.646,55.654,55.809,55.854,56.015,56.014,55.955,56.079,56.103,56.072,55.982,55.93,55.94,56.008,56.022,56.079,56.124,56.128,56.107,56.132,56.194,56.176,56.189,56.195,56.248,56.071,55.98,55.923,55.755,55.637,55.591,55.709,55.882,56.064,56.186,56.401,56.509,56.657,56.57,56.698,56.896,56.916,56.926,56.834,56.834,56.713,56.629,56.676,56.681,56.498,56.578,56.451,56.515,56.607,56.388,56.392,56.426,56.336,56.375,56.187,56.192,56.249,56.222,56.206
18,X,False,23.353,23.258,22.018,22.222,21.28,22.142,21.533,21.327,21.107,21.144,22.004,21.503,22.413,22.221,22.658,22.411,22.206,22.424,22.487,22.623,23.135,23.63,24.148,24.561,23.656,24.852,24.921,25.169,25.249,26.598,28.036,27.187,27.303,28.719,28.279,29.027,29.96,30.33,30.394,30.459,30.807,31.261,31.336,32.31,32.267,32.199,33.144,32.764,33.379,33.554,33.849,33.721,34.79,34.213,35.095,34.936,34.876,35.083,35.098,35.184,35.771,35.143,35.379,35.447,35.562,35.387,35.628,36.043,36.206,35.859,36.667,36.167,36.183,36.453,37.252,37.173,36.486,36.235,36.615,36.309
19,X,True,45.282,45.45,44.908,44.638,44.464,44.476,44.468,44.752,44.238,44.601,44.765,44.344,44.036,43.639,43.517,43.654,43.324,43.762,43.329,43.164,43.396,43.415,43.594,43.203,43.127,43.018,42.999,42.441,43.039,42.762,42.328,42.92,43.56,43.11,44.207,44.123,43.951,43.978,43.861,44.096,44.105,43.494,43.082,43.126,42.496,42.548,42.907,42.834,42.822,42.761,42.84,42.747,42.947,43.132,43.106,43.424,43.398,42.89,43.23,43.257,43.382,43.444,43.159,43.211,43.521,43.238,43.058,42.85,42.936,42.797,42.885,42.646,42.859,43.245,43.218,42.905,42.86,42.763,42.914,43.316
20,X,False,31.708,31.406,31.524,31.832,30.879,31.314,30.807,30.337,30.555,30.257,30.548,30.389,30.256,30.326,30.715,30.347,30.544,30.59,30.262,30.092,30.29,30.102,30.221,30.096,30.314,30.497,30.562,30.508,30.329,30.0,30.232,30.411,30.42,30.429,30.415,30.522,30.541,30.831,30.847,30.739,30.499,30.687,30.584,30.681,30.598,30.92,31.486,31.041,31.237,30.832,30.831,31.066,31.582,31.338,31.0,30.649,30.691,30.813,30.634,30.777,30.938,30.973,31.0,31.086,31.16,31.537,31.504,31.456,31.825,31.423,31.32,31.444,31.535,31.407,31.205,31.386,31.711,31.706,31.922,32.13
21,X,True,0.0,0.0,0.0,0.0,17.221,0.0,16.529,13.349,19.661,15.483,16.163,0.0,22.808,18.619,16.98,25.984,36.342,33.474,35.113,29.428,36.496,43.185,48.506,53.039,50.298,52.199,51.598,52.434,55.072,53.649,54.373,54.288,54.852,53.784,52.748,54.14,53.129,52.891,53.724,54.103,53.514,53.989,53.202,53.4,52.986,53.528,54.006,53.916,53.422,53.41,52.993,52.307,51.578,51.504,51.197,52.572,52.374,52.964,53.304,53.928,53.675,53.77,53.925,53.329,53.961,52.695,52.777,52.989,51.973,51.936,52.284,51.469,50.808,51.569,51.409,51.572,51.781,51.68,51.605,51.507
22,X,False,0.0,16.529,13.349,19.661,15.483,16.163,0.0,22.808,18.619,16.98,25.984,36.342,33.474,35.113,29.428,36.496,43.185,48.506,53.039,50.298,52.199,51.598,52.434,55.072,53.649,54.373,54.288,54.852,53.784,52.748,54.14,53.129,52.891,53.724,54.103,53.514,53.989,53.202,53.4,52.986,53.528,54.006,53.916,53.422,53.41,52.993,52.307,51.578,51.504,51.197,52.572,52.374,52.964,53.304,53.928,53.675,53.77,53.925,53.329,53.961,52.695,52.777,52.989,51.973,51.936,52.284,51.469,50.808,51.569,51.409,51.572,51.781,51.68,51.605,51.507,51.156,51.727,51.705,51.13,51.147
23,X,False,45.77,45.156,45.905,45.065,45.914,45.343,45.106,45.003,45.708,45.465,46.072,45.493,45.432,45.165,45.424,45.322,45.566,44.694,45.429,45.356,45.463,45.673,45.38,45.028,45.368,45.321,44.963,44.861,45.319,45.471,45.107,45.368,45.643,45.43,45.772,45.649,45.401,45.393,45.278,45.649,45.315,45.43,44.838,44.914,44.865,44.915,44.953,44.506,44.71,44.577,44.398,44.351,44.624,44.675,44.605,44.308,43.861,43.717,43.871,43.586,43.426,43.749,44.151,43.122,42.851,43.348,42.978,42.592,43.349,43.017,42.632,42.772,42.926,42.947,42.878,43.09,43.32,43.564,43.182,43.085
24,X,False,42.869,43.419,43.129,43.128,43.084,43.157,42.86,42.975,42.697,42.754,42.736,42.758,42.692,42.583,42.723,42.916,42.812,42.714,42.702,42.575,42.432,42.399,42.449,42.36,42.381,42.432,42.608,42.625,42.636,42.588,42.588,42.47,42.446,42.237,42.542,42.52,42.5,42.448,42.428,42.385,42.294,42.202,42.14,42.175,42.231,42.418,42.28,42.494,42.646,42.698,42.847,42.895,42.91,42.92,43.084,43.146,43.094,42.914,42.951,42.804,42.951,42.922,42.708,42.668,42.453,42.468,42.435,42.368,42.299,42.26,42.224,42.224,42.254,42.279,42.316,42.238,42.186,42.184,42.296,42.374
25,X,True,43.452,43.478,43.411,43.401,43.431,43.405,43.403,43.45,43.448,43.435,43.463,43.503,43.623,43.66,43.343,43.592,43.596,43.613,43.394,43.213,43.265,43.29,43.299,43.133,43.047,42.878,43.033,42.948,42.866,42.841,42.806,42.813,42.849,42.782,42.784,42.505,42.53,42.38,42.426,42.564,42.379,42.354,42.324,42.405,42.292,42.118,42.102,42.078,42.117,42.038,41.962,41.697,41.858,41.701,41.686,41.51,41.418,41.341,41.354,41.421,41.065,41.243,41.257,41.302,41.311,41.419,41.271,41.165,41.276,41.416,41.301,41.262,41.281,41.186,41.085,41.1,41.206,41.188,41.072,41.005
26,X,False,37.805,37.958,38.238,38.265,38.231,38.29,38.387,38.292,38.365,38.406,38.454,38.416,38.598,38.583,38.698,38.736,38.904,38.881,38.952,38.948,39.063,39.009,39.153,39.215,39.14,39.239,39.134,39.235,39.288,39.216,39.09,39.298,39.149,39.422,39.445,39.224,39.315,39.398,39.496,39.666,39.499,39.564,39.589,39.57,39.845,39.777,40.156,40.167,40.276,40.354,40.662,40.445,40.57,40.712,40.895,40.94,41.042,40.867,40.911,40.857,40.944,40.959,41.06,41.034,41.119,41.008,41.084,41.239,41.212,41.412,41.445,41.51,41.757,41.789,41.869,41.771,41.797,41.554,41.557,41.639
27,X,True,55.854,56.153,56.122,56.081,56.068,56.007,56.124,56.048,55.937,56.003,55.821,55.784,55.69,55.418,55.361,55.219,55.285,55.07,55.13,54.889,54.682,54.739,54.837,54.502,54.507,54.315,54.548,54.393,54.336,54.38,54.528,54.573,54.717,54.539,54.429,54.42,54.149,54.246,54.453,54.593,54.489,54.38,54.418,54.437,54.451,54.171,54.402,54.164,54.345,54.137,54.174,54.15,53.858,53.462,53.884,53.756,53.611,53.592,53.433,53.443,53.484,53.685,53.641,53.084,53.759,53.235,53.686,53.418,53.65,53.656,53.602,53.496,52.889,52.724,53.181,53.341,53.242,53.283,52.892,52.985
28,X,False,33.219,33.276,34.047,33.838,34.585,34.151,34.289,34.403,34.976,34.413,35.232,35.825,34.412,35.596,35.02,36.121,35.464,35.494,34.932,34.831,34.759,35.198,34.875,34.33,34.411,35.594,34.37,35.541,34.3,34.56,34.229,35.484,36.954,35.912,35.812,35.464,34.419,34.59,35.058,34.582,34.343,36.092,35.48,35.61,36.41,34.81,35.075,36.59,34.994,35.274,35.933,35.709,36.668,35.961,35.846,35.505,35.657,35.601,35.128,35.299,35.73,35.812,35.298,35.349,35.328,35.47,35.427,35.252,33.778,33.421,34.484,35.615,34.598,34.753,36.607,34.484,34.683,34.38,34.26,33.332
29,X,False,46.071,45.996,46.281,46.31,46.326,46.641,46.698,47.16,47.137,47.34,47.305,47.248,47.524,47.464,47.407,47.922,47.457,47.75,47.39,47.639,47.849,47.711,47.777,47.621,47.74,47.63,47.816,48.119,47.965,48.139,47.761,47.638,48.02,47.91,47.801,47.966,47.913,48.091,48.266,48.114,48.207,48.475,48.345,48.301,48.148,47.893,47.815,47.9,47.693,47.327,47.045,46.586,46.652,46.654,46.261,46.275,46.103,46.166,46.338,46.547,46.823,46.991,46.884,46.916,46.801,46.655,46.785,47.14,47.18,46.988,47.021,46.977,47.025,46.874,46.676,46.931,46.597,46.726,46.569,46.672
30,M,False,40.769,39.521,41.114,35.875,40.385,39.504,39.638,39.691,39.547,39.568,39.599,39.418,39.114,39.427,40.802,39.251,41.129,40.001,39.745,39.861,39.686,39.314,39.738,38.92,39.276,39.411,38.859,39.372,39.642,40.132,39.586,38.972,38.867,39.3,38.446,37.728,37.19,37.55,37.692,38.176,37.899,37.419,38.37,39.328,38.714,39.028,38.899,39.447,39.745,40.341,40.789,40.923,40.908,39.455,39.674,40.046,39.612,39.897,39.582,39.688,39.979,39.68,39.809,40.729,41.256,40.91,40.981,41.436,41.073,42.112,41.951,42.224,41.942,41.541,41.769,41.834,41.831,41.87,41.85,41.674
31,M,False,35.464,36.677,35.408,32.683,35.713,36.907,36.647,35.308,37.526,37.087,35.437,36.445,37.106,35.655,36.177,34.577,35.277,35.166,34.051,33.448,33.3,33.064,31.302,34.529,34.861,35.691,34.25,34.857,34.122,35.009,34.448,35.137,34.152,35.031,34.827,35.328,35.594,34.48,33.818,34.246,33.947,35.101,35.778,35.892,35.733,35.545,36.538,35.923,35.892,36.246,36.031,35.828,36.025,36.692,37.405,37.388,37.099,37.8,38.105,37.179,37.22,37.58,36.512,36.747,36.36,37.418,36.775,36.385,36.657,36.873,35.676,35.682,36.212,37.071,36.831,35.636,36.771,36.914,37.749,36.924
32,M,False,37.806,37.793,37.717,37.621,37.614,37.467,37.282,37.592,37.523,37.292,37.107,37.054,37.06,37.298,37.101,37.111,37.492,37.118,37.285,37.344,37.211,37.389,37.511,37.603,37.732,37.778,37.829,38.144,38.049,38.221,38.511,38.551,38.862,38.751,38.744,39.226,39.398,39.246,39.573,39.506,39.466,39.402,39.289,39.249,39.514,39.404,39.216,39.305,39.526,39.346,39.344,39.672,39.954,40.173,39.892,39.848,39.82,39.82,40.312,40.37,40.529,40.549,40.578,40.84,40.634,41.052,41.008,41.443,41.2,41.178,41.453,41.471,41.53,41.703,41.72,41.477,41.778,41.962,41.975,42.168
33,M,False,37.868,38.008,37.989,38.303,37.862,37.58,37.574,37.652,38.359,37.457,37.207,37.106,37.542,37.619,38.002,38.029,37.863,37.504,37.72,37.754,37.844,37.99,38.139,37.871,37.616,37.663,37.712,37.886,37.764,37.847,37.731,38.094,38.144,37.455,37.331,36.978,36.733,36.922,37.569,37.525,37.853,37.575,38.046,37.873,37.693,38.191,38.275,38.191,37.91,37.944,37.661,37.865,38.163,37.891,37.624,37.834,38.586,38.556,37.93,38.124,38.027,37.866,38.065,38.387,38.25,37.838,38.039,37.928,37.802,37.659,37.469,37.422,37.435,37.656,37.943,37.53,37.631,37.72,37.956,37.853
34,M,False,35.684,36.094,36.432,35.653,35.922,36.06,36.334,36.496,37.467,36.939,37.417,37.434,37.635,37.586,37.857,38.439,38.074,38.13,37.283,37.177,37.316,37.281,37.436,36.511,36.676,36.728,36.373,37.097,37.392,37.344,37.161,37.588,37.857,37.796,37.975,38.343,38.188,38.165,38.39,37.916,38.132,37.97,38.355,38.27,38.198,37.957,37.807,38.343,38.81,38.187,37.744,37.792,38.686,37.827,38.116,38.028,37.479,37.403,37.895,37.726,37.822,37.316,38.435,37.615,38.886,38.019,39.029,38.794,38.885,38.288,38.273,38.963,38.98,38.815,38.127,38.609,39.394,38.679,39.129,38.755
35,M,True,57.699,57.773,57.75,57.425,57.577,58.221,57.865,57.575,57.524,57.598,57.688,57.551,57.656,57.959,57.858,58.029,58.032,58.335,58.826,59.512,59.66,59.557,59.783,59.424,59.948,59.433,59.324,59.242,59.118,59.222,59.177,59.302,59.513,59.602,59.64,59.588,59.324,59.52,59.691,59.52,59.524,59.725,59.391,59.293,59.449,59.487,59.666,59.712,59.369,59.356,59.473,59.218,59.062,58.891,58.672,58.776,59.027,59.244,59.137,59.468,59.626,59.777,60.018,60.275,60.387,60.241,60.389,60.189,60.444,60.243,60.413,60.28,60.19,59.948,59.91,59.697,59.584,59.453,59.412,59.376
36,M,True,60.216,60.141,60.166,60.203,60.035,59.951,60.038,60.069,60.236,60.039,59.976,59.946,59.808,59.894,59.82,59.673,59.597,59.536,59.555,59.673,59.374,59.714,59.703,59.541,59.598,59.828,59.809,59.849,59.948,59.983,60.104,60.195,60.311,60.497,60.522,60.685,60.597,60.516,60.398,60.376,60.477,60.576,60.466,60.511,60.453,60.492,60.563,60.406,60.226,60.34,60.191,60.153,60.002,59.937,59.951,59.856,60.087,59.95,60.026,60.181,60.026,60.169,60.368,60.309,60.482,60.564,60.707,60.699,60.831,60.948,60.915,60.925,60.967,60.869,60.901,60.888,60.862,60.711,60.612,60.587
37,M,False,39.993,39.786,39.704,39.372,39.024,38.627,38.657,39.259,39.067,39.438,39.36,39.389,39.737,39.366,39.384,39.392,38.599,39.432,39.691,39.985,40.388,40.367,40.572,40.722,40.986,41.204,41.311,41.538,41.39,41.565,41.86,41.921,41.968,41.504,41.395,41.355,41.81,42.191,41.402,41.656,42.06,42.338,41.579,41.711,42.183,42.502,42.59,42.353,42.324,42.229,42.702,42.473,42.486,42.692,42.523,42.007,41.827,41.972,42.415,42.551,42.386,42.439,42.125,42.326,42.497,42.518,42.405,42.645,42.709,42.888,42.908,43.304,42.813,42.863,43.151,43.299,43.469,43.455,43.542,43.535
