,FLARE_TYPE,COINCIDENCE,ABSNJZH_21,ABSNJZH_22,ABSNJZH_23,ABSNJZH_24,ABSNJZH_25,ABSNJZH_26,ABSNJZH_27,ABSNJZH_28,ABSNJZH_29,ABSNJZH_30,ABSNJZH_31,ABSNJZH_32,ABSNJZH_33,ABSNJZH_34,ABSNJZH_35,ABSNJZH_36,ABSNJZH_37,ABSNJZH_38,ABSNJZH_39,ABSNJZH_40,ABSNJZH_41,ABSNJZH_42,ABSNJZH_43,ABSNJZH_44,ABSNJZH_45,ABSNJZH_46,ABSNJZH_47,ABSNJZH_48,ABSNJZH_49,ABSNJZH_50,ABSNJZH_51,ABSNJZH_52,ABSNJZH_53,ABSNJZH_54,ABSNJZH_55,ABSNJZH_56,ABSNJZH_57,ABSNJZH_58,ABSNJZH_59,ABSNJZH_60,ABSNJZH_61,ABSNJZH_62,ABSNJZH_63,ABSNJZH_64,ABSNJZH_65,ABSNJZH_66,ABSNJZH_67,ABSNJZH_68,ABSNJZH_69,ABSNJZH_70,ABSNJZH_71,ABSNJZH_72,ABSNJZH_73,ABSNJZH_74,ABSNJZH_75,ABSNJZH_76,ABSNJZH_77,ABSNJZH_78,ABSNJZH_79,ABSNJZH_80,ABSNJZH_81,ABSNJZH_82,ABSNJZH_83,ABSNJZH_84,ABSNJZH_85,ABSNJZH_86,ABSNJZH_87,ABSNJZH_88,ABSNJZH_89,ABSNJZH_90,ABSNJZH_91,ABSNJZH_92,ABSNJZH_93,ABSNJZH_94,ABSNJZH_95,ABSNJZH_96,ABSNJZH_97,ABSNJZH_98,ABSNJZH_99,ABSNJZH_100
10,X,False,1509.9,1480.3,1525.9,1514.1,1525.5,1487.6,1530.9,1476.1,1471.1,1442.9,1460.7,1451.8,1491.6,1419.4,1450.4,1442.9,1455.8,1451.0,1430.0,1420.9,1390.3,1395.1,1346.5,1428.0,1420.6,1371.7,1434.8,1407.6,1384.2,1406.4,1403.0,1401.5,1400.2,1386.9,1433.8,1441.4,1373.9,1355.5,1372.2,1363.1,1342.6,1388.1,1390.6,1356.5,1386.5,1392.5,1390.3,1316.3,1346.4,1377.0,1305.6,1313.6,1313.6,1263.7,1269.9,1299.4,1277.9,1277.5,1275.4,1285.0,1277.5,1298.0,1336.2,1341.2,1314.5,1312.2,1292.5,1279.0,1238.1,1252.2,1224.3,1236.9,1240.7,1197.1,1215.1,1226.6,1210.5,1177.0,1175.4,1187.5
11,X,False,397.36,403.04,419.52,417.58,415.99,449.3,499.7,557.67,481.37,568.97,612.99,620.82,593.28,554.09,558.39,544.19,589.94,490.77,432.98,540.11,529.17,527.96,576.04,463.29,487.43,519.1,508.65,503.62,513.72,485.94,513.31,505.21,516.22,543.75,553.5,537.45,557.57,528.39,526.84,506.3,506.51,517.27,662.76,689.52,491.53,486.77,456.74,493.68,548.13,410.57,422.27,530.67,526.96,539.45,430.4,420.77,440.87,717.01,664.33,579.02,651.84,651.53,617.01,620.71,611.09,620.41,600.88,614.69,605.05,578.7,622.92,741.26,615.87,605.0,602.55,606.03,595.31,749.67,598.92,596.04
12,X,True,751.25,755.23,717.19,735.98,759.29,760.12,774.34,781.59,769.83,790.59,804.12,804.78,812.6,853.63,845.38,813.98,797.88,818.33,798.1,795.39,766.07,763.73,770.62,525.12,742.53,731.14,740.29,475.61,705.73,697.67,677.2,673.45,479.37,494.81,478.9,691.52,708.77,713.0,738.58,705.94,735.09,710.45,733.7,526.71,543.65,560.32,779.88,569.45,608.33,857.7,868.28,845.19,646.94,833.89,633.95,625.93,853.36,625.08,645.46,602.28,584.85,609.45,638.78,694.79,725.79,684.71,742.98,756.54,784.22,771.61,762.44,796.8,787.69,736.01,800.87,824.79,734.38,751.0,779.33,769.85
13,X,False,223.08,128.01,190.58,270.92,227.36,268.21,75.468,108.39,183.18,97.257,133.93,49.086,138.06,200.44,189.57,207.49,463.93,656.68,312.29,356.35,379.03,419.45,455.83,422.68,385.47,331.75,295.93,336.07,296.22,305.72,134.62,267.81,268.44,276.22,298.61,80.794,244.17,246.24,252.81,212.84,256.75,253.17,200.44,241.78,44.814,142.56,238.21,223.53,238.2,230.17,149.03,133.59,30.936,21.659,132.16,2.6718,5.6169,45.904,74.695,2.5676,2.8449,85.563,11.732,106.75,25.865,92.763,25.841,94.488,77.276,89.311,42.216,94.76,96.351,100.7,107.86,96.907,93.427,41.478,84.272,83.162
14,X,False,1315.8,1118.5,1099.6,1142.7,1144.5,1158.9,1292.8,1142.8,1027.0,1035.0,1038.4,1072.5,1136.7,1013.3,1041.2,994.16,995.8,1034.7,1048.6,1059.0,1023.5,1097.9,1072.6,1136.9,1101.8,1043.6,1260.4,1169.5,1303.2,1237.7,1277.7,1169.5,1314.2,1269.2,535.79,1237.9,1279.2,1291.4,1275.1,1298.3,1262.3,1241.7,1274.0,1240.4,1269.3,1212.3,1168.4,1204.6,1239.5,1181.8,1156.8,1203.1,1185.7,1197.3,1157.5,1192.9,1174.3,1095.1,1159.6,1152.5,1162.7,1241.2,1205.4,1232.6,1218.6,1272.1,1155.5,1090.1,1209.5,1112.3,1150.7,1058.5,1068.3,1075.3,1047.7,1056.2,1133.0,1081.4,1049.1,1050.9
15,X,False,624.24,612.75,581.39,580.3,575.07,581.49,603.93,594.74,614.6,613.6,625.48,653.11,676.9,680.72,672.04,678.9,682.43,677.86,710.56,727.47,730.47,733.43,763.96,745.38,740.63,737.19,763.76,791.37,765.91,767.89,792.72,789.31,818.97,833.2,844.68,836.57,832.83,812.88,832.36,807.49,844.51,818.89,811.92,837.37,832.02,821.0,811.84,809.49,781.95,782.96,763.66,769.9,783.96,774.76,772.41,762.01,752.26,756.04,735.58,745.35,738.4,731.71,728.81,705.97,711.95,728.31,717.83,707.0,704.52,660.48,676.89,662.68,669.44,653.96,619.8,638.77,653.17,648.45,619.91,624.53
16,X,False,701.61,683.71,676.86,671.96,681.68,683.15,680.1,703.22,722.4,743.12,740.21,757.19,791.54,806.31,793.73,831.64,792.52,801.91,804.79,759.72,784.29,782.41,776.65,761.77,779.85,789.23,792.61,777.7,771.15,771.06,793.15,788.34,794.64,805.17,824.98,826.56,845.52,834.63,836.43,829.38,842.99,818.31,819.85,824.41,862.69,809.83,808.77,831.94,838.61,843.95,815.44,827.23,842.54,827.38,850.5,810.7,851.57,820.54,841.97,820.89,904.56,850.06,815.84,831.83,879.1,893.34,894.08,934.38,910.48,859.84,880.11,901.33,880.18,885.48,879.25,871.57,913.53,910.01,907.18,939.52
17,X,False,2003.1,2019.0,2019.1,1986.7,2040.7,2025.5,2038.3,2108.4,2051.9,2049.5,2083.1,2123.6,2079.6,2096.5,2102.8,2084.8,2091.5,2100.6,2095.4,2097.4,2092.5,2117.7,2067.4,2098.2,2089.7,2084.5,2091.4,2018.8,2026.5,2024.1,2011.5,2003.3,2037.5,2061.7,2043.8,2011.5,2005.4,2011.9,2006.8,1964.3,1956.2,1985.6,1977.9,2040.2,2024.1,2033.7,2064.6,2046.3,2049.1,2076.5,2090.3,2082.8,2035.8,2076.3,2097.7,2053.1,2033.4,2030.6,2002.1,1991.1,1970.5,2017.6,2034.8,2043.3,2036.6,2002.5,2011.0,1978.9,2005.5,1974.2,1978.2,1979.1,1984.2,1976.8,1975.7,2017.7,2003.0,1999.2,1987.5,1988.6
18,X,False,7.8357,3.2741,1.8834,5.4006,6.1689,1.5119,2.3438,8.7967,7.5905,24.892,6.7566,24.411,0.48822,19.572,15.137,3.9467,18.222,15.908,17.586,23.346,22.332,11.797,3.4311,20.176,11.71,8.9308,12.819,3.9928,19.451,25.797,1.0308,43.902,47.42,59.789,83.445,101.68,0.32533,47.662,77.962,121.88,86.332,104.96,135.33,229.71,173.59,33.95,155.19,61.347,73.961,394.75,374.71,392.23,157.86,333.56,212.0,348.12,324.52,107.12,171.44,407.05,161.75,400.42,170.25,240.46,195.41,447.46,445.81,436.1,195.17,411.2,491.65,429.2,535.67,463.52,322.03,288.68,551.49,317.03,304.46,372.61
19,X,True,229.91,193.36,199.04,193.22,199.02,206.8,221.66,211.91,207.42,196.66,176.56,220.61,254.68,253.73,269.9,282.19,263.88,271.57,279.95,263.52,260.92,267.15,278.66,271.52,252.33,261.18,245.94,290.83,252.86,248.52,307.64,262.05,263.16,300.95,242.51,256.59,283.44,257.43,282.15,271.33,279.23,279.45,304.59,293.3,297.27,242.36,239.14,235.13,252.69,256.06,265.77,244.46,248.35,253.15,247.17,250.1,260.36,322.64,326.87,329.08,321.0,310.58,326.99,317.35,313.92,311.64,302.53,319.71,298.65,307.31,318.59,304.44,291.79,288.03,318.9,316.5,330.43,312.67,326.98,324.77
20,X,False,131.11,15.824,90.016,135.35,140.19,179.09,140.77,149.9,134.7,143.33,131.61,138.68,142.3,149.89,162.98,157.1,128.37,132.8,158.02,144.84,158.21,157.16,136.83,140.34,123.89,141.05,134.51,145.95,165.01,168.62,174.35,167.85,167.42,159.89,169.15,162.04,157.56,177.02,158.99,135.18,122.1,137.97,138.72,140.68,141.58,132.95,144.67,131.72,141.24,128.99,136.17,150.02,118.61,129.54,111.07,111.43,107.99,102.49,113.26,114.28,104.26,112.79,100.96,97.527,102.88,122.21,123.52,117.54,119.78,117.55,115.83,141.15,134.13,152.75,142.42,130.01,123.06,129.05,125.53,121.71
21,X,True,0.0,0.0,0.0,0.0,0.29528,0.13797,0.073421,0.00021975,0.3304,0.40434,0.67668,0.75824,0.27681,1.4745,0.12917,0.076709,0.76938,0.31823,2.4443,1.4568,5.5563,4.6653,14.198,12.608,9.4409,32.123,36.68,41.906,37.185,61.464,79.225,92.861,123.8,132.02,146.29,119.47,168.68,184.18,209.78,232.62,219.4,157.78,258.56,261.81,278.5,290.16,288.84,258.53,240.75,304.48,240.51,221.56,210.74,215.75,283.19,291.66,277.58,293.8,345.93,293.3,314.48,346.91,332.45,392.16,364.25,393.53,410.25,353.65,433.79,434.95,342.37,378.44,391.73,420.48,436.26,392.32,429.57,514.67,406.83,442.51
22,X,False,0.13797,0.073421,0.00021975,0.3304,0.40434,0.67668,0.75824,0.27681,1.4745,0.12917,0.076709,0.76938,0.31823,2.4443,1.4568,5.5563,4.6653,14.198,12.608,9.4409,32.123,36.68,41.906,37.185,61.464,79.225,92.861,123.8,132.02,146.29,119.47,168.68,184.18,209.78,232.62,219.4,157.78,258.56,261.81,278.5,290.16,288.84,258.53,240.75,304.48,240.51,221.56,210.74,215.75,283.19,291.66,277.58,293.8,345.93,293.3,314.48,346.91,332.45,392.16,364.25,393.53,410.25,353.65,433.79,434.95,342.37,378.44,391.73,420.48,436.26,392.32,429.57,514.67,406.83,442.51,535.1,427.32,390.19,402.81,423.16
23,X,False,647.25,691.07,732.58,675.02,720.28,682.62,695.22,710.6,665.4,782.2,733.13,771.31,822.42,776.11,839.19,822.52,801.09,782.82,799.85,811.05,845.13,859.95,869.51,877.16,872.8,883.5,881.84,924.76,912.69,920.23,938.75,728.15,923.98,912.56,923.22,903.39,905.92,719.34,851.53,695.16,713.49,713.03,706.56,708.11,722.44,845.65,759.41,773.51,764.31,762.44,769.65,751.37,752.96,742.76,745.67,748.0,889.22,763.89,772.48,760.15,734.91,757.3,734.69,822.26,815.03,763.95,838.06,832.25,719.34,787.97,882.66,776.39,870.25,866.7,907.28,867.48,846.73,772.59,750.72,801.18
24,X,False,883.61,10.992,847.84,884.95,969.24,891.08,939.37,953.95,891.24,864.85,908.83,908.85,969.35,949.88,972.18,825.8,929.86,1012.0,972.73,901.16,993.74,903.0,896.44,869.0,907.33,925.49,953.66,796.6,839.89,863.39,885.79,938.43,943.15,952.89,943.06,954.87,939.61,933.29,943.71,941.56,999.99,950.54,953.31,988.46,987.39,1010.6,1003.7,1042.7,1039.1,1005.8,1050.5,1008.5,1071.6,1095.8,1077.0,1051.1,1078.8,1065.8,1071.2,1044.6,1091.7,1030.7,1099.4,1134.0,1154.9,1078.7,1159.7,1045.9,1125.3,1053.8,1041.5,1024.8,1048.4,1072.3,1053.0,1078.6,1075.1,1060.3,1075.0,1096.1
25,X,True,15.633,75.047,82.559,132.15,114.16,154.49,196.71,241.01,214.0,199.42,220.95,222.01,246.18,215.57,187.76,94.234,83.308,134.24,149.63,126.18,38.692,50.753,11.753,10.235,88.727,96.813,127.19,98.211,141.64,105.99,186.22,187.72,233.53,157.21,175.28,256.26,247.23,103.46,124.39,97.562,39.342,117.73,41.462,3.0878,61.138,41.322,91.533,139.28,141.31,166.11,161.67,167.0,140.31,167.83,32.875,0.86491,10.704,5.3921,48.879,42.661,21.084,72.695,101.14,171.09,90.813,81.981,51.384,27.207,28.639,8.125,76.844,49.503,59.771,74.237,134.23,144.23,152.63,84.623,108.71,167.59
26,X,False,1683.8,1677.7,1734.7,1657.4,1730.5,1768.2,1750.4,1717.9,1802.9,1764.5,1772.7,1730.7,1668.6,1678.9,1717.0,1739.0,1724.6,1750.3,1746.6,1798.1,1774.9,1713.6,1694.8,1705.6,1773.1,1709.6,1710.9,1802.7,1820.6,1795.0,1880.2,1838.2,1955.8,1991.9,1914.8,1937.6,1868.6,1848.4,1865.1,1908.4,1813.0,1814.8,1860.8,1742.2,1704.9,1656.3,1642.0,1639.9,1623.5,1610.0,1604.5,1567.0,1525.8,1524.8,1525.5,1521.9,1537.8,1517.3,1528.8,1510.9,1502.0,1524.8,1485.0,1468.9,1452.7,1411.2,1372.0,1396.5,1389.7,1398.6,1368.1,1333.2,1312.9,1348.9,1324.4,1323.8,1314.7,1331.3,1319.0,1344.5
27,X,True,2888.1,2882.1,2896.4,2945.4,2902.4,2916.2,2910.3,2905.4,2983.8,2937.7,2962.4,3047.5,3000.4,2974.2,2992.9,3070.8,2787.4,3163.3,3210.9,3194.3,3248.4,3169.1,3216.0,3100.9,3249.0,3333.5,3532.3,3581.5,3614.0,3507.5,3503.5,3447.3,3477.7,3380.8,3472.6,3435.7,3525.6,3486.7,3452.4,3579.3,3563.9,3528.5,3617.9,3649.6,3680.5,3676.0,3596.2,3611.3,3641.4,3660.3,3662.6,3676.7,3614.2,3575.6,3602.2,3639.5,3672.8,3683.5,3756.8,3811.3,3859.4,3807.8,3663.9,3682.6,3676.4,3625.0,3675.2,3649.2,3711.5,3512.8,3755.2,3716.7,3774.1,3826.9,3717.4,3718.1,3840.0,3785.4,3662.8,3554.4
28,X,False,33.769,48.776,74.428,51.426,52.713,55.297,52.011,71.563,70.046,60.454,73.38,82.763,56.791,67.377,54.077,37.457,54.384,66.029,83.872,70.54,86.412,102.87,98.665,101.02,115.07,115.69,114.66,139.91,108.01,157.64,164.66,161.54,152.44,142.66,148.51,109.93,117.3,145.03,112.09,113.43,86.607,151.2,124.21,119.05,93.731,143.96,61.731,44.07,131.8,114.64,146.45,143.6,129.79,134.34,82.288,110.07,124.62,115.76,129.04,112.67,132.49,107.75,83.095,91.59,136.11,135.31,54.191,96.08,47.369,4.2634,56.296,3.6074,23.962,11.085,61.598,78.509,80.616,151.94,100.64,106.05
29,X,False,738.49,719.97,715.54,708.16,727.51,727.93,733.06,739.57,738.88,729.7,703.36,722.04,760.17,753.52,760.27,758.35,747.24,757.25,768.8,765.58,789.76,766.08,774.49,756.65,752.68,760.36,771.61,754.84,768.75,792.43,782.42,788.22,785.97,777.85,783.87,780.69,769.04,761.15,751.07,740.85,744.71,744.77,771.1,777.89,780.77,779.61,779.4,782.51,777.57,775.94,818.39,808.74,809.5,763.99,767.93,764.07,780.94,821.18,811.07,804.76,799.91,802.71,857.29,865.61,856.02,848.79,862.1,828.85,828.8,831.52,800.12,777.68,784.45,759.5,750.4,718.43,773.35,775.62,769.61,755.07
30,M,False,273.04,272.77,286.18,289.21,286.71,283.62,291.04,273.48,273.79,290.41,298.58,283.42,297.6,282.77,290.93,278.63,297.69,284.48,276.58,289.12,299.52,305.09,303.79,323.53,321.61,333.63,292.84,312.15,315.59,320.68,339.09,346.86,337.35,346.39,340.2,328.29,328.18,328.4,326.61,332.97,333.31,328.64,335.34,333.83,321.53,338.11,324.76,345.08,335.7,350.05,351.75,384.95,381.5,365.2,351.08,366.81,363.84,339.39,360.44,345.91,344.48,348.24,354.51,346.87,340.17,332.78,326.81,341.67,334.93,327.66,333.87,334.33,331.47,323.35,374.2,384.69,383.84,407.74,403.58,413.02
31,M,False,50.805,1.2963,47.278,24.004,39.195,39.64,14.782,31.574,22.949,23.128,32.359,34.557,25.317,33.911,52.086,21.768,48.896,25.249,11.188,13.623,59.615,20.008,7.8265,26.87,33.264,26.27,1.971,15.355,4.9525,8.9576,39.257,24.266,43.741,25.589,1.7469,31.453,13.8,10.328,14.726,64.16,31.277,49.812,25.413,45.792,115.36,92.16,103.4,91.677,122.65,59.305,94.989,98.418,99.265,56.564,46.507,105.53,79.91,0.7267,17.696,19.801,17.833,8.6231,81.202,9.9021,9.1189,3.7725,17.422,25.239,6.234,14.495,15.189,50.88,65.03,1.3921,83.329,104.92,15.172,118.91,24.827,27.529
32,M,False,99.298,109.19,102.09,105.29,108.22,101.68,106.88,106.4,110.07,110.3,111.46,120.16,125.83,131.44,123.55,126.69,135.02,133.58,139.88,134.61,123.25,126.23,130.98,125.23,131.55,129.2,132.14,131.48,130.07,132.61,116.34,128.94,133.11,122.44,110.39,120.8,123.78,123.63,117.48,120.56,126.22,127.53,116.99,125.29,146.84,137.8,144.12,142.95,132.56,139.26,140.04,138.82,148.11,137.47,140.46,122.23,137.19,135.3,119.54,126.55,127.26,117.24,118.35,120.65,116.18,120.47,122.85,112.68,124.9,118.77,122.74,125.02,125.62,123.07,133.69,129.99,132.23,124.35,118.24,118.83
33,M,False,42.173,26.295,26.603,22.481,35.744,34.172,35.559,28.315,32.37,32.763,25.993,38.324,21.686,13.151,23.701,30.617,41.835,33.463,49.286,43.819,44.207,41.372,27.79,31.625,43.801,63.025,65.396,51.173,39.462,40.714,55.636,48.299,50.8,51.753,50.382,51.506,59.847,60.633,63.268,75.494,52.141,57.018,65.144,62.926,72.437,87.279,100.95,87.449,87.843,97.023,97.645,91.177,92.885,92.066,99.34,95.65,85.085,110.15,102.76,95.949,102.49,104.24,105.68,103.65,85.171,90.03,97.409,110.98,102.15,110.5,102.07,115.99,104.54,105.23,106.95,94.708,102.29,119.29,106.91,106.3
34,M,False,36.621,41.833,26.339,29.233,48.165,24.02,6.5903,4.8933,14.855,11.28,12.066,47.957,13.401,52.371,69.118,100.59,84.528,14.412,39.474,63.37,110.66,68.438,88.097,85.58,90.515,109.73,115.44,119.3,107.37,120.25,134.62,136.9,142.89,144.96,170.01,167.8,165.3,165.97,178.4,192.17,178.17,174.26,187.42,194.04,185.82,164.59,186.55,184.87,146.45,137.25,166.63,172.73,167.09,171.09,154.02,262.01,189.54,170.36,188.84,182.05,171.58,160.07,173.87,156.72,156.41,152.98,149.67,174.28,160.56,142.16,140.13,181.51,164.62,170.73,152.9,178.42,189.39,178.35,173.82,135.67
