,FLARE_TYPE,COINCIDENCE,AREA_ACR_21,AREA_ACR_22,AREA_ACR_23,AREA_ACR_24,AREA_ACR_25,AREA_ACR_26,AREA_ACR_27,AREA_ACR_28,AREA_ACR_29,AREA_ACR_30,AREA_ACR_31,AREA_ACR_32,AREA_ACR_33,AREA_ACR_34,AREA_ACR_35,AREA_ACR_36,AREA_ACR_37,AREA_ACR_38,AREA_ACR_39,AREA_ACR_40,AREA_ACR_41,AREA_ACR_42,AREA_ACR_43,AREA_ACR_44,AREA_ACR_45,AREA_ACR_46,AREA_ACR_47,AREA_ACR_48,AREA_ACR_49,AREA_ACR_50,AREA_ACR_51,AREA_ACR_52,AREA_ACR_53,AREA_ACR_54,AREA_ACR_55,AREA_ACR_56,AREA_ACR_57,AREA_ACR_58,AREA_ACR_59,AREA_ACR_60,AREA_ACR_61,AREA_ACR_62,AREA_ACR_63,AREA_ACR_64,AREA_ACR_65,AREA_ACR_66,AREA_ACR_67,AREA_ACR_68,AREA_ACR_69,AREA_ACR_70,AREA_ACR_71,AREA_ACR_72,AREA_ACR_73,AREA_ACR_74,AREA_ACR_75,AREA_ACR_76,AREA_ACR_77,AREA_ACR_78,AREA_ACR_79,AREA_ACR_80,AREA_ACR_81,AREA_ACR_82,AREA_ACR_83,AREA_ACR_84,AREA_ACR_85,AREA_ACR_86,AREA_ACR_87,AREA_ACR_88,AREA_ACR_89,AREA_ACR_90,AREA_ACR_91,AREA_ACR_92,AREA_ACR_93,AREA_ACR_94,AREA_ACR_95,AREA_ACR_96,AREA_ACR_97,AREA_ACR_98,AREA_ACR_99,AREA_ACR_100
1740,N,False,154.06,153.78,153.35,151.64,150.15,152.71,154.41,151.21,151.6,154.34,156.19,155.33,154.76,154.44,150.66,150.04,151.73,150.99,150.66,151.37,150.06,150.59,152.33,147.58,146.74,148.99,147.85,145.18,146.61,147.28,143.14,142.55,143.88,142.66,145.62,147.87,148.78,146.17,144.21,146.35,143.23,142.32,141.95,140.24,144.03,144.91,146.87,145.98,146.87,148.71,148.12,148.59,148.15,150.56,149.83,152.3,152.78,151.37,153.14,154.81,153.11,151.2,150.97,149.55,151.6,152.71,155.53,153.29,153.32,150.86,149.11,149.13,149.38,147.66,148.03,149.38,148.31,145.62,147.61,143.35
1741,N,False,188.96,190.74,188.51,189.29,189.57,188.83,188.14,190.16,190.22,190.66,194.27,194.42,194.18,194.44,193.65,197.2,195.73,197.53,197.57,198.63,200.61,198.53,198.07,198.16,195.06,197.89,197.35,195.29,195.25,193.65,192.99,195.8,194.43,195.22,195.89,193.54,192.84,192.96,192.26,191.02,192.6,191.09,186.51,186.84,188.09,185.83,183.31,186.53,185.33,180.75,179.86,180.47,181.19,183.64,180.61,180.12,181.62,177.78,180.93,181.21,181.87,183.08,184.56,181.42,180.14,179.16,177.63,176.95,178.09,179.25,176.92,178.84,174.87,175.1,174.37,172.11,174.39,171.62,173.47,175.32
1742,N,False,158.49,156.56,164.32,163.68,162.89,166.79,168.19,173.59,171.83,173.14,174.51,178.35,181.22,182.31,185.07,187.75,189.13,188.1,189.32,187.17,183.98,186.78,185.06,185.73,188.38,190.63,187.74,190.25,190.46,191.68,193.87,194.61,190.08,190.14,191.85,194.39,193.37,191.63,192.94,192.54,190.15,187.57,190.4,190.09,190.57,191.33,189.94,193.28,193.12,191.92,196.1,197.04,195.44,197.78,201.67,201.99,207.2,207.16,206.8,202.01,201.23,204.16,202.58,202.73,200.23,202.13,202.16,208.78,210.3,211.11,209.28,215.84,216.48,220.34,220.79,222.98,229.12,232.45,236.09,237.34
1743,N,False,47.171,50.109,51.175,52.28,52.893,52.431,52.027,49.955,49.763,49.914,50.925,49.752,48.694,45.812,46.29,45.948,48.191,45.02,45.09,45.892,46.827,46.934,46.733,44.12,43.468,44.63,46.35,45.393,46.272,49.028,48.512,48.818,48.49,48.931,48.706,48.75,49.051,49.022,49.279,50.301,49.909,52.066,51.386,50.771,52.49,54.19,51.966,51.239,52.697,52.256,52.374,51.59,51.655,51.491,49.907,49.397,48.438,48.141,48.104,47.23,45.865,44.668,42.63,44.201,43.732,42.362,42.842,45.566,46.572,46.065,43.573,45.203,44.566,45.223,43.456,42.704,43.036,43.142,43.778,44.357
1744,N,False,519.55,518.63,518.53,517.74,515.7,518.06,521.53,520.46,517.1,520.81,518.88,516.93,514.69,510.15,509.56,511.59,511.86,510.24,509.68,508.24,513.66,509.69,511.19,506.38,506.3,506.81,511.05,509.33,507.91,509.22,508.37,505.11,505.92,506.3,501.77,507.74,509.74,511.18,514.18,511.61,513.98,510.5,512.86,514.46,512.84,509.98,509.77,514.82,518.56,522.26,526.62,524.41,520.94,519.82,522.2,525.53,529.36,526.31,525.88,523.31,523.84,519.44,513.32,515.38,514.04,516.3,513.41,515.04,512.61,507.25,509.58,513.72,513.57,515.58,507.68,509.46,510.6,510.79,508.63,510.48
1745,N,False,119.11,121.23,119.98,118.4,116.47,115.32,113.06,115.22,115.5,115.95,114.37,115.95,116.75,117.41,116.31,115.83,117.32,116.27,118.02,117.34,116.49,116.31,116.52,114.21,110.92,113.98,113.39,111.74,110.21,112.8,111.91,111.31,109.64,114.0,112.1,113.33,111.28,109.82,109.08,108.53,107.11,107.85,107.09,105.56,109.13,108.1,110.31,109.77,108.98,110.01,110.52,110.07,110.01,109.41,107.87,105.04,108.01,107.8,106.99,105.58,107.0,107.64,108.42,108.65,107.47,108.36,110.19,109.35,109.68,105.69,103.39,102.86,101.38,99.879,101.04,102.4,100.12,102.39,101.95,101.99
1746,N,False,86.902,89.693,89.176,91.596,91.537,92.521,92.158,92.737,92.767,95.004,96.178,95.849,94.768,96.279,96.658,97.665,94.867,96.004,95.622,94.824,94.068,93.59,93.127,91.695,92.58,90.27,91.887,92.345,93.033,91.944,91.369,92.828,92.618,93.426,92.745,93.323,93.802,92.693,94.488,93.981,94.02,92.93,96.321,96.079,97.455,97.104,97.127,93.773,95.769,93.944,96.164,97.091,99.547,99.151,96.182,92.904,96.522,97.345,95.205,96.786,98.276,98.201,98.386,99.354,102.0,105.43,107.45,111.11,111.6,113.7,116.21,116.36,116.91,117.43,118.01,119.9,117.5,118.42,115.0,116.78
1747,N,False,90.912,92.463,92.024,92.447,92.011,92.3,95.124,96.58,95.559,94.716,95.059,95.253,95.943,94.918,95.053,96.49,97.272,95.847,97.414,96.76,96.914,97.927,98.084,98.105,97.876,98.659,99.466,100.23,100.28,99.581,99.887,99.413,100.62,101.68,102.08,103.07,103.07,104.58,105.67,106.53,104.16,106.68,107.66,108.3,108.06,106.73,107.09,107.16,107.42,106.5,108.01,109.13,107.28,108.35,111.12,111.72,111.93,113.22,114.9,114.52,115.2,117.26,119.54,119.18,120.33,120.82,122.36,123.68,122.19,123.91,125.22,123.91,123.66,122.39,121.56,121.26,123.2,126.4,127.23,129.87
1748,N,False,57.093,58.618,58.174,56.318,55.277,57.189,55.603,55.263,55.458,56.03,55.606,53.633,54.57,54.667,54.015,53.294,53.398,55.01,55.761,57.832,55.713,57.427,56.675,58.227,57.323,55.83,57.054,57.001,56.435,56.399,54.876,54.172,54.024,53.576,53.431,51.654,52.336,53.712,52.711,52.371,52.823,52.578,52.744,54.054,52.936,53.358,53.263,53.564,53.137,54.896,55.894,54.773,56.709,57.414,56.829,57.623,58.269,61.74,61.521,62.68,64.021,67.049,66.225,65.761,67.868,69.648,69.087,70.32,71.892,73.52,74.935,76.267,79.564,82.452,83.919,85.418,87.836,88.927,88.127,89.377
1749,N,False,136.56,134.18,136.54,140.1,138.41,136.38,133.5,133.09,133.83,132.66,132.57,131.15,135.16,134.03,131.55,130.19,130.33,128.91,129.83,130.74,130.86,127.24,127.99,126.08,125.02,125.41,125.21,127.64,125.37,124.47,124.38,124.3,125.89,125.1,125.51,123.11,123.01,124.76,123.87,124.97,122.2,123.29,122.72,122.86,124.95,125.45,124.53,121.84,121.68,120.22,121.88,119.89,118.33,117.81,117.99,117.27,119.13,118.12,117.56,118.11,119.04,117.46,115.4,114.5,114.94,115.7,117.66,115.51,116.96,116.13,118.11,118.17,116.9,116.77,118.13,116.73,117.76,116.83,117.16,116.96
1750,N,False,190.04,190.55,196.08,197.59,197.1,196.45,195.46,198.31,198.21,199.79,196.65,196.69,194.54,194.79,192.86,194.08,194.8,194.17,192.68,194.63,197.27,200.21,200.06,200.06,202.12,201.02,203.4,204.54,205.36,209.37,208.56,210.82,211.45,212.05,212.33,211.35,215.23,212.93,213.85,211.41,213.76,213.85,215.03,217.47,219.63,219.89,217.75,219.84,222.23,226.01,231.45,233.46,238.54,246.87,248.49,252.56,252.97,255.26,263.28,265.39,268.0,271.75,272.92,275.77,277.34,280.92,285.15,290.38,290.25,294.29,297.81,301.14,300.43,300.73,304.77,305.43,302.0,304.31,304.81,304.79
1751,N,False,2013.5,2015.9,2017.0,2018.5,2014.6,2009.8,2005.0,2007.7,1996.9,1994.1,1999.0,1999.4,1994.4,1997.7,2000.9,2008.7,2011.6,2005.9,2005.7,2006.5,2006.5,2000.5,2012.9,2002.4,2017.3,2013.2,2000.8,1991.4,1991.8,1991.9,2000.5,1992.7,1996.5,1995.7,1993.7,1993.4,1996.3,1993.7,1993.6,1997.1,2002.8,2003.6,2000.0,1999.0,1998.8,2014.7,2024.9,2023.8,2019.5,2012.8,2021.8,2021.2,2016.7,2032.7,2029.1,2035.5,2043.1,2036.3,2039.2,2038.6,2047.8,2058.7,2059.8,2065.2,2061.3,2062.2,2077.5,2088.5,2083.7,2083.7,2098.8,2099.7,2094.9,2087.2,2077.9,2084.5,2092.9,2092.9,2097.2,2106.2
1752,N,False,112.8,114.88,115.98,116.84,117.51,119.53,119.46,120.04,122.23,122.24,122.35,122.07,124.76,124.32,122.81,124.0,125.37,125.17,124.84,123.6,122.8,122.63,124.19,124.76,125.98,126.11,125.68,126.47,125.71,128.74,126.08,126.87,127.87,129.85,131.31,131.69,130.72,131.13,132.61,134.45,134.6,132.96,135.96,136.8,139.69,140.52,140.43,139.73,139.83,137.62,137.15,141.0,141.42,142.05,143.21,144.09,144.13,146.52,148.48,148.65,151.08,149.29,149.32,150.13,151.24,153.56,152.99,151.8,153.31,153.36,154.12,156.41,154.87,154.65,157.87,159.44,159.17,160.75,162.79,161.23
1753,N,False,350.88,347.62,350.33,353.09,350.08,347.21,347.16,350.47,344.01,343.41,345.42,348.31,349.23,349.43,345.03,345.13,343.14,342.44,341.78,346.81,344.41,341.63,341.94,343.02,337.62,337.35,340.01,335.95,339.13,341.59,343.63,345.2,346.27,346.76,341.72,338.62,337.62,339.17,338.64,345.17,348.23,344.22,344.64,342.06,343.22,342.28,343.71,343.49,345.68,343.11,341.1,341.71,341.01,335.14,334.29,336.25,332.32,338.08,338.1,335.6,339.32,340.52,334.96,335.7,334.88,337.81,340.1,338.33,337.52,334.44,334.8,334.26,335.59,334.4,330.37,329.02,330.69,325.36,325.22,322.82
