,FLARE_TYPE,COINCIDENCE,TOTUSJH_21,TOTUSJH_22,TOTUSJH_23,TOTUSJH_24,TOTUSJH_25,TOTUSJH_26,TOTUSJH_27,TOTUSJH_28,TOTUSJH_29,TOTUSJH_30,TOTUSJH_31,TOTUSJH_32,TOTUSJH_33,TOTUSJH_34,TOTUSJH_35,TOTUSJH_36,TOTUSJH_37,TOTUSJH_38,TOTUSJH_39,TOTUSJH_40,TOTUSJH_41,TOTUSJH_42,TOTUSJH_43,TOTUSJH_44,TOTUSJH_45,TOTUSJH_46,TOTUSJH_47,TOTUSJH_48,TOTUSJH_49,TOTUSJH_50,TOTUSJH_51,TOTUSJH_52,TOTUSJH_53,TOTUSJH_54,TOTUSJH_55,TOTUSJH_56,TOTUSJH_57,TOTUSJH_58,TOTUSJH_59,TOTUSJH_60,TOTUSJH_61,TOTUSJH_62,TOTUSJH_63,TOTUSJH_64,TOTUSJH_65,TOTUSJH_66,TOTUSJH_67,TOTUSJH_68,TOTUSJH_69,TOTUSJH_70,TOTUSJH_71,TOTUSJH_72,TOTUSJH_73,TOTUSJH_74,TOTUSJH_75,TOTUSJH_76,TOTUSJH_77,TOTUSJH_78,TOTUSJH_79,TOTUSJH_80,TOTUSJH_81,TOTUSJH_82,TOTUSJH_83,TOTUSJH_84,TOTUSJH_85,TOTUSJH_86,TOTUSJH_87,TOTUSJH_88,TOTUSJH_89,TOTUSJH_90,TOTUSJH_91,TOTUSJH_92,TOTUSJH_93,TOTUSJH_94,TOTUSJH_95,TOTUSJH_96,TOTUSJH_97,TOTUSJH_98,TOTUSJH_99,TOTUSJH_100
1312,B,False,440.48,434.41,419.42,430.66,430.41,444.71,480.72,497.65,509.33,507.07,497.25,504.91,516.41,533.01,538.86,533.94,551.79,547.47,533.07,526.15,542.01,547.12,568.88,572.3,585.2,566.89,596.4,613.99,600.85,602.28,624.72,628.77,617.08,617.99,622.33,634.68,619.55,627.9,621.08,615.87,605.08,613.03,598.23,589.09,598.76,580.26,564.56,565.01,567.41,572.15,572.38,582.63,575.08,549.25,560.13,578.94,569.17,568.31,583.68,579.22,565.1,557.21,557.86,575.28,580.4,581.17,599.7,597.0,592.64,600.32,607.67,578.97,570.49,585.96,595.11,584.65,578.13,575.37,567.96,579.28
1313,B,False,444.29,431.66,422.71,431.66,440.61,442.94,458.52,459.34,468.86,472.12,474.84,484.59,488.76,501.13,496.79,504.73,512.36,522.1,513.62,513.23,510.28,509.62,510.53,521.64,505.44,495.12,510.38,508.62,508.31,510.56,512.11,506.28,491.35,488.38,504.65,489.02,477.87,472.91,465.72,471.5,469.61,482.09,477.03,466.98,477.26,490.1,483.28,473.93,472.55,479.31,511.39,543.42,539.26,518.84,571.82,512.31,560.23,542.13,495.77,549.74,506.5,505.92,527.56,500.66,525.95,495.73,483.4,491.37,493.94,486.37,508.13,497.91,486.16,481.77,479.52,513.78,516.97,528.74,511.0,479.32
1314,B,False,779.13,787.76,810.52,842.4,860.97,893.06,890.76,909.98,898.01,910.92,920.82,904.67,896.86,879.82,859.14,868.93,888.85,893.06,868.42,856.37,843.94,856.29,827.05,812.82,805.56,813.76,787.59,772.13,792.72,777.11,776.29,760.67,781.34,798.31,783.57,822.84,832.33,831.11,842.77,848.64,860.01,851.5,845.43,826.41,832.74,845.36,866.26,861.48,889.16,879.84,890.75,902.73,936.41,920.59,924.24,917.82,944.77,978.62,1012.2,1021.9,1015.8,1036.3,1076.9,1035.6,1032.4,1008.6,999.21,989.39,986.28,967.91,973.12,989.45,990.84,1020.9,1032.8,1052.2,1068.8,1090.9,1106.9,1131.3
1315,B,True,328.34,324.34,322.11,315.94,311.6,317.04,303.47,298.13,287.41,297.37,292.28,296.82,283.42,275.34,283.14,285.99,278.8,274.82,281.26,277.79,277.35,276.44,274.27,281.87,287.94,287.63,294.12,302.12,314.56,315.67,321.53,325.73,322.87,325.89,321.6,318.1,324.17,302.01,302.5,300.62,303.87,307.13,312.3,295.6,290.9,293.22,296.95,302.56,308.82,314.6,320.79,319.85,330.13,344.8,350.86,358.47,359.84,373.6,393.7,393.58,401.71,423.17,419.9,427.34,427.55,441.84,448.35,460.52,441.0,436.79,472.11,470.6,460.96,477.72,465.51,465.15,475.74,476.34,477.49,478.38
1316,B,False,563.33,552.81,547.06,540.27,532.02,536.26,544.81,580.01,575.12,552.92,569.42,558.06,562.58,568.81,560.52,566.43,550.34,557.13,542.81,531.07,525.64,510.84,513.87,514.14,530.97,535.5,538.84,555.94,565.04,567.19,565.48,563.34,581.43,577.74,575.73,575.64,567.14,576.38,588.14,611.9,602.66,607.6,610.31,619.81,613.63,610.01,606.49,604.25,600.34,593.31,574.21,565.66,575.85,581.52,589.23,584.71,572.91,582.4,598.09,606.29,626.88,638.09,643.79,661.42,677.31,664.77,654.68,649.74,639.87,647.88,660.47,670.5,671.23,680.75,687.25,699.35,701.94,681.77,690.09,679.7
1317,B,False,290.95,294.79,298.9,295.72,312.76,330.93,329.63,338.02,344.56,365.22,361.88,369.21,394.07,401.26,419.22,422.71,439.81,451.02,433.6,448.22,453.82,435.47,423.1,432.32,463.31,478.06,492.85,493.12,505.96,511.08,506.56,525.01,522.9,539.17,525.97,539.55,541.59,563.75,580.18,577.91,583.87,576.36,562.93,569.51,568.61,570.41,574.53,554.79,558.17,569.29,543.46,524.43,512.44,500.48,500.29,510.79,500.88,492.27,489.57,476.05,485.89,472.27,471.83,463.16,448.91,441.0,432.01,432.28,426.4,446.0,449.93,458.07,451.49,448.31,454.39,454.38,468.36,462.8,457.31,470.71
1318,B,False,73.107,72.677,70.816,73.127,70.161,67.216,69.79,72.293,69.728,68.939,69.469,69.308,68.12,69.56,66.496,63.263,63.807,63.156,65.66,69.7,67.322,63.34,63.196,59.954,58.43,58.399,57.596,54.918,58.675,54.4,52.533,52.187,52.789,45.749,45.067,49.202,46.9,43.459,43.486,49.969,50.471,51.541,47.823,47.835,48.466,52.048,48.993,45.921,47.557,47.648,47.813,45.709,43.349,41.542,43.063,42.46,42.128,46.746,44.86,43.255,40.939,43.49,45.02,45.191,46.129,46.279,41.895,44.435,43.815,43.522,42.625,45.356,41.212,43.413,42.178,44.652,43.89,44.606,42.5,41.329
1319,B,False,853.37,866.85,883.72,889.26,901.32,897.08,913.27,969.72,913.33,902.75,918.3,929.2,891.98,901.0,865.98,869.53,868.91,890.78,918.2,894.94,912.09,909.13,916.57,918.47,916.16,900.35,881.68,882.73,870.17,883.08,881.66,881.06,889.37,914.18,864.4,878.28,890.67,902.26,893.0,891.46,896.64,884.29,884.51,868.79,864.67,844.03,827.84,848.36,838.56,856.65,875.13,857.88,882.15,896.55,889.59,890.86,882.12,892.3,871.04,885.92,905.6,890.29,905.06,875.48,863.17,863.65,868.4,889.48,873.43,857.27,845.83,847.32,856.76,867.95,861.32,870.69,874.24,860.23,878.21,870.88
1320,B,False,369.26,363.23,357.65,361.36,355.59,343.76,342.2,338.54,328.34,324.34,322.11,315.94,311.6,317.04,303.47,298.13,287.41,297.37,292.28,296.82,283.42,275.34,283.14,285.99,278.8,274.82,281.26,277.79,277.35,276.44,274.27,281.87,287.94,287.63,294.12,302.12,314.56,315.67,321.53,325.73,322.87,325.89,321.6,318.1,324.17,302.01,302.5,300.62,303.87,307.13,312.3,295.6,290.9,293.22,296.95,302.56,308.82,314.6,320.79,319.85,330.13,344.8,350.86,358.47,359.84,373.6,393.7,393.58,401.71,423.17,419.9,427.34,427.55,441.84,448.35,460.52,441.0,436.79,472.11,470.6
1321,B,False,212.24,218.34,239.73,230.87,224.88,232.19,229.76,220.99,240.92,245.21,258.51,265.32,273.85,282.16,289.87,306.53,321.33,341.34,330.71,338.65,331.36,335.19,332.17,342.35,344.49,355.67,367.97,357.95,355.41,353.63,338.36,328.06,329.07,340.12,344.88,361.33,362.15,371.36,382.39,410.14,411.95,425.17,427.43,446.57,428.71,424.46,424.13,409.39,417.8,425.83,425.15,423.82,441.61,427.16,449.54,422.13,427.34,399.23,385.66,382.63,375.75,368.82,343.4,329.2,314.59,312.22,307.51,303.56,310.86,317.6,321.81,319.14,322.73,330.43,356.85,355.45,360.52,368.98,365.07,362.96
1322,B,False,867.54,838.41,871.98,834.04,818.66,821.66,831.65,813.89,791.6,801.79,812.32,800.86,814.48,788.87,801.25,801.63,811.55,848.92,828.13,845.84,857.53,852.8,854.08,823.21,814.56,827.76,817.72,836.56,814.54,827.11,820.08,788.37,783.47,767.89,760.3,774.59,777.75,761.68,745.46,735.28,738.57,735.84,767.82,746.58,761.69,738.47,746.76,754.24,764.38,786.24,780.46,789.56,789.42,801.94,798.45,803.28,818.49,823.06,833.98,793.78,821.92,805.64,833.66,808.87,803.43,782.12,815.0,812.18,806.38,817.44,803.31,778.17,788.9,794.96,811.22,807.11,799.09,812.68,805.06,788.76
1323,B,False,1225.4,1217.6,1216.4,1239.5,1247.8,1249.7,1273.0,1265.3,1262.1,1253.6,1254.0,1260.7,1263.8,1290.5,1281.0,1294.5,1341.3,1325.1,1338.7,1337.0,1343.6,1348.4,1354.0,1344.5,1353.2,1360.9,1341.6,1322.9,1328.4,1328.5,1325.0,1332.5,1321.4,1330.2,1345.8,1329.3,1350.3,1366.8,1351.0,1326.4,1343.8,1379.3,1377.6,1383.5,1398.1,1374.4,1374.3,1377.1,1381.7,1368.4,1359.7,1352.0,1355.3,1346.8,1338.9,1343.6,1354.6,1340.7,1352.0,1339.1,1324.8,1336.7,1349.7,1359.1,1340.0,1332.4,1345.1,1322.9,1303.7,1312.7,1325.4,1333.8,1331.3,1339.5,1353.0,1345.3,1338.0,1353.2,1353.6,1345.9
