,FLARE_TYPE,COINCIDENCE,d_l_f_21,d_l_f_22,d_l_f_23,d_l_f_24,d_l_f_25,d_l_f_26,d_l_f_27,d_l_f_28,d_l_f_29,d_l_f_30,d_l_f_31,d_l_f_32,d_l_f_33,d_l_f_34,d_l_f_35,d_l_f_36,d_l_f_37,d_l_f_38,d_l_f_39,d_l_f_40,d_l_f_41,d_l_f_42,d_l_f_43,d_l_f_44,d_l_f_45,d_l_f_46,d_l_f_47,d_l_f_48,d_l_f_49,d_l_f_50,d_l_f_51,d_l_f_52,d_l_f_53,d_l_f_54,d_l_f_55,d_l_f_56,d_l_f_57,d_l_f_58,d_l_f_59,d_l_f_60,d_l_f_61,d_l_f_62,d_l_f_63,d_l_f_64,d_l_f_65,d_l_f_66,d_l_f_67,d_l_f_68,d_l_f_69,d_l_f_70,d_l_f_71,d_l_f_72,d_l_f_73,d_l_f_74,d_l_f_75,d_l_f_76,d_l_f_77,d_l_f_78,d_l_f_79,d_l_f_80,d_l_f_81,d_l_f_82,d_l_f_83,d_l_f_84,d_l_f_85,d_l_f_86,d_l_f_87,d_l_f_88,d_l_f_89,d_l_f_90,d_l_f_91,d_l_f_92,d_l_f_93,d_l_f_94,d_l_f_95,d_l_f_96,d_l_f_97,d_l_f_98,d_l_f_99,d_l_f_100
10,X,False,507.38,509.1,506.58,506.84,506.67,505.48,505.77,506.85,510.74,512.34,509.0,507.87,509.06,512.49,515.77,517.88,516.51,517.97,518.4,520.06,519.36,516.85,516.12,519.37,522.98,522.64,518.43,519.81,521.0,520.4,520.47,519.72,521.24,519.44,526.22,527.34,529.89,528.22,535.36,530.73,533.4,534.49,535.82,538.59,531.04,541.69,546.99,546.6,543.18,542.34,540.49,543.03,542.33,543.57,545.16,546.64,544.53,553.63,547.88,553.44,550.69,552.33,551.85,553.43,554.79,554.03,553.43,555.74,556.15,558.72,559.24,560.41,561.59,563.67,555.56,555.12,555.37,557.23,555.25,561.51
11,X,False,454.14,345.56,326.5,354.96,366.05,478.37,359.74,311.26,351.91,483.2,315.62,326.05,225.77,300.07,234.11,221.21,216.34,265.13,281.51,304.15,305.7,227.6,211.51,213.04,212.54,211.42,213.11,211.75,211.65,212.67,212.4,214.63,214.59,215.74,216.7,216.46,216.55,216.02,216.88,217.41,218.34,217.62,216.44,218.0,219.96,215.73,215.85,217.25,218.88,216.52,216.3,215.45,214.29,214.51,213.55,213.31,212.81,216.25,217.71,217.74,214.18,214.38,215.07,214.0,211.42,211.8,215.93,215.63,215.17,212.79,215.64,213.17,212.37,216.05,213.77,216.21,215.79,215.0,217.89,217.97
12,X,True,252.33,254.31,258.78,255.1,252.11,258.11,261.99,253.96,253.1,251.69,254.88,251.95,252.54,255.0,252.7,248.83,248.83,250.68,248.07,246.91,245.04,245.38,245.9,242.87,244.44,245.42,244.33,250.13,247.71,246.96,246.94,248.13,246.2,247.53,246.48,252.96,252.11,249.78,248.02,255.1,256.77,261.91,261.71,259.12,259.29,256.27,262.58,263.56,263.36,259.86,262.57,253.42,252.21,254.67,250.7,246.66,248.39,247.34,247.38,246.43,238.27,235.81,245.75,254.69,256.88,259.92,254.33,257.96,258.56,256.99,256.34,250.0,245.2,253.45,269.54,261.36,259.7,260.68,260.48,263.46
13,X,False,304.6,308.66,292.76,325.05,198.45,290.1,301.5,273.37,268.01,202.32,175.07,171.18,170.34,159.93,175.36,160.07,148.29,235.15,229.46,163.85,157.15,150.87,201.56,206.84,201.17,193.8,186.84,180.95,174.81,166.37,161.57,150.25,146.49,144.01,137.35,133.54,152.44,153.97,149.54,147.78,145.71,140.36,140.57,143.17,137.57,137.96,130.85,121.97,110.46,100.8,76.114,81.637,79.746,72.981,70.696,65.507,49.678,48.906,48.8,64.259,69.504,69.514,44.036,59.234,50.641,40.699,43.21,64.813,27.381,27.751,31.469,32.166,49.99,40.883,45.632,77.28,80.587,60.125,69.219,85.543
14,X,False,262.54,262.73,262.44,263.69,263.32,263.9,263.26,264.16,264.39,264.81,265.16,265.29,265.63,265.55,265.97,267.04,267.67,268.09,268.47,268.35,268.48,268.75,268.64,268.53,270.61,269.92,270.02,270.02,269.69,270.44,271.66,271.24,270.98,271.89,272.3,272.17,272.7,272.27,273.22,273.04,273.33,274.06,272.87,272.84,273.03,272.5,272.75,273.09,272.08,273.44,271.6,271.44,271.7,272.7,274.54,274.1,273.87,273.42,273.73,274.46,275.36,273.63,274.33,274.03,274.73,275.66,275.09,275.72,276.6,276.05,275.79,274.86,275.13,275.49,275.55,275.32,275.17,274.08,272.32,273.27
15,X,False,306.45,306.05,307.24,300.33,300.13,304.74,304.73,304.51,304.81,305.69,306.63,307.43,307.0,307.67,309.55,309.08,308.71,310.34,310.83,309.96,311.37,309.36,308.75,312.09,312.13,312.75,313.44,312.14,311.47,312.48,314.28,314.16,315.47,316.78,315.0,314.47,314.26,314.59,313.42,315.61,316.14,317.02,316.48,315.66,314.93,313.88,314.39,314.98,314.9,315.42,316.04,315.86,315.91,315.99,315.78,316.12,315.32,313.84,314.54,315.35,314.52,315.31,316.15,316.28,317.91,319.21,317.13,318.81,318.37,319.57,318.32,320.59,320.57,320.06,321.01,321.9,322.43,322.78,321.39,319.84
16,X,False,254.07,248.96,249.24,249.11,251.71,249.64,251.57,252.15,253.41,249.63,249.57,252.71,249.79,248.59,250.5,249.75,249.6,247.64,246.96,250.17,252.08,252.83,254.47,256.2,256.38,260.5,263.01,266.66,267.06,269.4,272.05,271.1,275.06,277.55,274.49,275.73,274.67,276.6,275.34,278.14,276.88,273.53,276.87,251.67,245.99,251.33,248.01,246.78,247.24,242.14,246.59,248.34,263.1,258.64,261.61,267.67,275.71,276.23,264.55,255.3,264.09,259.36,261.17,267.37,277.29,258.93,280.28,282.21,280.1,282.27,276.28,227.96,224.04,222.56,234.97,280.23,248.99,224.04,226.02,221.93
17,X,False,332.36,333.61,332.55,333.01,332.09,332.22,333.21,332.57,332.44,332.99,332.76,334.28,334.04,333.17,334.02,331.97,333.26,332.82,331.5,332.57,332.84,333.97,334.33,334.27,333.18,333.89,334.27,335.67,335.53,334.13,334.19,333.48,332.96,332.49,332.38,334.24,333.72,334.24,334.53,335.54,335.87,333.89,332.77,330.98,331.4,331.53,330.22,330.32,329.3,330.84,330.73,331.35,330.02,329.17,331.0,331.83,331.11,330.39,329.82,329.04,330.81,329.0,330.8,329.75,330.28,330.71,334.46,332.44,333.41,331.41,331.7,332.79,332.1,332.77,332.97,332.23,333.82,333.19,334.44,332.87
18,X,False,60.676,56.125,64.497,65.979,50.979,84.443,81.131,93.301,86.521,68.872,70.624,62.844,48.948,44.146,51.184,49.144,50.819,65.971,73.289,71.651,79.642,96.57,93.055,107.5,123.44,114.31,121.12,156.33,132.72,160.16,153.1,148.82,165.73,172.41,188.59,192.5,200.08,214.81,201.56,222.12,208.01,209.44,228.24,229.37,227.96,242.42,225.14,232.77,243.26,245.17,240.54,243.66,249.52,253.82,256.48,267.49,266.74,270.21,279.94,274.04,282.76,282.87,290.52,290.68,306.9,297.19,303.82,309.02,309.0,313.22,315.52,319.86,323.72,329.73,327.39,328.93,332.65,335.37,374.16,393.73
19,X,True,323.51,323.84,336.88,342.92,333.92,333.34,331.78,331.09,315.55,327.23,320.11,322.92,337.92,341.23,341.72,348.48,351.2,355.42,341.35,343.2,333.85,330.01,333.04,328.7,346.49,343.24,340.99,306.15,312.8,302.21,286.0,291.51,273.19,272.26,276.1,273.45,209.43,197.16,123.16,119.48,123.92,131.39,110.64,93.263,97.105,91.481,95.104,96.623,94.387,89.903,90.23,82.913,67.509,71.624,70.206,72.035,79.883,68.081,67.226,69.793,73.112,72.169,65.252,65.264,67.052,68.637,65.598,59.031,59.034,59.73,65.222,66.456,68.47,70.901,71.117,72.723,73.488,68.57,64.554,64.684
20,X,False,911.83,902.88,892.57,869.48,786.35,739.4,771.42,760.74,1030.7,1064.0,1030.1,1033.8,1093.3,1065.2,1059.6,1057.9,1054.9,1048.0,1031.3,1031.9,1025.6,1013.9,991.8,985.45,978.3,970.52,961.68,951.77,947.29,942.21,939.97,932.9,921.44,924.42,920.61,912.55,910.67,912.07,917.28,916.1,914.2,917.51,912.61,909.24,906.76,911.55,902.73,900.13,898.74,885.43,894.53,887.96,887.79,870.28,858.58,868.29,868.0,864.27,858.07,842.2,834.94,821.93,826.17,820.2,802.07,788.94,789.9,805.6,813.17,822.73,819.53,795.45,813.36,825.78,817.23,837.35,822.88,832.5,835.85,808.0
21,X,True,41.058,47.944,46.624,39.676,43.338,104.62,76.617,72.011,80.058,89.255,83.936,104.81,57.343,99.942,111.68,93.201,133.92,72.96,122.74,201.72,171.07,195.41,159.36,164.33,156.65,181.3,133.58,202.44,172.48,158.2,193.19,222.63,166.44,183.64,173.63,246.74,86.11,250.5,220.78,0.0,30.594,27.203,0.0,0.0,0.0,0.0,0.0,0.0,274.74,0.0,125.88,257.82,0.0,20.506,0.0,0.0,12.422,0.0,0.0,0.0,40.817,79.068,96.864,71.178,77.697,73.052,78.943,119.2,104.33,120.53,76.182,75.238,87.275,100.35,91.268,79.454,80.224,94.627,94.44,106.04
22,X,False,104.62,76.617,72.011,80.058,89.255,83.936,104.81,57.343,99.942,111.68,93.201,133.92,72.96,122.74,201.72,171.07,195.41,159.36,164.33,156.65,181.3,133.58,202.44,172.48,158.2,193.19,222.63,166.44,183.64,173.63,246.74,86.11,250.5,220.78,0.0,30.594,27.203,0.0,0.0,0.0,0.0,0.0,0.0,274.74,0.0,125.88,257.82,0.0,20.506,0.0,0.0,12.422,0.0,0.0,0.0,40.817,79.068,96.864,71.178,77.697,73.052,78.943,119.2,104.33,120.53,76.182,75.238,87.275,100.35,91.268,79.454,80.224,94.627,94.44,106.04,87.75,100.83,85.88,95.205,106.45
23,X,False,175.52,387.76,259.93,270.37,577.3,527.09,548.88,515.37,529.2,559.28,549.48,552.33,556.56,566.0,551.9,546.8,553.57,561.72,567.33,562.46,569.79,568.26,572.01,566.53,578.26,359.32,582.84,585.48,575.93,583.96,587.82,578.51,331.43,297.06,586.64,315.86,596.96,290.51,597.34,265.22,603.29,604.95,567.46,614.05,612.06,615.66,615.94,620.82,623.6,259.93,652.25,356.16,369.41,650.15,662.43,661.58,669.08,669.46,678.77,671.37,672.96,677.84,683.35,684.33,689.93,696.92,699.69,700.69,703.34,706.86,717.15,711.0,720.16,741.34,714.25,726.47,724.81,735.13,741.9,736.56
24,X,False,229.77,231.7,224.07,205.43,186.5,196.43,170.04,187.6,239.51,262.76,230.31,232.95,257.74,206.5,201.17,198.73,196.36,271.02,200.8,218.74,253.41,214.93,214.59,195.37,211.2,222.65,199.28,200.88,322.31,228.15,272.46,220.69,242.95,235.77,215.49,231.84,319.92,302.88,230.71,268.54,225.9,214.71,233.93,217.96,227.15,233.53,235.51,235.21,222.6,221.18,215.05,225.63,212.02,219.76,235.75,212.13,221.35,227.81,233.32,210.68,230.4,223.22,226.48,222.21,212.92,207.04,208.82,213.82,218.13,217.78,220.05,220.13,220.93,222.24,218.73,222.76,211.68,213.61,218.2,216.37
25,X,True,270.58,270.44,272.4,270.74,272.26,271.02,272.49,274.23,272.7,271.23,272.45,271.82,270.72,270.0,269.52,270.66,271.52,271.24,270.06,267.43,269.9,271.79,271.76,272.03,268.85,271.22,271.15,270.61,271.78,271.96,273.34,273.47,272.46,269.35,270.71,271.14,271.86,271.54,272.91,269.86,267.09,255.94,267.14,268.63,267.92,267.85,267.09,268.39,267.8,267.43,267.67,263.12,265.96,265.21,264.84,264.67,262.19,262.65,262.17,262.0,258.54,259.86,256.11,255.08,254.84,256.06,256.01,256.15,254.6,252.67,252.11,249.41,247.35,235.05,236.32,236.31,243.76,236.51,199.08,204.48
26,X,False,204.61,200.77,200.42,199.14,194.59,198.67,194.29,192.38,192.3,187.69,186.57,191.6,186.24,185.74,184.57,189.84,184.03,189.09,190.05,190.22,185.11,185.79,192.37,191.1,193.5,194.57,190.3,189.73,189.14,194.42,197.23,193.56,200.24,195.93,195.07,192.89,189.36,191.07,188.24,194.84,192.63,186.87,186.77,185.78,184.98,185.3,186.86,188.1,186.39,186.43,186.21,188.31,189.19,188.72,191.85,190.75,190.99,191.29,191.73,193.11,191.87,189.81,190.86,190.38,190.72,189.24,187.59,192.13,191.76,190.34,190.43,186.49,190.11,186.47,186.62,188.17,188.11,188.43,186.38,183.87
27,X,True,106.1,106.11,106.43,107.72,108.29,108.85,108.87,109.2,109.29,109.02,109.67,109.54,109.84,109.39,109.61,110.09,107.98,106.18,107.02,107.83,108.96,109.38,110.01,119.01,109.3,108.89,108.33,108.01,107.82,107.16,107.61,108.88,109.66,110.18,109.36,109.51,109.0,109.47,109.49,110.75,111.21,111.01,111.38,111.15,109.74,110.27,111.52,110.36,111.07,111.17,111.18,112.55,112.62,112.18,111.38,111.59,110.07,110.22,110.19,110.04,109.63,110.97,110.39,110.57,110.27,110.38,110.82,110.39,109.88,109.0,109.86,109.24,108.0,107.6,107.44,108.03,107.47,107.65,108.01,109.21
28,X,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.9443,8.0623,0.0,0.0,0.0,0.0,0.0,0.0
29,X,False,223.42,222.02,222.45,224.49,221.44,224.25,225.55,224.65,224.08,223.69,224.12,227.04,226.99,226.36,226.19,223.66,222.89,221.98,222.55,220.1,220.4,221.63,217.89,217.95,219.94,218.73,220.74,221.68,222.31,221.93,222.78,222.57,225.53,228.08,229.8,227.91,225.37,226.7,226.98,225.69,224.43,222.89,223.4,224.38,222.49,219.93,216.25,215.92,217.4,214.69,214.16,210.38,211.48,210.68,213.16,212.26,212.9,213.55,212.15,212.4,212.97,212.18,211.25,208.79,211.36,212.02,213.46,211.68,212.75,211.95,210.68,221.13,221.52,223.31,223.61,223.39,225.71,223.79,213.58,220.45
30,M,False,112.24,116.0,116.63,117.03,118.99,117.36,117.76,113.99,115.85,117.9,116.09,118.06,118.74,117.94,120.86,119.79,120.33,119.95,121.92,121.59,122.73,120.02,118.04,116.97,117.59,117.54,118.98,119.21,119.23,118.17,118.12,119.67,121.22,121.01,121.42,118.81,122.53,122.88,124.18,123.04,121.09,119.93,118.97,121.31,127.76,126.59,126.71,126.73,128.15,128.0,128.42,126.4,126.42,127.79,128.97,131.43,129.38,132.27,135.2,137.07,138.76,139.26,141.23,141.24,140.05,142.2,145.15,145.39,145.43,143.34,141.0,141.61,142.01,140.69,136.67,137.44,137.05,137.24,135.98,140.96
31,M,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.74,103.74,104.04,104.04,107.21,106.25,107.21,107.21,107.52,107.52,106.89,107.84,109.11,108.17,107.22,107.91,108.5,109.11,110.05,111.0,111.0,111.33,112.27,112.61,111.0,112.27,111.66,112.95,112.01,113.3,112.61,112.01,111.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,M,False,197.25,198.13,198.13,198.13,199.02,199.51,198.13,199.02,199.02,199.02,198.13,199.91,200.37,200.8,201.35,201.64,200.41,203.48,203.48,204.38,204.38,203.48,0.0,0.0,14.765,198.6,197.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,M,False,88.556,90.035,86.692,88.623,88.295,89.24,88.826,93.724,91.989,89.522,89.752,90.176,92.868,95.622,91.691,95.031,96.281,96.695,95.165,94.369,90.516,94.915,95.11,95.98,95.952,97.288,100.9,96.36,94.825,89.88,96.789,83.34,78.061,75.05,75.698,95.11,82.022,81.921,79.442,77.346,95.804,96.264,95.554,96.159,96.326,95.173,95.437,94.586,93.469,97.004,96.799,97.093,96.229,97.008,97.921,98.848,98.562,99.134,99.502,98.737,99.798,99.71,99.02,99.829,99.759,99.514,99.677,100.55,102.98,103.69,102.73,103.2,99.544,102.43,104.28,101.29,101.04,101.69,99.701,101.15
34,M,False,157.61,152.62,151.0,151.08,154.71,156.4,156.61,157.52,158.13,159.54,160.02,160.37,158.74,159.31,158.79,158.61,158.26,157.84,159.39,160.55,160.62,161.12,160.12,159.83,161.89,162.13,163.7,165.45,166.5,167.66,168.34,169.72,170.18,170.12,171.59,171.0,171.99,172.7,173.35,173.35,164.45,165.64,174.82,171.92,170.28,170.6,163.46,164.47,165.16,170.74,164.17,158.62,165.93,163.27,160.86,166.19,165.14,162.86,163.7,166.7,179.64,181.87,181.01,181.94,180.85,164.16,159.4,159.06,156.91,182.92,181.91,182.35,181.83,182.7,182.25,182.84,167.27,182.15,183.41,183.18
35,M,True,148.13,145.26,145.03,141.51,142.08,141.63,140.57,140.07,138.92,141.99,137.76,136.69,136.01,135.46,133.85,132.4,129.58,126.83,125.67,123.98,121.46,124.1,126.0,126.16,126.95,130.02,132.52,134.64,133.97,132.37,135.39,136.06,137.21,138.23,141.56,143.43,144.77,143.56,143.68,143.46,146.59,143.36,144.38,144.0,146.52,145.96,147.23,147.19,148.42,148.47,148.1,148.95,151.23,152.73,154.67,155.07,155.98,156.11,154.84,157.16,157.39,155.95,157.35,156.89,156.96,156.98,156.43,153.93,154.12,154.11,153.57,152.07,152.21,157.07,162.07,160.62,160.36,160.95,160.35,158.95
36,M,True,172.92,171.64,172.44,170.29,172.32,170.06,170.98,173.89,170.64,171.84,170.79,171.82,172.2,171.94,172.57,171.64,173.12,173.01,171.4,171.51,172.42,172.2,171.11,170.05,172.19,169.78,168.43,171.41,169.93,168.61,167.77,168.12,168.06,169.51,169.66,169.47,170.64,171.78,170.36,171.73,171.77,173.55,174.37,174.76,174.57,175.62,174.4,177.29,178.5,178.53,173.58,178.79,170.58,176.76,176.28,176.94,177.7,178.47,176.28,176.99,177.48,178.96,178.22,178.53,178.24,177.49,176.9,174.01,173.43,174.7,173.82,174.45,175.8,175.75,178.3,176.6,180.52,176.13,180.39,181.96
37,M,False,141.89,139.45,135.79,136.76,137.06,136.3,135.54,136.32,133.45,138.51,141.86,145.78,144.32,142.67,140.4,139.98,140.22,138.67,138.7,138.79,137.78,137.23,135.54,135.75,136.1,136.46,138.37,139.69,138.58,137.75,139.86,139.26,141.5,142.77,144.34,143.8,144.89,144.96,146.39,145.25,146.18,147.22,147.9,146.99,148.45,150.72,151.57,149.09,149.51,152.97,153.93,154.97,153.16,155.42,155.53,156.67,157.0,157.39,159.42,158.86,159.62,161.23,163.64,163.29,165.06,164.92,164.98,167.91,168.72,169.1,169.47,169.17,171.26,173.37,172.67,174.75,175.74,176.66,177.15,179.51
