,FLARE_TYPE,COINCIDENCE,TOTUSJZ_1,TOTUSJZ_2,TOTUSJZ_3,TOTUSJZ_4,TOTUSJZ_5,TOTUSJZ_6,TOTUSJZ_7,TOTUSJZ_8,TOTUSJZ_9,TOTUSJZ_10,TOTUSJZ_11,TOTUSJZ_12,TOTUSJZ_13,TOTUSJZ_14,TOTUSJZ_15,TOTUSJZ_16,TOTUSJZ_17,TOTUSJZ_18,TOTUSJZ_19,TOTUSJZ_20,TOTUSJZ_21,TOTUSJZ_22,TOTUSJZ_23,TOTUSJZ_24,TOTUSJZ_25,TOTUSJZ_26,TOTUSJZ_27,TOTUSJZ_28,TOTUSJZ_29,TOTUSJZ_30,TOTUSJZ_31,TOTUSJZ_32,TOTUSJZ_33,TOTUSJZ_34,TOTUSJZ_35,TOTUSJZ_36,TOTUSJZ_37,TOTUSJZ_38,TOTUSJZ_39,TOTUSJZ_40,TOTUSJZ_41,TOTUSJZ_42,TOTUSJZ_43,TOTUSJZ_44,TOTUSJZ_45,TOTUSJZ_46,TOTUSJZ_47,TOTUSJZ_48,TOTUSJZ_49,TOTUSJZ_50,TOTUSJZ_51,TOTUSJZ_52,TOTUSJZ_53,TOTUSJZ_54,TOTUSJZ_55
1806,N,False,8158100000000.0,7902500000000.0,7864100000000.0,8011200000000.0,7898600000000.0,8146000000000.0,7860900000000.0,7667700000000.0,7472900000000.0,7431300000000.0,7449400000000.0,7240300000000.0,7451300000000.0,7384900000000.0,7353500000000.0,7424800000000.0,7453600000000.0,7351800000000.0,7544300000000.0,7391800000000.0,7446900000000.0,7908300000000.0,7868500000000.0,7809000000000.0,8215900000000.0,8014000000000.0,8210300000000.0,8263200000000.0,8454600000000.0,8826300000000.0,8587400000000.0,8805800000000.0,8731100000000.0,8437800000000.0,8496300000000.0,8376400000000.0,8440300000000.0,7994700000000.0,7887500000000.0,7677800000000.0,7480100000000.0,7870700000000.0,7808900000000.0,7771700000000.0,7400300000000.0,7709500000000.0,7565400000000.0,7776200000000.0,7970000000000.0,7713000000000.0,7943800000000.0,7734900000000.0,7829000000000.0,7749600000000.0,7637800000000.0
1807,N,False,2327200000000.0,2370600000000.0,2390900000000.0,2348000000000.0,2574200000000.0,2461900000000.0,2561800000000.0,2490500000000.0,2699700000000.0,2382900000000.0,2462000000000.0,2446100000000.0,2532500000000.0,2671500000000.0,2654000000000.0,2558700000000.0,2419400000000.0,2266100000000.0,2346800000000.0,2296700000000.0,2296500000000.0,2272400000000.0,2155500000000.0,2117800000000.0,2096900000000.0,2160400000000.0,2099100000000.0,2185600000000.0,2086400000000.0,1852900000000.0,2020600000000.0,1931900000000.0,1892900000000.0,1895500000000.0,1985600000000.0,1851100000000.0,1839500000000.0,1815900000000.0,1831100000000.0,1615800000000.0,1760800000000.0,1525800000000.0,1523000000000.0,1769900000000.0,1738200000000.0,1883400000000.0,2197100000000.0,2007000000000.0,1971200000000.0,1977700000000.0,1891600000000.0,1672600000000.0,1510700000000.0,1413600000000.0,1355800000000.0
1808,N,False,37821000000000.0,37594000000000.0,37750000000000.0,37656000000000.0,37626000000000.0,37861000000000.0,38104000000000.0,37701000000000.0,37822000000000.0,38121000000000.0,38323000000000.0,38883000000000.0,39022000000000.0,38669000000000.0,38949000000000.0,39622000000000.0,40136000000000.0,39694000000000.0,39943000000000.0,39811000000000.0,40075000000000.0,39862000000000.0,39637000000000.0,39597000000000.0,40502000000000.0,40004000000000.0,41058000000000.0,41696000000000.0,42356000000000.0,42745000000000.0,43618000000000.0,43685000000000.0,44267000000000.0,45078000000000.0,45349000000000.0,45225000000000.0,44842000000000.0,44076000000000.0,44351000000000.0,44088000000000.0,43543000000000.0,43595000000000.0,43788000000000.0,43168000000000.0,43374000000000.0,43238000000000.0,43339000000000.0,43293000000000.0,42989000000000.0,43069000000000.0,42609000000000.0,43352000000000.0,43409000000000.0,43202000000000.0,43200000000000.0
1809,N,False,26447000000000.0,27225000000000.0,27498000000000.0,27996000000000.0,27989000000000.0,28481000000000.0,28310000000000.0,28931000000000.0,29215000000000.0,30191000000000.0,30217000000000.0,31064000000000.0,31639000000000.0,31053000000000.0,30723000000000.0,30427000000000.0,30275000000000.0,30618000000000.0,30188000000000.0,30057000000000.0,30201000000000.0,30732000000000.0,29992000000000.0,29756000000000.0,30045000000000.0,30449000000000.0,30088000000000.0,29951000000000.0,30945000000000.0,31070000000000.0,31730000000000.0,31264000000000.0,31692000000000.0,32174000000000.0,32598000000000.0,33411000000000.0,33671000000000.0,34186000000000.0,34089000000000.0,34539000000000.0,35169000000000.0,35150000000000.0,35675000000000.0,35709000000000.0,36612000000000.0,36744000000000.0,36802000000000.0,37165000000000.0,37450000000000.0,38356000000000.0,38302000000000.0,39155000000000.0,39382000000000.0,39474000000000.0,39833000000000.0
1810,N,False,13714000000000.0,13412000000000.0,13400000000000.0,12827000000000.0,12816000000000.0,12609000000000.0,12713000000000.0,12375000000000.0,12204000000000.0,12144000000000.0,11972000000000.0,12089000000000.0,12290000000000.0,11877000000000.0,11910000000000.0,11753000000000.0,11731000000000.0,11375000000000.0,11412000000000.0,11655000000000.0,11913000000000.0,11708000000000.0,11837000000000.0,11836000000000.0,11908000000000.0,12048000000000.0,11794000000000.0,11689000000000.0,11681000000000.0,11532000000000.0,11677000000000.0,11392000000000.0,11511000000000.0,11738000000000.0,11381000000000.0,11346000000000.0,11172000000000.0,11105000000000.0,11142000000000.0,10788000000000.0,10736000000000.0,10479000000000.0,10175000000000.0,10412000000000.0,10260000000000.0,9928700000000.0,9749100000000.0,9678200000000.0,9386600000000.0,9659500000000.0,9361000000000.0,9321600000000.0,9658100000000.0,9473900000000.0,9826700000000.0
1811,N,False,2190700000000.0,2218800000000.0,2155000000000.0,2112700000000.0,2103300000000.0,2072400000000.0,2066700000000.0,2055300000000.0,2205900000000.0,1970000000000.0,2057300000000.0,2032200000000.0,2058000000000.0,2053600000000.0,2127700000000.0,2130100000000.0,2125600000000.0,2103100000000.0,2070800000000.0,2008900000000.0,2047400000000.0,2061200000000.0,1998200000000.0,1929600000000.0,1962200000000.0,2043600000000.0,2089400000000.0,2192700000000.0,2359500000000.0,2307900000000.0,2374100000000.0,2355500000000.0,2429900000000.0,2384300000000.0,2516900000000.0,2474400000000.0,2381900000000.0,2160300000000.0,2316700000000.0,2269600000000.0,2088400000000.0,2066800000000.0,2019700000000.0,1948700000000.0,1898700000000.0,1855400000000.0,1961500000000.0,1856700000000.0,1784200000000.0,1782300000000.0,1836500000000.0,1791600000000.0,1836700000000.0,1911600000000.0,2093900000000.0
1812,N,False,14597000000000.0,14380000000000.0,14581000000000.0,14597000000000.0,14287000000000.0,14296000000000.0,14324000000000.0,14630000000000.0,14584000000000.0,14576000000000.0,14716000000000.0,14962000000000.0,14937000000000.0,14951000000000.0,15750000000000.0,15486000000000.0,15809000000000.0,16551000000000.0,16796000000000.0,16793000000000.0,17485000000000.0,16702000000000.0,16798000000000.0,16268000000000.0,15779000000000.0,14948000000000.0,14240000000000.0,13845000000000.0,13566000000000.0,13708000000000.0,13645000000000.0,13850000000000.0,13112000000000.0,13326000000000.0,13304000000000.0,13253000000000.0,12842000000000.0,12945000000000.0,12747000000000.0,12768000000000.0,12777000000000.0,12634000000000.0,12465000000000.0,12576000000000.0,12579000000000.0,12699000000000.0,12962000000000.0,12845000000000.0,13208000000000.0,13041000000000.0,13114000000000.0,13365000000000.0,13383000000000.0,13498000000000.0,13425000000000.0
1813,N,False,6347200000000.0,6322200000000.0,6328900000000.0,6359100000000.0,6280300000000.0,6249800000000.0,6266200000000.0,6281200000000.0,6067600000000.0,6110000000000.0,5985400000000.0,5959100000000.0,6050600000000.0,6042300000000.0,5919200000000.0,5962100000000.0,5912000000000.0,5933000000000.0,5855800000000.0,5971900000000.0,6043000000000.0,6112500000000.0,6217800000000.0,6255000000000.0,6412400000000.0,6395900000000.0,6442900000000.0,6415800000000.0,6319000000000.0,6423700000000.0,6514600000000.0,6415700000000.0,6552700000000.0,6438100000000.0,6415100000000.0,6456000000000.0,6387100000000.0,6350000000000.0,6492000000000.0,6305700000000.0,6235700000000.0,6317200000000.0,6260300000000.0,6418800000000.0,6311900000000.0,6383100000000.0,6232600000000.0,6089600000000.0,5987900000000.0,6262600000000.0,6199700000000.0,6174300000000.0,6171500000000.0,6003200000000.0,6127200000000.0
1814,N,False,99162000000000.0,99527000000000.0,101150000000000.0,100850000000000.0,102050000000000.0,100890000000000.0,101030000000000.0,101300000000000.0,101650000000000.0,100620000000000.0,99611000000000.0,99053000000000.0,99029000000000.0,98032000000000.0,96224000000000.0,95958000000000.0,96131000000000.0,94504000000000.0,94642000000000.0,93747000000000.0,93853000000000.0,93556000000000.0,93453000000000.0,94053000000000.0,93013000000000.0,93763000000000.0,92401000000000.0,92887000000000.0,93538000000000.0,92628000000000.0,92795000000000.0,93333000000000.0,92463000000000.0,92562000000000.0,92191000000000.0,90669000000000.0,90917000000000.0,92218000000000.0,91613000000000.0,91725000000000.0,92558000000000.0,92680000000000.0,92572000000000.0,93918000000000.0,92244000000000.0,93671000000000.0,94297000000000.0,94521000000000.0,94373000000000.0,95892000000000.0,96841000000000.0,97647000000000.0,99637000000000.0,99828000000000.0,101790000000000.0
1815,N,False,10618000000000.0,10595000000000.0,10467000000000.0,10428000000000.0,10101000000000.0,10313000000000.0,10325000000000.0,9933100000000.0,10263000000000.0,10278000000000.0,10202000000000.0,10484000000000.0,9986900000000.0,10055000000000.0,10307000000000.0,10263000000000.0,10370000000000.0,10278000000000.0,10113000000000.0,10326000000000.0,10458000000000.0,10617000000000.0,10872000000000.0,10882000000000.0,10932000000000.0,11065000000000.0,11137000000000.0,10701000000000.0,10378000000000.0,10318000000000.0,9793200000000.0,9518900000000.0,9118300000000.0,9079600000000.0,8842100000000.0,8920100000000.0,9006300000000.0,9006800000000.0,8883100000000.0,8876100000000.0,9091300000000.0,8963500000000.0,8890700000000.0,9181600000000.0,8990300000000.0,9148900000000.0,9009000000000.0,9161400000000.0,9259800000000.0,9179600000000.0,9328100000000.0,9510100000000.0,9442900000000.0,9444300000000.0,9260000000000.0
