,FLARE_TYPE,COINCIDENCE,slf_1,slf_2,slf_3,slf_4,slf_5,slf_6,slf_7,slf_8,slf_9,slf_10,slf_11,slf_12,slf_13,slf_14,slf_15,slf_16,slf_17,slf_18,slf_19,slf_20,slf_21,slf_22,slf_23,slf_24,slf_25,slf_26,slf_27,slf_28,slf_29,slf_30,slf_31,slf_32,slf_33,slf_34,slf_35
11,X,False,4.7405,4.4006,4.8004,4.8317,4.6458,4.7609,4.5688,5.0512,4.7227,5.0772,4.7235,4.7368,4.6978,4.6165,4.9033,4.6978,15.754,14.733,14.809,14.569,15.252,15.294,14.275,14.267,8.8476,12.249,12.695,11.961,11.291,8.6419,8.01,7.639,7.4591,7.3299,7.8292
12,X,False,11.084,11.09,11.113,11.054,10.869,10.896,11.005,10.859,10.655,10.656,10.762,10.769,10.779,10.719,10.789,10.602,10.658,10.438,10.446,10.492,10.412,10.448,10.313,10.396,10.408,10.452,10.443,10.435,10.466,10.448,10.38,10.374,10.357,10.489,10.511
13,X,False,11.565,11.621,11.623,11.763,11.684,11.701,11.761,11.761,11.913,11.983,12.012,12.046,12.036,12.002,11.787,12.002,11.947,12.018,12.114,11.931,12.072,12.19,11.982,12.231,12.271,12.285,12.274,12.349,12.499,12.401,12.35,12.344,12.28,12.347,12.296
14,X,False,14.31,14.574,14.452,14.44,14.306,14.39,14.359,14.225,14.123,14.335,13.993,14.009,14.241,14.269,14.217,14.193,14.082,14.267,14.363,14.322,14.278,14.41,14.67,14.114,14.203,14.264,14.351,14.201,14.176,14.154,14.323,14.308,14.264,14.508,14.777
15,X,False,12.916,13.222,13.023,13.027,13.089,13.081,12.91,15.771,15.736,15.679,15.322,15.582,15.539,15.754,16.076,15.847,15.988,15.691,15.669,15.662,15.616,15.213,15.028,15.178,15.283,15.064,15.174,15.306,15.681,15.375,15.32,15.598,15.125,15.222,15.181
16,X,False,9.0822,9.1165,9.0347,9.1052,8.9693,8.9536,8.9245,8.9361,8.9435,8.9229,8.9621,9.065,9.0861,8.9419,8.9855,9.0284,8.9707,9.035,8.9715,8.9727,9.0255,8.9459,8.961,9.0187,9.0229,8.9085,9.0686,9.0652,9.0168,9.1419,9.0591,9.1387,9.173,9.0966,9.0189
17,X,False,5.3424,6.9044,7.2251,10.054,8.1797,8.1443,6.3168,3.2416,3.0508,2.7812,2.6132,2.0108,0.93775,1.1002,1.9621,3.3355,4.2414,1.1711,1.9183,1.6878,2.0691,1.8643,2.0277,2.0557,1.5531,2.5547,2.4558,2.766,2.5794,2.0205,2.0861,1.8798,1.4489,1.3275,1.5083
18,X,False,65.202,34.685,31.288,29.959,31.371,31.878,29.498,26.992,26.443,26.524,23.199,21.127,39.638,37.369,35.016,39.123,37.567,34.861,38.835,39.537,37.21,38.289,40.155,38.967,32.524,32.539,32.903,33.492,45.303,49.137,47.065,48.045,52.613,50.726,52.919
19,X,False,10.216,9.9285,9.9773,11.591,10.71,10.42,13.207,10.89,13.335,14.249,15.0,15.123,15.538,16.517,19.23,17.954,17.139,16.978,20.169,19.028,20.485,45.254,35.582,44.795,99.199,75.629,78.935,83.25,73.055,70.933,71.712,71.079,75.175,66.925,65.566
20,X,False,5.9906,6.1028,7.4041,7.0416,6.9674,6.738,6.5066,5.9242,6.0035,7.8692,8.3499,6.9022,7.1596,7.4035,7.0199,6.6298,6.4008,5.755,9.1579,5.7823,8.2519,8.4699,7.8245,7.34,6.3904,6.8169,5.5299,6.1981,9.4012,10.289,8.9182,9.1816,10.148,7.7017,7.4682
