,time_start,time_peak,time_end,nar,xray_class,magnitude,COINCIDENCE,before_coincident_flare,ABSNJZH,AREA_ACR,MEANGAM,MEANGBH,MEANGBT,MEANGBZ,MEANJZD,MEANJZH,MEANPOT,MEANSHR,R_VALUE,SAVNCPP,SHRGT45,TOTPOT,TOTUSJH,TOTUSJZ,USFLUX,d_l_f,g_s,slf,expected_timepoint,observed_timepoint,time_difference
1754,2015-03-15 20:48:00,not applicable,not applicable,12301.0,N,0.0,False,False,40.301,148.33,49.615,81.073,138.08,137.35,0.85086,0.012934,3613.4,34.119,3.2578,1378500000000.0,23.813,1.4953e+22,217.72,4146800000000.0,1.7379e+21,80.231,95.789,27.044,2015-03-14 23:48:00,2015-03-14 23:48:00,0 days 00:00:00
1755,2015-03-20 13:48:00,not applicable,not applicable,12304.0,N,0.0,False,False,6.5581,99.666,35.425,70.409,145.52,146.87,0.44213,-0.0025498,3908.7,26.052,2.7522,592620000000.0,8.3593,1.3351e+22,159.1,2787800000000.0,1.9984e+21,106.22,77.79,34.119,2015-03-19 16:48:00,2015-03-19 16:48:00,0 days 00:00:00
1756,2015-03-23 07:36:00,not applicable,not applicable,12306.0,N,0.0,False,False,0.22797,82.969,26.7,47.309,115.75,114.29,-0.29055,4.5062e-05,2324.3,21.39,0.0,767810000000.0,1.7197,1.5616e+22,204.75,3748400000000.0,3.6794e+21,31.257,0.0,11.193,2015-03-22 10:36:00,2015-03-22 10:36:00,0 days 00:00:00
1764,2015-04-19 06:00:00,not applicable,not applicable,12328.0,N,0.0,False,False,62.805,109.73,31.743,52.778,109.21,110.08,0.06829,-0.010174,2970.6,25.08,2.6601,2769800000000.0,8.4076,2.4353e+22,299.67,5032500000000.0,4.6679e+21,96.421,20.418,56.653,2015-04-18 09:00:00,2015-04-18 09:00:00,0 days 00:00:00
1765,2015-04-20 12:00:00,not applicable,not applicable,12329.0,N,0.0,False,False,32.649,153.47,37.205,64.507,123.12,124.42,-0.28587,-0.0060708,6002.7,29.153,3.3836,984940000000.0,13.053,4.2872e+22,294.55,4918800000000.0,4.4057e+21,0.0,0.0,0.0,2015-04-19 15:00:00,2015-04-19 15:00:00,0 days 00:00:00
1766,2015-04-23 07:12:00,not applicable,not applicable,12330.0,N,0.0,False,False,0.61217,102.03,29.711,51.39,125.99,124.53,0.86664,0.00037952,1468.5,22.494,0.0,743070000000.0,2.8518,3.1457e+21,65.914,1590400000000.0,8.8281e+20,0.0,0.0,0.0,2015-04-22 10:12:00,2015-04-22 10:12:00,0 days 00:00:00
1768,2015-05-01 14:00:00,not applicable,not applicable,12334.0,N,0.0,False,False,0.26619,174.83,42.397,65.988,123.97,122.37,0.66832,8.1229e-05,2994.2,31.651,0.0,1168700000000.0,17.572,1.3035e+22,171.36,3768000000000.0,1.9547e+21,0.0,0.0,0.0,2015-04-30 17:00:00,2015-04-30 17:00:00,0 days 00:00:00
1769,2015-05-06 20:00:00,not applicable,not applicable,12336.0,N,0.0,False,False,11.514,269.16,42.389,80.493,145.94,145.9,0.55585,0.0020694,3952.0,30.667,0.0,1654700000000.0,17.326,2.9202e+22,347.04,6900300000000.0,3.7037e+21,95.798,253.05,19.759,2015-05-05 23:00:00,2015-05-05 23:00:00,0 days 00:00:00
1770,2015-05-08 02:00:00,not applicable,not applicable,12337.0,N,0.0,False,False,30.44,219.57,46.699,69.658,119.86,122.59,0.64573,0.0057815,3926.2,37.676,3.6784,2450400000000.0,27.554,2.7458e+22,278.49,6078100000000.0,3.01e+21,45.481,535.43,9.5402,2015-05-07 05:00:00,2015-05-07 05:00:00,0 days 00:00:00
1771,2015-05-12 08:48:00,not applicable,not applicable,12340.0,N,0.0,False,False,16.907,220.9,34.424,57.984,119.89,118.63,0.58408,0.0040604,2055.5,25.958,0.0,1305000000000.0,6.5802,1.1367e+22,173.3,4179700000000.0,2.3115e+21,0.0,0.0,0.0,2015-05-11 11:48:00,2015-05-11 11:48:00,0 days 00:00:00
