,FLARE_TYPE,COINCIDENCE,MEANGBH_1,MEANGBH_2,MEANGBH_3,MEANGBH_4,MEANGBH_5,MEANGBH_6,MEANGBH_7,MEANGBH_8,MEANGBH_9,MEANGBH_10,MEANGBH_11,MEANGBH_12,MEANGBH_13,MEANGBH_14,MEANGBH_15,MEANGBH_16,MEANGBH_17,MEANGBH_18,MEANGBH_19,MEANGBH_20
2082,N,False,47.321,47.45,47.26,47.437,47.175,46.937,47.272,47.108,47.173,46.758,47.407,47.32,47.329,47.434,47.031,47.808,47.774,47.421,47.258,47.25
2083,N,False,67.01,66.065,65.565,65.367,65.514,65.64,65.142,65.062,65.479,65.496,66.152,66.944,66.707,67.421,67.099,68.144,68.767,68.797,67.939,68.459
2084,N,False,54.338,55.258,56.046,56.472,56.416,56.945,55.833,56.983,56.214,56.446,55.935,54.477,53.926,54.002,53.463,52.853,52.418,51.968,51.341,52.055
2085,N,False,63.492,62.399,62.753,61.523,62.16,61.027,61.838,61.117,61.037,61.939,63.201,64.469,64.626,65.198,65.328,64.039,64.914,66.139,63.725,65.307
2086,N,False,86.745,83.341,83.595,81.718,79.82,80.005,77.531,74.725,75.855,75.855,77.03,75.719,73.92,74.43,75.188,75.923,78.043,79.363,79.675,81.322
2087,N,False,57.703,57.747,57.968,56.909,57.718,57.531,56.71,55.811,53.074,53.092,52.62,52.46,53.621,53.441,53.422,54.11,53.265,53.245,55.583,54.842
2088,N,False,51.648,51.568,51.793,51.467,51.104,51.513,51.702,52.19,52.121,51.945,51.818,52.052,52.332,52.416,52.194,51.585,50.983,51.182,51.801,51.111
2089,N,False,55.813,55.85,54.883,54.125,53.584,54.304,53.387,53.147,52.485,51.816,51.431,51.662,51.864,52.451,53.052,53.268,53.803,55.722,56.854,56.739
2090,N,False,65.92,66.483,67.267,68.408,68.573,69.83,68.426,70.383,71.408,73.049,73.933,75.134,75.917,75.306,78.029,76.767,76.692,77.392,77.43,76.084
2091,N,False,60.297,60.976,60.86,60.747,60.364,60.065,60.467,59.002,58.807,59.6,59.74,59.717,60.007,60.452,59.634,59.768,59.428,59.656,59.602,60.163
2092,N,False,42.455,43.194,44.224,44.532,43.466,43.917,44.792,45.097,46.447,45.019,45.308,44.793,43.531,42.306,41.629,41.349,42.15,41.777,40.574,40.011
2093,N,False,65.197,66.017,65.218,64.706,64.435,66.115,66.226,66.95,67.792,64.879,64.298,65.422,63.639,62.95,65.608,62.509,62.876,63.67,61.018,63.821
2094,N,False,57.268,57.532,57.053,56.734,56.705,58.332,58.883,58.841,59.907,60.663,60.992,61.936,63.4,63.859,63.976,64.033,62.443,61.119,58.943,58.891
2095,N,False,68.976,69.181,68.797,68.181,70.318,71.062,70.335,70.028,70.465,68.897,69.36,69.984,70.054,71.429,72.513,70.765,69.723,70.23,70.047,70.033
2096,N,False,66.096,64.983,64.645,65.773,66.056,65.201,68.416,69.907,72.653,74.939,75.04,77.352,80.721,80.103,79.172,81.773,83.243,81.067,82.725,82.056
2097,N,False,56.985,55.904,57.892,55.43,57.299,58.546,58.984,57.625,61.877,61.785,67.585,64.888,65.188,65.717,66.514,63.687,69.045,72.669,69.703,67.572
2098,N,False,66.598,66.423,65.542,64.692,63.567,63.478,64.19,63.868,63.925,63.107,63.116,62.979,62.921,62.323,62.732,62.605,62.839,63.735,64.516,63.935
2099,N,False,76.211,72.85,71.84,69.171,69.842,69.309,68.502,71.717,69.733,68.008,70.607,70.676,71.097,68.181,69.708,68.233,70.089,72.98,73.66,71.545
2100,N,False,79.735,83.668,85.891,86.428,87.757,87.255,86.722,84.008,82.43,83.835,83.483,78.12,78.096,74.905,76.124,73.968,74.743,71.738,72.505,76.034
2101,N,False,52.405,52.298,52.556,51.455,51.67,51.21,51.155,51.199,51.474,51.754,51.505,51.768,51.394,51.231,51.658,51.743,51.5,50.99,50.8,50.541
2102,N,False,102.13,102.66,104.52,103.86,105.41,103.5,107.11,104.53,105.59,102.14,104.67,102.86,104.8,101.94,102.09,100.05,99.151,99.466,97.836,95.066
2103,N,False,51.517,51.079,52.757,51.438,51.645,56.922,55.567,55.019,56.124,57.479,56.948,57.131,55.344,54.723,55.82,57.688,58.211,55.526,54.231,59.056
2104,N,False,42.641,42.845,43.115,43.58,43.542,43.63,43.577,43.829,43.878,43.821,43.617,43.386,43.829,43.755,43.838,43.818,43.799,43.646,43.643,43.498
2105,N,False,51.695,51.036,51.823,51.445,51.022,50.905,50.662,51.985,52.944,52.145,52.77,52.185,52.464,52.298,51.265,50.394,50.646,49.857,50.134,49.529
2106,N,False,55.422,55.447,56.336,56.237,55.336,55.434,55.783,56.921,56.509,56.306,56.028,56.134,56.149,56.049,56.373,56.373,55.896,55.613,56.127,55.941
