,FLARE_TYPE,COINCIDENCE,MEANPOT_1,MEANPOT_2,MEANPOT_3,MEANPOT_4,MEANPOT_5,MEANPOT_6,MEANPOT_7,MEANPOT_8,MEANPOT_9,MEANPOT_10,MEANPOT_11,MEANPOT_12,MEANPOT_13,MEANPOT_14,MEANPOT_15,MEANPOT_16,MEANPOT_17,MEANPOT_18,MEANPOT_19,MEANPOT_20
657,C,False,12048.0,12010.0,12034.0,12093.0,12134.0,12060.0,12058.0,11971.0,12016.0,12095.0,12147.0,12165.0,12035.0,11942.0,11800.0,11693.0,11563.0,11374.0,11288.0,11282.0
658,C,False,3593.9,3647.6,3690.5,3487.0,2923.4,3462.6,2969.8,3124.0,3030.9,3201.6,3403.9,3626.5,3374.2,3611.4,4002.8,3758.9,4105.6,4074.6,4393.0,4283.1
659,C,False,11774.0,11623.0,11563.0,11469.0,11440.0,11347.0,11165.0,11165.0,11015.0,10998.0,10941.0,10911.0,10931.0,11042.0,10976.0,11086.0,11125.0,11227.0,11312.0,11375.0
660,C,False,7197.8,7208.4,5863.4,7098.3,7062.2,6997.8,6979.7,6809.4,6804.7,6709.3,6607.7,6514.4,6469.9,6499.8,6405.1,6433.1,6408.6,6434.7,6559.1,6772.5
661,C,False,5097.3,5142.6,4983.5,4956.5,4914.2,4968.8,5045.7,4926.1,4879.4,4923.9,5093.9,4870.1,4710.2,4732.9,4942.3,4919.2,4820.2,4747.8,4653.5,4579.5
662,C,False,5213.2,5106.4,5101.6,5112.5,5102.6,5130.0,5285.2,5390.1,5521.1,5690.2,5809.8,5958.9,5997.9,5988.7,5992.7,5914.4,5895.0,5786.2,5646.0,5658.0
663,C,False,1873.3,1845.2,1889.1,1857.3,1875.0,1830.3,1885.1,1901.3,1895.4,1930.9,1963.8,1909.3,1944.6,1943.5,1932.7,1821.4,1779.9,1744.9,1739.9,1695.6
664,C,True,2774.6,2770.7,2744.9,2688.9,2647.8,2641.6,2597.3,2507.4,2501.7,2493.1,2481.1,2457.9,2455.8,2408.1,2479.8,2499.0,2555.3,2609.2,2640.4,2691.7
665,C,False,2724.1,2469.0,2486.0,3031.9,2752.9,2531.6,2780.6,2818.8,2519.7,2687.3,2491.2,2652.0,2809.7,2527.8,2502.8,2563.6,2527.1,2943.6,2829.2,2733.7
666,C,False,9577.4,9791.1,9879.4,9976.1,10067.0,10091.0,10121.0,10041.0,9858.5,9799.6,9741.1,9751.6,9720.0,9594.9,9561.8,9506.4,9526.4,9452.0,9394.7,9423.0
667,C,False,13783.0,13684.0,13643.0,13536.0,13564.0,13484.0,13503.0,13434.0,13304.0,13290.0,13201.0,13114.0,12865.0,12748.0,12610.0,12490.0,12553.0,12477.0,12390.0,12408.0
668,C,False,3749.3,3757.6,3766.5,3776.3,3792.1,3785.5,3803.9,3831.4,3869.9,3905.2,3891.0,3924.9,3949.8,3970.4,4004.6,4008.9,4018.9,4022.8,4015.2,4057.1
669,C,False,9373.0,9634.9,9936.5,10086.0,10339.0,10437.0,10648.0,10730.0,10529.0,10584.0,10458.0,10340.0,10349.0,10321.0,10205.0,10108.0,10127.0,10155.0,10026.0,9917.5
670,C,False,6076.0,6045.1,6069.1,6144.2,6112.2,6085.3,5998.7,5942.6,5892.2,5783.9,5671.1,5514.0,5415.9,5269.3,5146.9,5072.7,4936.0,4924.8,4869.1,4868.0
671,C,False,3879.6,3823.7,3840.6,3850.3,3917.2,4003.1,3987.7,4101.6,4156.0,4203.6,4222.1,4235.4,4191.2,4215.3,4099.0,3970.3,4004.5,3848.0,3823.5,3781.1
672,C,True,2274.2,2247.0,2215.1,2211.4,2119.8,2097.2,2022.3,1977.0,2161.0,2223.8,2323.6,2382.9,2273.8,2175.0,2172.2,2448.9,2465.8,2514.3,2457.0,2390.9
673,C,False,7171.3,7110.0,7471.2,7480.2,7361.6,7214.1,7355.4,7124.4,7146.2,7871.3,7187.6,7334.2,7508.4,7328.5,7486.9,7129.8,7662.4,7061.7,7233.3,7208.1
674,C,False,3342.0,3316.3,3151.0,2995.6,2960.6,2875.8,2810.7,2774.2,2850.6,3008.9,3158.6,3459.1,3762.6,3568.3,4004.6,4296.6,4174.8,4883.6,4649.7,4305.9
675,C,False,2211.6,2161.9,2191.1,2219.8,2196.1,2178.3,2174.4,2114.5,2130.3,2092.0,2010.6,1993.2,1989.7,1968.7,1953.6,1941.6,1956.6,1957.9,1931.3,1896.4
676,C,False,6018.7,5946.3,5736.5,5730.3,5709.8,5537.0,5898.6,5925.8,5627.0,5764.4,5686.7,5506.5,5540.8,5506.1,5639.5,5536.0,5599.6,5744.6,5611.7,5604.2
677,C,False,8662.8,8635.5,8578.6,8621.7,8589.5,8632.4,8652.2,8707.3,8743.4,8779.9,8985.6,8932.3,9226.2,8852.5,8998.9,8964.3,9186.8,9101.1,9567.8,9486.8
678,C,False,1685.1,1686.9,1645.4,1621.1,1651.6,1673.1,1623.0,1644.2,1649.1,1659.6,1623.2,1637.2,1698.2,1698.8,1575.7,1632.3,1631.9,1591.9,1615.7,1554.7
679,C,True,5533.9,5693.8,5467.5,5627.6,5932.7,5365.2,5674.0,5095.7,5358.5,5164.9,5306.7,5318.8,6189.3,5602.5,5582.5,5577.0,5321.7,5906.3,6237.0,6324.6
680,C,False,5842.7,5724.0,5747.3,5816.2,5855.6,5992.5,6078.7,6276.0,6381.8,6465.4,6572.1,6653.4,6847.2,6908.7,6929.3,7045.5,7016.2,7158.8,7010.9,6993.3
681,C,False,3659.6,3616.0,3588.6,3591.2,3619.0,3606.8,3578.4,3614.9,3643.5,3643.1,3663.1,3663.3,3627.7,3672.9,3686.4,3687.1,3709.3,3705.8,3720.7,3774.5
682,C,False,4976.3,4916.3,4807.4,4712.8,4682.6,4601.2,4519.7,4421.8,4320.3,4265.7,4142.7,4167.2,4103.3,4169.8,4232.4,4167.1,4269.9,4380.4,4444.0,4476.1
683,C,False,3864.7,3768.1,3744.4,3897.8,3873.5,3867.4,3975.1,3921.1,3971.1,3821.4,3837.8,3868.5,3912.7,3789.5,3758.5,3813.7,3718.8,3636.6,3702.6,3644.3
684,C,False,6133.9,6125.8,6023.2,6073.5,5963.6,6047.3,5957.9,5994.5,6166.9,6149.7,6229.4,6312.2,6335.3,6459.8,6458.5,6501.8,6511.8,6612.0,6493.5,6563.2
685,C,False,5271.9,5297.9,5334.9,5305.1,5338.2,5376.1,5437.4,5426.2,5460.2,5378.2,5448.9,5483.8,5464.5,5514.8,5504.8,5488.4,5503.9,5478.2,5453.6,5453.0
686,C,False,8142.3,8108.2,7938.7,7893.7,7868.6,7860.1,7852.6,7767.0,7711.0,7730.9,7757.1,7731.3,7767.3,7680.8,7732.3,7659.6,7756.6,7800.1,7878.1,7932.2
687,C,False,12150.0,12315.0,12224.0,12188.0,12252.0,12203.0,12161.0,12109.0,12086.0,11935.0,11893.0,11828.0,11731.0,11662.0,11751.0,11748.0,11673.0,11759.0,11673.0,11716.0
688,C,False,1384.2,1348.7,1296.5,1236.6,1219.2,1193.3,1168.8,1173.1,1168.8,1161.5,1167.9,1210.3,1235.4,1319.3,1327.6,1338.1,1360.8,1371.4,1399.3,1427.1
689,C,False,5921.2,5985.8,6046.1,6040.0,6107.4,6263.5,6335.7,6422.7,6440.3,6465.2,6458.0,6317.1,6297.7,6129.9,6093.6,6095.2,5972.1,5952.9,5904.7,5910.7
690,C,False,8322.2,8283.3,8225.7,8264.8,8144.4,8152.8,7981.6,8041.2,8110.1,7918.3,7879.8,7964.9,7817.1,7907.2,7806.4,7769.5,7687.8,7814.4,7779.1,7892.0
691,C,False,10586.0,10458.0,10202.0,10014.0,10015.0,9591.8,9641.4,9052.6,9297.4,9025.9,8847.0,8866.0,8934.5,9268.9,9240.6,9380.4,9152.3,9062.7,9326.8,9103.4
692,C,False,4314.6,4273.0,4255.5,4276.5,4228.3,4056.0,3981.9,3965.1,3922.3,3926.0,4035.7,3888.7,3779.6,3888.0,3802.1,3764.4,3825.1,3777.5,3882.1,3806.3
693,C,False,1942.8,1883.6,1850.5,1836.2,1824.4,1799.0,1796.5,1801.4,1800.8,1817.2,1871.0,1898.5,1941.0,1992.1,2060.5,2101.6,2142.2,2195.9,2241.0,2266.2
694,C,False,6562.3,6347.3,6278.6,6060.5,5972.2,5947.1,5869.1,5928.0,5823.3,5919.4,5933.8,6008.9,5961.2,6016.9,6051.7,6032.3,6127.3,6094.6,6309.7,6435.3
695,C,False,9999.7,10098.0,10108.0,10165.0,10257.0,10219.0,10174.0,10162.0,10125.0,10122.0,10084.0,10029.0,10064.0,9884.2,9884.7,9852.5,9801.1,9799.3,9734.0,9730.6
696,C,False,8266.3,8184.1,8384.0,8427.1,8316.4,8405.1,8307.4,8472.6,8347.9,8433.5,8326.6,8298.0,8381.2,8161.1,8161.8,8254.0,8322.9,8347.5,8461.7,8601.8
