,FLARE_TYPE,COINCIDENCE,TOTUSJZ_1,TOTUSJZ_2,TOTUSJZ_3,TOTUSJZ_4,TOTUSJZ_5,TOTUSJZ_6,TOTUSJZ_7,TOTUSJZ_8,TOTUSJZ_9,TOTUSJZ_10,TOTUSJZ_11,TOTUSJZ_12,TOTUSJZ_13,TOTUSJZ_14,TOTUSJZ_15,TOTUSJZ_16,TOTUSJZ_17,TOTUSJZ_18,TOTUSJZ_19,TOTUSJZ_20
1708,B,False,3868500000000.0,3977700000000.0,3881800000000.0,3825600000000.0,3886700000000.0,3928500000000.0,3927900000000.0,3953000000000.0,3948700000000.0,4029700000000.0,3960400000000.0,4074100000000.0,3674900000000.0,3539600000000.0,3561100000000.0,3563900000000.0,3386300000000.0,3204500000000.0,3197800000000.0,3268700000000.0
1709,B,False,8110300000000.0,7957400000000.0,7972800000000.0,7887300000000.0,8229900000000.0,7949900000000.0,8147100000000.0,8061800000000.0,8128800000000.0,8381300000000.0,8184600000000.0,8350700000000.0,8439400000000.0,8461500000000.0,8303800000000.0,8374200000000.0,8481600000000.0,8268000000000.0,8254800000000.0,8191300000000.0
1710,B,False,7978200000000.0,8204500000000.0,8357900000000.0,8334800000000.0,8298200000000.0,8621700000000.0,8395700000000.0,8184200000000.0,8285400000000.0,8346900000000.0,8235600000000.0,7915000000000.0,8095400000000.0,7930100000000.0,7743400000000.0,8119000000000.0,8078500000000.0,7958500000000.0,7928800000000.0,8055600000000.0
1711,B,False,17394000000000.0,17283000000000.0,17193000000000.0,16903000000000.0,17051000000000.0,17095000000000.0,17277000000000.0,17302000000000.0,17688000000000.0,17393000000000.0,17090000000000.0,16902000000000.0,16229000000000.0,16359000000000.0,16191000000000.0,16424000000000.0,16018000000000.0,16013000000000.0,15872000000000.0,15606000000000.0
1712,B,False,4217200000000.0,4232600000000.0,4237600000000.0,4558400000000.0,4348600000000.0,4147700000000.0,4057800000000.0,4251600000000.0,4438100000000.0,4386900000000.0,4281400000000.0,4245200000000.0,4115200000000.0,4167300000000.0,4225100000000.0,4250400000000.0,4294800000000.0,4595300000000.0,4823000000000.0,4919300000000.0
1713,B,False,10976000000000.0,10929000000000.0,10302000000000.0,10844000000000.0,10929000000000.0,10649000000000.0,10431000000000.0,10907000000000.0,11031000000000.0,11120000000000.0,11279000000000.0,11590000000000.0,11389000000000.0,11574000000000.0,11751000000000.0,11854000000000.0,12148000000000.0,12271000000000.0,12496000000000.0,12472000000000.0
1714,B,False,8915800000000.0,9217600000000.0,9073200000000.0,9318500000000.0,9666500000000.0,9550700000000.0,10089000000000.0,10314000000000.0,10439000000000.0,10655000000000.0,10542000000000.0,10981000000000.0,10487000000000.0,10111000000000.0,9836600000000.0,9479600000000.0,9083700000000.0,9198500000000.0,9340700000000.0,9629400000000.0
1715,B,False,7965900000000.0,7891600000000.0,7837000000000.0,7978800000000.0,7965000000000.0,8552400000000.0,8765500000000.0,8631900000000.0,8749500000000.0,9072500000000.0,8613100000000.0,8456300000000.0,7948600000000.0,7859700000000.0,7379500000000.0,7211400000000.0,7224100000000.0,7250300000000.0,7013900000000.0,7138100000000.0
1716,B,False,11587000000000.0,11797000000000.0,11533000000000.0,11477000000000.0,11457000000000.0,11754000000000.0,11621000000000.0,11382000000000.0,11637000000000.0,11586000000000.0,11270000000000.0,10859000000000.0,11142000000000.0,11033000000000.0,10862000000000.0,10877000000000.0,10891000000000.0,11046000000000.0,10889000000000.0,11157000000000.0
1717,B,False,10278000000000.0,10340000000000.0,9898500000000.0,10034000000000.0,9678800000000.0,9945900000000.0,9657300000000.0,9866900000000.0,9661200000000.0,9342800000000.0,9499900000000.0,9421200000000.0,9259300000000.0,9225600000000.0,9081200000000.0,9344800000000.0,9168900000000.0,8939700000000.0,9061900000000.0,8862600000000.0
