,FLARE_TYPE,COINCIDENCE,TOTPOT_1,TOTPOT_2,TOTPOT_3,TOTPOT_4,TOTPOT_5,TOTPOT_6,TOTPOT_7,TOTPOT_8,TOTPOT_9,TOTPOT_10,TOTPOT_11,TOTPOT_12,TOTPOT_13,TOTPOT_14,TOTPOT_15,TOTPOT_16,TOTPOT_17,TOTPOT_18,TOTPOT_19,TOTPOT_20
220,M,True,1.8877e+23,1.9439e+23,1.9081e+23,1.9162e+23,1.9245e+23,1.9378e+23,1.9739e+23,1.8943e+23,1.948e+23,1.9703e+23,1.9365e+23,1.9799e+23,1.9748e+23,1.9069e+23,1.9357e+23,1.9246e+23,1.9236e+23,1.8994e+23,1.908e+23,1.9274e+23
221,M,False,2.5741e+23,2.619e+23,2.6283e+23,2.6365e+23,2.691e+23,2.6883e+23,2.7123e+23,2.7408e+23,2.7732e+23,2.8444e+23,2.7672e+23,2.7264e+23,2.7664e+23,2.6642e+23,2.7462e+23,2.7375e+23,2.7578e+23,2.7186e+23,2.6862e+23,2.7401e+23
222,M,False,2.5691e+23,2.5874e+23,2.5764e+23,2.5046e+23,2.5116e+23,2.4899e+23,2.5028e+23,2.4972e+23,2.4839e+23,2.4817e+23,2.5293e+23,2.5389e+23,2.5429e+23,2.5263e+23,2.5249e+23,2.5368e+23,2.5379e+23,2.4775e+23,2.4943e+23,2.4995e+23
223,M,True,1.6306e+23,1.6217e+23,1.6429e+23,1.6612e+23,1.707e+23,1.7241e+23,1.7235e+23,1.7703e+23,1.8424e+23,1.8612e+23,1.8884e+23,1.89e+23,1.9341e+23,1.9588e+23,1.9699e+23,1.9969e+23,2.0276e+23,2.0307e+23,2.0103e+23,2.0269e+23
224,M,False,2.543e+23,2.5831e+23,2.607e+23,2.597e+23,2.6057e+23,2.6525e+23,2.6599e+23,2.666e+23,2.6852e+23,2.6973e+23,2.6998e+23,2.7024e+23,2.7005e+23,2.7459e+23,2.7372e+23,2.7146e+23,2.688e+23,2.6983e+23,2.6776e+23,2.7145e+23
225,M,False,2.8551e+23,2.8613e+23,2.8696e+23,2.8681e+23,2.864e+23,2.8738e+23,2.9215e+23,2.9264e+23,2.9084e+23,2.8732e+23,2.859e+23,2.834e+23,2.8676e+23,2.8361e+23,2.8555e+23,2.8853e+23,2.8769e+23,2.916e+23,2.9469e+23,2.9331e+23
226,M,False,1.885e+23,1.8822e+23,1.8674e+23,1.8738e+23,1.8718e+23,1.8546e+23,1.8279e+23,1.8229e+23,1.8023e+23,1.7699e+23,1.7322e+23,1.7173e+23,1.6927e+23,1.6972e+23,1.7162e+23,1.6595e+23,1.7006e+23,1.6454e+23,1.6472e+23,1.6416e+23
227,M,False,4.6253e+23,4.6966e+23,4.6333e+23,4.6376e+23,4.6934e+23,4.7886e+23,4.8077e+23,4.831e+23,4.7867e+23,4.8624e+23,4.8485e+23,4.8886e+23,4.868e+23,4.8551e+23,4.7969e+23,4.8708e+23,4.866e+23,4.8411e+23,4.8625e+23,4.822e+23
228,M,False,5.1545e+23,5.1405e+23,5.1241e+23,5.1556e+23,5.127e+23,5.0903e+23,5.0914e+23,5.1045e+23,5.1322e+23,5.0355e+23,5.0606e+23,5.0783e+23,5.0929e+23,5.0868e+23,5.1149e+23,5.0678e+23,5.0919e+23,5.078e+23,5.1732e+23,5.1345e+23
229,M,True,1.2614e+24,1.2644e+24,1.2682e+24,1.2681e+24,1.2711e+24,1.2746e+24,1.2752e+24,1.2758e+24,1.2658e+24,1.2672e+24,1.2603e+24,1.2611e+24,1.2473e+24,1.2491e+24,1.2389e+24,1.2392e+24,1.2367e+24,1.2312e+24,1.2302e+24,1.2383e+24
230,M,False,1.2421e+24,1.2446e+24,1.2389e+24,1.2434e+24,1.249e+24,1.2606e+24,1.2635e+24,1.2701e+24,1.2775e+24,1.2801e+24,1.2895e+24,1.2947e+24,1.3077e+24,1.3116e+24,1.3159e+24,1.3119e+24,1.3132e+24,1.3167e+24,1.31e+24,1.3075e+24
231,M,True,2.8877e+23,2.8692e+23,2.8446e+23,2.8457e+23,2.864e+23,2.8389e+23,2.818e+23,2.7966e+23,2.7812e+23,2.7908e+23,2.7799e+23,2.772e+23,2.7719e+23,2.7524e+23,2.7261e+23,2.7126e+23,2.7101e+23,2.6661e+23,2.646e+23,2.622e+23
232,M,False,2.3845e+23,2.3761e+23,2.3579e+23,2.3595e+23,2.3576e+23,2.3473e+23,2.3527e+23,2.3677e+23,2.336e+23,2.3275e+23,2.302e+23,2.308e+23,2.3261e+23,2.327e+23,2.3382e+23,2.3579e+23,2.3668e+23,2.3646e+23,2.3481e+23,2.3446e+23
233,M,False,6.8207e+21,7.5154e+21,9.4429e+21,1.0591e+22,1.0535e+22,1.2904e+22,1.4317e+22,1.6658e+22,1.7877e+22,1.8424e+22,1.7991e+22,1.9152e+22,1.9609e+22,1.9152e+22,2.0887e+22,2.2556e+22,2.4658e+22,2.6509e+22,2.7441e+22,3.0235e+22
234,M,False,2.7279e+23,2.7228e+23,2.7437e+23,2.7537e+23,2.7401e+23,2.7344e+23,2.7103e+23,2.6913e+23,2.6905e+23,2.697e+23,2.7164e+23,2.73e+23,2.7456e+23,2.7512e+23,2.74e+23,2.7251e+23,2.7412e+23,2.7459e+23,2.7568e+23,2.7613e+23
235,M,False,4.6559e+23,4.654e+23,4.6464e+23,4.631e+23,4.655e+23,4.6469e+23,4.6227e+23,4.6433e+23,4.6218e+23,4.5915e+23,4.5857e+23,4.604e+23,4.6263e+23,4.622e+23,4.6201e+23,4.616e+23,4.6179e+23,4.643e+23,4.6514e+23,4.6755e+23
236,M,False,6.6354e+23,6.6656e+23,6.7055e+23,6.6994e+23,6.772e+23,6.8421e+23,6.8449e+23,6.8596e+23,6.9182e+23,6.921e+23,6.9332e+23,6.9808e+23,7.0014e+23,7.0331e+23,7.0957e+23,7.1198e+23,7.1383e+23,7.2322e+23,7.3418e+23,7.3788e+23
237,M,False,4.6969e+23,4.6955e+23,4.6892e+23,4.6632e+23,4.6782e+23,4.725e+23,4.6945e+23,4.6571e+23,4.657e+23,4.6462e+23,4.5912e+23,4.5787e+23,4.5652e+23,4.5665e+23,4.568e+23,4.5517e+23,4.5741e+23,4.5736e+23,4.5476e+23,4.5365e+23
238,M,False,2.6786e+23,2.6888e+23,2.7006e+23,2.7141e+23,2.7079e+23,2.6971e+23,2.703e+23,2.6996e+23,2.6825e+23,2.6544e+23,2.6432e+23,2.6513e+23,2.663e+23,2.6785e+23,2.6875e+23,2.6757e+23,2.6638e+23,2.6468e+23,2.6116e+23,2.621e+23
239,M,False,2.439e+23,2.3854e+23,2.4181e+23,2.4048e+23,2.3969e+23,2.4018e+23,2.4523e+23,2.4254e+23,2.5061e+23,2.5608e+23,2.5423e+23,2.6363e+23,2.6528e+23,2.6958e+23,2.679e+23,2.5991e+23,2.6917e+23,2.6931e+23,2.579e+23,2.6613e+23
240,M,True,3.232e+23,3.2458e+23,3.2236e+23,3.2917e+23,3.2797e+23,3.2628e+23,3.2967e+23,3.236e+23,3.2734e+23,3.2389e+23,3.1833e+23,3.2395e+23,3.2151e+23,3.3163e+23,3.2195e+23,3.2089e+23,3.2739e+23,3.3033e+23,3.2703e+23,3.2923e+23
241,M,False,3.0509e+23,3.0642e+23,3.071e+23,3.0888e+23,3.0967e+23,3.0471e+23,3.0391e+23,3.0095e+23,2.9831e+23,2.9882e+23,2.9804e+23,2.9454e+23,2.9408e+23,2.9432e+23,2.9413e+23,2.9146e+23,2.9247e+23,2.9259e+23,2.9342e+23,2.9221e+23
242,M,False,1.6337e+23,1.617e+23,1.6229e+23,1.6324e+23,1.6236e+23,1.6273e+23,1.6277e+23,1.6238e+23,1.6171e+23,1.6175e+23,1.6162e+23,1.6116e+23,1.6053e+23,1.5962e+23,1.5925e+23,1.5841e+23,1.5761e+23,1.5613e+23,1.5508e+23,1.5259e+23
243,M,False,2.7857e+22,2.888e+22,2.9121e+22,2.9615e+22,3.0444e+22,3.0965e+22,3.2224e+22,3.2325e+22,3.3003e+22,3.2815e+22,3.3201e+22,3.3093e+22,3.3536e+22,3.3729e+22,3.412e+22,3.3269e+22,3.3117e+22,3.2924e+22,3.1936e+22,3.2324e+22
244,M,False,5.1398e+23,5.1467e+23,5.0935e+23,5.0681e+23,5.0452e+23,5.0104e+23,4.9946e+23,4.9912e+23,4.9663e+23,4.8987e+23,4.8774e+23,4.8956e+23,4.8979e+23,4.9109e+23,4.9263e+23,4.9555e+23,4.949e+23,4.9677e+23,4.9678e+23,4.9809e+23
245,M,False,3e+23,3.0593e+23,3.0648e+23,3.0148e+23,3.0196e+23,3.0165e+23,3.0319e+23,3.0404e+23,3.0003e+23,3.0231e+23,2.9801e+23,2.9749e+23,2.9235e+23,2.9433e+23,2.9332e+23,2.9579e+23,2.9051e+23,2.9374e+23,2.8896e+23,2.9265e+23
246,M,False,1.9714e+23,1.9659e+23,2.0127e+23,2.0753e+23,2.1093e+23,2.148e+23,2.1624e+23,2.108e+23,2.1619e+23,2.2806e+23,2.2318e+23,2.2471e+23,2.2653e+23,2.2088e+23,2.2265e+23,2.2534e+23,2.3754e+23,2.334e+23,2.3181e+23,2.3274e+23
247,M,False,7.4571e+22,7.3853e+22,7.327e+22,7.4652e+22,7.5646e+22,7.649e+22,8.1194e+22,7.9883e+22,7.8994e+22,8.0263e+22,8.2739e+22,8.5901e+22,8.9272e+22,8.5732e+22,8.579e+22,8.6911e+22,8.589e+22,8.8826e+22,8.7412e+22,8.7139e+22
248,M,False,5.6308e+23,5.7502e+23,5.7524e+23,5.724e+23,6.0325e+23,5.7891e+23,5.9738e+23,5.8957e+23,5.8221e+23,5.8222e+23,5.8089e+23,5.8281e+23,5.9397e+23,5.9424e+23,5.9937e+23,6.309e+23,5.9041e+23,5.9126e+23,5.8357e+23,5.9181e+23
249,M,False,1.5555e+23,1.5567e+23,1.5403e+23,1.545e+23,1.5312e+23,1.5588e+23,1.564e+23,1.5627e+23,1.5506e+23,1.5801e+23,1.5674e+23,1.5939e+23,1.584e+23,1.6089e+23,1.6289e+23,1.6377e+23,1.6261e+23,1.6582e+23,1.6447e+23,1.6781e+23
250,M,True,4.4939e+23,4.4904e+23,4.4861e+23,4.4628e+23,4.4558e+23,4.4614e+23,4.4648e+23,4.4871e+23,4.4709e+23,4.491e+23,4.5215e+23,4.5392e+23,4.5155e+23,4.5026e+23,4.4906e+23,4.5029e+23,4.5265e+23,4.5527e+23,4.5467e+23,4.5301e+23
251,M,False,4.4628e+23,4.4558e+23,4.4614e+23,4.4648e+23,4.4871e+23,4.4709e+23,4.491e+23,4.5215e+23,4.5392e+23,4.5155e+23,4.5026e+23,4.4906e+23,4.5029e+23,4.5265e+23,4.5527e+23,4.5467e+23,4.5301e+23,4.5115e+23,4.5182e+23,4.5092e+23
252,M,False,6.637e+22,6.5476e+22,6.6018e+22,6.5181e+22,6.8792e+22,6.8434e+22,7.2321e+22,7.6782e+22,7.3034e+22,7.6148e+22,8.2281e+22,8.3207e+22,9.3457e+22,9.9128e+22,1.0552e+23,1.1689e+23,1.3223e+23,1.4434e+23,1.5684e+23,1.7014e+23
253,M,False,3.168e+23,3.1851e+23,3.1688e+23,3.1798e+23,3.1834e+23,3.2089e+23,3.2155e+23,3.2267e+23,3.2413e+23,3.225e+23,3.231e+23,3.2437e+23,3.2593e+23,3.2773e+23,3.3254e+23,3.2954e+23,3.3114e+23,3.3416e+23,3.3382e+23,3.322e+23
254,M,True,2.1642e+23,2.1607e+23,2.1698e+23,2.1577e+23,2.1329e+23,2.1434e+23,2.1374e+23,2.1018e+23,2.0714e+23,2.0623e+23,2.0509e+23,2.0725e+23,2.0669e+23,2.0577e+23,2.0592e+23,2.0557e+23,2.0509e+23,2.0624e+23,2.0616e+23,2.0707e+23
255,M,False,2.2677e+23,2.2496e+23,2.2556e+23,2.2666e+23,2.2398e+23,2.226e+23,2.2228e+23,2.2179e+23,2.2098e+23,2.2203e+23,2.2412e+23,2.2457e+23,2.2549e+23,2.274e+23,2.2671e+23,2.2586e+23,2.2617e+23,2.253e+23,2.241e+23,2.2261e+23
256,M,True,2.3846e+23,2.4078e+23,2.4626e+23,2.468e+23,2.4877e+23,2.5379e+23,2.5924e+23,2.622e+23,2.6264e+23,2.6652e+23,2.6746e+23,2.7226e+23,2.8103e+23,2.8283e+23,2.8212e+23,2.8105e+23,2.8015e+23,2.8077e+23,2.7953e+23,2.7978e+23
257,M,False,4.0685e+23,4.1354e+23,4.1624e+23,4.2229e+23,4.2284e+23,4.2757e+23,4.2592e+23,4.2795e+23,4.3179e+23,4.333e+23,4.3537e+23,4.3797e+23,4.4004e+23,4.441e+23,4.4524e+23,4.4651e+23,4.5225e+23,4.542e+23,4.5458e+23,4.5922e+23
258,M,True,4.8224e+23,4.804e+23,4.8239e+23,4.8122e+23,4.8046e+23,4.7661e+23,4.7316e+23,4.7072e+23,4.7071e+23,4.7268e+23,4.7323e+23,4.7295e+23,4.7136e+23,4.7287e+23,4.8162e+23,4.8238e+23,4.8043e+23,4.8482e+23,4.8775e+23,4.911e+23
259,M,True,7.6583e+23,7.7373e+23,7.8149e+23,7.8529e+23,7.9479e+23,7.998e+23,8.085e+23,8.1596e+23,8.2558e+23,8.3364e+23,8.4123e+23,8.4855e+23,8.6254e+23,8.7081e+23,8.7999e+23,8.9018e+23,8.9927e+23,9.1067e+23,9.1723e+23,9.2546e+23
260,M,False,8.9018e+23,8.9927e+23,9.1067e+23,9.1723e+23,9.2546e+23,9.4402e+23,9.5425e+23,9.5804e+23,9.6321e+23,9.6681e+23,9.6795e+23,9.7021e+23,9.7182e+23,9.7732e+23,9.8353e+23,9.8123e+23,9.802e+23,9.8703e+23,9.8944e+23,9.999e+23
261,M,False,9.1067e+23,9.1723e+23,9.2546e+23,9.4402e+23,9.5425e+23,9.5804e+23,9.6321e+23,9.6681e+23,9.6795e+23,9.7021e+23,9.7182e+23,9.7732e+23,9.8353e+23,9.8123e+23,9.802e+23,9.8703e+23,9.8944e+23,9.999e+23,1.0029e+24,1.0116e+24
262,M,False,8.3352e+23,8.3266e+23,8.336e+23,8.3171e+23,8.33e+23,8.388e+23,8.3708e+23,8.3996e+23,8.3467e+23,8.3249e+23,8.3573e+23,8.3822e+23,8.3844e+23,8.4216e+23,8.3881e+23,8.3891e+23,8.3653e+23,8.3477e+23,8.3188e+23,8.2782e+23
263,M,False,1.1004e+24,1.1026e+24,1.1032e+24,1.1069e+24,1.1124e+24,1.1107e+24,1.1145e+24,1.1191e+24,1.1227e+24,1.1209e+24,1.1257e+24,1.1224e+24,1.1221e+24,1.1214e+24,1.1206e+24,1.1215e+24,1.1131e+24,1.1202e+24,1.1195e+24,1.1102e+24
264,M,False,1.1069e+24,1.1124e+24,1.1107e+24,1.1145e+24,1.1191e+24,1.1227e+24,1.1209e+24,1.1257e+24,1.1224e+24,1.1221e+24,1.1214e+24,1.1206e+24,1.1215e+24,1.1131e+24,1.1202e+24,1.1195e+24,1.1102e+24,1.1076e+24,1.1007e+24,1.098e+24
265,M,True,0.0,0.0,0.0,0.0,0.0,2.2223e+18,2.8243e+18,9.825e+19,3.7217e+19,4.3318e+20,9.1503e+20,1.533e+21,2.74e+21,3.7372e+21,5.6909e+21,9.5947e+21,1.0947e+22,1.4323e+22,2.0668e+22,2.599e+22
266,M,True,4.3231e+23,4.2103e+23,4.2341e+23,4.2809e+23,4.3082e+23,4.3283e+23,4.261e+23,4.3988e+23,4.4676e+23,4.42e+23,4.4887e+23,4.4639e+23,4.5288e+23,4.4117e+23,4.4784e+23,4.5588e+23,4.6468e+23,4.5062e+23,4.6115e+23,4.5657e+23
267,M,False,4.6068e+23,4.818e+23,4.6636e+23,4.6037e+23,4.709e+23,4.5032e+23,4.7549e+23,4.5805e+23,4.2528e+23,4.5992e+23,4.7362e+23,4.5453e+23,4.2917e+23,4.5318e+23,4.4217e+23,4.4465e+23,4.4779e+23,4.3489e+23,4.5662e+23,4.4805e+23
268,M,False,4.4779e+23,4.3489e+23,4.5662e+23,4.4805e+23,4.4128e+23,4.5164e+23,4.5073e+23,4.6454e+23,4.5088e+23,4.4467e+23,4.4219e+23,4.6148e+23,4.5179e+23,4.3934e+23,4.3847e+23,4.6286e+23,4.4913e+23,4.5178e+23,4.5541e+23,4.5556e+23
269,M,False,4.5088e+23,4.4467e+23,4.4219e+23,4.6148e+23,4.5179e+23,4.3934e+23,4.3847e+23,4.6286e+23,4.4913e+23,4.5178e+23,4.5541e+23,4.5556e+23,4.6324e+23,4.6433e+23,4.6695e+23,4.6654e+23,4.6801e+23,4.6367e+23,4.6359e+23,4.6838e+23
270,M,False,4.991e+23,4.9917e+23,5.1653e+23,5.1293e+23,5.0126e+23,4.8646e+23,4.6769e+23,4.8116e+23,4.989e+23,4.7592e+23,5.099e+23,4.9252e+23,4.7672e+23,5.0311e+23,4.665e+23,5.0653e+23,5.1984e+23,4.9622e+23,5.1425e+23,5.3978e+23
271,M,True,9.6977e+23,9.5888e+23,9.6353e+23,9.6525e+23,9.6675e+23,9.7715e+23,9.7974e+23,9.8011e+23,9.8474e+23,9.8475e+23,9.8346e+23,9.8483e+23,9.8596e+23,9.9535e+23,9.8837e+23,9.9936e+23,9.9349e+23,9.9753e+23,9.924e+23,9.9736e+23
272,M,False,1.0453e+24,1.0439e+24,1.0604e+24,1.0511e+24,1.0568e+24,1.0571e+24,1.062e+24,1.0654e+24,1.067e+24,1.0804e+24,1.0722e+24,1.0779e+24,1.085e+24,1.0797e+24,1.0759e+24,1.0739e+24,1.0784e+24,1.0798e+24,1.0802e+24,1.064e+24
273,M,False,6.5888e+23,6.5585e+23,6.5726e+23,6.5366e+23,6.5153e+23,6.5337e+23,6.5034e+23,6.467e+23,6.4469e+23,6.412e+23,6.4306e+23,6.4733e+23,6.4478e+23,6.38e+23,6.3612e+23,6.2697e+23,6.3123e+23,6.3041e+23,6.3078e+23,6.2774e+23
274,M,False,1.1212e+24,1.1407e+24,1.1482e+24,1.1472e+24,1.1365e+24,1.1538e+24,1.1646e+24,1.1569e+24,1.1584e+24,1.1586e+24,1.1752e+24,1.1755e+24,1.2071e+24,1.1982e+24,1.2037e+24,1.2233e+24,1.2084e+24,1.2074e+24,1.2161e+24,1.2042e+24
275,M,True,5.5718e+23,5.5601e+23,5.6118e+23,5.667e+23,5.7118e+23,5.6993e+23,5.7422e+23,5.7427e+23,5.7569e+23,5.7562e+23,5.7624e+23,5.7632e+23,5.8019e+23,5.73e+23,5.7105e+23,5.6833e+23,5.6979e+23,5.6249e+23,5.6541e+23,5.6673e+23
276,M,False,5.6118e+23,5.667e+23,5.7118e+23,5.6993e+23,5.7422e+23,5.7427e+23,5.7569e+23,5.7562e+23,5.7624e+23,5.7632e+23,5.8019e+23,5.73e+23,5.7105e+23,5.6833e+23,5.6979e+23,5.6249e+23,5.6541e+23,5.6673e+23,5.6999e+23,5.6886e+23
277,M,False,1.2198e+24,1.2292e+24,1.2353e+24,1.2341e+24,1.2405e+24,1.2267e+24,1.2469e+24,1.244e+24,1.2431e+24,1.2465e+24,1.2453e+24,1.2447e+24,1.2336e+24,1.2438e+24,1.2499e+24,1.2536e+24,1.2486e+24,1.2488e+24,1.2476e+24,1.2558e+24
278,M,False,7.5356e+23,7.5216e+23,7.5565e+23,7.5685e+23,7.5849e+23,7.5876e+23,7.6102e+23,7.5586e+23,7.5218e+23,7.5253e+23,7.5623e+23,7.5619e+23,7.5923e+23,7.5528e+23,7.5707e+23,7.595e+23,7.5837e+23,7.5916e+23,7.5795e+23,7.606e+23
279,M,True,6.3967e+23,6.3748e+23,6.353e+23,6.3404e+23,6.3368e+23,6.3176e+23,6.2977e+23,6.3011e+23,6.3068e+23,6.2687e+23,6.2664e+23,6.2463e+23,6.2293e+23,6.2147e+23,6.169e+23,6.1282e+23,6.1334e+23,6.0986e+23,6.0536e+23,6.019e+23
280,M,False,5.7825e+23,5.7682e+23,5.7498e+23,5.7135e+23,5.6874e+23,5.7038e+23,5.6656e+23,5.6428e+23,5.6215e+23,5.6032e+23,5.6073e+23,5.6051e+23,5.5593e+23,5.549e+23,5.547e+23,5.5246e+23,5.5191e+23,5.5351e+23,5.5324e+23,5.5251e+23
281,M,True,1.2483e+24,1.2391e+24,1.2366e+24,1.2207e+24,1.2313e+24,1.2169e+24,1.2048e+24,1.1989e+24,1.2182e+24,1.2182e+24,1.2088e+24,1.1977e+24,1.2052e+24,1.2089e+24,1.2086e+24,1.2138e+24,1.2171e+24,1.2156e+24,1.2232e+24,1.2379e+24
282,M,True,1.3473e+24,1.3415e+24,1.3519e+24,1.3603e+24,1.362e+24,1.351e+24,1.371e+24,1.3697e+24,1.3602e+24,1.3694e+24,1.3698e+24,1.3765e+24,1.3862e+24,1.3785e+24,1.4004e+24,1.4077e+24,1.4321e+24,1.4237e+24,1.4304e+24,1.4329e+24
283,M,True,1.3514e+24,1.3471e+24,1.3487e+24,1.3422e+24,1.3566e+24,1.347e+24,1.3607e+24,1.3677e+24,1.3743e+24,1.3652e+24,1.3618e+24,1.3754e+24,1.3793e+24,1.3913e+24,1.3745e+24,1.3652e+24,1.3726e+24,1.371e+24,1.3696e+24,1.3709e+24
284,M,True,1.3369e+24,1.3347e+24,1.324e+24,1.3189e+24,1.3127e+24,1.3207e+24,1.3171e+24,1.3188e+24,1.3214e+24,1.3188e+24,1.3185e+24,1.3177e+24,1.3144e+24,1.316e+24,1.3177e+24,1.3156e+24,1.3184e+24,1.3171e+24,1.3133e+24,1.314e+24
285,M,True,1.2475e+24,1.2474e+24,1.2445e+24,1.2443e+24,1.2462e+24,1.2483e+24,1.2488e+24,1.2441e+24,1.2469e+24,1.2418e+24,1.2381e+24,1.2398e+24,1.2392e+24,1.2403e+24,1.2374e+24,1.2284e+24,1.2253e+24,1.2265e+24,1.2302e+24,1.224e+24
286,M,False,1.2468e+23,1.2698e+23,1.2643e+23,1.2609e+23,1.2918e+23,1.2915e+23,1.2893e+23,1.2694e+23,1.2741e+23,1.3032e+23,1.3427e+23,1.3378e+23,1.3302e+23,1.3265e+23,1.2981e+23,1.3025e+23,1.3178e+23,1.3337e+23,1.3339e+23,1.3244e+23
287,M,False,1.5125e+23,1.5211e+23,1.6326e+23,1.6798e+23,1.6816e+23,1.7692e+23,1.7182e+23,1.7552e+23,1.8003e+23,1.8501e+23,2.1106e+23,1.9018e+23,1.9654e+23,2.0118e+23,2.1847e+23,2.1316e+23,2.2141e+23,2.3562e+23,2.3861e+23,2.3566e+23
288,M,False,9.3326e+23,9.4283e+23,9.5394e+23,9.5164e+23,9.5558e+23,9.6284e+23,9.5695e+23,9.5764e+23,9.5356e+23,9.5249e+23,9.4889e+23,9.4612e+23,9.3748e+23,9.3748e+23,9.3785e+23,9.3195e+23,9.2939e+23,9.3025e+23,9.3029e+23,9.2979e+23
289,M,False,1.2494e+24,1.2422e+24,1.2409e+24,1.231e+24,1.2346e+24,1.235e+24,1.2328e+24,1.2336e+24,1.2366e+24,1.2401e+24,1.2424e+24,1.2411e+24,1.2417e+24,1.2389e+24,1.2424e+24,1.246e+24,1.2486e+24,1.2512e+24,1.2574e+24,1.2605e+24
290,M,True,4.8758e+23,4.8298e+23,4.8038e+23,4.8428e+23,4.822e+23,4.8053e+23,4.7653e+23,4.7265e+23,4.7382e+23,4.7274e+23,4.7335e+23,4.7126e+23,4.715e+23,4.7345e+23,4.7558e+23,4.7712e+23,4.7383e+23,4.7071e+23,4.7121e+23,4.7033e+23
291,M,True,4.7712e+23,4.7383e+23,4.7071e+23,4.7121e+23,4.7033e+23,4.7063e+23,4.7096e+23,4.6949e+23,4.7189e+23,4.7096e+23,4.7113e+23,4.6918e+23,4.6278e+23,4.6425e+23,4.6098e+23,4.5912e+23,4.6112e+23,4.621e+23,4.6331e+23,4.6424e+23
292,M,False,5.5483e+23,5.5631e+23,5.5375e+23,5.5291e+23,5.4835e+23,5.4508e+23,5.4806e+23,5.4615e+23,5.4912e+23,5.4567e+23,5.4538e+23,5.4757e+23,5.5226e+23,5.5764e+23,5.6353e+23,5.566e+23,5.7077e+23,5.5795e+23,5.5978e+23,5.687e+23
293,M,False,3.2221e+23,3.0897e+23,2.6187e+23,2.852e+23,2.6204e+23,2.2724e+23,2.4363e+23,2.2948e+23,2.1086e+23,2.0697e+23,1.8976e+23,1.7888e+23,1.6201e+23,1.5797e+23,1.4634e+23,1.3357e+23,9.9296e+22,1.0895e+23,8.8472e+22,7.761e+22
294,M,True,1.4086e+24,1.4099e+24,1.4119e+24,1.4144e+24,1.411e+24,1.4147e+24,1.4084e+24,1.4153e+24,1.4153e+24,1.4186e+24,1.4194e+24,1.4192e+24,1.4239e+24,1.4188e+24,1.426e+24,1.4277e+24,1.4387e+24,1.4334e+24,1.4385e+24,1.4448e+24
295,M,False,1.3838e+24,1.3807e+24,1.3876e+24,1.3915e+24,1.3948e+24,1.3912e+24,1.3903e+24,1.3908e+24,1.5026e+24,1.5009e+24,1.4091e+24,1.4139e+24,1.4245e+24,1.4288e+24,1.4259e+24,1.436e+24,1.4413e+24,1.4826e+24,1.4479e+24,1.4458e+24
296,M,False,1.8017e+23,1.7894e+23,1.7624e+23,1.7591e+23,1.7471e+23,1.7153e+23,1.7141e+23,1.7167e+23,1.7017e+23,1.7152e+23,1.7051e+23,1.6898e+23,1.6634e+23,1.6832e+23,1.6655e+23,1.659e+23,1.6669e+23,1.6662e+23,1.654e+23,1.642e+23
297,M,True,3.0004e+23,2.9918e+23,3.1092e+23,3.0551e+23,3.0921e+23,3.0541e+23,3.0386e+23,3.0907e+23,3.0711e+23,3.0425e+23,3.055e+23,3.0793e+23,3.0285e+23,3.1174e+23,3.0963e+23,3.0551e+23,3.0672e+23,3.0387e+23,3.0933e+23,3.1128e+23
298,M,False,2.9798e+23,2.9855e+23,2.9593e+23,2.9504e+23,2.9556e+23,2.9114e+23,2.9272e+23,2.9473e+23,2.941e+23,2.9442e+23,2.9883e+23,2.9698e+23,2.9362e+23,2.9655e+23,2.9754e+23,2.9748e+23,3.0041e+23,3.0536e+23,3.0569e+23,3.0502e+23
299,M,True,6.5436e+23,6.5982e+23,6.6031e+23,6.4965e+23,6.5128e+23,6.4436e+23,6.4159e+23,6.3578e+23,6.3788e+23,6.3311e+23,6.365e+23,6.4472e+23,6.4832e+23,6.4356e+23,6.4831e+23,6.5726e+23,6.5528e+23,6.5414e+23,6.5677e+23,6.6078e+23
300,M,False,6.4965e+23,6.5128e+23,6.4436e+23,6.4159e+23,6.3578e+23,6.3788e+23,6.3311e+23,6.365e+23,6.4472e+23,6.4832e+23,6.4356e+23,6.4831e+23,6.5726e+23,6.5528e+23,6.5414e+23,6.5677e+23,6.6078e+23,6.6383e+23,6.6629e+23,6.658e+23
301,M,False,5.3061e+23,5.2957e+23,5.3134e+23,5.3476e+23,5.3965e+23,5.4312e+23,5.481e+23,5.5072e+23,5.5326e+23,5.5695e+23,5.607e+23,5.6267e+23,5.6081e+23,5.5938e+23,5.6558e+23,5.7077e+23,5.7085e+23,5.7321e+23,5.7342e+23,5.7173e+23
302,M,True,6.6201e+23,6.6446e+23,6.6643e+23,6.7284e+23,6.7583e+23,6.7322e+23,6.7729e+23,6.8367e+23,6.8238e+23,6.8816e+23,6.8952e+23,6.8768e+23,6.9199e+23,7.014e+23,7.0202e+23,7.0107e+23,7.0604e+23,7.0968e+23,7.029e+23,6.9901e+23
303,M,False,6.7524e+23,6.7263e+23,6.7332e+23,6.7391e+23,6.7705e+23,6.7957e+23,6.7825e+23,6.8556e+23,6.8524e+23,6.7359e+23,6.9001e+23,6.8932e+23,6.7651e+23,6.8681e+23,6.7143e+23,6.7647e+23,6.7293e+23,6.7702e+23,6.7624e+23,6.7318e+23
