,FLARE_TYPE,COINCIDENCE,ABSNJZH_1,ABSNJZH_2,ABSNJZH_3,ABSNJZH_4,ABSNJZH_5,ABSNJZH_6,ABSNJZH_7,ABSNJZH_8,ABSNJZH_9,ABSNJZH_10,ABSNJZH_11,ABSNJZH_12,ABSNJZH_13,ABSNJZH_14,ABSNJZH_15,ABSNJZH_16,ABSNJZH_17,ABSNJZH_18,ABSNJZH_19,ABSNJZH_20
22,X,False,968.66,23.432,926.41,121.04,916.09,890.41,836.74,918.83,180.94,85.408,840.23,820.95,797.1,810.57,773.69,816.56,811.72,763.09,855.81,890.52
23,X,True,1041.5,1003.6,1088.4,1119.7,1096.8,1132.0,1089.4,1153.1,1161.4,1079.1,1023.5,1050.2,1074.3,1033.4,985.32,986.49,945.26,969.2,997.89,1046.3
24,X,True,484.84,484.05,432.85,496.79,498.31,497.72,474.08,494.82,494.35,520.61,537.4,510.64,545.3,504.26,514.17,500.49,476.33,453.95,465.99,467.37
25,X,True,63.304,20.848,74.588,53.178,58.484,53.519,72.628,62.954,94.599,26.067,58.192,90.907,57.124,107.39,132.01,143.79,104.92,33.53,9.0714,19.216
26,X,False,1567.2,1583.0,1522.5,1538.4,1557.9,1562.7,1551.7,1583.6,1618.3,1617.4,1647.8,1657.4,1612.1,1610.1,1650.5,1649.9,1670.8,1670.2,1659.0,1722.8
27,X,False,1164.7,1176.2,1153.1,1150.7,1124.3,1106.5,1083.7,1106.0,1128.9,1066.9,1088.2,1052.6,1019.9,1016.5,988.3,1042.3,995.73,955.92,975.57,988.52
28,X,True,1695.4,1678.9,1679.0,1669.8,1681.2,1682.8,1682.0,1694.7,1728.1,1723.6,1728.4,1682.6,1672.2,1660.5,1639.7,1637.4,1647.8,1648.9,1639.1,1671.6
29,X,False,1.92,11.594,5.1193,9.0927,50.304,15.551,16.364,17.847,25.174,24.453,28.604,33.916,41.837,53.079,64.972,60.194,71.162,77.641,72.973,51.457
30,X,True,2681.1,2739.4,2677.5,2722.7,2735.9,2723.2,2760.2,2680.9,2685.7,2450.9,2686.5,2683.8,2746.7,2700.0,2742.3,2816.1,2762.5,2818.4,2890.8,2863.1
31,X,True,2742.3,2816.1,2762.5,2818.4,2890.8,2863.1,2888.1,2882.1,2896.4,2945.4,2902.4,2916.2,2910.3,2905.4,2983.8,2937.7,2962.4,3047.5,3000.4,2974.2
32,X,False,3852.7,3738.5,3697.8,3649.4,3744.9,3688.1,3556.6,3579.9,3669.6,3810.7,3447.5,3470.9,3703.2,3683.4,3377.7,3319.5,3305.3,3438.7,3501.2,3388.1
33,X,False,376.18,576.48,553.49,434.37,447.95,539.71,453.9,171.39,383.63,245.94,412.44,395.22,316.21,150.38,300.98,180.06,274.7,282.21,194.62,125.78
34,M,False,249.61,240.63,264.96,271.17,274.89,278.53,274.77,280.7,267.34,257.62,259.54,245.44,247.85,235.59,253.7,251.7,246.62,247.08,250.45,278.48
35,M,False,20.74,19.354,20.222,35.544,19.716,23.584,43.421,17.09,18.843,14.497,14.945,13.509,15.205,11.176,6.4055,2.152,33.12,12.028,25.026,9.3464
36,M,False,132.15,143.69,142.55,144.08,151.55,151.13,154.36,146.02,146.75,147.01,142.98,137.06,126.43,133.04,127.78,122.11,118.94,115.31,103.05,108.11
37,M,True,54.656,36.733,4.407,35.304,36.884,35.79,35.914,37.538,37.717,55.114,39.835,37.597,37.78,37.61,39.207,37.313,40.175,41.192,41.053,39.394
38,M,False,113.9,106.82,94.831,103.6,101.55,81.725,108.15,110.61,134.02,125.19,108.65,111.8,110.53,110.69,113.48,137.42,118.51,108.72,70.875,70.825
39,M,False,50.13,143.88,138.01,149.87,131.63,124.24,120.4,114.51,114.31,20.436,111.6,103.39,91.541,93.616,76.553,36.408,102.85,98.067,91.166,94.756
40,M,False,55.622,35.038,46.33,49.428,34.691,31.41,67.38,25.23,33.315,17.072,41.535,51.437,36.476,64.718,55.567,33.285,35.551,33.352,37.523,39.745
41,M,True,3.039,15.378,12.492,0.13985,3.053,6.7281,0.63501,19.87,23.425,2.4648,19.15,16.473,23.139,39.086,44.584,52.797,69.059,80.428,93.151,103.14
42,M,True,736.12,738.51,834.2,840.25,835.09,803.44,800.52,780.4,747.13,742.15,765.96,771.5,765.94,848.24,803.89,796.95,784.88,781.5,795.21,780.58
43,M,False,126.98,141.61,137.36,156.06,151.38,166.75,171.95,185.06,201.48,195.81,194.17,193.2,197.93,208.77,233.87,211.9,201.69,205.79,199.43,217.7
44,M,False,1001.4,1019.0,1027.8,1025.2,1042.5,1115.0,1112.6,1111.3,1124.1,1128.3,1119.3,1128.4,1113.1,1091.7,1065.2,1053.0,1036.6,1071.4,1063.6,1016.6
45,M,True,846.62,864.71,845.27,820.21,829.3,800.35,816.99,814.36,803.22,784.74,770.84,755.88,740.73,757.18,741.32,707.05,728.14,740.43,744.76,750.54
46,M,True,161.97,172.32,174.45,169.94,172.6,172.62,166.72,162.47,167.48,179.7,174.27,168.63,161.74,181.06,182.71,182.33,170.68,197.43,201.99,190.02
47,M,False,707.05,728.14,740.43,744.76,750.54,733.16,719.99,728.45,737.0,747.58,790.01,797.31,773.99,785.31,774.09,830.56,814.5,769.08,777.17,762.6
48,M,False,201.99,190.02,191.13,195.92,188.95,182.36,175.51,201.25,181.03,170.81,182.64,162.08,163.91,168.24,166.01,169.65,170.08,167.16,149.42,160.71
49,M,False,129.91,153.23,158.6,147.12,131.18,104.2,124.19,111.57,121.75,115.28,103.45,105.62,93.58,111.1,140.28,129.44,122.05,143.42,117.85,110.59
50,M,False,542.82,456.77,524.3,534.25,541.03,524.76,517.22,515.37,495.51,473.29,499.77,481.75,481.2,467.9,472.47,475.97,481.02,501.37,476.43,502.45
51,M,True,774.17,738.51,759.58,744.76,746.28,753.19,730.48,734.87,696.82,702.0,711.32,691.95,704.11,705.38,687.73,662.75,631.9,624.15,647.78,630.38
52,M,True,322.87,302.3,269.48,269.69,274.42,169.28,170.98,158.63,184.3,175.47,227.51,199.46,193.58,182.11,228.6,253.23,245.38,249.38,246.14,251.79
53,M,False,662.75,631.9,624.15,647.78,630.38,613.07,602.93,588.2,572.89,565.05,572.63,537.88,552.86,574.05,580.12,596.67,579.67,607.52,588.6,591.51
54,M,False,602.93,588.2,572.89,565.05,572.63,537.88,552.86,574.05,580.12,596.67,579.67,607.52,588.6,591.51,616.65,633.77,571.44,559.98,543.1,578.22
55,M,False,61.021,63.813,52.046,77.609,63.441,73.743,88.928,89.125,91.587,79.995,79.816,83.471,78.084,90.204,84.822,103.53,92.749,86.5,94.721,100.82
56,M,False,620.52,619.77,615.01,614.87,597.9,610.67,572.1,545.78,555.21,535.28,545.96,544.04,540.69,505.52,567.29,518.72,553.53,550.59,515.56,500.49
57,M,True,77.451,34.183,41.161,2.6772,5.9336,235.81,28.036,66.779,63.853,237.92,260.07,262.87,108.29,115.17,171.7,172.25,189.08,110.31,263.72,234.73
58,M,False,519.12,536.96,435.94,565.51,603.09,607.25,560.45,483.45,637.26,573.01,631.41,600.12,620.12,617.93,626.46,571.94,716.59,606.15,551.42,592.37
59,M,False,376.46,377.57,470.59,485.8,483.43,500.52,473.83,419.01,436.86,491.03,521.25,502.7,500.3,563.3,611.0,544.43,551.83,575.37,573.95,611.57
60,M,False,682.81,661.66,760.8,845.54,844.33,846.62,836.3,902.47,910.91,986.1,946.26,963.36,1065.4,964.45,915.66,934.37,899.24,1034.9,1043.7,1008.5
61,M,False,910.91,986.1,946.26,963.36,1065.4,964.45,915.66,934.37,899.24,1034.9,1043.7,1008.5,1030.0,867.86,946.18,879.99,835.45,831.05,908.45,785.83
62,M,True,100.5,74.624,108.84,111.9,100.64,99.253,71.821,88.512,64.092,23.013,45.109,38.578,41.475,40.853,49.79,39.551,48.082,58.848,75.891,49.854
63,M,False,40.853,49.79,39.551,48.082,58.848,75.891,49.854,62.726,84.94,108.58,96.275,107.88,121.04,96.495,86.772,98.686,86.132,95.381,83.572,78.365
64,M,True,688.61,695.67,684.15,700.42,722.68,732.46,730.84,734.33,758.2,740.41,745.05,720.03,719.89,710.36,704.41,686.36,706.28,547.85,668.75,694.49
65,M,False,453.21,698.2,703.75,696.84,537.99,524.73,494.05,726.86,701.85,510.7,701.54,687.74,659.45,665.17,667.73,644.03,694.93,714.24,634.57,738.05
66,M,False,2.4704,30.512,70.992,200.65,24.96,58.475,17.577,95.124,65.303,18.813,28.245,24.185,17.394,32.889,8.5305,257.95,73.776,17.572,15.639,7.7917
67,M,False,311.02,311.79,299.03,314.06,317.66,319.04,320.87,313.54,305.28,305.22,318.9,302.26,316.57,311.29,294.63,309.19,296.19,320.24,325.84,345.17
68,M,False,361.27,357.74,358.24,362.27,430.01,374.16,342.57,356.74,383.57,387.64,392.32,364.73,373.75,370.51,364.47,371.43,367.54,373.95,347.01,363.17
69,M,False,396.31,372.8,372.07,380.84,356.24,369.14,371.94,381.92,378.0,367.93,337.84,381.99,394.78,407.44,421.36,456.21,431.71,443.97,424.32,440.73
70,M,True,345.75,354.89,354.1,350.1,384.99,404.88,417.27,400.31,405.75,391.73,366.6,378.1,369.59,357.09,339.68,362.95,366.73,374.26,374.51,367.14
71,M,False,397.52,405.33,431.67,443.85,417.66,444.49,428.21,425.04,422.62,453.67,445.04,430.82,484.89,501.7,528.6,553.87,535.37,537.52,545.79,514.92
72,M,True,127.42,518.28,106.67,29.601,47.463,103.2,143.24,207.66,213.99,236.32,234.1,228.17,283.32,261.14,318.63,312.91,317.48,336.33,361.96,399.58
73,M,False,637.65,590.43,578.53,610.72,626.09,577.24,622.54,546.33,604.16,593.2,608.78,577.44,643.28,641.93,667.24,681.01,629.99,612.77,554.27,602.94
74,M,False,368.18,344.49,367.53,364.93,374.11,373.81,374.96,385.34,401.91,402.62,393.28,390.51,375.84,379.21,384.14,390.97,392.42,382.82,380.93,375.89
75,M,False,3.4593,18.994,3.0224,6.9827,18.387,8.1109,2.5164,12.19,16.042,30.039,51.752,17.12,26.672,10.574,66.951,9.8941,36.236,41.273,75.276,43.05
76,M,False,299.52,304.23,296.8,294.54,290.55,297.62,309.93,305.79,308.94,326.17,311.14,326.23,323.8,327.47,334.8,334.61,353.43,383.5,400.96,375.04
77,M,False,86.361,88.442,98.736,78.394,75.3,91.049,112.84,82.503,102.99,98.255,103.77,91.945,129.76,100.51,95.149,98.827,118.62,110.53,82.703,87.843
78,M,True,70.843,43.499,48.338,27.795,37.323,25.364,12.766,27.051,26.033,60.041,81.99,89.952,48.122,46.16,74.782,78.095,86.646,116.18,127.16,154.18
79,M,True,1074.3,1095.1,1088.6,1080.1,1104.3,1100.5,1072.2,1071.7,1087.3,1073.8,1056.6,1056.4,1085.8,1127.2,1136.2,1108.0,1135.6,1123.8,1123.7,1123.1
80,M,False,712.42,731.49,755.4,751.42,748.35,742.15,752.23,755.73,758.39,765.55,781.95,785.24,778.22,780.18,769.31,793.64,821.51,814.93,839.81,845.95
81,M,True,1056.0,1085.8,1084.1,1080.5,1057.0,1061.4,1040.0,1037.5,1056.9,1036.6,1029.0,1031.6,1048.7,1068.3,1044.1,1070.0,1051.5,1044.1,1056.8,1073.8
82,M,False,1101.4,1172.8,1205.0,1203.4,1226.9,1237.5,1228.6,1250.1,1182.4,1216.8,1207.6,1211.9,1197.0,1174.0,1190.7,1202.8,1167.0,1187.5,1180.3,1165.8
83,M,True,1013.3,1028.1,1030.7,1028.2,1035.0,1033.7,1039.6,1037.6,1044.3,1013.3,1020.0,1030.6,1002.8,991.24,991.34,979.98,987.33,967.97,964.43,944.51
84,M,False,932.89,924.1,902.23,889.61,869.88,878.03,884.28,857.91,860.24,863.3,852.18,839.15,842.8,835.99,831.76,822.03,846.0,822.61,812.95,809.61
85,M,True,76.298,75.067,73.054,76.392,65.608,61.15,78.658,81.45,66.517,78.772,77.445,90.677,93.911,69.884,100.66,75.391,89.426,83.798,73.831,79.644
86,M,False,104.95,103.38,95.115,100.27,87.885,84.326,74.619,66.247,74.556,53.532,66.257,56.353,57.09,61.74,61.568,69.053,68.343,79.946,77.357,88.158
87,M,False,68.343,79.946,77.357,88.158,83.118,86.557,89.044,80.069,73.829,81.203,63.887,69.19,68.501,83.731,69.82,73.863,78.016,74.019,73.367,76.842
88,M,True,51.459,47.596,74.316,59.804,37.324,29.11,36.257,37.828,17.497,23.556,11.19,15.361,20.927,1.6017,25.6,5.9379,10.346,6.0312,27.699,6.4104
89,M,True,282.0,287.01,271.78,267.21,244.31,235.15,233.12,244.21,231.6,236.29,217.53,223.87,222.79,201.04,202.83,204.88,201.53,191.16,214.8,242.59
90,M,False,285.96,272.63,281.35,291.96,292.26,268.07,264.85,265.74,263.19,266.95,235.93,249.19,272.66,255.74,255.0,259.57,264.97,277.83,274.97,277.81
91,M,True,244.25,253.33,235.06,243.9,242.07,237.9,238.56,265.74,265.65,266.75,246.87,260.99,254.13,243.89,253.16,205.53,242.97,270.22,284.06,277.57
92,M,False,249.5,279.24,243.66,262.22,191.15,232.35,234.43,243.22,225.16,260.2,263.2,262.45,270.14,274.57,244.2,259.86,252.34,261.36,234.39,249.63
93,M,False,120.43,129.95,108.19,125.91,146.83,131.52,134.72,150.29,148.79,126.24,104.5,97.827,150.3,116.81,98.888,93.53,88.941,93.832,46.863,76.243
94,M,True,311.98,316.79,308.61,300.69,286.26,281.02,277.83,267.61,268.65,288.21,257.0,262.5,282.76,309.12,305.36,347.14,385.16,366.22,358.38,372.87
95,M,True,403.53,400.45,434.76,427.05,420.33,469.34,436.46,459.56,435.0,474.61,444.07,446.34,473.42,458.9,447.33,432.42,421.48,433.26,398.27,385.09
96,M,True,519.27,704.56,611.35,551.91,534.93,467.39,926.15,660.65,608.11,604.36,408.21,637.55,836.87,770.48,801.33,713.53,669.87,644.51,614.89,703.0
97,M,False,550.17,516.27,593.42,436.36,327.16,459.12,736.58,401.87,463.39,665.83,564.03,621.61,574.2,931.32,524.95,596.36,948.95,984.87,579.95,966.86
98,M,False,59.089,86.772,13.781,99.181,50.363,71.869,132.14,88.052,88.583,116.12,75.267,62.809,133.15,44.045,109.76,25.032,91.326,55.225,64.954,6.9124
99,M,True,648.79,1189.6,666.55,707.02,646.36,676.58,476.59,621.33,654.65,299.53,224.08,291.04,560.91,213.18,629.93,703.0,777.7,446.48,283.52,588.53
100,M,False,707.02,646.36,676.58,476.59,621.33,654.65,299.53,224.08,291.04,560.91,213.18,629.93,703.0,777.7,446.48,283.52,588.53,694.68,637.49,1426.2
101,M,False,299.53,224.08,291.04,560.91,213.18,629.93,703.0,777.7,446.48,283.52,588.53,694.68,637.49,1426.2,605.52,1050.8,571.25,1019.3,648.83,500.44
102,M,False,703.0,777.7,446.48,283.52,588.53,694.68,637.49,1426.2,605.52,1050.8,571.25,1019.3,648.83,500.44,1125.6,1227.2,1149.7,1086.6,1194.9,1082.1
103,M,True,380.78,404.21,410.77,297.13,270.55,279.17,402.22,426.54,270.63,239.85,109.81,220.25,343.39,303.35,509.25,233.74,274.29,283.0,270.38,483.82
104,M,False,94.249,131.03,138.18,129.35,124.51,119.73,120.72,128.31,145.89,151.45,157.66,199.02,211.87,181.45,202.68,215.13,212.14,225.5,225.77,256.69
105,M,False,432.07,396.89,370.16,341.36,399.35,479.41,531.64,459.11,500.57,430.2,470.34,459.68,433.78,424.88,345.58,299.54,289.04,254.06,241.5,247.34
106,M,False,363.31,348.84,370.1,388.44,376.05,376.62,360.13,383.78,378.93,382.99,392.7,386.95,401.66,394.83,359.04,355.47,373.08,382.84,368.74,348.99
107,M,True,216.2,215.19,200.66,225.82,223.17,249.52,259.42,259.4,258.92,246.33,246.71,273.2,269.46,270.91,273.11,273.14,276.09,275.1,293.93,296.5
108,M,True,322.32,322.15,315.23,327.03,310.7,307.46,295.18,292.94,303.63,301.2,303.46,305.11,303.0,308.63,295.83,304.07,310.45,316.4,329.51,336.31
109,M,False,505.45,516.66,518.98,515.2,511.52,506.54,522.2,513.45,503.86,514.58,513.88,522.71,516.63,506.68,527.65,517.74,494.99,508.32,506.33,509.09
110,M,False,767.31,745.73,792.23,761.73,755.82,732.64,720.99,720.73,715.89,705.01,713.97,744.59,724.38,764.94,737.63,739.7,737.23,756.49,749.9,763.9
111,M,False,99.172,117.59,121.36,135.91,127.73,110.58,110.63,128.35,116.15,152.64,155.15,144.1,162.32,183.38,214.92,196.91,214.37,208.07,237.73,246.77
112,M,False,221.05,209.91,209.32,203.94,192.21,161.29,164.56,170.76,174.79,151.07,135.91,118.31,162.97,184.38,154.57,167.75,149.83,178.84,178.13,168.17
113,M,True,123.21,155.07,105.16,91.235,165.78,275.05,103.69,376.17,67.654,130.37,250.74,338.87,410.82,323.74,369.98,130.1,135.95,482.74,492.77,461.4
114,M,True,209.47,54.105,286.84,389.45,335.63,69.908,9.6502,71.63,23.491,238.05,377.03,8.4798,143.89,42.671,36.867,85.151,302.63,80.679,228.46,207.37
115,M,True,171.4,181.27,275.81,214.47,260.54,189.15,315.12,223.62,318.12,317.37,298.47,272.83,206.38,293.46,186.31,247.03,255.98,220.76,215.12,63.224
116,M,True,209.45,54.947,164.21,71.463,55.951,39.656,22.69,233.11,87.538,83.398,115.91,192.99,185.01,19.683,29.308,15.259,38.87,59.982,65.39,63.157
117,M,True,13.867,18.827,15.886,29.734,49.882,42.113,25.832,68.602,92.162,102.82,99.592,65.409,89.812,44.653,50.022,66.584,44.381,43.08,19.233,1.5818
118,M,True,54.974,53.808,65.491,49.235,59.39,88.875,72.864,88.743,80.975,64.383,48.383,62.021,96.235,84.317,44.617,50.459,42.515,73.913,67.241,78.019
119,M,False,131.2,138.94,161.68,173.42,156.87,164.45,176.15,178.99,177.77,209.49,211.59,215.16,201.16,184.48,184.1,187.5,185.1,170.88,143.0,166.08
120,M,False,134.21,129.09,155.61,155.28,170.01,159.27,113.6,140.77,164.51,182.42,166.66,166.44,157.85,152.26,135.92,150.34,100.76,111.01,104.93,116.21
121,M,False,177.55,141.39,149.47,122.29,132.52,122.96,84.036,124.68,142.72,143.36,141.14,79.95,72.703,60.253,36.445,36.548,61.098,101.26,82.378,73.734
122,M,False,39.477,55.42,63.054,71.369,51.189,41.291,60.779,64.41,54.691,55.741,63.526,72.091,49.154,40.386,84.578,85.469,86.541,77.342,66.868,45.119
123,M,True,397.38,403.47,359.87,390.85,362.89,485.54,387.25,336.42,359.75,332.38,203.47,329.64,364.77,353.51,310.02,254.3,320.74,301.9,249.9,330.31
124,M,False,149.73,147.78,142.33,147.21,148.18,150.47,167.08,148.15,131.94,132.9,137.86,128.11,113.11,119.51,105.13,97.331,91.799,61.961,48.11,47.208
125,M,False,399.9,183.27,411.77,451.45,241.93,247.86,257.05,276.82,287.59,285.06,307.47,335.62,307.7,318.85,309.63,382.74,388.75,433.91,320.38,327.14
126,M,True,27.94,24.171,31.777,37.739,41.777,50.633,57.245,60.555,64.153,71.356,67.226,70.461,70.832,68.23,90.33,102.17,102.5,102.57,127.11,126.36
127,M,False,424.85,431.68,433.89,441.46,421.62,421.95,428.5,437.48,414.51,415.85,418.61,397.6,402.86,386.22,396.05,375.21,362.87,367.69,363.32,386.07
128,M,True,262.81,344.33,275.25,189.39,185.68,188.84,164.56,202.84,166.89,183.37,179.13,226.27,215.93,196.53,149.43,206.27,152.5,156.08,226.82,137.35
129,M,False,148.09,163.44,253.97,307.43,303.15,318.81,290.95,300.22,312.85,253.9,285.67,294.56,304.53,288.04,272.88,293.35,308.04,243.82,290.35,241.93
130,M,False,214.02,313.49,340.77,218.3,286.29,352.01,337.0,327.68,228.07,257.03,304.41,265.45,242.3,269.82,280.27,255.46,317.77,336.77,491.43,522.38
131,M,True,282.31,314.49,307.03,298.98,298.16,283.02,305.7,281.03,284.25,260.83,282.3,269.97,258.31,268.73,302.58,265.2,250.07,268.21,248.99,263.36
132,M,False,265.2,250.07,268.21,248.99,263.36,263.99,210.67,238.65,264.59,258.67,291.79,322.31,290.81,329.8,335.72,336.4,336.75,365.2,372.59,390.24
133,M,False,786.47,791.98,786.22,790.03,776.39,777.44,741.13,766.04,701.17,729.16,735.24,756.77,764.5,731.14,731.3,760.9,733.45,696.84,710.29,717.51
134,M,False,730.62,746.62,748.67,697.55,697.67,701.24,684.21,677.18,657.09,661.96,642.74,675.52,651.54,642.2,645.28,651.31,640.89,681.6,678.48,716.7
135,M,False,867.24,906.89,897.21,871.07,875.83,903.88,883.41,850.36,847.87,825.78,835.63,776.01,807.67,826.74,808.24,814.23,801.0,796.13,814.61,820.43
136,M,False,31.916,32.58,7.0203,16.463,20.891,25.033,57.761,36.62,41.921,42.138,44.299,58.361,26.237,0.7166,6.4198,20.779,0.64264,10.847,29.367,4.1644
137,M,True,507.44,380.69,530.84,390.25,430.78,416.23,410.38,426.52,420.5,395.54,457.86,424.82,607.0,463.63,452.75,562.79,465.12,449.92,438.69,697.39
138,M,True,1037.8,1083.9,1059.5,1118.5,1097.5,1100.9,1127.1,1178.0,1168.9,1229.1,1227.1,1249.0,1249.8,1255.4,1264.7,1296.6,1277.1,1291.4,1310.5,1276.6
139,M,False,1083.9,1059.5,1118.5,1097.5,1100.9,1127.1,1178.0,1168.9,1229.1,1227.1,1249.0,1249.8,1255.4,1264.7,1296.6,1277.1,1291.4,1310.5,1276.6,1281.0
140,M,False,1277.1,1291.4,1310.5,1276.6,1281.0,1288.9,1307.2,1346.1,1291.9,1330.6,1427.0,1411.1,1427.1,1436.0,1445.9,1521.8,1574.1,1572.2,1556.0,1560.5
141,M,True,1427.0,1411.1,1427.1,1436.0,1445.9,1521.8,1574.1,1572.2,1556.0,1560.5,1492.9,1512.1,1517.7,1505.5,1564.9,1481.4,1430.5,1467.2,1567.0,1545.4
142,M,False,1574.1,1572.2,1556.0,1560.5,1492.9,1512.1,1517.7,1505.5,1564.9,1481.4,1430.5,1467.2,1567.0,1545.4,1548.2,1504.4,1445.9,1451.3,1535.2,1481.9
143,M,False,1567.0,1545.4,1548.2,1504.4,1445.9,1451.3,1535.2,1481.9,1534.0,1544.0,1560.1,1515.5,1608.0,1602.0,1581.1,1554.5,1666.9,1642.2,1660.0,1630.6
144,M,False,1630.6,1608.8,1606.2,1615.3,1621.5,1639.8,1568.7,1612.7,1591.1,1624.5,1622.9,1636.3,1665.2,1599.4,1600.5,1598.8,1583.0,1568.6,1580.6,1568.8
145,M,False,1538.0,1552.8,1536.7,1541.6,1611.4,1572.9,1592.9,1593.7,1562.3,1595.4,1655.9,1681.3,1684.9,1689.7,1717.5,1740.2,1732.4,1736.6,1717.4,1721.8
146,M,False,2139.3,2196.1,2145.1,2145.2,2190.0,2166.8,2231.5,2201.3,2130.6,2168.5,2161.5,2109.0,2198.9,2163.0,2135.2,2154.6,2132.3,2157.2,2193.5,2167.7
147,M,False,1924.5,1935.5,1982.7,1977.0,1956.5,1994.2,1981.9,2010.0,1990.2,1967.9,1932.6,1922.5,1895.6,1861.4,1860.2,1869.8,1867.0,1860.9,1884.3,1873.4
148,M,False,1141.0,1133.2,1144.8,1146.6,1165.2,1151.8,1144.9,1149.0,1151.2,1141.8,1134.0,1161.2,1126.0,1104.5,1102.3,1109.3,1098.3,1094.8,1102.1,1114.9
149,M,True,77.92,76.499,73.247,71.748,73.153,86.363,90.476,93.957,74.864,103.32,75.71,78.559,72.456,57.165,65.642,83.79,66.538,66.159,53.343,59.966
