,FLARE_TYPE,COINCIDENCE,MEANSHR_1,MEANSHR_2,MEANSHR_3,MEANSHR_4,MEANSHR_5,MEANSHR_6,MEANSHR_7,MEANSHR_8,MEANSHR_9,MEANSHR_10,MEANSHR_11,MEANSHR_12,MEANSHR_13,MEANSHR_14,MEANSHR_15,MEANSHR_16,MEANSHR_17,MEANSHR_18,MEANSHR_19,MEANSHR_20,MEANSHR_21,MEANSHR_22,MEANSHR_23,MEANSHR_24,MEANSHR_25,MEANSHR_26,MEANSHR_27,MEANSHR_28,MEANSHR_29,MEANSHR_30
1215,B,False,29.861,29.169,29.349,29.572,29.145,29.122,28.951,29.245,29.197,28.747,28.563,28.791,28.926,29.002,29.171,29.416,29.125,28.665,28.402,29.302,29.183,29.272,29.564,29.442,29.179,29.074,29.82,29.933,30.492,30.075
1216,B,False,38.838,37.949,37.863,37.796,37.46,37.595,36.963,37.352,37.577,37.575,37.41,37.17,37.652,38.471,38.155,38.046,37.985,38.307,38.313,40.137,41.639,41.706,42.899,42.428,41.409,42.491,43.114,43.297,43.291,42.832
1217,B,False,29.434,28.916,29.117,29.127,28.774,28.726,28.79,28.819,28.938,28.731,29.112,29.548,29.769,29.84,30.047,30.171,30.044,29.733,29.704,29.559,29.755,29.828,29.872,29.377,29.602,29.486,29.439,29.555,29.652,29.768
1218,B,False,30.002,30.401,31.177,30.653,30.534,31.604,31.803,30.549,30.221,30.169,29.229,28.999,29.564,29.011,27.632,28.781,28.459,28.619,28.638,28.167,28.561,29.657,27.846,28.031,29.244,28.428,28.256,28.34,27.727,28.246
1219,B,False,33.064,32.845,33.639,32.672,33.414,33.564,33.581,34.436,34.411,34.262,33.507,34.68,34.296,34.007,34.164,33.519,34.569,34.985,34.036,33.911,33.385,34.368,35.206,34.843,35.431,35.003,35.551,36.602,36.086,35.827
1220,B,False,17.96,17.897,17.84,17.919,17.839,17.902,17.841,17.761,17.779,17.888,17.962,17.786,18.019,18.223,18.1,18.17,18.086,18.073,18.138,18.068,17.974,17.971,17.967,17.761,17.714,17.672,17.748,17.835,17.682,17.778
1221,B,False,47.689,48.764,46.012,46.69,45.843,44.309,46.808,43.948,45.71,43.43,46.564,52.144,48.543,45.733,42.487,45.176,46.182,37.946,39.202,34.3,30.233,25.92,22.786,27.616,15.394,23.831,23.663,21.283,24.15,22.398
1222,B,False,36.239,35.646,35.988,35.285,35.79,35.419,35.274,35.114,35.508,35.238,35.776,35.468,35.385,35.578,35.531,35.882,35.9,35.683,36.331,36.391,36.232,37.224,37.251,37.348,37.209,37.178,37.101,36.916,37.034,36.522
1223,B,False,32.644,32.28,31.889,32.128,31.716,31.29,31.93,31.532,31.771,31.538,31.74,31.99,31.987,32.125,32.121,32.21,32.121,31.844,31.636,31.776,31.767,31.788,31.626,31.495,31.617,31.541,31.701,31.273,31.281,31.38
1224,B,False,45.117,46.057,45.245,45.27,46.351,47.206,47.601,47.269,47.689,47.754,48.243,47.866,48.228,48.404,49.35,49.449,49.605,48.882,49.1,48.604,49.536,48.637,49.119,49.428,49.265,49.097,48.428,48.857,47.875,48.499
1225,B,False,26.915,26.73,26.834,26.945,27.028,26.827,27.223,27.297,26.955,27.161,27.483,27.381,27.473,27.352,26.964,27.05,27.182,26.958,26.865,26.928,27.123,27.043,27.164,27.285,27.593,27.498,27.774,28.106,28.156,27.643
1226,B,False,21.789,22.583,23.342,22.61,22.747,22.783,23.862,23.291,23.567,23.143,23.51,23.607,22.33,23.19,23.13,23.307,22.457,22.91,22.409,22.835,23.528,24.014,23.328,23.757,24.639,24.623,24.19,23.251,23.65,24.001
1227,B,False,30.723,30.762,30.63,30.046,30.371,30.507,29.976,29.717,30.048,30.663,29.73,29.571,28.908,29.739,29.958,29.534,29.465,29.479,29.329,29.291,28.651,28.434,28.613,28.108,28.461,28.475,28.261,28.927,28.921,28.925
1228,B,False,37.339,36.631,36.716,36.16,36.113,36.341,36.509,36.204,36.744,36.382,37.077,37.159,36.801,36.978,37.077,37.325,37.155,37.709,38.068,37.907,37.411,37.598,38.075,37.772,37.899,37.523,38.504,38.826,38.721,37.929
1229,B,False,22.503,22.6,22.793,22.761,22.858,22.897,22.809,22.744,22.665,22.811,22.671,22.739,22.863,22.8,22.537,22.681,22.776,22.936,22.819,22.596,22.766,22.996,23.362,23.189,23.441,23.677,23.644,23.444,23.446,23.333
1230,B,False,28.36,28.183,26.966,27.593,26.531,25.81,25.901,26.244,25.024,25.029,24.579,24.972,24.841,26.217,26.905,26.132,26.652,27.249,27.581,27.243,28.488,29.026,28.998,28.569,28.657,29.545,28.53,28.526,29.389,29.627
