,FLARE_TYPE,COINCIDENCE,MEANPOT_1,MEANPOT_2,MEANPOT_3,MEANPOT_4,MEANPOT_5,MEANPOT_6,MEANPOT_7,MEANPOT_8,MEANPOT_9,MEANPOT_10,MEANPOT_11,MEANPOT_12,MEANPOT_13,MEANPOT_14,MEANPOT_15,MEANPOT_16,MEANPOT_17,MEANPOT_18,MEANPOT_19,MEANPOT_20,MEANPOT_21,MEANPOT_22,MEANPOT_23,MEANPOT_24,MEANPOT_25,MEANPOT_26,MEANPOT_27,MEANPOT_28,MEANPOT_29,MEANPOT_30
968,B,True,5362.3,5281.5,5311.3,5259.7,5315.5,5442.8,5394.0,5199.5,5093.9,5181.9,5228.2,5268.7,5434.2,5483.6,5405.3,5382.6,5364.4,5442.7,5347.4,5301.7,5306.1,5149.5,5018.1,4963.4,4967.4,4986.6,4999.5,4988.2,5144.9,5044.5
969,B,True,3628.8,3675.7,3590.5,3354.8,3249.4,3166.1,3057.8,2960.9,2911.1,2834.1,2839.9,2880.1,2867.1,2865.6,2893.5,2921.2,3018.4,3056.1,3061.5,3116.0,3106.9,3109.9,3220.6,3298.3,3297.0,3256.3,3299.0,3366.5,3373.7,3424.0
970,B,False,6111.7,6039.7,6178.8,6381.3,6320.4,6398.4,6312.5,6375.7,6428.5,6380.1,6355.4,6315.9,6291.3,6265.9,6232.8,6286.0,6359.5,6173.2,6489.2,6591.2,6870.9,6957.1,7177.1,7301.7,7344.3,7429.4,7414.4,7560.5,7686.7,7698.7
971,B,False,11082.0,11074.0,10980.0,10921.0,10999.0,11022.0,11061.0,10979.0,11113.0,11138.0,11139.0,10849.0,10875.0,10701.0,10679.0,10616.0,10559.0,10505.0,10462.0,10785.0,10766.0,10965.0,11028.0,10878.0,11104.0,11102.0,11173.0,11347.0,11334.0,11213.0
972,B,False,4017.2,3884.2,3811.2,3757.4,3832.6,3888.9,3991.6,4058.4,4140.0,4123.5,4056.9,3925.9,4068.7,4234.6,4358.1,4351.5,4502.6,4478.4,4733.4,4852.6,4700.2,4799.0,4939.7,4891.6,4979.2,5021.5,5063.7,4986.3,4972.9,4922.4
973,B,False,8983.2,8908.1,8892.4,9058.1,8940.9,8899.3,8845.8,8820.9,8862.8,8856.5,8808.9,8501.1,8468.0,8261.7,8076.3,7897.6,7822.3,7835.7,7676.2,7621.0,7367.0,7245.3,7289.6,7145.0,7122.3,7293.1,7475.4,7550.2,7743.9,7897.4
974,B,True,6449.9,6519.3,6569.0,6753.2,6972.9,6977.5,6732.9,6670.9,6528.9,6544.5,6376.9,6200.0,6160.3,6043.5,5998.2,5946.7,5829.8,5825.3,5861.5,5857.7,5963.6,6219.6,6211.1,6346.6,6355.9,6432.3,6580.0,6665.8,6674.7,6628.6
975,B,True,1813.1,1786.7,1839.0,1813.6,1847.3,1861.7,1900.7,1929.5,1908.9,1954.7,1996.0,2000.5,1966.0,2019.2,2050.8,2056.1,2093.0,2047.4,1992.2,1964.8,1847.7,1863.3,1831.9,1873.8,1775.8,1726.4,1721.3,1712.7,1717.4,1723.1
976,B,False,4388.9,4424.2,4540.7,4659.3,4680.0,4774.7,4779.6,4979.4,5047.5,5080.2,5054.8,5003.8,5098.0,5201.1,5167.4,5292.2,5253.4,5227.5,5058.3,5024.3,4935.6,4882.7,4839.5,4802.3,4726.9,4675.0,4642.6,4631.3,4608.5,4542.8
977,B,True,4440.2,4379.8,4454.8,4480.8,4405.8,4384.3,4402.9,4488.8,4456.5,4459.8,4430.2,4437.8,4465.9,4441.5,4429.0,4448.8,4498.8,4561.2,4647.1,4647.7,4736.9,4764.1,4878.7,4981.8,5046.3,5243.7,5350.2,5584.0,5580.0,5630.3
978,B,True,9993.9,10202.0,10163.0,10335.0,10235.0,10384.0,10305.0,10102.0,10057.0,10209.0,10080.0,9999.9,10103.0,9991.3,9985.0,9764.7,9572.4,9338.1,9200.0,9141.0,8944.6,9236.6,9357.0,9528.0,9791.9,10234.0,10639.0,10678.0,10820.0,10781.0
