,FLARE_TYPE,COINCIDENCE,TOTPOT_1,TOTPOT_2,TOTPOT_3,TOTPOT_4,TOTPOT_5,TOTPOT_6,TOTPOT_7,TOTPOT_8,TOTPOT_9,TOTPOT_10
30,X,False,1.7783e+24,1.7677e+24,1.7592e+24,1.7542e+24,1.7502e+24,1.7549e+24,1.7505e+24,1.7494e+24,1.7531e+24,1.7499e+24
31,X,True,5.7363e+23,5.7392e+23,5.7439e+23,5.7546e+23,5.7895e+23,5.7602e+23,5.769e+23,5.7737e+23,5.7899e+23,5.7807e+23
32,X,False,2.9759e+22,2.4281e+22,2.8313e+22,3.2876e+22,5.0683e+22,4.0811e+22,4.5731e+22,4.7466e+22,5.0695e+22,5.4475e+22
33,X,True,1.3522e+24,1.3529e+24,1.3423e+24,1.3472e+24,1.3548e+24,1.3526e+24,1.3724e+24,1.3669e+24,1.3644e+24,1.3476e+24
34,X,True,1.3794e+24,1.3884e+24,1.3836e+24,1.3917e+24,1.3994e+24,1.397e+24,1.3965e+24,1.4037e+24,1.4099e+24,1.4218e+24
35,X,False,1.6709e+24,1.6989e+24,1.7218e+24,1.6865e+24,1.7345e+24,1.6771e+24,1.6213e+24,1.5996e+24,1.7191e+24,1.7095e+24
36,X,False,7.8931e+23,7.7233e+23,7.6788e+23,6.897e+23,6.7648e+23,6.6127e+23,6.3984e+23,6.5694e+23,6.5641e+23,6.4378e+23
37,M,False,6.7848e+22,7.2655e+22,7.1673e+22,7.23e+22,7.2042e+22,7.4001e+22,7.1391e+22,7.0874e+22,7.1588e+22,7.3133e+22
38,M,False,1.5104e+22,1.4806e+22,1.4551e+22,2.1014e+22,1.5354e+22,2.1994e+22,2.4437e+22,1.8847e+22,1.8789e+22,1.9667e+22
39,M,False,2.2594e+23,2.2472e+23,2.2452e+23,2.2371e+23,2.2154e+23,2.2081e+23,2.2219e+23,2.1894e+23,2.1856e+23,2.2054e+23
40,M,True,3.5705e+22,2.3926e+22,3.28e+22,2.3689e+22,2.3765e+22,2.324e+22,2.3606e+22,2.3082e+22,2.359e+22,3.5554e+22
41,M,False,1.1185e+23,1.1311e+23,1.1631e+23,1.1432e+23,1.19e+23,1.2266e+23,1.1856e+23,1.1169e+23,1.1526e+23,1.1618e+23
42,M,False,2.6799e+23,2.6089e+23,2.6109e+23,2.625e+23,2.6198e+23,2.6176e+23,2.637e+23,2.5914e+23,2.6152e+23,2.596e+23
43,M,False,7.3411e+22,6.688e+22,7.4072e+22,7.5948e+22,7.9455e+22,7.7994e+22,7.7145e+22,7.9678e+22,8.1307e+22,8.3454e+22
44,M,True,6.5669e+22,6.7625e+22,7.0547e+22,7.182e+22,7.3999e+22,7.5259e+22,7.7276e+22,8.0168e+22,8.2393e+22,8.5374e+22
45,M,True,5.7933e+23,5.8498e+23,5.9083e+23,5.9686e+23,5.9855e+23,6.0333e+23,6.0751e+23,6.122e+23,6.1895e+23,6.2477e+23
46,M,False,8.4854e+22,8.4031e+22,8.4298e+22,8.7733e+22,8.8711e+22,9.09e+22,9.5904e+22,1.0126e+23,1.0576e+23,1.0733e+23
47,M,False,8.2927e+23,8.3214e+23,8.3164e+23,8.2763e+23,8.2678e+23,8.2698e+23,8.3216e+23,8.2786e+23,8.2681e+23,8.2759e+23
48,M,True,6.4287e+23,6.4317e+23,6.4713e+23,6.4264e+23,6.4787e+23,6.5002e+23,6.5237e+23,6.5783e+23,6.5703e+23,6.601e+23
49,M,True,2.851e+23,2.859e+23,2.8711e+23,2.8385e+23,2.8425e+23,2.8336e+23,2.8362e+23,2.8552e+23,2.8482e+23,2.8545e+23
50,M,False,6.6325e+23,6.6023e+23,6.6639e+23,6.7002e+23,6.7299e+23,6.7422e+23,6.801e+23,6.8464e+23,6.8884e+23,6.9384e+23
51,M,False,2.8184e+23,2.8037e+23,2.8169e+23,2.8345e+23,2.8352e+23,2.8329e+23,2.8117e+23,2.8051e+23,2.7682e+23,2.7531e+23
52,M,False,2.7891e+23,2.7992e+23,2.8117e+23,2.8052e+23,2.7963e+23,2.8007e+23,2.8223e+23,2.8686e+23,2.8503e+23,2.8697e+23
53,M,False,2.2654e+23,2.491e+23,2.2548e+23,2.2372e+23,2.2311e+23,2.2397e+23,2.2716e+23,2.251e+23,2.2344e+23,2.2429e+23
54,M,True,1.1827e+24,1.176e+24,1.1817e+24,1.1853e+24,1.1855e+24,1.1807e+24,1.1768e+24,1.177e+24,1.1794e+24,1.1919e+24
55,M,True,2.8764e+23,2.9557e+23,3.0143e+23,2.9753e+23,3.0342e+23,3.073e+23,3.102e+23,3.0602e+23,3.1139e+23,3.1022e+23
56,M,False,1.1845e+24,1.1889e+24,1.198e+24,1.2043e+24,1.1952e+24,1.1865e+24,1.1851e+24,1.1663e+24,1.1692e+24,1.1738e+24
57,M,False,1.1851e+24,1.1663e+24,1.1692e+24,1.1738e+24,1.1523e+24,1.1526e+24,1.1406e+24,1.1508e+24,1.1524e+24,1.1469e+24
58,M,False,4.7042e+23,4.7587e+23,4.763e+23,4.7452e+23,4.7337e+23,4.7447e+23,4.731e+23,4.7244e+23,4.754e+23,4.7664e+23
59,M,False,1.0915e+24,1.0943e+24,1.0744e+24,1.0726e+24,1.057e+24,1.0635e+24,1.0606e+24,1.0594e+24,1.0603e+24,1.051e+24
60,M,True,5.2801e+23,5.2965e+23,5.3261e+23,5.3337e+23,5.3718e+23,5.2847e+23,5.3263e+23,5.4229e+23,5.3753e+23,5.2992e+23
61,M,False,6.1515e+23,6.1513e+23,6.2538e+23,6.4162e+23,6.2337e+23,6.341e+23,6.3899e+23,6.547e+23,6.5739e+23,6.7974e+23
62,M,False,6.9865e+23,7.0958e+23,7.1314e+23,7.1498e+23,7.2134e+23,7.0762e+23,7.0346e+23,7.1197e+23,7.1207e+23,7.1328e+23
63,M,False,8.1336e+23,8.1378e+23,8.1067e+23,8.0809e+23,7.799e+23,7.8714e+23,7.8691e+23,7.6653e+23,7.9035e+23,7.9476e+23
64,M,False,7.9035e+23,7.9476e+23,7.9019e+23,7.9024e+23,8.0968e+23,8.1469e+23,8.0485e+23,8.0927e+23,7.9267e+23,8.034e+23
65,M,True,8.6329e+23,8.6409e+23,8.7307e+23,8.7702e+23,8.8292e+23,8.848e+23,8.8587e+23,8.9054e+23,8.9251e+23,8.955e+23
66,M,False,8.9911e+23,8.9605e+23,8.9677e+23,8.953e+23,9.0027e+23,9.0229e+23,9.0493e+23,9.0304e+23,9.0148e+23,9.0319e+23
67,M,False,1.0835e+24,1.0801e+24,1.0754e+24,1.0769e+24,1.0789e+24,1.0814e+24,1.0786e+24,1.0781e+24,1.0765e+24,1.0772e+24
68,M,True,3.8458e+23,3.8588e+23,3.8891e+23,3.8195e+23,3.8501e+23,3.8572e+23,3.858e+23,3.8765e+23,3.8943e+23,3.9144e+23
69,M,False,3.4942e+23,3.9862e+23,4.0513e+23,4.0138e+23,3.8371e+23,3.8316e+23,3.8032e+23,4.1271e+23,4.1132e+23,3.9188e+23
70,M,False,4.7353e+23,4.9189e+23,5.0196e+23,5.0553e+23,5.2001e+23,5.262e+23,5.3462e+23,5.4215e+23,5.5342e+23,5.6072e+23
71,M,False,5.4105e+23,5.3944e+23,5.3536e+23,5.4179e+23,5.3848e+23,5.4054e+23,5.3905e+23,5.34e+23,5.375e+23,5.4092e+23
72,M,False,6.9416e+23,6.9416e+23,6.9547e+23,6.9969e+23,7.0706e+23,7.1003e+23,7.0833e+23,7.0455e+23,7.0685e+23,7.0246e+23
73,M,False,4.0457e+23,4.0965e+23,4.0917e+23,4.1535e+23,4.2114e+23,4.2694e+23,4.2755e+23,4.2635e+23,4.258e+23,4.2867e+23
74,M,True,3.5714e+23,3.4822e+23,3.5163e+23,3.4159e+23,3.4137e+23,3.3427e+23,3.3391e+23,3.3604e+23,3.2837e+23,3.3095e+23
75,M,False,3.6157e+23,3.6048e+23,3.5815e+23,3.5996e+23,3.5526e+23,3.5821e+23,3.515e+23,3.5447e+23,3.5119e+23,3.5393e+23
76,M,True,3.019e+23,2.9148e+23,3.152e+23,3.3421e+23,3.3034e+23,3.4524e+23,3.3995e+23,3.3455e+23,3.4542e+23,3.4743e+23
77,M,False,4.7557e+23,4.6925e+23,4.8384e+23,4.6282e+23,4.9258e+23,4.8128e+23,4.8201e+23,4.9944e+23,4.8781e+23,4.9461e+23
78,M,False,1.8719e+23,1.8878e+23,1.8793e+23,1.9073e+23,1.9011e+23,1.9111e+23,1.8929e+23,1.903e+23,1.9003e+23,1.8958e+23
79,M,False,2.0986e+23,2.1581e+23,2.2509e+23,2.3896e+23,2.3642e+23,2.5131e+23,2.5316e+23,2.5756e+23,2.6138e+23,2.7101e+23
80,M,False,1.4664e+23,1.4975e+23,1.5474e+23,1.572e+23,1.6068e+23,1.6265e+23,1.6321e+23,1.6467e+23,1.6669e+23,1.6796e+23
81,M,False,3.769e+23,3.7454e+23,3.7467e+23,3.7618e+23,3.7469e+23,3.7544e+23,3.7355e+23,3.749e+23,3.7489e+23,3.7285e+23
82,M,True,6.1012e+23,6.1461e+23,6.1845e+23,6.258e+23,6.3135e+23,6.3198e+23,6.3638e+23,6.3509e+23,6.3506e+23,6.368e+23
83,M,True,5.9281e+23,5.8956e+23,5.8721e+23,5.8333e+23,5.8264e+23,5.8494e+23,5.8642e+23,5.8365e+23,5.8438e+23,5.8195e+23
84,M,False,1.173e+24,1.1763e+24,1.1777e+24,1.176e+24,1.1755e+24,1.1748e+24,1.1752e+24,1.1744e+24,1.1723e+24,1.1715e+24
85,M,True,5.2697e+23,5.2457e+23,5.3046e+23,5.2695e+23,5.2307e+23,5.2264e+23,5.2045e+23,5.1989e+23,5.2199e+23,5.1635e+23
86,M,False,5.5763e+23,5.5985e+23,5.6113e+23,5.6098e+23,5.6075e+23,5.5766e+23,5.5285e+23,5.5165e+23,5.5137e+23,5.4907e+23
87,M,True,8.4654e+23,8.4883e+23,8.496e+23,8.4421e+23,8.4981e+23,8.4592e+23,8.4282e+23,8.3675e+23,8.2574e+23,8.2967e+23
88,M,False,7.6641e+23,7.613e+23,7.5771e+23,7.5671e+23,7.5317e+23,7.5369e+23,7.4854e+23,7.4612e+23,7.3886e+23,7.3857e+23
89,M,True,1.7281e+23,1.7234e+23,1.7327e+23,1.7414e+23,1.7428e+23,1.7328e+23,1.7216e+23,1.7275e+23,1.7207e+23,1.7212e+23
90,M,False,1.6673e+23,1.6452e+23,1.6345e+23,1.6282e+23,1.6224e+23,1.6043e+23,1.592e+23,1.5981e+23,1.6278e+23,1.6205e+23
91,M,False,1.6654e+23,1.6668e+23,1.6548e+23,1.6373e+23,1.6397e+23,1.6313e+23,1.604e+23,1.5805e+23,1.5539e+23,1.5564e+23
92,M,True,3.7076e+23,3.7043e+23,3.6979e+23,3.6681e+23,3.6594e+23,3.6714e+23,3.662e+23,3.6388e+23,3.6157e+23,3.5904e+23
93,M,True,3.1414e+23,3.1205e+23,3.1078e+23,3.1228e+23,3.1168e+23,3.1115e+23,3.1009e+23,3.0868e+23,3.1019e+23,3.0834e+23
94,M,False,3.2677e+23,3.2974e+23,3.3173e+23,3.2978e+23,3.3171e+23,3.3104e+23,3.3066e+23,3.2534e+23,3.1931e+23,3.1648e+23
95,M,True,3.1476e+23,3.1253e+23,3.1187e+23,3.1597e+23,3.146e+23,3.1272e+23,3.1384e+23,3.1664e+23,3.1778e+23,3.1539e+23
96,M,False,3.6888e+23,3.6755e+23,3.6487e+23,3.588e+23,3.623e+23,3.5407e+23,3.5244e+23,3.4794e+23,3.427e+23,3.4423e+23
97,M,False,2.6533e+23,2.6556e+23,2.6441e+23,2.6565e+23,2.6448e+23,2.6615e+23,2.6371e+23,2.6462e+23,2.6339e+23,2.6188e+23
98,M,True,6.0104e+23,6.1391e+23,6.171e+23,6.2398e+23,6.0688e+23,6.1516e+23,6.256e+23,6.2807e+23,6.1927e+23,6.1995e+23
99,M,True,6.4916e+23,6.4363e+23,6.4807e+23,6.3888e+23,6.4024e+23,6.386e+23,6.4292e+23,6.4339e+23,6.4687e+23,6.4379e+23
100,M,True,1.6632e+24,1.6489e+24,1.639e+24,1.6696e+24,1.6627e+24,1.6922e+24,1.6996e+24,1.6773e+24,1.6627e+24,1.6576e+24
101,M,False,1.5308e+24,1.5282e+24,1.5105e+24,1.5101e+24,1.5279e+24,1.5403e+24,1.5519e+24,1.538e+24,1.5485e+24,1.4997e+24
102,M,False,8.3696e+23,8.4856e+23,8.5945e+23,8.8431e+23,8.649e+23,8.7951e+23,9.0461e+23,8.846e+23,8.8632e+23,8.9484e+23
103,M,True,1.604e+24,1.6072e+24,1.5977e+24,1.616e+24,1.6202e+24,1.6152e+24,1.6924e+24,1.747e+24,1.6225e+24,1.7482e+24
104,M,False,1.616e+24,1.6202e+24,1.6152e+24,1.6924e+24,1.747e+24,1.6225e+24,1.7482e+24,1.7346e+24,1.7418e+24,1.6433e+24
105,M,False,1.7482e+24,1.7346e+24,1.7418e+24,1.6433e+24,1.7524e+24,1.6433e+24,1.6613e+24,1.6593e+24,1.7761e+24,1.7873e+24
106,M,False,1.6613e+24,1.6593e+24,1.7761e+24,1.7873e+24,1.7158e+24,1.7141e+24,1.715e+24,1.7472e+24,1.8668e+24,1.8713e+24
107,M,False,1.8915e+24,1.8829e+24,1.9073e+24,1.8965e+24,1.8946e+24,1.8854e+24,1.8843e+24,1.8838e+24,1.862e+24,1.8821e+24
108,M,True,1.872e+24,1.8799e+24,1.9173e+24,1.7655e+24,1.775e+24,1.7874e+24,1.8778e+24,1.8409e+24,1.7859e+24,1.8079e+24
109,M,False,8.318e+22,7.7035e+22,7.9336e+22,9.4708e+22,9.398e+22,9.5435e+22,1.0301e+23,1.0744e+23,1.1211e+23,9.9012e+22
110,M,False,1.7523e+24,1.7415e+24,1.7487e+24,1.7549e+24,1.7491e+24,1.7481e+24,1.7511e+24,1.7401e+24,1.7457e+24,1.736e+24
111,M,False,1.553e+24,1.5512e+24,1.5532e+24,1.5511e+24,1.5558e+24,1.5568e+24,1.5649e+24,1.5686e+24,1.5698e+24,1.5705e+24
112,M,True,2.7479e+23,2.7858e+23,2.821e+23,2.8306e+23,2.8423e+23,2.8334e+23,2.8454e+23,2.8552e+23,2.8564e+23,2.8758e+23
113,M,True,3.0766e+23,2.9045e+23,2.927e+23,3.1357e+23,2.9852e+23,2.9819e+23,3.1483e+23,3.0107e+23,3.0133e+23,3.0123e+23
114,M,False,3.6396e+23,3.6326e+23,3.6222e+23,3.606e+23,3.5852e+23,3.5784e+23,3.5567e+23,3.5562e+23,3.5685e+23,3.5886e+23
115,M,False,8.8725e+23,8.9029e+23,9.009e+23,9.0177e+23,9.0557e+23,9.0753e+23,9.0713e+23,9.0734e+23,9.0696e+23,9.0268e+23
116,M,False,8.4413e+23,8.4267e+23,8.3908e+23,8.3682e+23,8.3904e+23,8.3904e+23,8.3408e+23,8.3273e+23,8.3368e+23,8.3227e+23
117,M,False,8.2301e+23,8.2104e+23,8.2163e+23,8.1969e+23,8.1661e+23,8.1737e+23,8.1962e+23,8.1844e+23,8.1844e+23,8.1533e+23
118,M,True,8.1175e+23,8.2577e+23,8.5375e+23,8.7546e+23,8.873e+23,8.9986e+23,9.3691e+23,9.4502e+23,9.8298e+23,9.9675e+23
119,M,True,1.6155e+24,1.5693e+24,1.6346e+24,1.6325e+24,1.5865e+24,1.6257e+24,1.6286e+24,1.6416e+24,1.6488e+24,1.6856e+24
120,M,True,2.0093e+24,2.0239e+24,2.0252e+24,2.0115e+24,2.0108e+24,2.0239e+24,2.0221e+24,2.0259e+24,2.0328e+24,2.0366e+24
121,M,True,1.9012e+24,1.8732e+24,1.9108e+24,1.8823e+24,1.8888e+24,1.8931e+24,1.8987e+24,1.9521e+24,1.8917e+24,1.9202e+24
122,M,True,1.8466e+24,1.8355e+24,1.834e+24,1.8266e+24,1.8256e+24,1.8211e+24,1.8139e+24,1.811e+24,1.8066e+24,1.8108e+24
123,M,True,1.7263e+24,1.7254e+24,1.735e+24,1.7341e+24,1.7261e+24,1.7248e+24,1.7336e+24,1.7268e+24,1.7277e+24,1.7279e+24
124,M,False,1.8236e+24,1.8337e+24,1.8411e+24,1.8541e+24,1.854e+24,1.8586e+24,1.8563e+24,1.863e+24,1.8729e+24,1.8656e+24
125,M,False,1.8506e+24,1.861e+24,1.8636e+24,1.8679e+24,1.8687e+24,1.8717e+24,1.8656e+24,1.8598e+24,1.8565e+24,1.8496e+24
126,M,False,1.7819e+24,1.7819e+24,1.7878e+24,1.7839e+24,1.7824e+24,1.7766e+24,1.7841e+24,1.7797e+24,1.7791e+24,1.7721e+24
127,M,False,4.6441e+23,4.6215e+23,4.5946e+23,4.5845e+23,4.5972e+23,4.6038e+23,4.5829e+23,4.6405e+23,4.6137e+23,4.649e+23
128,M,True,5.2041e+23,5.1399e+23,5.0029e+23,4.8843e+23,4.8751e+23,4.8126e+23,4.6336e+23,4.5364e+23,4.4324e+23,4.2619e+23
129,M,False,1.8038e+23,1.7929e+23,1.8174e+23,1.8263e+23,1.8305e+23,1.8288e+23,1.8501e+23,1.899e+23,1.8812e+23,1.8911e+23
130,M,False,2.464e+23,2.6713e+23,2.4727e+23,2.4677e+23,2.8185e+23,2.7439e+23,2.7406e+23,2.7444e+23,2.7153e+23,2.6528e+23
131,M,True,2.7363e+22,2.7045e+22,2.6521e+22,2.7324e+22,2.7672e+22,2.8637e+22,2.9348e+22,2.9614e+22,2.9433e+22,3.0066e+22
132,M,False,1.8386e+23,1.8463e+23,1.8366e+23,1.8485e+23,1.8401e+23,1.81e+23,1.7978e+23,1.8262e+23,1.7968e+23,1.787e+23
133,M,True,5.3402e+23,5.5119e+23,5.4292e+23,5.5522e+23,5.6236e+23,5.6769e+23,5.6776e+23,5.7866e+23,5.8389e+23,5.905e+23
134,M,False,6.5118e+23,6.5083e+23,6.657e+23,6.6047e+23,6.7889e+23,6.9615e+23,6.9767e+23,6.6494e+23,6.7613e+23,6.8001e+23
135,M,False,7.2156e+23,7.399e+23,7.2638e+23,7.0513e+23,7.0424e+23,7.123e+23,7.2153e+23,7.1507e+23,6.9969e+23,6.999e+23
136,M,True,7.3828e+23,7.383e+23,7.4575e+23,7.4285e+23,7.4297e+23,7.4559e+23,7.4697e+23,7.4738e+23,7.4982e+23,7.5043e+23
137,M,False,7.6018e+23,7.5849e+23,7.5013e+23,7.5861e+23,7.4717e+23,7.5564e+23,7.424e+23,7.4731e+23,7.4541e+23,7.4033e+23
138,M,False,1.3077e+24,1.3024e+24,1.3046e+24,1.3008e+24,1.2933e+24,1.2958e+24,1.2811e+24,1.2764e+24,1.276e+24,1.2728e+24
139,M,False,1.3875e+24,1.436e+24,1.4394e+24,1.3863e+24,1.3829e+24,1.388e+24,1.3847e+24,1.3963e+24,1.3958e+24,1.4025e+24
140,M,False,9.797e+23,9.7596e+23,9.7406e+23,9.749e+23,9.7606e+23,9.7588e+23,9.758e+23,9.7652e+23,9.7518e+23,9.7263e+23
141,M,False,2.8186e+23,2.8434e+23,2.8742e+23,2.8813e+23,2.9208e+23,2.8927e+23,2.9164e+23,2.973e+23,2.9742e+23,3.0066e+23
142,M,True,8.7451e+23,9.2476e+23,8.7309e+23,8.9608e+23,9.0316e+23,8.7956e+23,8.7972e+23,8.8175e+23,8.8316e+23,8.9178e+23
143,M,True,9.2489e+23,9.3113e+23,9.2534e+23,9.3014e+23,9.3335e+23,9.3758e+23,9.5567e+23,9.5156e+23,9.9825e+23,9.9737e+23
144,M,False,9.3113e+23,9.2534e+23,9.3014e+23,9.3335e+23,9.3758e+23,9.5567e+23,9.5156e+23,9.9825e+23,9.9737e+23,1.0262e+24
145,M,False,1.0819e+24,1.0732e+24,1.0652e+24,1.0932e+24,1.089e+24,1.1022e+24,1.1145e+24,1.1183e+24,1.1277e+24,1.1309e+24
146,M,True,1.1099e+24,1.1063e+24,1.1087e+24,1.1042e+24,1.1118e+24,1.1378e+24,1.1395e+24,1.1466e+24,1.1553e+24,1.1665e+24
147,M,False,1.1395e+24,1.1466e+24,1.1553e+24,1.1665e+24,1.1732e+24,1.1749e+24,1.177e+24,1.1984e+24,1.1956e+24,1.2038e+24
148,M,False,1.1964e+24,1.2137e+24,1.2371e+24,1.2218e+24,1.2248e+24,1.2415e+24,1.2374e+24,1.2289e+24,1.2391e+24,1.2483e+24
149,M,False,1.2204e+24,1.2348e+24,1.2259e+24,1.2456e+24,1.2396e+24,1.2386e+24,1.2585e+24,1.2289e+24,1.2417e+24,1.232e+24
150,M,False,1.2325e+24,1.242e+24,1.2406e+24,1.2434e+24,1.2351e+24,1.2614e+24,1.2575e+24,1.2576e+24,1.2689e+24,1.2826e+24
151,M,False,1.5488e+24,1.5544e+24,1.5573e+24,1.5789e+24,1.5884e+24,1.59e+24,1.5854e+24,1.5896e+24,1.6047e+24,1.611e+24
152,M,False,1.6879e+24,1.691e+24,1.6871e+24,1.6887e+24,1.6819e+24,1.6788e+24,1.6688e+24,1.6645e+24,1.6586e+24,1.6546e+24
153,M,False,1.2467e+24,1.2385e+24,1.2398e+24,1.2368e+24,1.231e+24,1.2344e+24,1.2346e+24,1.2426e+24,1.2477e+24,1.2455e+24
154,M,False,9.2412e+23,9.2035e+23,9.1712e+23,9.121e+23,9.0985e+23,9.0806e+23,9.0637e+23,9.0194e+23,9.0051e+23,8.9765e+23
155,M,True,8.0677e+22,8.2387e+22,8.3109e+22,8.3288e+22,8.402e+22,8.2561e+22,8.1649e+22,8.0497e+22,8.1931e+22,8.0596e+22
156,M,False,2.6378e+22,2.6716e+22,2.6869e+22,2.763e+22,2.7872e+22,2.8207e+22,2.7664e+22,2.7642e+22,2.7111e+22,2.6724e+22
157,M,False,1.7648e+23,1.7724e+23,1.7919e+23,1.7768e+23,1.7756e+23,1.7847e+23,1.7668e+23,1.7618e+23,1.7557e+23,1.7496e+23
158,M,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159,M,False,3.2435e+23,3.2103e+23,3.2325e+23,3.2187e+23,3.2135e+23,3.2103e+23,3.2128e+23,3.187e+23,3.1992e+23,3.1769e+23
160,M,True,1.204e+24,1.2064e+24,1.2127e+24,1.2145e+24,1.204e+24,1.1817e+24,1.2044e+24,1.208e+24,1.2179e+24,1.2339e+24
161,M,True,1.339e+24,1.3429e+24,1.3478e+24,1.3463e+24,1.3492e+24,1.3568e+24,1.3596e+24,1.3719e+24,1.3671e+24,1.3797e+24
