,FLARE_TYPE,COINCIDENCE,MEANJZH_1,MEANJZH_2,MEANJZH_3,MEANJZH_4,MEANJZH_5,MEANJZH_6,MEANJZH_7,MEANJZH_8,MEANJZH_9,MEANJZH_10
1184,B,False,-0.0073962,-0.0074146,-0.0071273,-0.0077722,-0.008182,-0.0078381,-0.0079768,-0.0082241,-0.0082577,-0.0081419
1185,B,False,-0.0029261,-0.0030132,-0.0029988,-0.0028279,-0.003025,-0.0031561,-0.003524,-0.0038302,-0.0037352,-0.0042221
1186,B,False,-0.00078791,-0.00034304,-0.00016136,0.00049348,0.00082114,0.00049926,0.0016818,0.0016505,0.0014338,0.00082308
1187,B,False,0.00058394,0.00064239,-0.00010902,0.00044526,0.00032381,0.00051562,-0.00060634,-0.00036137,-0.0010441,-0.0016721
1188,B,False,0.0079827,0.0082328,0.0084368,0.0088398,0.0080161,0.0081284,0.0079839,0.0087286,0.0092757,0.0091764
1189,B,False,0.0041595,0.0016582,0.002561,0.0033789,0.00017435,0.00078441,-6.045e-05,-0.0004024,0.0018228,0.00052654
1190,B,False,-0.0037501,-0.0026583,-0.0044072,-0.0027225,-0.0027512,-0.0039404,-0.0019962,-0.0026617,-0.003764,-0.0033708
1191,B,False,-0.00063133,-0.0010063,-0.00045415,-0.00075885,-0.0010032,-0.0011018,-0.00099595,-0.0014187,-0.0015085,-0.0011989
1192,B,False,0.0055636,0.0049906,0.004915,0.0046999,0.0028691,0.0031374,0.0036224,0.0029453,0.0034428,0.0026223
1193,B,True,0.0041925,0.0031978,0.0034787,0.0036703,0.0034904,0.0038144,0.0031945,0.0033968,0.0036243,0.0038576
1194,B,True,-0.014884,-0.014801,-0.015864,-0.015748,-0.014092,-0.014909,-0.0154,-0.014796,-0.015483,-0.015246
1195,B,True,0.0043159,0.004933,0.0068529,0.0057598,0.0040117,0.0042736,0.0045057,0.0031321,0.004224,0.0040064
1196,B,False,0.0025967,0.00082009,0.0043518,0.0043418,0.0029445,0.0018598,0.0038885,0.0060751,0.0038603,0.0046285
1197,B,False,0.0035138,0.0038949,0.0034932,0.0027634,0.003008,0.0027715,0.0026713,0.0025477,0.0029351,0.0022127
1198,B,False,0.0073125,0.0069268,0.0071578,0.007436,0.0070053,0.007192,0.0072825,0.0070123,0.0070644,0.0069005
1199,B,False,-0.0024984,-0.0042646,-0.0066665,-0.0057746,-0.0059,-0.0058232,-0.0047619,-0.0052245,-0.0049736,-0.0051205
1200,B,False,0.0027684,0.0026927,0.0031122,0.0032213,0.0032444,0.0033891,0.0032096,0.0033944,0.0037396,0.0037915
1201,B,False,-0.0010524,-0.00098116,-0.00083139,-0.00064205,-0.00047184,-0.00023547,0.00021798,0.00085407,0.00072321,0.0013199
1202,B,False,0.00092644,0.00073326,0.00079286,0.00086441,0.00065372,0.00093675,0.0011386,0.0015687,0.0013762,0.0017896
1203,B,False,0.0033868,0.0028493,0.0019611,0.0011736,0.001712,0.0023092,0.0035094,0.0029437,0.0027671,0.0023535
1204,B,False,0.0001103,0.00063249,0.00018925,0.00021177,0.00082996,0.00016862,0.00054568,0.00027506,0.00058354,-3.7111e-05
1205,B,False,0.0020154,0.0034728,0.003169,0.003826,0.0028522,0.003318,0.0020065,0.0029785,0.002923,0.0026871
1206,B,True,-0.0019239,-0.0017352,-0.0020268,-0.0018123,-0.0018013,-0.0017325,-0.0019225,-0.0022665,-0.0015526,-0.0014146
1207,B,False,0.010017,0.0088997,0.0059813,0.00397,0.0046614,0.0067002,0.0084804,0.009092,0.0083695,0.0098379
1208,B,True,0.0024758,0.0019009,0.0013199,0.0030399,0.0014149,0.00089972,0.0010521,0.001272,0.0013577,0.0014184
1209,B,True,0.0046564,0.0048262,0.0038133,0.0042556,0.0044863,0.0034601,0.0039049,0.0038147,0.006003,0.0040571
1210,B,False,-0.012149,-0.013076,-0.014713,-0.017835,-0.0087143,-0.01585,-0.015221,-0.014949,-0.015244,-0.01379
1211,B,False,-2.3841e-05,-0.0011613,0.002279,-0.00040773,-0.0028101,-0.0022443,0.00078935,-0.0026449,-0.0039525,-0.003138
1212,B,True,-0.00017041,0.00022591,-0.0002809,0.0005327,7.4045e-05,0.00036523,-6.0952e-05,-0.00073772,-0.0013365,-0.001064
1213,B,False,0.0049818,0.0056219,0.0053661,0.005146,0.0054075,0.0050498,0.0053588,0.0051273,0.0054376,0.0052008
1214,B,False,0.0017523,0.001912,0.0017993,0.0014481,0.0011018,0.0010535,0.0011666,0.0018567,0.0016632,0.0020235
1215,B,False,0.0051995,0.0053322,0.0053509,0.0050865,0.0046674,0.0045116,0.0043934,0.0042389,0.0041672,0.0037452
