,FLARE_TYPE,COINCIDENCE,MEANJZD_1,MEANJZD_2,MEANJZD_3,MEANJZD_4,MEANJZD_5,MEANJZD_6,MEANJZD_7,MEANJZD_8,MEANJZD_9,MEANJZD_10
1472,B,False,0.50078,0.23191,0.38753,0.30044,0.37827,0.41909,0.69458,0.54353,0.31233,0.22507
1473,B,False,-0.064857,-0.060124,-0.074012,-0.11118,-0.077278,-0.039972,-0.12445,-0.051483,-0.0035055,-0.013271
1474,B,False,0.58982,0.56535,0.49039,0.45048,0.35032,0.25805,0.33864,0.27219,0.30386,0.4847
1475,B,True,-0.1425,-0.1088,-0.21168,-0.098089,-0.18162,-0.098522,-0.046352,-0.2023,-0.040572,-0.18192
1476,B,False,-0.21152,-0.21146,-0.078773,-0.01523,0.049991,0.024228,0.042902,-0.0023189,0.096556,0.030672
1477,B,False,-0.14178,-0.14386,-0.12475,-0.16315,-0.17233,-0.20607,-0.18732,-0.24851,-0.19479,-0.27332
1478,B,False,0.44377,0.43485,0.51687,0.48794,0.44356,0.44413,0.45873,0.42002,0.48696,0.447
1479,B,False,-0.032967,-0.012906,0.00091828,-0.0033346,0.0019077,-0.0060471,-0.0099563,-0.071836,0.00069246,-0.10012
1480,B,False,0.63015,0.6644,0.82085,0.61234,0.80956,0.67034,0.92143,0.59029,0.80707,0.68645
1481,B,True,0.13521,-0.076772,-0.10589,-0.18249,-0.36299,-0.15221,-0.26796,-0.17111,-0.1455,-0.16117
1482,B,False,0.41907,0.33742,0.45515,0.41272,0.5116,0.483,0.39646,0.37306,0.45047,0.51366
1483,B,False,-0.17414,-0.23278,-0.235,-0.2569,-0.27343,-0.26563,-0.23935,-0.25943,-0.21795,-0.24691
1484,B,False,-0.40321,-0.48635,-0.36063,-0.2754,-0.49995,0.046418,-0.6016,-0.094525,-0.14503,-0.41618
1485,B,False,0.21613,0.21233,0.13138,0.20348,-0.00085924,0.097647,-0.05959,0.0060949,0.23605,0.18085
1486,B,False,-0.22026,-0.19298,-0.15159,-0.065937,-0.051842,-0.16203,-0.063621,-0.13264,0.059521,-0.086339
1487,B,False,0.0,2.5551,2.3351,-1.0336,0.47709,0.22832,-0.15546,-0.2204,1.9899,0.48318
1488,B,False,0.23848,0.7015,0.2564,0.68748,0.30046,0.73197,0.49912,0.36778,0.47917,0.33657
1489,B,False,0.10144,0.13906,0.10513,0.10864,0.06489,0.054593,0.21107,0.18936,0.17412,0.18342
1490,B,False,-0.010842,0.49324,-0.0238,0.50295,0.26783,0.46583,0.079073,0.38686,0.15425,0.25226
1491,B,False,-0.077661,0.027237,-0.0044189,-0.029717,0.03938,0.019431,0.028475,-0.0083477,0.01993,0.077805
1492,B,False,0.18858,0.17165,0.15045,0.17595,0.21279,0.19937,0.22344,0.19637,0.16812,0.18603
1493,B,False,-0.11892,-0.15467,-0.027783,-0.20573,-0.17695,-0.015803,-0.078126,-0.019026,-0.0029659,0.069873
1494,B,False,-0.12049,0.029292,0.022851,-0.14669,-0.078259,-0.082425,-0.040869,-0.078091,-0.074808,-0.10888
1495,B,False,-0.12238,-0.13297,-0.16819,-0.051938,-0.026787,-0.14537,-0.5412,-0.5973,-0.49129,-0.99355
1496,B,False,0.39988,0.537,0.45095,0.49784,0.51524,0.40389,0.29208,0.31828,0.43171,0.39252
1497,B,False,-0.31165,-0.29888,-0.3096,-0.34009,-0.26756,-0.30264,-0.29113,-0.29392,-0.29485,-0.23487
1498,B,False,-0.31405,-0.27832,-0.22122,-0.30835,-0.33871,-0.29051,-0.33221,-0.32094,-0.40958,-0.43372
1499,B,True,-0.15577,-0.16949,-0.15621,-0.16126,-0.16684,-0.13441,-0.1444,-0.13896,-0.13941,-0.090061
1500,B,False,-0.051921,-0.032382,0.0015681,0.10493,0.091121,0.038761,0.084243,0.07499,0.14018,0.0049586
1501,B,False,0.88223,0.83206,1.0763,1.1138,0.63333,0.58713,0.32653,0.88251,0.5804,1.187
1502,B,False,-0.13223,0.040556,0.13911,-0.12852,0.17156,0.40065,0.15806,0.017636,0.014223,0.14764
1503,B,False,0.052372,0.021287,0.026579,0.062068,0.024613,0.027975,0.062032,0.017308,0.04382,0.086922
1504,B,False,0.034685,0.17411,0.10609,0.11721,0.048931,0.12085,0.3623,0.24469,0.20388,0.26218
1505,B,False,0.15811,0.13806,0.32871,0.17785,0.15962,0.19879,0.27326,0.23265,0.19313,0.22127
1506,B,False,-0.20385,-0.38063,-0.28657,-0.3032,-0.22129,-0.2036,-0.36242,-0.25619,-0.33067,-0.28593
1507,B,False,1.0135,1.0543,1.1587,1.2559,0.32436,0.65589,1.2498,0.45021,1.2705,1.0377
1508,B,False,0.57713,0.43502,0.26842,0.37176,0.30663,0.31356,0.50386,0.52639,0.29148,0.34898
1509,B,False,0.29377,0.32568,0.21574,0.32088,0.28641,0.16981,0.20772,0.22964,0.17973,0.16514
1510,B,False,0.067041,0.052956,0.13313,0.17914,0.058698,0.11873,0.15846,0.15692,0.010913,0.015098
1511,B,False,-0.14542,-0.017932,-0.12732,-0.067985,-0.10731,-0.1048,-0.12488,-0.075586,0.046633,-0.029455
1512,B,False,0.67474,0.53199,0.65879,0.41036,0.31025,0.38119,0.52994,0.13064,0.075167,0.34991
1513,B,False,-0.18124,-0.064907,-0.19399,-0.50473,-0.72907,-0.15404,-0.12163,-0.057968,-0.0035651,-0.032595
1514,B,False,-0.15185,-0.15306,-0.1875,-0.21956,-0.16594,-0.15345,-0.17523,-0.20558,-0.18276,-0.18995
1515,B,False,-0.18617,-0.27234,-0.24372,-0.15313,-0.13197,-0.15311,-0.14315,-0.16861,-0.15285,-0.17156
1516,B,False,-0.28681,-0.2322,-0.13128,-0.22826,-0.17523,-0.24994,-0.4128,-0.35715,-0.32307,-0.3308
1517,B,False,-0.20707,-0.16684,-0.090222,-0.11234,-0.17828,-0.29935,-0.2631,-0.27448,-0.48644,-0.29201
1518,B,False,-0.091481,-0.080853,-0.033407,0.017785,-0.013231,-0.013909,-0.054447,-0.018978,0.10858,-0.0086182
1519,B,False,-0.024164,-0.080559,-0.048834,-0.068227,-0.071474,-0.058675,-0.14567,-0.22135,-0.18065,-0.20937
1520,B,False,0.27858,0.44386,0.19208,0.22415,0.44517,0.56134,-0.074587,0.22299,0.47077,-0.045638
1521,B,False,0.68105,0.46746,0.41403,0.60597,0.74767,0.73828,0.56987,0.95878,0.84572,1.2192
1522,B,False,-0.16335,-0.12371,-0.16533,-0.17562,-0.11134,-0.1634,-0.096017,-0.018413,-0.089214,-0.060148
1523,B,False,0.61066,0.39526,0.4024,0.54447,0.45805,0.52414,0.59663,0.6203,0.60592,0.56834
1524,B,False,-0.11388,0.0009326,-0.11031,-0.02405,-0.012402,-0.20154,-0.078288,-0.083978,-0.11365,-0.11811
1525,B,False,0.33435,0.25116,0.38694,0.12331,0.22803,0.24242,0.27652,0.16497,0.29929,0.2049
1526,B,False,0.26193,0.14466,0.17207,0.14233,0.057446,0.18036,0.21379,0.22868,0.22867,0.22731
1527,B,False,0.11128,0.059806,0.032204,0.070042,0.051355,0.086659,-0.06107,-0.22376,-0.096288,-0.21628
1528,B,False,0.65806,0.69111,0.71395,0.77371,0.78765,0.74608,0.8893,0.83127,0.71734,0.91634
1529,B,False,0.063504,0.12444,0.10901,0.14656,0.0091497,-0.0034151,0.055057,0.00017849,0.030127,0.027778
1530,B,False,-0.15641,-0.40593,-0.28725,-0.07408,-0.19949,-0.07797,-0.20727,-0.19771,-0.16529,0.0071748
1531,B,False,0.14036,0.23206,0.15522,0.14949,0.33609,0.13491,0.083061,0.023757,-0.073999,0.052412
1532,B,False,-0.035615,0.11303,0.10443,0.088793,0.10556,0.1509,0.093843,0.058499,0.18673,0.098927
1533,B,False,0.081356,-0.0086061,0.21175,0.21979,0.26846,0.20578,0.40257,0.28412,0.2507,0.22725
1534,B,False,0.16144,0.40672,0.028922,0.60512,0.90416,0.085913,0.98949,0.61293,0.63747,0.58706
1535,B,False,-0.17614,-0.13169,-0.19098,-0.13958,-0.13086,-0.11951,-0.091125,-0.13171,-0.079912,-0.073166
1536,B,False,0.16209,0.16348,0.095865,0.2235,0.13048,0.1777,0.10124,0.15185,0.11209,0.11029
1537,B,False,0.16367,-0.34751,0.010005,-0.36731,-0.096503,-0.28613,-0.12219,0.19064,-0.24857,-0.11474
