,FLARE_TYPE,COINCIDENCE,slf_1,slf_2,slf_3,slf_4,slf_5,slf_6,slf_7,slf_8,slf_9,slf_10
118,M,True,6.4057,6.6046,6.6724,6.6256,6.9192,7.1129,7.0253,7.6468,7.8222,7.6269
119,M,True,21.21,19.351,22.232,19.079,19.113,17.773,20.756,21.197,21.792,20.419
120,M,True,14.443,13.588,12.909,12.28,14.66,12.233,11.365,11.783,11.985,13.517
121,M,True,9.8973,9.7358,9.6706,9.4788,9.8182,9.3341,9.4463,9.5444,9.6216,9.3816
122,M,True,9.2635,8.8993,8.9489,9.3101,9.3473,9.0364,9.4006,9.1997,9.234,9.3534
123,M,True,10.195,10.052,10.342,10.261,10.46,10.391,10.271,10.405,10.355,10.236
124,M,False,9.9774,9.9579,9.973,9.8875,10.117,10.138,9.8277,10.082,9.7576,10.174
125,M,False,9.8801,9.8923,9.6889,9.681,9.7206,9.9349,9.8652,10.002,9.8612,9.6845
126,M,False,9.4997,9.5705,9.4752,9.5736,9.584,9.6112,9.7526,9.5762,9.5087,9.7742
127,M,False,21.601,21.624,21.729,21.349,21.427,21.481,21.587,21.798,22.043,22.151
128,M,True,70.449,70.705,70.769,71.484,70.783,70.041,69.254,68.758,68.851,68.442
129,M,False,13.235,12.482,15.428,15.611,15.12,14.451,15.31,11.16,12.597,13.437
130,M,False,23.404,22.099,21.75,21.451,21.28,21.256,21.226,23.951,24.263,23.757
131,M,True,14.631,14.316,14.401,14.783,13.907,14.258,14.536,14.696,14.59,14.637
132,M,False,7.3509,7.292,7.0013,6.8245,7.5669,7.3807,7.4915,7.8023,7.8411,7.7612
133,M,True,44.402,42.593,44.829,46.027,42.702,44.085,42.68,43.503,42.852,43.139
134,M,False,42.698,44.214,44.308,34.648,33.928,44.579,32.449,33.759,33.751,34.982
135,M,False,31.937,33.89,31.388,40.299,40.719,41.556,33.058,42.007,40.689,36.864
136,M,True,29.798,29.63,29.657,29.408,29.568,29.298,29.257,29.146,29.014,28.771
137,M,False,28.92,28.74,28.663,28.61,28.657,28.563,28.72,28.519,28.283,28.353
138,M,False,12.24,16.508,16.263,16.043,16.482,15.976,15.844,15.835,15.737,15.88
139,M,False,11.77,11.687,11.473,11.557,11.651,11.604,11.531,11.449,11.674,11.846
140,M,False,22.494,22.502,22.892,22.884,22.592,22.864,22.83,22.881,23.082,23.046
141,M,False,29.779,29.622,29.826,29.779,30.08,30.04,30.296,30.427,30.47,30.094
142,M,True,7.8696,8.9065,8.7271,8.9379,9.0298,10.273,9.3849,9.8333,10.027,9.4404
143,M,True,13.82,13.667,13.282,13.539,13.281,12.999,13.591,12.958,12.877,11.636
144,M,False,13.667,13.282,13.539,13.281,12.999,13.591,12.958,12.877,11.636,12.693
145,M,False,12.943,12.494,12.565,12.089,12.439,13.931,14.363,12.472,11.953,12.059
146,M,True,11.678,11.851,11.643,14.652,11.831,11.481,11.064,10.854,10.374,10.282
147,M,False,11.064,10.854,10.374,10.282,10.294,10.064,10.505,10.305,10.147,10.073
148,M,False,9.692,9.8554,9.9123,9.7248,9.5802,9.3475,9.1112,9.0781,9.4841,8.8207
149,M,False,9.5314,9.4627,9.0943,9.355,9.3144,9.2174,9.2797,9.185,9.1311,9.1241
150,M,False,8.2542,7.799,7.7132,7.5826,7.6332,7.665,7.4874,7.7298,7.7173,7.5602
151,M,False,6.5876,6.5863,6.3931,6.3453,6.4807,6.6183,6.7598,6.5545,5.4491,7.0448
152,M,False,10.429,10.377,10.49,10.208,10.246,10.422,10.341,10.391,10.188,10.261
153,M,False,12.507,12.259,12.137,12.351,12.235,12.367,12.45,12.356,12.537,12.386
154,M,False,15.788,16.092,16.319,16.148,15.977,15.949,16.17,16.332,16.434,16.396
155,M,True,24.608,25.121,26.031,25.782,26.232,26.769,28.454,28.589,28.355,30.03
156,M,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,M,False,35.718,36.644,36.388,36.778,37.936,37.475,37.942,38.442,38.303,37.461
158,M,True,4.247,4.5522,2.9312,1.5031,1.6791,0.96118,1.2117,2.7827,2.2658,2.9816
159,M,False,6.4447,14.977,14.151,14.553,14.605,14.575,6.7409,6.7514,6.5861,6.5287
160,M,True,15.973,15.833,16.0,15.996,15.69,15.095,15.875,15.297,16.02,16.174
161,M,True,13.119,12.919,12.993,12.983,12.557,12.491,12.43,11.892,12.769,12.921
162,M,False,12.769,12.921,12.632,12.903,13.197,12.826,12.842,12.829,12.765,12.765
163,M,True,11.832,11.75,11.797,11.905,11.721,11.826,11.823,11.847,11.718,11.632
164,M,False,10.962,10.674,10.838,10.807,10.8,10.67,10.816,10.719,10.797,10.733
165,M,False,10.28,10.171,10.255,10.406,10.115,10.153,10.052,10.136,10.191,10.027
166,M,False,9.1671,8.3708,8.0795,5.7948,5.9996,6.0902,6.8844,5.9144,6.0362,5.6213
167,M,False,39.467,39.891,40.414,40.699,40.114,40.936,40.428,39.472,39.842,40.032
168,M,True,2.0655,4.8351,1.8315,2.1235,1.3948,1.2021,1.7702,2.9492,6.3447,2.0729
169,M,False,0.0,0.0,0.0,0.0,0.0,55.935,0.0,4.0532,0.0,0.0
170,M,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171,M,False,10.205,10.33,10.307,10.271,10.479,10.464,10.494,10.612,10.441,10.338
172,M,True,112.33,65.891,9.8583,81.32,10.104,9.8906,39.965,8.5913,8.0083,8.377
173,M,False,10.828,10.556,10.542,10.17,10.495,10.432,10.665,10.838,10.898,10.841
174,M,True,25.965,26.095,26.207,26.718,27.157,25.961,26.041,26.78,26.508,26.022
175,M,False,34.165,33.994,34.115,33.669,34.155,34.021,33.473,33.8,33.953,33.894
176,M,True,30.408,30.713,31.495,32.162,31.653,31.145,32.038,32.291,32.565,32.764
177,M,False,37.519,38.227,38.345,37.737,38.315,38.194,38.758,38.54,38.923,39.315
178,M,True,11.266,11.165,10.993,10.95,11.11,11.226,11.123,11.081,10.92,10.798
179,M,False,9.848,9.9125,9.9115,9.8412,9.7842,9.7829,9.77,9.631,9.6391,9.6626
180,M,False,9.4835,9.6326,9.5166,9.4774,9.4148,9.6829,9.7235,9.6054,9.5465,9.4502
181,M,True,11.529,11.632,11.398,11.415,11.505,11.529,11.432,11.6,11.701,11.55
182,M,True,11.349,11.062,11.024,11.12,11.212,11.002,10.979,10.853,10.811,10.712
183,M,True,10.795,10.88,10.873,10.862,10.969,10.779,10.805,10.965,10.846,10.83
184,M,True,10.745,10.785,10.828,10.874,10.849,10.78,10.743,10.907,10.969,10.932
185,M,False,45.942,46.083,46.113,45.921,46.332,46.718,46.618,46.561,46.977,47.609
186,M,True,10.416,10.558,10.524,10.542,10.524,10.637,10.617,10.641,10.672,10.625
187,M,False,10.625,10.697,10.755,10.763,10.782,10.872,10.872,10.646,10.771,10.813
188,M,False,10.872,10.646,10.771,10.813,10.772,10.879,10.791,10.759,10.781,10.849
189,M,True,10.781,10.849,10.911,10.476,10.937,10.953,10.499,11.065,11.032,10.907
190,M,True,10.937,10.953,10.499,11.065,11.032,10.907,10.423,10.31,10.413,10.342
191,M,False,10.211,10.106,10.249,10.217,10.133,10.209,10.264,10.303,10.361,10.28
192,M,False,28.011,34.389,6.3972,33.356,40.97,54.196,75.734,86.569,96.84,0.0
193,M,True,9.9278,9.9676,10.136,9.9445,9.9627,9.7397,9.8527,9.863,9.9215,9.798
194,M,False,9.9627,9.7397,9.8527,9.863,9.9215,9.798,9.7902,9.8601,9.9032,9.8174
195,M,False,9.8601,9.9032,9.8174,9.8124,9.8357,9.9124,9.7496,9.913,9.8321,9.9418
196,M,True,9.1577,9.1746,9.0854,8.9359,8.9095,8.9682,8.9334,9.0758,9.1455,9.1145
197,M,False,9.0758,9.1455,9.1145,9.3191,9.2189,9.1396,9.3496,9.3205,9.367,9.4536
198,M,True,10.081,9.9514,9.8881,10.026,10.237,10.152,10.221,10.304,10.225,10.123
199,M,False,10.221,10.304,10.225,10.123,10.166,10.132,10.057,10.034,9.9868,9.9957
200,M,True,10.235,10.243,10.232,10.134,10.269,10.174,10.202,10.148,10.114,10.12
201,M,False,10.088,10.07,10.258,10.373,10.289,10.431,10.361,10.422,10.307,10.345
202,M,True,10.33,10.454,10.329,10.299,10.401,10.445,10.392,10.246,10.447,10.27
203,M,False,9.9162,10.034,9.8708,10.04,10.176,10.292,10.254,10.376,10.425,10.475
204,M,False,11.155,11.167,11.117,10.921,10.813,10.929,10.95,10.89,11.196,11.102
205,M,False,7.1907,7.2131,7.2419,7.2051,7.244,8.2044,8.3383,8.3921,16.524,23.578
206,M,True,10.58,10.569,10.615,10.64,10.502,10.562,10.587,10.581,10.623,10.554
207,M,True,12.411,12.513,12.437,12.393,12.523,12.632,12.552,12.607,12.476,12.464
208,M,False,12.48,12.507,12.886,12.68,12.994,13.093,13.162,13.233,13.126,13.04
209,M,False,13.491,13.362,13.408,13.373,13.78,13.668,13.348,13.548,13.674,13.72
210,M,False,13.175,12.882,13.159,13.023,13.177,13.321,13.038,12.763,12.926,12.742
211,M,True,10.855,10.904,10.907,10.861,10.524,10.552,10.666,10.769,10.555,10.6
212,M,False,10.114,10.098,10.168,10.094,10.18,10.254,10.201,10.146,10.125,9.9761
213,M,False,10.254,10.201,10.146,10.125,9.9761,9.9645,9.8386,9.8166,9.9191,9.9017
214,M,False,17.011,16.866,16.805,16.783,16.595,16.621,16.609,16.754,16.713,16.433
215,M,False,26.572,26.657,26.924,26.861,26.89,27.97,23.945,27.186,26.97,27.041
216,M,False,23.839,23.75,23.906,22.55,21.862,21.054,20.11,20.539,20.353,20.118
217,M,True,58.527,58.242,28.683,53.217,53.378,53.219,53.306,53.624,53.254,54.147
218,M,False,52.661,51.625,51.474,51.035,51.224,50.522,51.259,51.029,51.428,50.817
219,M,False,45.916,45.665,45.517,44.762,44.626,44.581,44.604,44.59,44.672,44.97
220,M,False,73.076,72.033,72.489,72.684,72.551,73.836,72.801,71.974,73.046,73.202
221,M,False,4.7198,3.1583,4.5817,5.523,6.6586,6.2006,9.5497,8.409,5.8993,7.9298
222,M,False,4.5817,5.523,6.6586,6.2006,9.5497,8.409,5.8993,7.9298,11.009,7.361
223,M,False,19.36,19.106,18.938,18.986,18.869,18.661,18.481,19.013,18.642,18.318
224,M,False,31.696,31.4,32.289,30.73,31.609,30.965,30.626,29.634,29.994,30.334
225,M,False,16.677,16.841,16.827,16.517,16.819,16.791,16.742,16.852,17.333,17.372
226,M,False,48.502,48.939,49.368,49.871,49.372,49.255,48.55,48.023,47.605,47.198
227,M,True,5.2901,5.4755,5.3283,5.5236,6.0605,6.7556,7.3863,8.0067,9.1637,9.9564
228,M,True,16.525,14.47,14.148,14.193,14.073,14.218,14.494,14.258,14.043,13.831
229,M,True,104.98,110.78,0.0,0.0,113.8,0.0,0.0,113.93,0.0,113.98
230,M,False,8.7361,8.5237,8.5405,8.6391,8.5344,8.4332,8.5453,8.5595,8.4567,8.4069
231,M,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
232,M,False,6.7732,6.8083,6.6388,6.4986,6.5185,6.4351,6.3462,6.4465,6.4446,6.4216
233,M,False,7.5652,7.4881,7.5345,7.534,7.6728,7.694,7.5439,7.5709,7.542,7.5421
234,M,True,20.861,21.556,22.088,21.571,21.09,22.365,21.933,22.721,22.449,22.86
235,M,False,15.824,15.654,15.897,15.728,15.476,15.116,14.717,14.946,14.703,14.869
236,M,False,13.195,13.187,12.846,12.929,13.121,13.163,12.883,13.105,12.787,13.081
237,M,False,32.74,34.029,32.627,32.229,32.718,35.599,34.79,34.57,36.378,37.545
238,M,False,13.982,13.878,13.637,13.365,13.449,13.463,13.307,13.411,13.258,13.523
239,M,False,14.03,14.153,14.181,13.929,14.095,14.187,14.592,14.575,14.661,14.555
240,M,True,15.704,15.688,15.771,15.77,15.75,15.79,15.715,15.705,15.776,15.63
241,M,False,14.796,14.852,14.913,14.978,14.805,14.749,14.764,14.544,14.484,14.355
242,M,True,4.6924,5.8008,5.9401,5.6641,5.7601,6.9053,6.5248,5.9474,5.9599,5.5369
243,M,False,4.9591,4.3456,4.1012,4.652,4.5223,4.3482,4.38,4.6525,4.9049,4.7977
244,M,False,36.792,36.861,35.777,36.039,38.611,38.772,37.495,40.451,39.261,38.408
245,M,False,9.8078,9.732,9.6071,9.6201,10.07,9.7062,9.2298,9.489,9.4904,9.7677
246,M,False,11.144,11.343,11.331,11.219,11.005,11.318,11.349,11.259,11.374,11.434
247,M,False,10.483,10.404,10.375,10.359,10.165,10.189,10.208,10.131,10.009,10.271
248,M,False,11.941,12.237,12.588,12.404,12.503,12.549,12.372,12.483,12.685,12.378
249,M,False,20.594,20.294,20.608,21.039,20.892,21.005,21.071,21.33,20.937,21.32
250,M,False,27.628,27.337,27.869,25.803,26.47,26.534,26.757,26.874,26.351,25.999
251,M,True,16.632,16.689,16.946,16.703,17.183,16.812,16.947,17.122,17.235,16.503
252,M,False,17.504,17.25,16.914,16.965,16.972,17.745,17.508,17.436,17.339,17.558
253,M,False,3.9599,4.0947,3.9781,4.041,4.0762,4.0792,4.1189,4.191,4.3253,4.2717
254,M,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255,M,False,12.822,12.861,12.75,12.825,12.693,12.773,12.938,12.887,8.174,8.3657
256,M,False,18.304,18.02,17.87,17.952,18.294,18.476,18.401,18.384,18.974,19.153
257,M,False,45.868,57.848,60.997,50.107,54.417,46.465,36.363,33.577,39.072,34.167
258,M,False,101.82,0.0,0.0,0.0,93.844,89.98,91.357,97.433,109.31,0.0
259,M,False,44.53,43.544,45.294,45.523,40.298,43.846,46.112,49.116,47.11,46.684
260,M,False,31.212,31.817,32.169,32.267,32.205,31.993,32.416,31.296,30.596,32.526
261,M,True,5.1282,4.997,4.864,4.7538,4.8087,4.6707,3.5194,3.6407,4.7382,4.4392
262,M,False,4.7538,4.8087,4.6707,3.5194,3.6407,4.7382,4.4392,4.4383,4.471,4.7173
263,M,False,18.952,20.128,19.767,21.691,22.306,21.241,23.14,20.327,27.242,31.094
264,M,False,25.608,26.333,27.071,26.307,26.457,27.171,27.226,27.206,27.036,26.828
265,M,True,27.492,26.991,27.231,27.733,27.961,28.077,27.658,28.016,28.023,28.084
266,M,False,27.128,27.206,27.164,27.546,27.602,28.099,28.387,28.844,29.405,29.116
267,M,True,17.72,17.409,17.842,17.469,19.965,20.356,19.504,19.255,18.634,18.217
268,M,False,11.313,11.394,11.359,11.51,11.319,11.548,11.443,11.483,11.437,10.997
269,M,True,11.123,11.104,10.784,10.972,11.02,11.106,11.261,11.388,11.327,11.471
270,M,True,9.4941,9.4657,9.3487,9.3687,9.162,9.2813,9.31,9.3618,9.3028,9.3361
271,M,False,8.9011,8.9559,8.9516,8.9109,8.9523,8.7674,8.8358,8.7546,8.7548,8.5897
272,M,False,8.9516,8.9109,8.9523,8.7674,8.8358,8.7546,8.7548,8.5897,8.5557,8.6182
273,M,False,18.99,19.091,19.634,20.325,20.075,20.861,21.08,20.968,21.371,21.143
274,M,False,8.6303,8.7089,8.6722,8.7236,8.8131,8.8357,8.8025,8.8607,9.0441,9.0131
275,M,False,8.7236,8.8131,8.8357,8.8025,8.8607,9.0441,9.0131,8.9795,9.0165,9.1482
276,M,True,4.3915,4.3923,1.8284,1.724,3.4265,1.382,1.136,1.48,1.2739,1.3115
277,M,True,17.918,21.008,23.044,32.251,27.505,22.455,31.51,19.164,19.013,31.754
278,M,True,11.464,11.337,11.408,11.081,11.307,10.973,11.005,10.987,10.789,11.08
279,M,False,5.6085,5.5294,5.8321,5.6421,5.8927,6.1213,6.4999,6.7302,6.9132,10.138
280,M,False,6.602,6.522,6.3192,7.1405,7.1534,6.486,9.2493,9.4505,6.4887,8.9714
281,M,False,6.4887,8.9714,8.8294,9.0387,9.4294,9.9914,9.9495,10.02,9.6091,9.8108
282,M,False,5.4502,5.5694,5.5508,5.3943,5.4192,5.3717,5.3752,5.2176,5.2168,5.3036
283,M,True,14.567,14.785,14.716,14.593,14.596,14.62,14.444,14.665,14.675,14.795
284,M,False,12.102,12.297,12.254,12.085,12.547,12.288,12.35,12.661,12.413,12.385
285,M,False,26.314,26.316,26.334,26.393,26.246,26.165,26.151,26.173,26.19,26.25
286,M,False,13.03,12.935,12.837,12.626,13.077,13.077,13.18,12.792,12.933,12.359
287,M,True,7.7652,7.6836,7.6395,7.6707,7.6635,7.67,7.723,7.7101,7.6972,7.7056
288,M,False,7.6395,7.6707,7.6635,7.67,7.723,7.7101,7.6972,7.7056,7.6602,7.6945
289,M,False,12.968,13.141,13.078,13.125,12.932,12.546,12.595,12.643,12.663,12.727
290,M,False,87.035,105.03,102.11,104.36,105.18,107.44,108.65,107.67,89.663,88.964
291,M,False,11.217,11.405,11.284,11.349,11.172,11.159,11.253,11.216,11.241,11.234
292,M,True,12.009,12.068,12.107,12.147,12.165,12.176,12.24,12.123,12.208,12.172
293,M,False,12.095,12.215,12.248,12.116,12.066,12.197,12.315,12.431,12.634,12.57
294,M,True,14.081,13.899,13.693,13.759,13.856,13.965,14.013,14.032,14.157,14.162
295,M,True,11.772,11.593,11.546,11.598,11.379,11.273,11.435,11.604,11.411,11.519
296,M,True,11.155,11.318,11.338,11.334,11.136,11.291,11.216,11.203,11.272,11.253
297,M,True,10.677,10.708,10.687,10.683,10.683,10.774,10.715,10.835,10.885,10.776
298,M,True,11.336,11.366,11.533,11.409,11.511,11.483,11.578,11.537,11.495,11.463
299,M,False,9.4432,9.4832,9.341,8.8967,8.8605,8.5161,8.5704,8.6109,8.6691,9.1918
300,M,False,7.6135,8.5938,8.0852,7.5576,7.7046,8.4963,7.4976,8.1375,7.3673,7.8941
301,M,False,24.141,23.467,23.51,23.623,24.019,23.822,24.185,24.624,24.715,24.567
302,M,False,2.7417,2.7472,2.5407,2.5873,2.7247,2.6268,2.7066,2.8982,2.7512,2.8942
303,M,True,8.7515,8.9826,8.9662,9.0497,9.0497,9.272,9.4252,9.3966,9.2484,9.3693
304,M,True,10.63,11.001,10.854,11.02,11.162,11.223,11.396,11.03,11.124,10.93
305,M,False,9.1579,9.3051,9.4374,9.6806,9.6543,9.8799,9.7274,10.043,9.918,9.9937
306,M,False,12.456,9.6624,12.899,8.076,7.0005,4.9132,4.2533,7.0433,5.5742,6.2731
307,M,True,2.8522,2.9079,2.6708,4.845,3.0026,2.2568,1.9002,1.9076,2.0795,2.0794
308,M,False,2.3896,2.3889,2.3451,2.3488,2.3413,2.3168,2.3483,2.2993,2.3584,3.2241
309,M,False,29.211,28.151,29.393,28.396,29.834,29.274,29.824,30.402,30.699,29.188
310,M,True,25.253,27.109,28.457,29.617,29.166,30.042,31.509,32.806,31.252,31.167
311,M,False,46.052,43.448,46.232,42.343,42.636,42.495,41.693,41.427,41.549,40.79
312,M,True,17.904,18.166,18.02,18.16,18.193,17.879,17.777,17.613,17.874,17.846
313,M,False,18.16,18.193,17.879,17.777,17.613,17.874,17.846,17.467,17.957,17.702
314,M,False,40.001,40.158,40.246,40.078,39.601,39.817,39.897,40.057,39.935,39.221
315,M,True,18.187,18.373,18.422,18.392,18.19,18.328,18.283,18.458,18.194,18.071
316,M,False,18.463,18.646,18.213,17.84,18.342,18.429,18.339,18.795,18.973,18.911
317,M,False,18.884,18.477,19.009,19.427,19.186,19.587,19.117,18.969,18.937,19.144
318,M,False,17.704,17.694,17.655,17.254,17.261,17.2,17.181,17.091,17.314,17.318
319,M,False,14.757,14.601,14.364,15.349,15.04,15.018,15.273,15.064,14.991,15.296
320,M,True,12.939,12.846,12.762,13.061,12.929,11.426,11.29,11.139,11.24,11.33
321,M,False,19.287,18.968,19.017,18.969,19.403,19.16,19.06,18.709,18.816,19.039
322,M,True,3.1994,2.4381,2.3339,2.1449,2.5092,3.1964,2.5727,2.9086,3.2766,3.1959
323,M,True,18.333,20.203,17.728,19.307,19.306,18.089,17.383,17.355,17.004,19.544
324,M,True,12.654,12.557,12.21,12.099,11.789,11.682,11.649,11.521,11.499,11.43
325,M,False,27.972,28.128,28.15,28.015,27.88,28.128,30.681,27.888,26.326,26.27
326,M,False,21.991,24.781,24.32,23.845,25.572,23.849,14.226,24.489,14.424,17.349
327,M,False,32.212,32.225,32.951,30.028,23.549,17.232,18.485,13.453,18.171,15.543
328,M,False,13.188,13.249,13.513,13.376,13.391,13.551,13.543,13.902,13.594,13.776
329,M,True,9.1305,9.0991,9.0977,9.1321,9.118,9.119,9.305,9.2726,9.3387,9.2339
330,M,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
331,M,False,12.746,15.513,13.054,12.797,12.588,14.497,14.659,12.345,14.958,15.275
332,M,False,4.7027,5.9109,6.3972,6.2837,5.7916,7.011,6.5495,6.2642,7.4181,8.2393
333,M,False,9.2071,8.4407,9.2856,9.7114,10.655,9.066,8.3175,8.8245,8.8728,9.9349
334,M,False,7.0375,2.855,3.9775,2.8186,2.8927,2.5572,2.9476,2.6078,2.5862,5.3363
335,M,False,2.5572,2.9476,2.6078,2.5862,5.3363,2.7746,2.4791,2.4971,5.7931,6.8654
336,M,False,11.172,10.955,10.524,10.826,8.8928,8.5719,8.6955,9.6306,9.3542,9.5413
337,M,False,4.7565,5.1398,5.5921,5.7626,5.9318,5.9041,5.717,5.6644,5.4962,5.5062
338,M,True,20.63,12.679,17.748,20.37,17.817,14.745,13.51,21.339,18.837,18.251
339,M,False,21.339,18.837,18.251,19.38,14.859,12.145,15.716,14.556,14.802,15.477
340,M,False,18.485,11.124,16.12,18.453,19.448,19.619,18.016,18.812,15.915,17.342
341,M,True,8.0321,7.9871,7.9396,7.9797,7.8434,8.006,8.0879,8.0437,7.9323,8.0074
342,M,False,7.7271,7.6844,7.6201,7.5185,7.4963,7.4602,7.5578,7.4722,7.5495,7.5539
343,M,True,24.513,24.619,24.539,24.031,24.024,23.706,23.884,23.739,23.897,23.636
344,M,True,5.7769,5.7565,5.738,5.76,5.6939,5.711,5.7559,5.7493,5.7449,5.7206
345,M,False,5.6764,5.6668,5.642,5.5894,5.6312,5.5645,5.5429,5.5215,5.5018,5.4807
346,M,False,5.433,5.4468,5.4417,5.4019,5.3595,5.4142,5.3733,5.3813,5.3455,5.3637
347,M,False,20.286,20.037,19.918,20.1,19.848,19.734,19.375,19.158,19.02,18.786
348,M,False,5.1806,5.2065,5.2227,5.1682,5.1934,5.1864,5.1878,5.1963,5.2072,5.2007
349,M,False,5.1211,5.1436,5.1614,5.0938,5.1103,5.1259,5.0884,5.0944,5.0646,5.0826
350,M,False,16.851,16.769,16.743,16.897,17.25,17.045,16.732,16.947,17.418,17.522
351,M,True,4.4573,4.4577,4.4694,4.4769,4.4785,4.4671,4.5064,4.5104,4.4943,4.5019
352,M,False,6.3413,6.36,6.4195,6.139,6.1849,6.3189,6.2863,6.293,6.3358,6.3521
353,M,False,6.3665,6.4282,6.3524,6.3383,6.3995,6.4176,6.3794,6.4162,6.3793,6.3293
354,M,False,7.7077,7.6572,7.7002,7.6734,7.7639,7.7747,7.7131,7.7619,7.8192,7.8133
355,M,True,9.9042,9.8493,9.9224,9.8376,9.9671,9.9221,10.003,10.027,10.107,10.18
356,M,False,10.322,10.434,10.363,10.276,4.8038,4.734,4.7416,10.443,10.142,10.259
357,M,False,8.3417,8.2149,8.4767,8.484,8.4344,8.5577,8.6214,8.5417,8.334,8.4948
358,M,True,32.78,32.417,32.078,32.285,32.094,31.952,31.253,30.915,30.465,30.264
359,M,True,28.391,28.182,28.651,28.116,28.433,28.689,28.462,28.378,28.416,28.33
360,M,True,22.825,22.553,22.629,22.696,22.312,22.215,21.023,20.95,20.774,20.371
361,M,True,19.717,19.822,19.823,19.867,19.465,19.219,19.336,19.366,19.079,18.837
362,M,True,17.251,17.268,17.178,17.156,17.117,17.503,17.253,16.995,17.305,17.373
363,M,True,14.835,14.781,14.992,14.483,14.489,14.512,14.746,14.941,14.923,14.765
364,M,True,14.512,14.746,14.941,14.923,14.765,14.82,15.132,15.152,15.303,15.26
365,M,False,14.794,14.659,14.373,14.721,14.668,14.493,14.436,14.575,14.647,14.307
366,M,False,14.314,14.388,14.376,14.207,14.106,14.119,14.124,13.786,13.577,13.439
367,M,True,10.301,10.252,10.293,10.443,10.577,10.491,10.481,10.391,10.518,10.534
368,M,False,10.572,10.302,10.37,10.272,10.235,10.123,10.142,10.271,10.149,10.197
369,M,False,10.123,10.142,10.271,10.149,10.197,10.229,10.322,10.156,10.152,10.1
370,M,False,9.8669,9.8544,9.9713,9.9354,9.7705,9.8869,9.8814,9.8587,9.8742,9.865
371,M,False,13.314,13.254,13.361,13.586,13.78,14.188,13.833,14.371,14.408,14.318
372,M,False,9.1018,9.1647,9.1893,0.0,0.0,0.0,0.0,0.0,3.2329,3.2554
373,M,False,20.89,19.24,21.597,21.481,21.213,21.383,21.632,21.969,21.449,21.216
374,M,False,17.733,17.85,18.284,18.487,18.278,17.896,17.892,17.926,18.143,17.957
375,M,False,88.042,90.18,83.952,86.001,84.108,77.329,82.234,79.367,82.824,81.301
376,M,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
377,M,False,154.64,157.27,155.53,149.71,152.12,149.75,151.04,150.84,145.42,149.74
378,M,False,15.749,15.81,15.773,15.955,16.107,16.44,16.193,16.182,16.563,16.502
379,M,True,8.5994,13.739,10.971,25.561,30.254,17.9,28.205,19.697,15.225,0.0
380,M,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
381,M,True,37.78,37.49,35.363,32.346,31.996,31.557,31.885,29.214,30.703,32.451
382,M,False,34.8,34.112,26.568,29.14,27.317,30.623,25.675,26.368,26.827,23.678
383,M,False,22.118,22.08,22.769,23.206,23.246,23.345,22.525,22.82,22.554,23.894
384,M,False,18.384,18.132,18.632,17.919,17.463,17.516,17.711,18.136,17.636,16.538
385,M,True,18.422,18.675,18.756,19.025,18.675,19.25,19.172,19.416,20.026,19.531
386,M,False,19.551,19.651,20.967,20.692,20.199,19.751,20.373,21.216,21.328,21.535
387,M,False,7.8907,4.6883,11.765,7.3979,5.8456,5.8552,7.6716,12.916,15.185,9.472
388,M,True,15.946,16.062,16.068,16.22,16.299,16.249,18.787,16.292,16.385,16.729
389,M,True,24.298,24.45,20.3,20.059,20.272,21.278,22.61,22.78,22.783,22.102
390,M,False,71.743,77.884,74.736,69.339,61.151,80.635,83.772,93.62,80.279,66.624
391,M,False,122.14,120.45,120.51,120.05,115.97,107.0,115.74,109.73,106.38,103.25
392,M,False,14.606,14.316,14.331,14.441,14.301,14.164,14.352,14.276,14.318,14.321
393,M,True,30.839,30.548,31.186,30.78,31.02,30.925,31.128,31.125,30.586,31.062
394,M,False,30.755,30.514,30.688,30.778,30.6,30.776,30.663,30.273,30.336,30.431
395,M,False,6.4293,6.5934,6.7751,6.9128,6.9352,6.9939,6.7401,6.2552,6.3142,6.228
396,M,False,5.7142,5.5968,5.7712,5.8091,5.8302,5.8329,5.7436,5.8933,5.9404,6.0622
397,M,False,99.744,95.018,98.268,0.0,99.931,0.0,99.336,0.0,97.895,99.607
398,M,False,50.466,50.937,53.876,51.269,53.344,52.807,56.429,55.104,56.214,59.568
399,M,False,11.455,11.598,11.509,11.734,12.042,12.037,12.323,11.838,12.021,11.84
400,M,True,19.825,20.164,20.304,20.311,20.348,20.261,19.808,20.786,20.61,20.899
401,M,False,44.987,46.005,48.055,49.136,52.655,49.806,47.931,50.578,53.762,54.609
402,M,False,33.269,35.069,34.594,34.377,34.768,35.364,36.341,36.071,36.474,36.909
403,M,False,23.508,23.513,23.554,23.543,23.494,23.434,23.416,23.499,23.242,23.207
404,M,False,60.246,59.965,58.567,57.707,57.981,56.192,56.641,56.415,56.486,56.301
