,FLARE_TYPE,COINCIDENCE,slf_1,slf_2,slf_3,slf_4,slf_5,slf_6,slf_7,slf_8,slf_9,slf_10
814,C,False,10.998,11.171,11.031,11.121,10.995,11.007,11.196,10.854,10.973,11.008
815,C,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
816,C,False,13.595,12.591,12.304,13.161,12.906,12.613,13.099,13.185,13.195,12.818
817,C,False,17.476,17.457,17.243,17.549,17.376,17.27,17.478,16.645,16.446,16.291
818,C,False,59.779,59.311,58.881,59.166,59.334,58.59,58.599,58.401,58.598,57.216
819,C,False,27.797,27.722,27.376,27.254,27.335,27.702,26.708,26.919,27.103,27.469
820,C,False,4.3832,3.9809,4.1499,3.9886,3.8623,3.8936,4.0057,3.8504,4.0504,4.05
821,C,False,66.382,66.049,66.226,66.433,67.2,67.36,68.418,69.442,68.705,69.172
822,C,False,18.908,19.04,19.348,19.133,19.406,20.022,19.526,19.267,19.095,19.056
823,C,False,33.588,33.542,33.371,33.474,33.532,34.032,33.485,33.69,33.801,33.525
824,B,True,19.242,21.603,22.353,21.634,23.027,23.118,23.515,24.16,23.714,22.664
825,B,False,24.3,25.469,25.057,24.286,23.556,23.578,24.052,23.902,24.475,23.775
826,B,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
827,B,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
828,B,True,2.3637,2.468,3.3584,2.3942,2.7352,7.7273,2.9219,1.8584,5.1948,2.6959
829,B,True,12.36,12.239,11.887,11.815,12.007,11.805,11.022,10.476,11.124,10.509
830,B,False,31.16,31.617,31.929,32.251,32.345,31.7,30.129,30.405,30.216,29.359
831,B,False,36.466,36.577,36.511,36.81,36.516,36.612,36.51,36.266,36.557,36.271
832,B,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
833,B,False,20.778,20.057,20.314,20.62,20.384,20.289,20.289,21.374,20.356,22.331
834,B,True,23.154,22.792,23.01,23.038,23.845,23.888,25.111,23.217,25.834,26.112
835,B,False,0.0,0.0,0.0,0.0,1.9211,0.0,0.0,0.0,0.0,2.1994
836,B,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
837,B,False,22.127,26.863,29.815,19.681,26.96,26.357,16.236,15.511,25.82,29.573
838,B,False,1.7388,0.0,0.0,6.9004,31.551,16.434,0.0,0.0,7.3718,7.0765
839,B,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7875,0.0
840,B,True,3.1227,3.1907,3.0913,3.0452,3.0558,3.0701,3.1125,3.178,3.1611,3.2217
841,B,True,16.749,16.524,17.739,17.148,16.925,17.199,17.903,18.477,18.383,19.09
842,B,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3282,3.1759
843,B,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
844,B,False,31.242,32.508,30.708,31.002,31.899,29.744,28.503,29.502,29.093,28.801
845,B,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
846,B,True,38.168,38.233,38.925,38.819,40.284,40.73,40.912,40.714,41.259,41.993
847,B,False,10.316,10.718,10.581,10.78,11.176,11.623,11.585,12.315,12.049,11.851
848,B,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849,B,True,22.881,22.59,22.685,23.109,23.139,23.224,23.68,23.294,24.232,24.246
850,B,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
851,B,True,37.836,38.218,37.265,40.248,41.294,42.694,40.176,39.196,39.565,40.802
