,FLARE_TYPE,COINCIDENCE,MEANPOT_1,MEANPOT_2,MEANPOT_3,MEANPOT_4,MEANPOT_5,MEANPOT_6,MEANPOT_7,MEANPOT_8,MEANPOT_9,MEANPOT_10
2165,N,False,1568.4,1534.3,1687.5,1617.3,1632.3,1753.9,1643.2,1681.2,1586.8,1696.6
2166,N,False,2824.9,2814.2,2780.1,2705.2,2690.8,2642.2,2643.3,2636.0,2616.7,2591.1
2167,N,False,4404.5,4446.8,4473.0,4619.4,4781.5,4551.2,4535.9,4618.6,4596.5,4877.8
2168,N,False,2620.5,2665.5,2654.4,2710.5,2640.4,2662.7,2661.9,2661.2,2658.8,2648.4
2169,N,False,5467.3,5507.0,5439.6,5546.6,5589.8,5659.5,5623.6,5664.3,5771.5,5861.3
2170,N,False,7866.0,7978.2,8025.9,8048.9,8072.2,7947.6,8050.2,8176.6,7989.5,8104.2
2171,N,False,1482.8,1460.2,1479.7,1450.2,1467.2,1457.7,1479.5,1453.5,1485.6,1524.5
2172,N,False,5253.2,4978.0,5009.2,4908.8,4574.8,4517.0,4244.2,4030.2,3954.1,3937.9
2173,N,False,3809.1,3850.3,3832.9,4003.8,4100.3,3927.0,3917.2,3865.6,3650.1,3442.3
2174,N,False,2421.9,2366.5,2304.1,2285.7,2264.2,2212.5,2176.9,2129.0,2051.8,2066.9
2175,N,False,12137.0,12115.0,12123.0,12145.0,12157.0,12107.0,12260.0,12203.0,12269.0,12206.0
2176,N,False,8088.9,8110.1,8124.0,8187.5,8334.0,8424.6,8601.2,8742.9,9064.8,9442.0
2177,N,False,7021.2,7013.5,6864.9,6599.6,6339.9,6185.7,5904.1,5771.0,5546.7,5502.5
2178,N,False,5806.2,6046.8,6211.9,6443.9,6441.6,6748.9,6388.3,6444.4,6679.8,6823.3
2179,N,False,2047.1,2044.0,1993.3,2033.4,2055.5,2063.4,2110.4,2043.9,2050.1,2051.4
2180,N,False,1623.0,1605.4,1773.2,1769.5,1743.4,1754.6,1822.9,1793.8,1940.1,1931.1
2181,N,False,1533.7,1641.5,1517.8,1421.0,1511.7,1489.9,1431.8,1544.6,1642.8,1633.2
2182,N,False,1917.1,1927.7,1972.2,1931.4,1925.6,1979.9,1999.6,2023.5,2070.6,2129.3
2183,N,False,7807.9,7636.3,7618.4,7385.7,7461.4,7398.5,7192.3,7282.4,7285.1,6972.0
2184,N,False,2717.3,2617.4,2506.8,2623.8,2624.1,2740.6,2834.7,2988.1,3212.5,3266.3
2185,N,False,1810.7,1815.8,1764.2,1842.9,1800.1,1818.5,1816.2,1668.2,1803.2,1897.6
2186,N,False,3962.4,3906.9,3846.2,3739.8,3681.6,3616.1,3602.9,3533.8,3538.8,3509.5
2187,N,False,4130.3,3983.2,4062.3,4019.4,4132.8,4160.2,3787.3,4314.5,4159.4,3815.1
2188,N,False,3597.5,3674.3,3829.6,4061.1,3858.0,3755.5,3747.5,3837.6,3760.9,3766.5
2189,N,False,1521.4,1599.0,1317.9,1329.1,1450.8,1378.0,1407.6,1436.4,1429.1,1265.3
2190,N,False,16978.0,17134.0,17126.0,16877.0,16929.0,16904.0,17009.0,17183.0,16951.0,16983.0
2191,N,False,3124.2,3147.8,3227.1,3161.6,3132.3,2929.2,3071.1,3033.0,2899.5,2881.0
2192,N,False,1599.5,1621.7,1648.0,1660.3,1613.3,1676.2,1704.2,1736.0,1756.3,1672.4
2193,N,False,7027.0,7154.0,7216.8,7322.8,7406.6,7421.9,7448.9,7521.4,7514.9,7500.6
2194,N,False,1592.8,1624.6,1617.1,1589.7,1595.7,1558.5,1550.4,1560.5,1563.5,1560.1
2195,N,False,20028.0,20091.0,20605.0,20479.0,20193.0,20141.0,20290.0,20711.0,20621.0,20100.0
