,FLARE_TYPE,COINCIDENCE,R_VALUE_1,R_VALUE_2,R_VALUE_3,R_VALUE_4,R_VALUE_5,R_VALUE_6,R_VALUE_7,R_VALUE_8,R_VALUE_9,R_VALUE_10
43,M,False,3.703,3.7818,3.7493,3.7832,3.7511,3.6352,3.6086,3.7693,3.8167,3.8149
44,M,True,3.5778,3.4732,3.6326,3.4055,3.5978,3.5001,3.7301,3.7127,3.5056,3.4407
45,M,True,4.8027,4.8132,4.8297,4.8362,4.8024,4.8609,4.83,4.8618,4.8407,4.8831
46,M,False,4.1224,4.1725,4.082,4.049,3.934,4.0192,4.0726,4.1863,4.1371,4.2387
47,M,False,4.8609,4.8845,4.8833,4.8684,4.8773,4.8881,4.8422,4.8948,4.8939,4.8929
48,M,True,5.0051,4.9722,4.9955,5.0017,5.02,4.9984,5.0061,5.0115,4.9925,5.0177
49,M,True,4.0184,4.0744,4.0247,4.0479,4.1316,4.0943,4.0995,3.939,3.9872,3.9846
50,M,False,5.0267,4.9954,4.9876,4.9887,4.9709,4.9764,4.9546,4.989,4.997,5.0041
51,M,False,4.0147,4.0548,4.0538,4.0521,3.9926,3.9986,4.129,4.2295,4.1554,4.1434
52,M,False,3.6648,3.6493,3.728,3.7739,3.7781,3.8968,3.7946,3.8126,3.584,4.0026
53,M,False,4.4348,4.4511,4.4193,4.4264,4.4323,4.3866,4.3957,4.3917,4.3888,4.4078
54,M,True,4.9975,5.0015,4.9892,5.0098,4.9778,5.0189,5.0076,5.0205,5.0159,5.0362
55,M,True,4.5385,4.5612,4.5168,4.5311,4.5273,4.5247,4.4833,4.5559,4.5282,4.5022
56,M,False,5.0776,5.082,5.0843,5.075,5.0589,5.0665,5.0599,5.0541,5.0543,5.0513
57,M,False,5.0599,5.0541,5.0543,5.0513,5.0487,5.037,5.0407,5.0413,5.0456,5.0646
58,M,False,4.2952,4.3211,4.3149,4.363,4.3027,4.2787,4.1617,4.2877,4.3644,4.2636
59,M,False,4.8647,4.8457,4.8648,4.8453,4.7875,4.7837,4.7649,4.7191,4.738,4.7259
60,M,True,4.6062,4.5732,4.5924,4.6112,4.5972,4.5933,4.6038,4.6273,4.637,4.6338
61,M,False,4.6942,4.6869,4.6727,4.629,4.595,4.5772,4.6134,4.6106,4.6262,4.6496
62,M,False,4.7264,4.7308,4.7414,4.7284,4.7375,4.732,4.7293,4.6755,4.6556,4.6442
63,M,False,4.7396,4.7507,4.7374,4.7461,4.6934,4.6981,4.7099,4.713,4.7139,4.7132
64,M,False,4.7139,4.7132,4.7065,4.7787,4.6858,4.6996,4.6492,4.6457,4.6324,4.6352
65,M,True,4.8665,4.8806,4.8543,4.8489,4.8226,4.8056,4.8584,4.8495,4.8317,4.8748
66,M,False,4.9003,4.9287,4.9368,4.931,4.9327,4.971,4.968,4.9467,4.9596,4.9472
67,M,False,4.9256,4.9311,4.9811,4.9607,4.9315,4.9171,4.866,4.9221,4.9043,4.8663
68,M,True,4.5813,4.557,4.5413,4.5688,4.5687,4.5331,4.5102,4.5074,4.4476,4.4928
