,FLARE_TYPE,COINCIDENCE,d_l_f_1,d_l_f_2,d_l_f_3,d_l_f_4,d_l_f_5,d_l_f_6,d_l_f_7,d_l_f_8,d_l_f_9,d_l_f_10
298,M,True,275.78,276.6,277.94,277.64,278.33,278.43,278.4,277.77,277.05,277.04
299,M,False,92.541,91.301,89.499,86.983,86.629,85.085,85.196,85.212,83.914,89.29
300,M,False,179.56,208.86,201.01,184.25,198.42,222.58,205.21,241.43,223.45,228.23
301,M,False,400.3,396.93,397.81,398.56,402.45,406.44,412.57,414.23,414.85,417.8
302,M,False,47.41,47.096,45.912,45.697,47.3,46.046,47.684,51.106,48.453,51.054
303,M,True,148.69,150.36,147.95,149.66,150.15,153.62,154.89,155.34,154.07,156.83
304,M,True,171.7,175.29,172.8,175.78,175.62,176.31,176.7,172.05,172.2,169.39
305,M,False,156.97,161.5,165.07,166.24,165.07,168.05,164.31,167.77,164.59,166.15
306,M,False,214.03,189.65,224.09,132.96,125.85,85.56,74.542,118.27,90.673,106.06
307,M,True,61.062,62.262,56.472,101.49,63.654,47.855,40.277,40.456,44.101,44.011
308,M,False,51.083,50.732,49.66,50.426,50.216,49.024,49.425,48.55,50.918,69.941
309,M,False,282.92,276.83,286.87,278.11,287.23,283.36,286.27,288.09,292.53,280.5
310,M,True,468.62,472.17,479.17,474.71,476.32,481.73,483.89,488.59,492.15,493.68
311,M,False,683.11,684.21,689.41,695.7,697.89,703.36,703.97,709.13,710.52,715.14
312,M,True,322.7,325.56,327.51,331.73,334.03,329.67,327.15,326.94,329.8,327.57
313,M,False,331.73,334.03,329.67,327.15,326.94,329.8,327.57,322.82,326.96,326.41
314,M,False,570.38,572.92,573.87,571.62,577.07,574.24,580.77,582.79,581.17,582.82
315,M,True,335.69,339.46,339.25,340.25,336.3,336.23,335.7,340.25,340.3,335.4
316,M,False,333.97,333.07,327.65,324.07,327.29,325.96,328.04,327.59,328.14,326.41
317,M,False,322.51,318.08,320.89,324.8,327.48,330.6,328.1,325.13,320.56,323.74
318,M,False,294.09,294.64,298.39,295.18,290.59,293.19,285.81,289.82,290.97,290.4
319,M,False,151.66,151.23,148.85,158.24,155.14,155.72,156.54,156.68,156.72,158.02
320,M,True,218.21,219.06,219.03,222.08,218.85,194.69,194.79,191.46,193.06,194.42
321,M,False,360.27,357.53,356.86,357.26,363.08,360.08,357.0,352.64,354.16,353.31
322,M,True,106.62,77.554,77.678,74.119,83.456,108.8,87.072,99.282,108.64,107.07
323,M,True,396.38,440.18,354.05,400.43,397.55,364.86,350.1,349.44,342.8,402.87
324,M,True,224.89,224.77,217.76,218.19,216.13,215.03,215.09,214.28,215.07,214.54
325,M,False,727.04,755.7,768.33,743.61,741.79,793.31,873.03,790.72,720.96,720.28
326,M,False,630.77,718.66,697.55,670.36,719.24,670.23,395.98,687.87,399.85,483.32
327,M,False,495.86,511.22,512.11,511.26,411.89,327.74,388.65,302.36,416.24,361.25
328,M,False,162.69,163.63,165.47,164.35,165.56,166.24,166.95,168.91,169.1,170.32
329,M,True,333.91,336.24,335.28,338.15,337.69,337.54,338.61,337.71,339.06,339.46
330,M,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
331,M,False,286.97,347.84,285.25,276.72,272.55,310.77,314.26,264.9,326.33,334.75
332,M,False,90.415,99.941,116.39,106.9,102.84,115.9,114.49,118.99,127.15,137.75
333,M,False,182.25,176.93,181.54,172.56,184.52,168.13,168.32,164.58,164.25,181.2
334,M,False,140.37,58.958,83.069,60.07,63.95,58.052,66.887,59.061,62.152,133.92
335,M,False,58.052,66.887,59.061,62.152,133.92,68.011,62.878,64.845,145.56,171.68
336,M,False,384.69,388.02,376.74,391.86,333.51,324.61,335.76,375.23,366.08,382.61
337,M,False,199.33,216.73,240.26,247.45,257.66,252.27,244.63,247.96,234.4,234.75
338,M,True,608.32,359.16,521.68,611.38,516.43,424.29,385.49,624.34,544.29,518.99
339,M,False,624.34,544.29,518.99,551.81,413.7,333.75,443.51,402.42,406.36,422.0
340,M,False,509.84,301.36,458.03,536.07,571.57,568.09,536.18,567.1,475.88,523.88
341,M,True,242.98,243.81,241.69,241.61,238.99,242.32,244.32,243.71,243.44,246.35
342,M,False,239.72,236.8,236.39,234.53,233.36,232.63,235.8,234.06,235.32,235.62
343,M,True,297.82,298.78,298.36,294.27,294.08,293.09,294.1,292.95,295.01,294.13
344,M,True,206.35,205.51,204.65,204.44,203.74,205.14,205.33,207.15,206.9,205.7
345,M,False,203.95,203.69,203.69,203.31,202.85,202.13,201.35,199.65,199.6,199.51
346,M,False,198.34,198.32,199.25,197.84,196.88,198.28,197.71,197.8,198.02,199.77
347,M,False,263.2,260.14,259.29,259.06,256.07,256.55,255.1,250.04,249.13,247.26
348,M,False,195.85,195.25,195.54,195.64,195.75,196.2,196.7,197.73,197.18,196.48
349,M,False,197.83,198.16,198.3,197.63,198.26,199.0,198.58,198.14,197.8,197.45
350,M,False,257.99,254.23,252.78,253.54,254.11,254.37,253.66,253.28,263.75,263.9
351,M,True,186.8,186.25,188.65,188.8,188.72,189.66,190.7,191.9,189.66,191.59
352,M,False,266.01,265.77,267.11,256.71,257.67,263.21,262.72,262.17,263.24,264.23
353,M,False,262.79,262.12,261.71,260.59,261.59,262.16,262.63,262.1,262.01,261.13
354,M,False,299.69,299.89,301.87,301.69,301.4,302.81,302.25,302.25,305.19,304.05
355,M,True,336.06,334.76,335.3,334.94,336.93,336.55,337.27,336.19,337.16,339.62
356,M,False,349.16,350.7,349.72,347.33,162.36,159.8,159.64,351.77,345.13,347.61
357,M,False,191.53,189.39,192.0,192.48,192.69,194.49,195.02,192.61,191.45,194.2
358,M,True,428.53,426.27,426.0,426.71,423.78,421.1,416.61,412.23,413.92,411.07
359,M,True,404.16,403.82,405.39,406.03,407.98,408.4,409.16,408.06,406.52,406.94
360,M,True,376.17,375.25,372.63,373.05,372.95,370.67,358.76,356.01,355.94,350.56
361,M,True,339.22,340.33,337.9,336.62,335.77,331.72,333.12,334.32,328.94,327.96
362,M,True,316.64,319.61,318.1,316.24,316.93,320.94,319.28,317.36,318.37,320.3
363,M,True,289.45,287.25,288.84,286.52,286.6,289.33,289.97,290.53,289.92,287.53
364,M,True,289.33,289.97,290.53,289.92,287.53,287.36,291.89,293.2,292.79,291.89
365,M,False,285.63,282.14,282.06,283.66,282.48,283.32,283.27,283.25,284.27,279.4
366,M,False,278.55,278.66,278.1,277.6,275.86,276.28,276.9,273.15,271.69,270.79
367,M,True,236.71,236.13,236.71,237.7,238.98,238.68,238.76,240.68,242.54,243.62
368,M,False,242.1,240.46,239.75,237.15,237.61,236.26,236.22,238.66,238.58,237.88
369,M,False,236.26,236.22,238.66,238.58,237.88,239.06,240.28,238.9,238.1,238.95
370,M,False,237.99,237.83,238.57,238.61,238.04,240.29,238.54,238.7,238.28,239.83
371,M,False,192.32,191.92,192.8,197.3,197.83,204.18,198.97,205.42,205.45,203.65
372,M,False,103.47,103.87,103.47,0.0,0.0,0.0,0.0,0.0,35.609,35.609
373,M,False,387.1,350.81,394.04,390.22,389.23,392.29,392.63,397.06,391.92,386.97
374,M,False,201.94,201.87,202.23,204.01,202.71,199.64,199.06,201.31,201.76,201.13
375,M,False,787.43,780.87,762.78,757.3,739.03,738.21,719.95,716.73,717.7,715.39
376,M,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
377,M,False,1667.7,1668.2,1670.2,1602.1,1617.7,1609.6,1636.7,1602.4,1561.5,1617.2
378,M,False,251.23,251.76,253.47,253.5,254.34,256.97,255.86,255.92,257.83,257.64
379,M,True,56.392,104.87,81.471,155.92,156.11,129.67,191.32,123.0,88.31,0.0
380,M,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
381,M,True,103.99,103.94,102.22,96.566,102.99,103.2,104.28,104.11,104.51,105.02
382,M,False,110.81,110.98,89.122,102.01,98.201,104.74,95.429,99.961,98.499,94.507
383,M,False,109.75,106.8,111.69,109.54,110.82,112.38,120.29,124.46,125.52,131.05
384,M,False,146.5,149.35,150.93,149.05,144.08,150.88,154.27,157.39,156.52,150.97
385,M,True,190.82,192.03,194.38,199.7,198.29,200.93,200.84,202.36,208.93,207.79
386,M,False,201.66,205.02,213.42,213.1,213.52,212.6,216.11,222.48,222.75,223.87
387,M,False,29.681,12.616,34.903,16.003,20.924,22.958,23.884,51.735,66.473,39.361
388,M,True,197.58,197.64,197.13,196.25,197.05,196.29,226.61,194.47,194.9,195.6
389,M,True,214.27,206.3,171.81,179.03,174.49,181.21,186.24,186.71,189.35,181.9
390,M,False,389.82,388.2,413.67,419.79,415.3,418.69,428.64,422.72,415.11,400.28
391,M,False,1099.2,1098.1,1094.9,1095.2,1094.2,1035.1,1090.6,1045.6,1042.5,1051.0
392,M,False,210.65,210.68,211.39,211.38,210.83,211.0,211.48,211.59,211.26,211.3
393,M,True,314.07,312.28,315.22,313.64,315.41,311.89,314.45,314.42,312.83,313.96
394,M,False,304.17,302.82,306.61,308.02,304.71,302.29,304.64,306.82,302.75,304.55
395,M,False,66.456,68.47,70.901,71.117,72.723,73.488,68.57,64.554,64.684,64.375
396,M,False,61.596,60.504,61.942,62.439,62.817,62.088,61.794,62.484,62.166,62.792
397,M,False,823.61,827.03,821.96,0.0,839.19,0.0,848.56,0.0,859.55,863.77
398,M,False,746.5,746.92,786.93,751.39,781.0,778.13,809.02,794.72,805.94,855.41
399,M,False,223.01,225.12,225.71,227.94,230.12,230.88,232.64,228.66,229.93,228.56
400,M,True,266.0,266.34,266.04,261.42,262.25,260.43,255.38,261.9,264.73,264.98
401,M,False,318.53,314.69,317.17,323.89,332.07,332.9,323.54,322.53,333.79,334.11
402,M,False,795.26,783.46,802.65,811.19,809.68,819.74,796.23,810.61,766.68,811.77
403,M,False,557.64,558.21,555.35,556.92,555.49,554.8,553.2,553.16,554.99,555.62
404,M,False,439.64,438.5,436.68,436.26,434.04,435.03,433.6,429.81,430.35,430.58
405,M,False,314.83,314.48,314.73,316.93,317.8,317.42,319.11,319.87,319.03,322.64
406,M,True,85.88,95.205,106.45,95.342,268.55,95.23,94.664,94.663,109.9,101.11
407,M,True,265.22,603.29,604.95,567.46,614.05,612.06,615.66,615.94,620.82,623.6
408,M,True,724.81,735.13,741.9,736.56,750.28,749.62,741.08,745.23,763.04,782.13
409,M,True,332.68,336.51,339.83,340.3,341.14,339.87,340.73,340.91,348.43,344.8
410,M,True,853.41,861.78,876.13,855.68,859.27,890.37,886.11,890.76,919.83,897.93
411,M,False,68.646,64.844,62.403,61.979,61.678,60.538,65.422,70.519,70.66,69.448
412,M,False,1073.9,1095.8,1080.1,1096.7,1154.0,1102.7,1075.7,1114.3,1060.6,1130.1
413,M,False,399.83,394.73,393.92,395.19,391.35,389.05,389.48,391.73,396.98,396.59
414,M,False,1260.6,1272.7,1303.2,1285.3,1286.0,1323.9,1385.7,1324.6,1362.4,1315.1
415,M,False,211.62,212.26,205.05,197.13,192.41,185.76,182.8,180.35,170.88,164.22
416,M,False,671.7,690.41,695.86,692.85,685.32,689.59,703.28,704.42,691.8,694.98
417,M,False,612.24,615.26,605.03,521.91,511.1,489.71,497.52,463.41,447.07,430.39
418,M,True,47.684,47.732,48.758,48.703,48.0,48.002,48.0,48.0,49.01,49.041
419,M,False,71.563,73.425,77.661,76.026,82.107,83.172,83.683,86.61,84.581,85.591
420,M,False,425.15,425.39,426.23,423.6,425.95,422.46,427.85,432.93,422.39,419.31
421,M,False,712.13,717.66,696.93,686.91,714.88,767.97,750.51,727.05,676.44,796.6
422,M,False,735.11,726.84,729.22,729.7,729.23,738.93,725.58,724.68,728.42,731.88
423,M,True,1645.3,1640.4,1641.3,1639.9,1640.0,1188.4,1063.7,1653.3,1651.5,1634.1
424,M,False,1641.3,1639.9,1640.0,1188.4,1063.7,1653.3,1651.5,1634.1,1649.2,1646.2
425,M,False,982.16,801.73,1621.8,989.45,1221.5,934.17,894.01,829.05,1617.3,825.57
426,M,True,152.76,183.68,55.57,205.38,71.478,79.862,77.007,62.033,78.25,73.274
427,M,True,218.62,220.84,221.11,207.83,218.55,220.12,220.75,215.56,214.83,213.91
428,M,False,190.94,189.1,189.58,188.76,186.54,186.96,189.16,190.77,187.01,188.81
429,M,False,190.91,190.66,192.13,192.59,193.06,188.86,189.59,187.17,188.95,186.47
430,M,False,193.06,188.86,189.59,187.17,188.95,186.47,187.7,185.64,185.5,184.61
431,M,False,186.19,183.9,181.44,182.67,185.24,184.49,187.63,177.98,185.76,183.19
432,M,True,190.09,187.47,189.38,187.18,186.87,187.11,187.78,187.87,187.6,187.93
433,M,False,188.31,188.54,187.43,189.08,187.17,187.03,188.43,188.4,188.6,189.45
434,M,True,219.74,219.71,221.2,221.19,221.61,221.57,221.42,221.65,221.44,222.14
435,M,True,229.13,229.76,231.01,231.05,232.26,232.99,234.13,233.59,232.05,231.93
436,M,True,266.46,268.13,269.14,269.83,269.78,268.58,266.99,266.88,266.96,268.16
437,M,False,269.14,269.83,269.78,268.58,266.99,266.88,266.96,268.16,269.79,267.99
438,M,False,266.96,268.16,269.79,267.99,267.89,268.97,269.16,267.72,268.63,267.48
439,M,False,267.51,266.41,265.84,266.75,266.13,266.99,264.73,266.75,265.87,265.96
440,M,False,265.87,265.96,265.59,265.96,264.89,264.18,263.81,264.29,264.65,265.7
441,M,True,265.7,265.95,265.37,264.36,265.23,265.1,264.86,266.8,268.42,266.91
442,M,False,261.05,262.24,263.25,263.12,263.19,262.57,262.91,261.18,262.75,263.67
443,M,False,271.2,271.12,271.13,270.58,270.44,272.4,270.74,272.26,271.02,272.49
444,M,False,267.09,255.94,267.14,268.63,267.92,267.85,267.09,268.39,267.8,267.43
445,M,False,267.09,268.39,267.8,267.43,267.67,263.12,265.96,265.21,264.84,264.67
446,M,True,259.76,261.42,261.05,262.61,234.25,236.86,233.67,229.19,234.27,227.58
447,M,True,263.7,266.84,175.23,174.05,172.34,172.65,263.33,171.32,171.03,170.11
448,M,False,171.35,161.78,163.02,170.6,172.19,171.97,177.52,185.32,172.04,273.03
449,M,False,332.78,476.96,501.27,455.71,444.22,488.88,476.77,518.07,525.35,581.67
450,M,False,581.67,509.27,610.47,620.17,602.92,616.8,585.65,553.69,579.96,565.03
451,M,False,541.92,541.41,578.14,538.33,563.87,634.79,619.27,548.53,525.79,584.7
452,M,False,588.9,576.54,581.88,606.54,543.49,504.48,529.99,534.95,543.87,567.82
453,M,False,463.64,488.22,501.39,447.27,494.56,504.95,475.28,459.61,487.01,514.48
454,M,False,494.56,504.95,475.28,459.61,487.01,514.48,489.36,510.66,483.8,502.94
455,M,False,530.23,546.64,536.93,565.87,549.64,549.56,548.14,540.81,555.46,562.91
456,M,True,479.65,483.46,488.42,488.3,491.07,498.31,493.96,497.8,467.08,458.54
457,M,False,631.31,624.66,630.83,627.51,575.71,564.39,577.28,581.53,629.39,634.01
458,M,True,392.13,526.47,512.02,649.2,515.54,369.49,329.9,498.76,343.06,491.13
459,M,True,643.32,474.34,208.18,207.49,206.74,207.62,205.43,206.18,206.64,205.24
460,M,True,208.16,213.54,211.15,210.03,211.54,215.49,212.25,209.45,211.54,212.32
461,M,False,203.17,201.13,203.76,202.98,201.12,199.1,201.24,200.3,195.57,197.35
462,M,False,196.74,196.58,195.4,197.06,200.7,201.49,194.28,197.45,197.63,194.58
463,M,False,202.78,203.77,203.74,204.57,203.64,203.82,204.79,205.86,203.54,202.18
464,M,False,180.11,179.21,178.75,178.66,180.73,180.88,178.82,177.32,178.17,180.16
465,M,True,444.05,469.68,453.84,455.03,463.82,442.54,465.96,432.62,431.68,443.01
466,M,True,527.86,492.14,643.89,664.84,437.22,465.55,458.66,473.41,454.56,530.3
467,M,False,486.83,484.11,501.62,501.88,497.21,500.54,499.69,496.92,497.45,501.19
468,M,False,298.92,299.95,298.42,298.79,296.82,296.32,295.1,294.49,296.47,296.88
469,M,True,250.21,248.34,246.54,245.49,248.55,250.58,254.16,255.31,257.06,256.45
470,M,False,259.29,259.31,258.13,253.05,254.92,252.41,254.65,255.5,260.09,259.12
471,M,False,239.03,237.5,228.74,238.79,237.71,231.67,225.05,233.06,227.34,230.7
472,M,False,657.14,663.77,664.31,678.43,698.37,714.73,716.26,720.06,727.99,730.01
473,M,True,892.88,885.91,880.46,876.93,871.61,870.46,869.54,881.61,881.44,891.66
474,M,True,222.49,222.44,221.12,219.19,229.04,222.67,224.94,223.76,234.54,238.13
475,M,False,907.01,909.84,902.04,905.86,917.9,920.17,921.8,922.28,921.02,922.51
476,M,True,647.41,647.28,647.84,655.78,659.12,655.36,654.57,658.15,648.65,640.39
477,M,True,740.4,743.24,743.17,744.69,749.05,742.24,804.24,789.24,743.78,763.08
478,M,False,250.58,250.9,251.63,251.86,252.54,253.78,253.69,252.5,251.55,252.04
479,M,False,960.82,988.57,910.0,824.15,991.32,1249.1,1302.3,1154.0,1336.5,1219.6
480,M,False,122.29,122.53,122.73,125.29,126.63,127.05,125.35,123.97,123.92,123.59
481,M,False,263.66,265.25,266.19,265.73,265.28,265.15,266.79,267.17,267.61,268.67
482,M,False,316.88,316.19,317.23,317.58,317.74,319.72,319.04,318.77,319.75,318.22
483,M,False,429.24,428.7,428.18,428.89,429.25,429.43,429.87,430.07,429.94,430.51
484,M,False,391.93,393.11,396.35,395.81,396.39,400.42,398.88,397.35,398.07,398.53
485,M,False,114.27,114.26,82.294,185.42,73.023,111.25,113.18,109.46,113.88,173.77
486,M,True,391.65,392.18,392.26,394.46,395.24,392.43,390.41,389.01,388.16,389.02
487,M,False,377.64,377.35,379.61,378.65,378.4,379.65,380.96,381.38,381.4,381.54
488,M,False,378.78,380.08,377.84,377.85,379.19,379.6,376.28,374.22,374.14,372.78
489,M,False,532.66,532.88,536.53,538.75,537.96,532.3,534.25,535.86,531.24,533.6
490,M,False,703.7,705.41,705.47,709.86,711.12,707.16,710.66,710.97,709.05,710.21
491,M,False,735.33,731.27,728.71,736.03,782.41,771.62,780.03,818.36,776.23,770.13
492,M,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
493,M,False,140.2,129.91,126.76,158.45,110.93,118.48,127.21,138.06,178.53,141.92
494,M,False,239.92,217.25,165.96,171.24,121.47,167.62,114.42,98.016,117.13,96.47
495,M,False,237.63,242.25,245.9,250.58,257.18,273.11,274.83,267.04,274.9,277.32
496,M,True,162.89,156.64,159.9,155.06,159.66,163.32,162.37,159.66,162.12,160.0
497,M,False,162.62,162.32,165.04,163.47,161.78,164.75,158.88,155.97,151.72,152.72
498,M,True,139.75,138.19,139.65,135.06,134.57,137.64,137.78,138.02,141.61,140.78
499,M,True,98.169,99.138,100.09,99.725,100.42,101.94,100.3,102.15,100.97,100.72
500,M,False,98.844,97.68,95.636,96.385,95.799,96.479,96.895,96.619,95.795,93.688
501,M,True,114.3,114.7,113.66,113.27,113.62,113.97,113.57,115.1,114.86,115.1
502,M,False,113.27,113.62,113.97,113.57,115.1,114.86,115.1,115.15,115.32,115.91
503,M,False,115.32,115.91,115.99,116.55,115.74,116.67,117.28,116.53,117.39,117.5
504,M,False,130.94,131.1,130.07,130.96,131.1,131.83,131.49,132.07,133.01,132.38
505,M,False,142.67,143.84,143.32,142.94,144.02,144.37,145.36,145.13,145.36,145.96
506,M,False,186.9,185.86,186.01,186.8,186.53,186.1,186.39,186.57,187.03,188.14
507,M,True,213.49,212.76,211.96,210.94,210.44,209.93,211.42,210.45,209.99,211.24
508,M,True,222.36,224.33,225.23,226.83,228.05,228.22,223.75,227.93,229.44,232.3
509,M,False,234.27,238.03,236.48,238.47,238.6,236.14,237.12,239.03,240.52,240.08
510,M,False,224.82,225.31,220.04,220.78,222.8,224.77,216.22,224.65,225.75,225.9
511,M,False,226.84,228.38,226.59,224.69,228.08,226.15,223.33,224.29,223.1,223.35
512,M,False,303.41,170.55,294.19,295.69,296.55,292.38,291.15,230.67,291.24,289.37
513,M,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
514,M,True,77.201,76.922,119.39,132.74,138.08,121.07,116.87,117.63,108.93,116.3
515,M,False,100.19,104.32,107.99,112.5,122.77,122.62,125.01,129.4,130.34,138.81
516,M,False,130.34,138.81,148.38,141.0,133.72,137.17,141.06,145.18,137.48,139.85
517,M,False,92.752,126.96,127.81,74.698,58.883,59.664,83.036,72.691,51.35,72.185
518,M,False,414.78,409.44,402.41,386.67,378.99,376.29,299.22,159.53,198.26,165.08
519,M,True,209.57,209.81,209.04,207.98,210.6,210.78,211.3,210.45,211.4,211.53
520,M,False,212.97,214.32,214.04,215.52,215.24,214.87,213.54,215.08,214.24,213.28
521,M,False,414.03,413.78,415.1,417.48,420.69,422.49,418.49,426.72,422.89,391.36
522,M,True,162.18,160.68,160.82,165.21,166.67,171.09,168.83,172.2,173.72,178.62
523,M,False,651.08,649.44,641.57,635.66,634.97,643.54,640.61,631.57,617.53,637.51
524,M,False,7.0711,0.0,0.0,0.0,0.0,0.0,0.0,6.4031,7.0711,7.8102
525,M,False,243.2,243.48,241.9,245.1,244.66,245.89,246.31,247.13,248.41,247.44
526,M,True,263.69,263.03,262.66,261.42,263.3,264.89,265.32,265.54,266.4,266.32
527,M,False,283.94,284.35,283.8,285.2,286.57,287.66,286.12,288.44,287.86,287.7
528,M,False,286.12,288.44,287.86,287.7,286.3,287.37,288.55,286.93,287.13,288.04
529,M,True,70.629,74.287,74.252,74.526,71.463,70.031,71.294,73.094,73.398,75.521
530,M,False,78.479,78.303,78.442,79.415,79.29,78.84,80.104,80.01,79.14,80.051
531,M,False,332.24,331.09,330.43,330.79,330.95,332.13,331.88,332.02,331.49,332.57
532,M,False,345.03,343.99,344.16,343.44,344.78,345.1,345.47,345.25,345.3,345.51
533,M,False,390.27,401.11,410.02,405.95,401.04,413.56,414.95,425.3,417.81,418.7
534,M,True,199.97,195.87,195.09,194.09,193.65,194.27,194.58,197.25,189.73,189.71
535,M,False,171.13,172.85,175.13,176.41,177.6,180.65,181.38,180.75,183.2,184.02
536,M,True,122.31,121.71,124.37,127.19,127.96,129.76,127.35,124.78,127.38,125.07
537,M,True,130.1,131.49,125.33,126.67,134.82,126.83,125.47,129.53,123.97,122.97
538,M,False,166.77,167.74,167.61,165.2,165.63,166.5,165.77,165.51,164.85,162.98
539,M,True,169.26,172.33,174.48,173.67,175.89,179.31,180.24,181.36,180.63,183.41
540,M,False,231.15,232.13,232.52,233.0,232.22,233.27,234.45,234.66,235.88,236.82
541,M,True,299.22,300.3,302.07,299.94,300.69,301.94,303.04,304.54,302.69,302.92
542,M,False,302.84,303.43,302.72,303.79,304.38,304.05,304.91,305.06,304.0,304.04
543,M,False,392.57,393.97,393.33,393.58,395.14,395.46,395.06,394.79,394.86,394.63
544,M,True,395.07,394.94,395.73,395.48,394.43,393.89,391.29,392.76,394.01,380.2
545,M,False,393.22,393.06,391.71,392.84,393.13,394.15,396.36,395.94,397.22,397.29
546,M,False,448.42,450.14,426.73,427.23,440.4,434.22,424.53,428.57,430.79,431.23
547,M,False,103.08,103.36,101.19,100.44,100.55,99.976,101.38,107.4,107.68,109.6
548,M,False,249.22,249.71,249.38,247.61,249.34,246.49,249.33,252.82,252.02,251.45
549,M,True,236.43,237.17,236.96,237.94,237.9,238.72,238.99,239.63,240.13,241.15
550,M,True,259.47,260.94,262.45,263.11,263.08,264.07,264.04,264.27,264.42,264.94
551,M,True,115.51,118.82,123.8,127.62,132.5,132.09,126.76,132.68,137.67,141.92
552,M,True,286.34,285.97,286.55,286.9,288.29,290.07,289.9,290.15,289.9,290.05
553,M,True,298.87,299.56,300.29,300.08,301.81,300.13,301.39,300.8,301.31,302.46
554,M,False,302.46,302.18,304.0,303.94,303.3,304.15,303.93,302.91,302.75,302.58
555,M,True,197.81,197.14,201.06,196.91,191.99,185.81,189.08,195.28,197.58,202.99
556,M,True,313.22,313.19,313.74,314.37,314.61,314.13,314.53,314.88,314.18,314.45
557,M,False,314.88,314.18,314.45,313.26,312.45,312.63,313.11,313.6,313.92,313.92
558,M,False,190.82,184.66,186.79,185.28,175.45,175.91,172.84,171.82,170.54,179.38
559,M,False,312.45,312.63,313.11,313.6,313.92,313.92,314.53,314.56,314.57,315.46
560,M,False,313.92,313.92,314.53,314.56,314.57,315.46,316.17,315.1,314.13,314.38
561,M,False,178.19,169.5,163.01,162.92,162.37,162.89,159.1,155.84,157.56,154.55
562,M,True,311.18,312.43,311.75,310.15,310.14,310.67,310.79,312.55,312.23,311.78
563,M,True,315.03,314.62,315.32,315.17,315.06,317.67,318.36,318.62,317.54,316.78
564,M,False,311.49,311.42,310.82,309.44,309.5,326.69,324.67,327.56,309.37,327.33
565,M,True,316.61,315.97,315.42,316.9,309.27,310.73,311.09,310.71,310.5,309.2
566,M,True,382.24,384.81,386.94,385.78,388.11,340.31,341.56,390.53,340.75,342.0
567,M,True,350.73,353.07,352.1,357.72,356.39,360.33,359.84,362.45,365.45,369.01
568,M,False,285.82,279.67,278.77,284.51,284.06,277.32,279.13,280.55,279.2,281.43
569,M,False,292.46,290.45,286.53,281.0,283.65,285.78,283.4,281.74,279.21,281.88
570,M,False,400.64,396.26,397.35,393.99,398.08,394.75,397.43,391.82,386.83,385.07
571,M,True,896.4,27.203,903.64,900.82,904.2,905.64,28.46,26.776,29.137,30.486
572,M,False,32.464,34.142,33.167,34.842,28.26,31.08,29.103,33.451,33.388,32.638
573,M,True,114.67,173.43,198.55,148.12,146.94,124.04,30.667,104.99,141.04,122.7
574,M,False,198.55,148.12,146.94,124.04,30.667,104.99,141.04,122.7,438.62,172.24
575,M,False,302.65,303.85,305.75,305.22,306.64,305.62,305.17,306.42,306.23,305.6
576,M,True,246.35,243.13,250.4,257.08,257.15,252.11,255.7,256.45,257.26,256.74
577,M,False,279.83,280.84,282.45,281.51,281.1,281.62,277.65,278.41,279.4,281.04
578,M,False,268.45,265.28,266.13,264.52,264.92,263.76,266.01,265.27,265.32,261.96
579,M,False,225.61,226.43,226.3,224.84,225.96,226.43,227.66,228.54,227.27,230.39
580,M,False,547.6,519.98,526.49,556.85,536.65,552.23,559.32,573.43,564.01,565.59
581,M,False,185.67,194.86,200.06,195.98,194.04,195.7,226.71,196.31,198.74,198.7
582,M,False,76.005,76.399,75.808,84.06,74.979,73.648,74.157,81.09,79.644,79.571
583,M,False,273.02,196.37,199.57,192.09,262.38,267.48,260.82,265.38,255.22,258.36
584,M,False,119.15,120.31,107.52,106.13,118.27,115.97,115.36,118.07,109.19,110.79
585,M,True,68.098,67.212,66.943,66.504,66.614,66.572,65.839,66.15,64.602,65.331
586,M,False,78.876,78.431,79.378,83.383,86.807,85.381,87.149,113.12,110.89,110.12
587,M,False,204.82,196.41,217.92,266.96,205.43,206.42,192.04,189.59,179.62,173.71
588,M,True,298.65,297.39,296.86,298.13,298.09,297.64,297.19,298.27,297.86,297.95
589,M,False,298.09,297.64,297.19,298.27,297.86,297.95,297.1,296.73,294.92,294.33
590,M,True,272.7,272.0,272.54,272.75,274.11,272.98,272.35,273.08,270.78,270.42
591,M,False,268.49,268.72,266.79,266.6,267.11,266.1,265.74,265.28,264.98,265.33
592,M,False,266.79,266.6,267.11,266.1,265.74,265.28,264.98,265.33,265.72,265.93
593,M,True,265.93,262.77,261.26,261.52,265.14,266.06,266.51,266.11,268.42,262.85
594,M,False,294.15,307.63,304.03,305.87,301.63,304.45,314.74,296.8,304.35,274.37
595,M,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
596,M,False,79.404,4.2426,3.6056,0.0,6.3246,0.0,0.0,0.0,0.0,0.0
597,M,True,322.86,322.62,322.84,323.49,323.1,322.45,321.89,323.71,322.81,322.96
