,FLARE_TYPE,COINCIDENCE,SHRGT45_1,SHRGT45_2,SHRGT45_3,SHRGT45_4,SHRGT45_5,SHRGT45_6,SHRGT45_7,SHRGT45_8,SHRGT45_9,SHRGT45_10
2139,N,False,24.182,24.367,24.351,24.059,23.401,22.806,22.846,22.32,22.692,23.054
2140,N,False,4.7772,5.181,5.3815,4.9569,6.0013,6.2752,5.8523,4.7342,5.5711,6.4671
2141,N,False,15.712,16.232,15.993,16.521,18.205,19.141,15.618,13.809,13.141,12.218
2142,N,False,6.2689,6.2611,6.0822,6.8931,6.6019,4.9168,4.7246,5.1788,5.0901,4.9273
2143,N,False,23.219,24.162,23.783,24.109,24.435,23.735,23.931,23.926,23.628,23.411
2144,N,False,43.974,43.685,43.908,43.749,43.888,43.874,44.056,43.765,43.96,43.664
2145,N,False,37.314,37.702,37.045,38.371,38.466,39.118,38.059,38.058,35.101,36.112
2146,N,False,9.3113,11.159,10.638,13.009,14.286,11.655,8.9668,11.057,9.181,5.9716
2147,N,False,18.72,18.881,18.497,18.584,18.396,18.574,18.112,18.472,18.189,17.85
2148,N,False,11.639,12.798,11.713,12.374,13.129,13.196,13.297,13.127,13.162,13.589
2149,N,False,9.9974,10.038,10.14,10.09,9.7852,9.827,9.5014,10.22,10.391,10.897
2150,N,False,36.568,37.332,38.192,38.174,39.023,39.722,39.597,39.713,39.328,40.285
2151,N,False,11.111,9.9815,10.977,11.503,9.8425,12.819,11.948,12.958,12.013,10.688
2152,N,False,32.776,32.465,32.779,32.308,32.608,32.717,32.637,33.057,33.484,32.413
2153,N,False,7.9122,6.7934,6.9402,6.4712,6.6507,7.0708,7.1521,6.7393,6.2822,5.5121
2154,N,False,39.249,38.778,38.829,38.891,38.247,38.09,38.307,38.102,38.521,38.579
2155,N,False,41.868,42.744,42.741,42.751,42.315,41.899,42.447,42.103,41.923,42.687
2156,N,False,37.511,37.08,35.188,36.506,36.316,35.747,35.245,34.583,35.606,37.347
2157,N,False,33.05,32.48,31.949,32.508,32.235,33.015,32.219,32.146,32.428,32.152
2158,N,False,29.417,29.881,28.798,27.665,27.871,28.475,27.808,26.294,26.558,28.309
2159,N,False,14.634,7.5668,16.561,15.039,16.375,10.85,16.667,11.948,11.437,5.8733
2160,N,False,29.881,28.798,27.665,27.871,28.475,27.808,26.294,26.558,28.309,28.561
2161,N,False,0.43541,0.72254,0.44444,0.31008,0.1548,0.64725,0.14451,0.7622,0.32103,0.14903
2162,N,False,4.8829,6.2459,6.7065,6.2246,5.2003,4.8853,4.6757,6.0213,5.9701,7.6815
2163,N,False,51.46,51.373,51.485,51.379,51.237,51.531,51.597,51.632,51.819,51.891
2164,N,False,24.44,24.67,25.632,26.106,25.326,25.228,26.307,26.333,26.767,26.061
2165,N,False,2.2892,3.0543,2.1529,3.9604,4.3237,3.3738,4.375,5.7641,3.177,1.4663
2166,N,False,14.162,14.316,15.16,15.08,15.027,14.97,15.122,14.837,15.135,15.245
2167,N,False,25.574,24.638,24.542,23.448,19.726,23.117,23.152,21.215,20.693,18.696
2168,N,False,7.216,7.978,8.2673,8.3507,8.2838,8.7023,7.8467,7.7071,7.9785,7.8107
2169,N,False,30.926,30.72,30.751,30.826,30.659,30.447,29.826,30.418,29.665,29.524
2170,N,False,30.024,30.1,28.897,29.825,29.884,29.502,30.106,30.112,29.321,29.345
2171,N,False,4.4383,4.4032,3.4091,4.0162,3.4653,3.8378,4.2565,3.8045,3.0738,2.4318
2172,N,False,13.797,14.705,13.659,13.537,13.802,13.833,13.716,16.27,16.595,17.854
2173,N,False,9.2404,8.6462,9.6536,8.368,7.5832,9.521,6.8787,8.1191,10.019,9.0436
2174,N,False,5.8206,6.2715,6.392,5.9072,5.5182,4.8802,5.4849,5.5739,6.0005,6.2138
2175,N,False,37.187,36.961,37.027,37.38,37.611,36.837,37.066,37.099,37.299,37.323
2176,N,False,34.342,34.883,34.706,34.428,34.649,34.242,34.288,34.987,35.839,35.73
2177,N,False,24.326,23.764,24.066,24.607,24.016,24.117,25.092,25.245,24.241,24.288
2178,N,False,22.678,20.488,21.696,21.951,21.064,18.135,17.494,15.878,18.653,17.771
2179,N,False,8.6491,7.4572,7.8348,7.455,7.8619,8.3839,8.1228,8.4005,8.3121,7.8568
2180,N,False,1.2099,1.8541,1.0601,2.9723,2.6435,2.5184,2.7886,3.2531,3.3462,4.1748
2181,N,False,3.1558,2.2105,1.4525,0.98684,1.5419,0.36408,0.72115,0.65617,1.297,2.8314
2182,N,False,3.5743,3.6988,3.5088,3.7153,3.2012,3.12,3.1386,2.5408,2.706,3.3562
2183,N,False,47.237,47.389,46.461,46.328,46.562,46.011,45.909,46.327,45.169,44.978
2184,N,False,12.718,10.945,10.414,9.7768,8.1892,9.1736,7.8397,7.5507,7.2811,6.6702
2185,N,False,4.3946,5.3556,5.9285,3.1369,3.8697,7.7603,7.3887,3.3777,5.4688,5.2156
2186,N,False,18.219,17.812,17.627,17.412,17.738,18.649,18.196,18.874,19.233,19.921
2187,N,False,22.996,22.278,24.335,27.123,26.695,28.102,22.123,24.463,23.366,22.993
2188,N,False,6.7301,7.2091,6.9853,7.2948,6.7618,6.7809,7.2932,6.104,7.4746,6.1872
2189,N,False,1.875,3.2872,1.5773,1.3062,2.5298,3.6835,4.8052,3.4211,6.9612,11.525
2190,N,False,53.881,53.596,53.472,53.097,52.736,53.288,53.886,53.939,53.197,53.221
2191,N,False,4.4586,4.8128,5.7143,5.2928,5.7176,4.7897,4.3317,3.6478,3.5044,2.3428
2192,N,False,1.4271,0.9375,2.439,2.0541,1.8319,2.4609,2.7412,0.57737,2.4803,2.5727
2193,N,False,23.009,22.822,22.863,23.117,23.359,23.52,23.643,23.812,24.006,24.088
2194,N,False,3.4844,2.9541,3.3063,2.9472,3.6918,3.0209,3.5655,3.1579,3.4704,3.7378
2195,N,False,74.94,74.786,75.942,75.189,74.849,74.975,75.081,74.068,73.299,73.755
2196,N,False,22.531,22.855,23.01,23.342,23.024,23.075,22.321,21.955,23.06,22.929
2197,N,False,36.473,36.599,36.435,36.525,37.617,36.857,36.22,35.605,35.183,34.983
2198,N,False,9.7891,9.9576,9.8497,8.1788,8.1597,8.5373,6.1783,7.3714,9.4587,7.6834
2199,N,False,28.136,27.588,27.646,28.303,28.409,26.603,26.378,26.543,27.601,28.288
2200,N,False,38.03,38.814,38.489,37.99,38.062,38.203,37.158,37.649,37.632,37.37
2201,N,False,6.264,6.3593,5.8032,5.8238,6.3294,6.5272,7.1819,7.9094,7.8399,6.8474
2202,N,False,13.069,12.834,12.07,11.896,12.166,10.587,10.924,11.528,11.932,11.638
2203,N,False,21.542,22.922,22.917,22.144,20.935,21.322,21.711,23.368,22.913,22.04
2204,N,False,0.0,0.55556,0.0,0.0,2.0548,3.6145,0.60606,0.0,5.0314,0.0
2205,N,False,3.3571,3.8038,3.2881,3.3598,3.2345,4.0447,3.5861,2.6704,3.0917,2.9024
2206,N,False,29.914,29.233,29.116,28.933,28.772,28.752,28.277,28.554,28.645,27.872
2207,N,False,7.485,5.5324,6.7692,5.9134,3.7373,5.6769,6.5217,4.3897,5.4144,5.7175
2208,N,False,10.502,9.7368,11.233,10.032,9.7537,9.0792,9.5859,8.4732,9.2541,9.8518
2209,N,False,4.9254,7.3846,5.1696,7.4928,7.3593,5.4286,5.7722,7.1527,7.8484,8.2999
2210,N,False,30.801,29.671,28.215,28.58,27.05,29.32,27.728,25.167,23.942,25.819
2211,N,False,9.9781,10.022,11.506,12.097,9.5741,9.6244,10.434,8.7338,8.7732,7.6781
2212,N,False,2.627,3.005,2.1824,1.6528,1.9621,2.0586,2.2114,1.8036,1.286,1.4743
2213,N,False,20.303,19.971,21.781,20.738,20.28,20.517,20.324,20.284,20.589,20.137
2214,N,False,5.9227,6.1469,6.2684,6.4054,6.281,5.4601,5.79,6.34,6.4856,6.5586
2215,N,False,2.8992,2.528,3.1426,2.6567,3.5825,4.148,3.2881,3.1114,3.0061,3.5459
