,FLARE_TYPE,COINCIDENCE,MEANGBZ_1,MEANGBZ_2,MEANGBZ_3,MEANGBZ_4,MEANGBZ_5,MEANGBZ_6,MEANGBZ_7,MEANGBZ_8,MEANGBZ_9,MEANGBZ_10
1799,B,False,71.959,71.92,72.36,72.213,72.295,71.549,71.239,70.869,70.954,71.2
1800,B,False,107.1,106.91,106.43,109.0,107.72,111.0,109.97,106.11,108.52,106.08
1801,B,False,114.51,113.3,113.59,113.45,115.91,115.78,112.9,114.15,113.79,113.42
1802,B,False,127.67,128.27,132.16,129.09,129.76,131.25,131.16,134.97,135.93,137.08
1803,B,False,129.72,127.21,124.98,124.05,122.12,123.41,126.17,128.75,133.01,133.58
1804,B,False,70.449,68.732,69.807,69.655,70.597,68.921,70.49,70.229,69.324,70.828
1805,B,False,93.388,94.376,94.892,94.927,94.347,94.894,95.101,96.08,95.248,96.727
1806,B,False,67.226,75.993,63.338,64.862,77.929,77.778,62.844,68.948,66.402,63.693
1807,B,False,125.37,123.9,124.94,126.42,122.72,123.45,118.68,121.68,126.82,124.32
1808,B,False,94.919,96.377,96.817,98.586,95.647,95.892,96.473,95.618,95.449,93.718
1809,B,False,104.99,105.03,105.34,104.14,106.15,106.43,106.14,107.45,106.05,105.85
1810,B,False,117.36,115.37,114.88,117.76,117.04,115.84,116.88,123.49,126.49,133.23
1811,B,False,118.68,121.68,126.82,124.32,124.82,122.51,123.61,117.36,115.37,114.88
1812,B,False,107.6,106.64,107.54,107.84,106.1,105.03,103.95,104.4,102.25,100.89
1813,B,False,117.49,117.39,116.27,117.0,116.71,116.47,115.83,117.89,116.61,116.28
1814,B,False,64.89,64.561,64.202,63.844,64.883,64.192,63.554,63.351,63.555,63.739
1815,B,False,113.63,114.52,115.27,113.75,115.64,115.05,113.95,112.94,113.26,115.2
1816,B,False,139.77,142.44,142.28,140.14,141.0,145.08,151.45,148.56,145.72,144.42
1817,B,False,111.79,112.15,111.86,112.75,112.05,110.49,112.68,112.87,115.2,115.25
1818,B,False,108.47,109.57,109.95,111.33,110.81,109.32,110.6,110.55,109.28,105.25
1819,B,False,94.813,94.862,96.211,94.71,94.826,91.65,89.292,88.141,88.665,89.51
1820,B,False,132.73,129.35,131.76,130.24,128.73,125.28,124.42,124.58,126.31,125.63
1821,B,False,114.79,113.55,114.07,114.43,113.79,113.82,113.98,112.2,112.67,111.55
1822,B,False,101.43,101.91,102.99,103.52,102.93,104.5,101.81,104.59,104.33,104.93
1823,B,False,107.44,109.36,109.77,111.58,113.39,114.77,115.52,116.57,116.02,118.64
1824,B,False,102.19,103.52,105.0,105.02,104.46,104.6,102.19,100.67,100.58,99.913
1825,B,False,19.435,15.219,42.15,0.0,23.103,33.778,35.584,36.766,85.992,39.848
1826,B,False,128.4,130.54,127.74,128.26,128.65,129.7,128.46,125.45,124.69,124.02
1827,B,False,154.3,152.9,149.22,147.28,147.25,145.77,141.56,140.75,138.09,136.22
1828,B,False,101.34,102.23,103.54,104.35,103.59,103.67,104.12,104.1,102.09,101.63
1829,B,False,109.15,108.58,107.63,107.91,108.89,106.72,106.33,105.49,106.07,106.1
1830,B,False,69.528,68.81,70.881,71.463,72.941,74.058,74.301,74.15,76.229,75.608
1831,B,False,115.6,114.34,112.05,110.37,108.83,107.58,104.98,105.55,105.6,104.83
1832,B,False,130.75,127.42,127.94,130.54,130.89,132.51,135.44,139.4,141.93,140.38
1833,B,False,127.46,126.6,127.62,127.81,127.95,126.64,125.6,125.0,125.35,125.8
1834,B,False,99.145,99.803,100.88,100.78,100.72,100.85,100.94,100.93,101.25,102.15
1835,B,False,79.595,86.123,85.863,80.471,81.176,81.043,81.188,88.714,87.816,89.194
1836,B,False,108.32,107.12,106.02,105.97,106.65,106.49,106.94,106.64,108.27,110.3
1837,B,False,105.67,106.23,105.83,105.62,104.18,104.84,104.14,105.71,104.74,105.17
1838,B,False,112.72,73.952,83.216,79.952,80.746,79.522,68.648,71.638,72.665,72.147
1839,B,False,151.89,151.48,150.06,146.38,144.48,144.04,142.38,145.35,145.82,145.22
1840,B,False,130.81,129.41,129.18,127.96,125.01,125.9,122.65,124.21,125.35,127.09
1841,B,False,69.241,69.958,92.624,99.969,100.76,92.143,100.11,102.58,94.714,96.062
1842,B,False,127.05,129.73,128.42,129.29,128.96,129.61,131.11,136.12,131.89,133.17
1843,B,False,157.2,153.03,158.03,152.68,150.65,143.79,144.99,142.66,140.7,137.19
1844,B,False,141.11,140.91,136.86,134.11,136.68,138.92,138.04,139.29,137.87,140.16
1845,B,False,74.636,76.45,74.738,77.069,76.315,79.235,79.208,77.534,78.026,76.496
1846,B,False,92.316,57.259,89.339,49.249,51.141,53.501,48.447,57.155,56.691,58.047
1847,B,False,106.81,106.33,106.91,106.64,106.83,105.75,105.28,105.89,103.54,104.53
1848,B,False,99.594,99.75,100.62,102.63,102.19,103.52,105.0,105.02,104.46,104.6
1849,N,False,141.25,140.04,137.57,140.87,138.39,137.94,131.82,130.88,130.2,130.92
1850,N,False,179.77,175.12,169.87,169.09,167.85,169.55,177.54,176.96,182.35,177.01
1851,N,False,166.32,166.16,157.59,151.46,161.36,157.72,153.55,152.98,150.75,152.89
1852,N,False,116.88,116.07,118.79,117.15,119.42,118.3,115.4,116.0,118.17,117.62
1853,N,False,125.68,125.08,128.5,124.75,121.47,119.91,117.02,114.67,116.37,121.98
1854,N,False,143.23,140.52,138.07,138.75,141.47,135.76,137.96,133.29,127.67,128.36
1855,N,False,132.93,128.06,131.83,134.06,130.64,128.84,133.85,134.88,130.19,129.5
1856,N,False,111.88,112.97,108.77,110.84,110.34,108.34,106.96,107.44,105.83,105.55
1857,N,False,119.77,121.51,125.02,127.39,131.07,133.48,133.57,134.02,129.4,132.93
1858,N,False,137.37,140.97,141.36,146.43,144.23,143.64,140.12,141.92,144.84,147.64
1859,N,False,161.72,175.57,175.37,171.65,162.9,161.75,167.81,168.86,159.54,163.71
1860,N,False,122.38,120.27,120.41,115.31,115.6,114.04,113.32,111.73,114.7,115.81
1861,N,False,145.43,143.27,145.01,142.2,149.99,142.59,133.94,132.53,142.99,149.22
1862,N,False,126.6,125.71,125.58,124.85,127.61,124.42,122.86,124.15,127.01,127.33
1863,N,False,155.56,153.8,156.48,155.11,152.92,151.96,152.23,152.81,155.03,154.47
