,FLARE_TYPE,COINCIDENCE,USFLUX_1,USFLUX_2,USFLUX_3,USFLUX_4,USFLUX_5,USFLUX_6,USFLUX_7,USFLUX_8,USFLUX_9,USFLUX_10
211,M,True,1.1173e+23,1.1313e+23,1.121e+23,1.1286e+23,1.1255e+23,1.1366e+23,1.1332e+23,1.1361e+23,1.1416e+23,1.1423e+23
212,M,False,1.092e+23,1.0856e+23,1.0787e+23,1.0709e+23,1.0651e+23,1.0594e+23,1.0597e+23,1.058e+23,1.0557e+23,1.0565e+23
213,M,False,1.0594e+23,1.0597e+23,1.058e+23,1.0557e+23,1.0565e+23,1.061e+23,1.0631e+23,1.0659e+23,1.0695e+23,1.0725e+23
214,M,False,8.9202e+22,8.959e+22,8.9897e+22,8.9829e+22,9.0173e+22,9.0662e+22,9.1306e+22,9.164e+22,9.2326e+22,9.2488e+22
215,M,False,1.152e+23,1.1508e+23,1.1455e+23,1.1454e+23,1.1471e+23,1.1449e+23,1.1463e+23,1.1477e+23,1.1511e+23,1.1517e+23
216,M,False,6.7742e+22,6.7255e+22,6.6195e+22,6.5414e+22,6.531e+22,6.4011e+22,6.2921e+22,6.2188e+22,6.0945e+22,5.9801e+22
217,M,True,8.2633e+22,8.2134e+22,8.2456e+22,8.2267e+22,8.291e+22,8.3536e+22,8.4231e+22,8.5015e+22,8.5807e+22,8.6584e+22
218,M,False,7.8431e+22,7.8097e+22,7.8338e+22,7.8424e+22,7.8598e+22,7.8646e+22,7.885e+22,7.9378e+22,8.0076e+22,8.0549e+22
219,M,False,6.6822e+22,6.7401e+22,6.7827e+22,6.8584e+22,6.8922e+22,6.9778e+22,7.0073e+22,7.085e+22,7.0888e+22,7.1163e+22
220,M,False,4.2088e+22,4.2184e+22,4.2314e+22,4.2291e+22,4.2567e+22,4.2496e+22,4.2762e+22,4.2633e+22,4.2462e+22,4.2317e+22
221,M,False,2.1447e+20,3.603e+20,4.8344e+20,6.3188e+20,7.7703e+20,9.6472e+20,1.078e+21,1.321e+21,1.4462e+21,1.6775e+21
222,M,False,4.8344e+20,6.3188e+20,7.7703e+20,9.6472e+20,1.078e+21,1.321e+21,1.4462e+21,1.6775e+21,1.7979e+21,1.9217e+21
223,M,False,1.8274e+22,1.8091e+22,1.8184e+22,1.8293e+22,1.8332e+22,1.8575e+22,1.8843e+22,1.8959e+22,1.9079e+22,1.9161e+22
224,M,False,3.3738e+22,3.3823e+22,4.0689e+22,3.3807e+22,3.3932e+22,3.4503e+22,3.4946e+22,3.5676e+22,3.6785e+22,3.7528e+22
225,M,False,4.6915e+22,4.7087e+22,4.7242e+22,4.7556e+22,4.784e+22,4.8245e+22,4.8523e+22,4.9041e+22,4.9147e+22,4.9856e+22
226,M,False,3.6504e+22,3.7161e+22,3.747e+22,3.7595e+22,3.7943e+22,3.8443e+22,3.8772e+22,3.93e+22,3.9732e+22,3.9999e+22
227,M,True,3.1866e+20,5.615e+20,6.9749e+20,1.0109e+21,1.3803e+21,1.6771e+21,2.2956e+21,2.6687e+21,3.2429e+21,3.575e+21
228,M,True,3.3606e+22,3.37e+22,3.4351e+22,3.4e+22,3.4185e+22,3.3788e+22,3.3693e+22,3.2946e+22,3.3025e+22,3.3443e+22
229,M,True,9.475e+21,9.6118e+21,9.8011e+21,9.9231e+21,1.0111e+22,1.0123e+22,1.024e+22,1.0409e+22,1.0573e+22,1.0507e+22
230,M,False,1.0923e+22,1.0968e+22,1.078e+22,1.0713e+22,1.0991e+22,1.0976e+22,1.1153e+22,1.1068e+22,1.0998e+22,1.1339e+22
231,M,True,1.2405e+22,1.2962e+22,1.2797e+22,1.3174e+22,1.3617e+22,1.4117e+22,1.4341e+22,1.4509e+22,1.4516e+22,1.453e+22
232,M,False,1.7805e+22,1.792e+22,1.829e+22,1.8544e+22,1.864e+22,1.8808e+22,1.8883e+22,1.906e+22,1.9275e+22,1.9137e+22
233,M,False,1.7345e+22,1.7342e+22,1.7438e+22,1.7282e+22,1.7236e+22,1.7412e+22,1.7508e+22,1.7393e+22,1.7531e+22,1.7748e+22
234,M,True,1.4435e+22,1.4417e+22,1.4519e+22,1.461e+22,1.4749e+22,1.4836e+22,1.5001e+22,1.5149e+22,1.555e+22,1.5895e+22
