,FLARE_TYPE,COINCIDENCE,AREA_ACR_1,AREA_ACR_2,AREA_ACR_3,AREA_ACR_4,AREA_ACR_5,AREA_ACR_6,AREA_ACR_7,AREA_ACR_8,AREA_ACR_9,AREA_ACR_10
2288,N,False,82.067,81.567,82.301,82.769,81.767,80.036,78.261,79.821,80.782,80.695
2289,N,False,55.446,59.24,58.703,60.321,58.74,60.41,58.371,59.043,56.657,59.484
2290,N,False,69.345,72.569,72.17,72.095,73.058,73.085,72.805,73.705,75.188,73.633
2291,N,False,94.798,93.559,94.464,94.678,93.526,92.164,91.446,90.852,90.208,89.853
2292,N,False,239.43,238.6,239.71,238.29,238.69,238.79,234.83,235.18,232.45,231.92
2293,N,False,96.22,94.82,95.09,94.422,95.447,96.173,93.801,94.499,92.884,93.029
2294,N,False,442.66,438.67,441.96,440.61,444.75,446.17,445.77,438.78,438.08,436.28
2295,N,False,53.669,52.927,54.196,53.459,51.939,52.581,52.988,51.252,50.772,49.719
2296,N,False,251.51,253.86,251.5,253.43,250.76,252.03,252.23,250.77,248.92,248.36
2297,N,False,253.29,253.97,250.93,251.88,254.08,253.66,253.92,250.28,254.05,255.7
2298,N,False,125.55,126.87,127.35,129.88,128.85,129.49,127.8,126.67,125.36,127.33
2299,N,False,15.874,16.845,17.337,17.442,18.369,19.002,20.355,20.845,20.662,20.187
2300,N,False,211.87,210.47,211.28,212.05,212.1,217.76,214.38,212.04,213.24,215.93
2301,N,False,33.014,36.506,38.741,37.104,36.274,36.552,39.077,38.589,39.568,41.363
2302,N,False,71.159,70.439,69.936,69.074,70.511,71.043,71.811,71.271,70.784,72.007
2303,N,False,60.877,57.843,56.595,56.062,54.157,55.538,54.369,55.067,55.177,55.395
2304,N,False,55.778,55.765,54.065,53.516,54.767,55.642,54.838,53.946,54.066,55.954
2305,N,False,36.67,38.131,38.863,38.201,38.991,39.028,38.834,39.407,38.936,38.63
2306,N,False,67.289,65.224,63.66,64.418,62.175,60.37,60.577,60.072,60.48,61.192
2307,N,False,36.445,36.194,35.619,36.584,35.425,35.062,35.953,35.708,36.123,36.554
2308,N,False,127.95,130.44,128.44,129.62,128.24,126.63,123.2,125.36,122.2,118.94
2309,N,False,245.94,243.59,251.56,251.34,248.44,250.86,250.7,251.85,251.76,253.47
2310,N,False,18.754,18.546,19.314,19.253,19.928,19.083,19.359,18.759,19.227,21.803
2311,N,False,96.912,97.807,98.212,99.008,97.814,97.171,97.582,94.405,95.153,95.256
2312,N,False,144.56,145.41,149.27,149.4,152.28,150.03,151.27,149.97,149.03,149.03
2313,N,False,22.643,23.392,25.28,24.22,24.305,23.369,23.456,23.546,22.703,24.115
2314,N,False,58.15,57.976,57.198,56.68,57.583,57.539,58.571,57.149,59.689,59.861
2315,N,False,90.254,91.524,89.927,89.947,89.629,90.445,90.56,91.83,92.174,93.143
2316,N,False,29.173,29.73,30.512,30.714,30.924,29.806,30.148,31.02,32.333,32.757
2317,N,False,71.615,71.588,72.736,70.672,70.315,69.518,69.308,69.751,70.427,71.293
2318,N,False,61.034,59.007,58.048,57.699,57.845,57.23,56.419,53.787,54.719,52.526
2319,N,False,101.08,102.65,102.16,105.64,105.52,106.88,104.51,106.81,106.17,103.41
2320,N,False,134.79,135.0,134.89,135.22,134.3,135.67,133.54,135.44,135.59,132.96
2321,N,False,35.622,36.351,35.653,36.668,36.307,36.034,37.491,36.948,36.772,37.752
2322,N,False,143.74,143.3,141.02,141.19,143.8,141.73,139.47,135.99,139.24,139.37
2323,N,False,183.79,182.86,184.04,179.69,183.85,183.55,185.04,185.01,183.41,183.55
2324,N,False,426.89,431.51,432.34,436.51,441.2,442.55,442.55,440.13,439.63,438.3
2325,N,False,59.649,58.934,59.064,58.648,60.167,58.443,59.078,58.157,57.492,56.689
2326,N,False,188.5,186.06,187.46,186.61,190.42,189.34,189.32,189.76,188.45,188.6
2327,N,False,92.875,95.131,93.903,94.601,95.737,97.731,99.586,98.063,100.75,97.672
2328,N,False,156.32,158.87,156.58,156.17,156.31,156.56,158.23,156.71,159.25,165.21
2329,N,False,39.314,38.387,39.358,39.461,39.994,39.754,40.354,39.914,40.876,40.539
2330,N,False,82.677,82.92,83.539,83.182,83.565,86.514,86.149,86.849,86.122,87.56
2331,N,False,68.625,67.865,69.005,66.69,66.074,63.14,64.066,63.973,60.687,60.653
2332,N,False,112.07,112.46,110.11,111.17,113.17,112.43,112.66,113.9,112.55,108.89
