,FLARE_TYPE,COINCIDENCE,g_s_1,g_s_2,g_s_3,g_s_4,g_s_5,g_s_6,g_s_7,g_s_8,g_s_9,g_s_10
63,M,False,13458.0,13707.0,14732.0,17349.0,14921.0,14875.0,19219.0,21646.0,13150.0,12798.0
64,M,False,13150.0,12798.0,12327.0,22183.0,13674.0,19069.0,19439.0,23304.0,11889.0,14925.0
65,M,True,66622.0,63643.0,71040.0,68197.0,68826.0,65073.0,72738.0,64085.0,79230.0,75885.0
66,M,False,66319.0,60944.0,66848.0,68026.0,81956.0,72793.0,70511.0,79787.0,73633.0,81606.0
67,M,False,66274.0,78944.0,72429.0,69548.0,71602.0,68709.0,69120.0,67770.0,67747.0,70325.0
68,M,True,20716.0,18939.0,18392.0,17974.0,17847.0,17617.0,17734.0,17862.0,17736.0,17828.0
69,M,False,6016.2,5358.0,7584.8,5377.5,6154.3,6154.6,5024.9,10168.0,10840.0,10386.0
70,M,False,9175.6,13161.0,13672.0,8502.2,9957.4,6763.1,9664.1,8423.8,5758.7,12524.0
71,M,False,2114.6,3948.6,5271.5,3822.2,2883.5,3304.8,4749.4,4726.8,3948.0,3104.5
72,M,False,18241.0,18022.0,17208.0,15309.0,12988.0,13434.0,13212.0,13739.0,14055.0,12344.0
73,M,False,37241.0,35917.0,37109.0,36033.0,32006.0,39746.0,34817.0,35468.0,37066.0,37474.0
74,M,True,4734.5,3596.6,4577.8,5267.1,4503.0,3652.7,6064.6,4976.8,4997.3,4143.8
75,M,False,8655.9,11066.0,9983.3,11356.0,7572.9,7514.2,8356.0,6872.9,8204.6,7417.5
76,M,True,1453.1,4712.0,1771.0,2844.5,2247.6,2503.1,1723.7,1209.2,2539.1,3520.2
77,M,False,12548.0,13749.0,26530.0,31358.0,24229.0,39352.0,11560.0,13088.0,10969.0,27802.0
78,M,False,2255.5,2261.4,1843.7,2030.8,2028.5,1482.4,1831.5,1753.6,1614.9,1534.1
79,M,False,137290.0,156840.0,136670.0,135410.0,77748.0,120680.0,141950.0,143770.0,142600.0,150000.0
80,M,False,4439.1,6833.3,4685.5,4181.3,5539.7,6360.7,6220.4,7878.0,6116.7,6097.6
81,M,False,5700.3,6608.5,5702.6,7419.7,9284.4,8044.7,7114.3,7103.6,7907.0,7737.6
82,M,True,73153.0,68450.0,80849.0,68603.0,73978.0,70719.0,69705.0,73207.0,74377.0,73562.0
83,M,True,46068.0,50432.0,44045.0,46474.0,44187.0,46896.0,49456.0,48922.0,47084.0,44483.0
84,M,False,65865.0,56327.0,71422.0,67485.0,68264.0,70831.0,66542.0,76559.0,77322.0,65598.0
85,M,True,52128.0,45208.0,40686.0,36543.0,36897.0,46902.0,50869.0,48441.0,51208.0,47437.0
86,M,False,37345.0,42263.0,38222.0,35388.0,33964.0,38678.0,39717.0,45229.0,37751.0,37120.0
87,M,True,32469.0,28969.0,34909.0,36551.0,33155.0,32927.0,28369.0,30508.0,27359.0,22207.0
88,M,False,19782.0,19976.0,25713.0,23884.0,24908.0,24528.0,25029.0,26191.0,25030.0,25804.0
89,M,True,641.07,634.89,616.14,884.69,882.8,1146.5,1133.9,587.33,602.27,863.6
90,M,False,212.66,213.62,211.3,210.52,216.62,217.3,213.45,209.33,213.46,206.71
91,M,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,M,True,16284.0,16576.0,17966.0,17984.0,16666.0,16219.0,16548.0,18069.0,16586.0,17116.0
93,M,True,9260.8,10245.0,8454.0,8130.4,8517.2,10079.0,10642.0,10121.0,9938.1,9464.7
94,M,False,9980.8,11521.0,9393.5,8744.3,9817.8,9803.9,9559.8,11359.0,7617.2,7310.6
95,M,True,9399.3,9436.6,9365.6,7490.4,9617.3,9440.8,8853.5,9537.0,9188.5,8984.2
96,M,False,6558.2,7013.3,7020.4,5454.1,5340.9,4438.7,4714.7,5610.7,4948.7,5029.9
97,M,False,1202.2,1394.1,1457.1,1297.2,1542.6,1621.3,1513.3,1555.3,1340.9,1285.7
98,M,True,24569.0,26676.0,23435.0,23097.0,20488.0,24747.0,24638.0,25556.0,26604.0,22397.0
99,M,True,7895.5,11201.0,11148.0,8476.4,8482.2,8275.3,7245.9,7136.9,7000.8,7738.1
100,M,True,36760.0,40910.0,44405.0,47012.0,44036.0,41234.0,51990.0,61498.0,60882.0,47777.0
101,M,False,27387.0,23906.0,24135.0,23818.0,21474.0,21780.0,19943.0,22861.0,29072.0,29746.0
102,M,False,9698.3,9663.8,10168.0,9203.6,10491.0,10081.0,7898.6,10161.0,8778.6,7781.7
103,M,True,52670.0,49580.0,36229.0,38968.0,52574.0,67179.0,63881.0,70989.0,70038.0,65396.0
104,M,False,38968.0,52574.0,67179.0,63881.0,70989.0,70038.0,65396.0,95930.0,77535.0,76577.0
105,M,False,65396.0,95930.0,77535.0,76577.0,79552.0,96826.0,96753.0,82997.0,81788.0,79969.0
106,M,False,96753.0,82997.0,81788.0,79969.0,82708.0,83652.0,82144.0,92316.0,85119.0,83060.0
107,M,False,78539.0,79174.0,96725.0,107220.0,82218.0,70993.0,79013.0,84422.0,87081.0,77881.0
108,M,True,77764.0,83121.0,83894.0,87379.0,102720.0,105550.0,91495.0,92876.0,82534.0,97536.0
109,M,False,0.0,0.0,0.0,0.0,18.308,0.0,0.0,0.0,0.0,0.0
110,M,False,148930.0,127760.0,134720.0,129890.0,140230.0,173990.0,170460.0,178630.0,181070.0,185860.0
111,M,False,80399.0,83565.0,78358.0,79240.0,83335.0,83132.0,73267.0,72917.0,81711.0,94414.0
112,M,True,4297.0,5431.6,5397.0,5454.3,5460.3,5415.0,5288.9,5169.8,5096.9,5040.7
113,M,True,13511.0,13565.0,7256.8,9763.3,10971.0,10847.0,7416.6,7654.2,2682.8,8859.6
114,M,False,25191.0,21415.0,21744.0,18049.0,18247.0,18526.0,15528.0,15010.0,15054.0,15081.0
115,M,False,24522.0,25280.0,26041.0,23018.0,19155.0,22304.0,24162.0,24611.0,22764.0,24163.0
116,M,False,12402.0,10974.0,15438.0,10927.0,19563.0,18445.0,19155.0,10240.0,9998.5,10272.0
117,M,False,16261.0,16387.0,13505.0,13613.0,13376.0,12848.0,12718.0,15513.0,15181.0,14673.0
118,M,True,96110.0,49385.0,171180.0,202730.0,150870.0,116780.0,237930.0,148390.0,148690.0,219010.0
119,M,True,9495.7,10538.0,14639.0,17463.0,10785.0,10745.0,15409.0,14849.0,13936.0,17720.0
120,M,True,46708.0,54418.0,44993.0,45214.0,55501.0,49932.0,45950.0,45453.0,53671.0,56497.0
121,M,True,94201.0,89146.0,97941.0,92220.0,89597.0,100590.0,106410.0,109400.0,108490.0,107050.0
122,M,True,122450.0,119990.0,136360.0,152950.0,146240.0,136920.0,135910.0,156460.0,141070.0,143530.0
123,M,True,116610.0,124830.0,109700.0,129830.0,97092.0,96719.0,108900.0,108050.0,112140.0,116650.0
124,M,False,189300.0,181240.0,188520.0,173450.0,187270.0,194380.0,222800.0,179280.0,214410.0,192710.0
125,M,False,204360.0,219050.0,212660.0,225360.0,231440.0,208820.0,202740.0,173580.0,203610.0,219020.0
126,M,False,189170.0,186360.0,193510.0,178210.0,180140.0,184370.0,181140.0,178760.0,189190.0,169740.0
127,M,False,5013.7,5083.6,4986.1,5135.5,5135.7,5114.2,5051.9,5038.7,4940.5,4938.5
128,M,True,3842.0,4386.9,3446.3,1264.6,3042.0,2027.0,3822.4,3096.7,2645.5,1937.0
129,M,False,2813.7,2863.3,1674.4,2886.9,1717.6,1715.8,1699.9,2982.3,1797.7,1850.2
130,M,False,86523.0,68850.0,48756.0,31616.0,8760.7,10875.0,37639.0,33580.0,11930.0,36807.0
131,M,True,431.49,442.33,429.54,425.6,471.9,445.61,438.65,433.15,437.61,438.25
132,M,False,13003.0,13328.0,17093.0,14403.0,13546.0,14531.0,15249.0,16463.0,13336.0,12523.0
133,M,True,9345.5,10495.0,8252.8,11744.0,16701.0,16685.0,11636.0,6292.7,13962.0,12288.0
134,M,False,43800.0,37001.0,28850.0,17550.0,25079.0,36277.0,21195.0,22720.0,28758.0,13872.0
135,M,False,19681.0,27595.0,19699.0,16007.0,12981.0,14950.0,15759.0,12317.0,10568.0,4018.0
136,M,True,11501.0,13595.0,13357.0,12766.0,17275.0,15303.0,14396.0,9969.5,13497.0,16142.0
137,M,False,16490.0,12315.0,12275.0,15412.0,12524.0,15062.0,14687.0,15964.0,14313.0,12168.0
138,M,False,17775.0,17021.0,12654.0,11389.0,11505.0,12718.0,18686.0,18628.0,18816.0,18422.0
139,M,False,32193.0,32911.0,26960.0,29315.0,37264.0,43309.0,35053.0,38057.0,30740.0,27748.0
140,M,False,27173.0,27048.0,27146.0,27631.0,30776.0,26650.0,27834.0,24895.0,26063.0,24953.0
141,M,False,450.77,457.25,446.08,447.16,440.86,439.48,433.36,431.18,429.83,440.52
142,M,True,13571.0,11498.0,11707.0,10282.0,10326.0,6908.5,9384.6,8660.4,8171.9,9545.9
143,M,True,74832.0,77763.0,88644.0,88221.0,83551.0,94604.0,82742.0,83164.0,84503.0,83050.0
144,M,False,77763.0,88644.0,88221.0,83551.0,94604.0,82742.0,83164.0,84503.0,83050.0,82226.0
145,M,False,98843.0,100980.0,106440.0,97585.0,86862.0,108630.0,83516.0,101130.0,91380.0,96525.0
146,M,True,94316.0,97917.0,89452.0,101460.0,90625.0,105340.0,112090.0,95687.0,125160.0,110020.0
147,M,False,112090.0,95687.0,125160.0,110020.0,119890.0,99162.0,114620.0,129180.0,133740.0,102000.0
148,M,False,133640.0,128690.0,114480.0,112640.0,139980.0,170520.0,168530.0,176300.0,153270.0,185650.0
149,M,False,149920.0,161900.0,164630.0,191580.0,187120.0,173630.0,160590.0,146950.0,147970.0,125250.0
150,M,False,161610.0,153500.0,133400.0,133050.0,135890.0,131780.0,140030.0,173870.0,182240.0,175280.0
151,M,False,198210.0,190730.0,217190.0,246090.0,231030.0,242790.0,221090.0,236750.0,226620.0,189810.0
152,M,False,271090.0,246020.0,236210.0,230990.0,233010.0,242860.0,249930.0,252440.0,239800.0,217270.0
153,M,False,121830.0,123640.0,134220.0,106660.0,113330.0,111140.0,119200.0,130040.0,120740.0,119100.0
154,M,False,35251.0,35464.0,31958.0,34557.0,36342.0,34108.0,32579.0,31607.0,31278.0,33511.0
155,M,True,1585.2,1534.5,1382.9,1534.5,1412.4,1349.2,1043.5,1084.0,1129.8,1150.8
156,M,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,M,False,3329.5,3005.2,3195.8,2367.4,2655.6,3065.9,3020.0,2914.1,3134.3,3600.0
158,M,True,39827.0,45107.0,41028.0,53357.0,72126.0,44458.0,36884.0,22857.0,28322.0,17720.0
159,M,False,4290.3,4072.6,4044.4,3456.8,2390.7,3397.4,3383.6,3392.9,2536.0,3473.5
160,M,True,49087.0,51293.0,51354.0,46081.0,50068.0,51434.0,52715.0,67260.0,66759.0,56164.0
161,M,True,118440.0,110860.0,103920.0,114140.0,112120.0,106210.0,104780.0,101100.0,108340.0,102000.0
162,M,False,108340.0,102000.0,109480.0,103980.0,115980.0,126350.0,126740.0,126420.0,129600.0,118290.0
163,M,True,132060.0,116820.0,109920.0,98982.0,126200.0,142800.0,141110.0,153270.0,145130.0,158120.0
164,M,False,155100.0,180700.0,144570.0,157180.0,138560.0,161540.0,153000.0,168200.0,146540.0,144320.0
165,M,False,141570.0,157250.0,167020.0,150280.0,175710.0,164520.0,172320.0,172580.0,145150.0,151690.0
166,M,False,5243.0,5201.9,5272.6,5257.2,5364.6,5252.4,5512.4,5743.7,6140.6,6431.9
167,M,False,9814.4,8992.0,8637.5,8581.7,7741.2,7338.2,7109.5,7707.8,8026.2,8356.0
168,M,True,1717.0,2172.4,6061.1,6818.2,2176.4,1924.0,1657.0,255.15,1123.3,825.83
169,M,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170,M,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171,M,False,42525.0,35211.0,37114.0,41910.0,41921.0,53262.0,51216.0,38110.0,40164.0,43792.0
172,M,True,354.69,157.86,0.0,224.55,0.0,0.0,76.406,0.0,0.0,0.0
173,M,False,3356.0,4132.4,4622.8,5711.5,4515.3,4466.2,4645.6,2596.9,3727.8,3696.6
174,M,True,6781.1,7401.2,4817.3,7418.0,4253.0,9798.6,7349.1,7744.2,7246.9,8829.0
175,M,False,9667.2,8563.2,9176.1,9881.0,8988.0,9218.2,9436.5,8925.5,8295.5,9068.5
176,M,True,1755.4,2079.8,4780.3,1293.5,1370.6,2239.9,2329.1,1897.8,4113.2,4527.6
177,M,False,6979.1,6833.1,7773.5,8086.5,7369.5,8067.3,8166.9,8757.1,9545.7,8915.2
178,M,True,36852.0,35099.0,36696.0,35871.0,37935.0,30517.0,38816.0,34641.0,37419.0,42005.0
179,M,False,45028.0,41805.0,48650.0,48413.0,56516.0,50046.0,45146.0,45898.0,44450.0,38184.0
180,M,False,53274.0,53473.0,55737.0,57029.0,56536.0,52041.0,53810.0,60119.0,64973.0,53033.0
181,M,True,64206.0,65607.0,67171.0,65638.0,65054.0,58933.0,72105.0,64244.0,56134.0,65248.0
182,M,True,68002.0,68362.0,82546.0,92072.0,79247.0,90765.0,85130.0,89819.0,71296.0,75653.0
183,M,True,83711.0,82956.0,82438.0,83143.0,93129.0,87026.0,92542.0,97385.0,104550.0,105340.0
184,M,True,102920.0,116290.0,116860.0,107410.0,109160.0,122690.0,114970.0,119730.0,108620.0,115450.0
185,M,False,19304.0,19378.0,18552.0,18757.0,14202.0,13274.0,14910.0,15583.0,15248.0,14885.0
186,M,True,117080.0,109790.0,111180.0,106030.0,104510.0,118430.0,119690.0,112680.0,108180.0,117340.0
187,M,False,117340.0,111320.0,106810.0,108150.0,101210.0,102150.0,109480.0,116090.0,106940.0,105190.0
188,M,False,109480.0,116090.0,106940.0,105190.0,114700.0,112990.0,120900.0,125890.0,113430.0,118280.0
189,M,True,113430.0,118280.0,112960.0,106220.0,118110.0,118050.0,110630.0,109260.0,107230.0,105030.0
190,M,True,118110.0,118050.0,110630.0,109260.0,107230.0,105030.0,99489.0,110170.0,112340.0,112860.0
191,M,False,113430.0,117620.0,121360.0,115640.0,121940.0,124790.0,116240.0,115600.0,117950.0,117240.0
192,M,False,209.99,157.34,0.0,436.18,254.4,110.93,36.708,23.246,19.826,0.0
193,M,True,117910.0,133620.0,116360.0,132960.0,140680.0,144590.0,147210.0,150520.0,130660.0,142540.0
194,M,False,140680.0,144590.0,147210.0,150520.0,130660.0,142540.0,151630.0,155060.0,148640.0,146650.0
195,M,False,155060.0,148640.0,146650.0,150030.0,145500.0,147410.0,172500.0,158670.0,160820.0,162450.0
196,M,True,188010.0,191060.0,180560.0,187040.0,190600.0,184750.0,200730.0,177500.0,181800.0,167240.0
197,M,False,177500.0,181800.0,167240.0,172260.0,181710.0,181810.0,165410.0,175640.0,159000.0,162870.0
198,M,True,117580.0,139330.0,133820.0,123960.0,122660.0,132100.0,118660.0,114220.0,112540.0,117140.0
199,M,False,118660.0,114220.0,112540.0,117140.0,107790.0,107330.0,122080.0,135400.0,139710.0,131090.0
200,M,True,134710.0,134530.0,130480.0,138380.0,126700.0,134010.0,120220.0,132310.0,138570.0,121660.0
201,M,False,136770.0,129640.0,138620.0,134880.0,131350.0,121740.0,126100.0,146780.0,151540.0,163780.0
202,M,True,174260.0,158610.0,171370.0,155590.0,162510.0,147170.0,153340.0,177510.0,159120.0,164740.0
203,M,False,185310.0,169450.0,209110.0,177400.0,164600.0,174440.0,190380.0,159910.0,163710.0,158560.0
204,M,False,144950.0,136870.0,143570.0,153220.0,165110.0,150480.0,156390.0,155850.0,155920.0,161960.0
205,M,False,55125.0,54994.0,64340.0,64522.0,39982.0,44726.0,43985.0,31448.0,41345.0,33728.0
206,M,True,200050.0,183240.0,199480.0,168840.0,192020.0,166840.0,169390.0,180600.0,189320.0,176950.0
207,M,True,107570.0,112740.0,108570.0,108280.0,101210.0,105890.0,101990.0,100770.0,99681.0,86297.0
208,M,False,99512.0,111100.0,98921.0,107990.0,90780.0,104020.0,102460.0,104280.0,92549.0,95357.0
209,M,False,77090.0,70392.0,83382.0,83953.0,71023.0,71197.0,71843.0,64592.0,70027.0,71974.0
210,M,False,74206.0,81615.0,69977.0,69024.0,64881.0,65680.0,53914.0,56623.0,54492.0,57997.0
211,M,True,253540.0,259010.0,260040.0,274980.0,264010.0,255110.0,241350.0,265190.0,305910.0,315170.0
212,M,False,328740.0,365190.0,297440.0,304870.0,344910.0,319830.0,327580.0,341190.0,328660.0,305500.0
213,M,False,319830.0,327580.0,341190.0,328660.0,305500.0,306170.0,330220.0,312120.0,325750.0,260100.0
214,M,False,244920.0,267100.0,236720.0,248250.0,237360.0,221340.0,232040.0,233130.0,225290.0,284760.0
215,M,False,14705.0,14677.0,10686.0,10599.0,10330.0,10823.0,80509.0,23474.0,25524.0,25454.0
216,M,False,62097.0,39952.0,40282.0,66388.0,63112.0,121800.0,152170.0,66840.0,75045.0,32459.0
217,M,True,6452.8,6431.2,230110.0,10214.0,10902.0,11130.0,10851.0,10450.0,10006.0,9097.7
218,M,False,15852.0,15045.0,14771.0,15097.0,14479.0,15789.0,14352.0,15334.0,14931.0,15652.0
219,M,False,31307.0,26041.0,26431.0,37087.0,33040.0,32899.0,36811.0,36579.0,32795.0,28397.0
220,M,False,3794.1,3530.6,3479.4,3451.4,4143.8,3408.1,3468.3,3509.1,3106.8,3873.9
221,M,False,0.0,5112.0,16040.0,4491.4,1474.2,1364.5,6116.1,8403.1,1300.1,6203.5
222,M,False,16040.0,4491.4,1474.2,1364.5,6116.1,8403.1,1300.1,6203.5,10140.0,1595.3
223,M,False,2916.5,3826.6,3628.6,3101.5,3196.9,3991.0,3036.5,3167.3,3262.0,2937.4
224,M,False,1551.9,1505.5,1189.3,1391.6,1546.7,1766.5,1205.8,1564.0,1360.6,1671.1
225,M,False,2785.9,3142.5,3314.1,3345.1,3256.5,3089.2,3524.8,3524.1,2241.1,2418.0
226,M,False,925.84,1382.6,1861.8,1341.0,1794.6,1945.0,2030.4,2078.6,2631.3,2196.4
227,M,True,37574.0,70026.0,83076.0,29170.0,76645.0,51384.0,40371.0,35325.0,35354.0,33128.0
228,M,True,8230.4,12015.0,16628.0,12465.0,13178.0,15791.0,12945.0,15777.0,14353.0,17295.0
229,M,True,858.69,320.33,0.0,0.0,161.61,0.0,0.0,162.49,0.0,160.94
230,M,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
231,M,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
232,M,False,6699.8,6519.0,7183.6,7300.5,6884.4,7189.2,7321.2,7382.9,7338.0,9000.5
233,M,False,8372.2,8729.0,8448.9,8247.8,7520.6,7471.4,9086.5,8451.3,9261.5,8272.6
234,M,True,9918.7,9496.1,9577.9,8421.0,10805.0,8816.6,8933.5,8639.5,9962.2,9478.8
235,M,False,19050.0,19728.0,18997.0,19900.0,20418.0,20384.0,20859.0,21021.0,21338.0,21524.0
236,M,False,25413.0,26221.0,30205.0,27232.0,29029.0,33878.0,28510.0,21971.0,28548.0,27720.0
237,M,False,1092.3,1035.9,1044.6,1103.3,1063.6,936.42,1074.3,821.81,764.08,834.28
238,M,False,20863.0,16485.0,16567.0,18587.0,17945.0,18319.0,20758.0,20093.0,20067.0,20178.0
239,M,False,27707.0,26885.0,24962.0,28366.0,28112.0,28709.0,25788.0,24096.0,24969.0,24979.0
240,M,True,45526.0,61387.0,48798.0,59220.0,51924.0,39020.0,37610.0,37520.0,46356.0,43643.0
241,M,False,32687.0,31743.0,31131.0,32200.0,31201.0,41938.0,30608.0,31437.0,32670.0,42705.0
242,M,True,4450.4,4654.9,4842.3,4628.6,4594.5,4698.7,4576.8,4873.6,4879.4,6317.5
243,M,False,3193.4,3031.4,3140.1,3097.1,3297.9,3237.4,3125.7,3115.4,3298.7,3126.0
244,M,False,88.731,91.119,100.49,101.02,81.217,83.716,89.216,0.0,0.0,95.127
245,M,False,11337.0,9192.5,9250.0,9336.5,7876.2,7850.9,6845.4,8271.3,5778.5,5907.8
246,M,False,20434.0,18655.0,20028.0,17197.0,17981.0,16124.0,18102.0,17936.0,15317.0,15787.0
247,M,False,80863.0,68331.0,59939.0,59896.0,79257.0,66969.0,75822.0,73870.0,82723.0,68433.0
248,M,False,40284.0,31376.0,32734.0,29934.0,33702.0,37389.0,34899.0,35220.0,32809.0,38738.0
249,M,False,5148.9,5166.7,5697.5,5445.7,4778.0,4813.0,4564.3,3976.6,4797.0,3737.3
