,FLARE_TYPE,COINCIDENCE,ABSNJZH_1,ABSNJZH_2,ABSNJZH_3,ABSNJZH_4,ABSNJZH_5,ABSNJZH_6,ABSNJZH_7,ABSNJZH_8,ABSNJZH_9,ABSNJZH_10
226,M,False,159.56,151.71,165.76,150.5,164.61,164.95,158.17,195.72,178.11,191.94
227,M,True,3.0518,10.027,0.0044753,36.52,124.39,4.9161,18.847,82.586,236.76,35.356
228,M,True,274.85,359.25,224.41,272.57,249.08,263.57,310.38,253.59,352.29,342.29
229,M,True,115.79,116.17,118.03,117.3,120.69,129.72,125.64,127.25,125.25,148.07
230,M,False,116.31,132.33,131.48,185.3,187.34,190.41,151.07,168.39,160.7,165.43
231,M,True,209.58,209.26,191.83,187.99,206.89,214.77,219.56,225.64,232.5,253.52
232,M,False,736.97,749.62,784.02,775.88,764.23,808.99,825.54,675.92,710.52,722.64
233,M,False,744.74,706.96,817.39,732.59,810.76,793.82,761.26,694.31,745.73,766.07
234,M,True,130.43,143.37,141.61,156.36,140.52,127.51,140.02,163.91,178.43,197.01
235,M,False,399.77,390.82,397.73,368.12,361.75,333.97,347.35,343.88,347.23,343.2
236,M,False,355.49,315.7,343.85,379.57,358.08,370.57,404.32,393.52,401.93,394.03
237,M,False,13.141,10.148,23.886,34.047,23.974,38.401,53.157,58.146,58.385,50.811
238,M,False,34.304,67.614,68.772,79.112,50.306,55.402,38.461,14.311,9.5187,14.925
239,M,False,150.75,164.05,162.12,204.44,199.75,199.53,193.55,183.83,188.86,131.88
240,M,True,150.52,92.309,89.084,114.32,104.48,85.649,100.25,114.52,135.07,125.65
241,M,False,23.34,27.329,47.162,2.8462,30.405,4.7908,4.2409,13.584,9.2735,16.683
242,M,True,383.78,392.28,413.39,387.48,391.5,398.69,395.64,406.46,392.12,408.53
243,M,False,443.05,465.01,454.81,453.77,471.17,435.13,424.43,415.26,395.39,384.56
244,M,False,23.06,24.227,28.623,25.939,24.015,13.643,15.969,8.8541,10.274,6.8082
245,M,False,281.55,306.04,320.08,310.47,314.49,311.84,289.26,286.37,295.55,311.98
246,M,False,90.242,85.988,90.23,102.88,92.399,83.923,82.643,77.633,67.577,69.272
247,M,False,753.24,715.52,732.47,768.31,788.21,830.15,823.98,860.17,876.58,871.58
248,M,False,411.38,432.43,444.67,436.66,422.75,437.21,446.19,430.7,428.89,405.02
249,M,False,3.6589,1.156,12.708,12.333,21.732,37.293,52.472,30.735,69.982,54.37
250,M,False,941.42,879.81,936.43,994.62,966.59,1001.7,936.23,1008.8,967.46,730.47
251,M,True,639.11,671.97,668.44,667.87,660.27,666.09,677.12,651.19,639.02,650.38
252,M,False,534.14,532.55,516.78,527.89,526.14,511.53,508.46,508.01,513.48,520.24
253,M,False,108.0,108.13,112.92,112.37,125.66,116.52,110.78,107.48,114.92,113.05
254,M,False,66.247,58.393,54.11,50.786,52.713,47.438,52.921,42.55,39.452,36.825
255,M,False,620.82,624.44,653.18,643.31,658.73,638.5,649.13,678.09,663.52,655.81
256,M,False,366.02,350.81,344.89,357.19,282.73,278.91,330.21,322.44,335.55,337.14
257,M,False,150.35,154.38,175.63,170.43,159.92,166.22,178.8,177.27,175.06,151.49
258,M,False,4.806,1.3472,3.0512,1.538,3.6125,2.0979,9.3379,7.0004,7.7946,4.3202
259,M,False,237.53,188.7,288.47,237.26,208.43,199.85,177.51,229.23,198.48,280.96
260,M,False,135.71,133.53,134.19,141.35,125.32,122.77,120.63,143.72,141.6,132.02
261,M,True,785.94,775.12,799.33,793.03,805.53,802.88,807.63,805.02,805.21,803.73
262,M,False,793.03,805.53,802.88,807.63,805.02,805.21,803.73,790.47,786.65,801.01
263,M,False,7.6735,12.833,16.8,14.595,26.785,37.329,43.006,39.99,29.701,38.795
264,M,False,544.91,547.94,539.75,558.33,536.29,558.42,556.26,575.37,569.0,566.71
265,M,True,435.86,444.59,433.45,428.43,420.07,421.42,412.89,438.24,425.94,416.33
266,M,False,629.82,626.46,631.08,624.92,599.24,590.05,574.13,556.08,545.28,532.84
267,M,True,87.819,74.957,83.114,87.976,106.04,127.71,88.587,85.144,110.26,110.66
268,M,False,452.18,442.3,424.92,413.99,399.02,421.96,434.44,456.6,451.83,444.91
269,M,True,381.16,374.79,365.85,353.04,375.47,374.64,364.68,361.71,380.41,383.5
270,M,True,243.48,282.84,303.74,282.91,260.89,259.3,250.21,287.82,318.62,320.89
271,M,False,322.68,361.91,327.41,355.46,354.78,361.61,361.9,357.45,364.16,389.16
272,M,False,327.41,355.46,354.78,361.61,361.9,357.45,364.16,389.16,403.1,383.03
273,M,False,518.69,498.81,504.44,511.26,500.99,513.79,510.53,528.33,542.72,526.72
274,M,False,206.43,160.31,177.61,174.91,138.31,160.64,176.57,215.29,217.39,204.86
275,M,False,174.91,138.31,160.64,176.57,215.29,217.39,204.86,220.07,195.27,225.82
276,M,True,0.0,0.0,0.0,0.0,0.0,0.17707,0.019124,0.28421,0.41341,0.1681
277,M,True,9.0299,7.4504,7.6512,7.9312,10.805,5.0005,3.553,7.965,1.3707,5.9232
278,M,True,69.543,679.27,695.87,743.96,741.43,718.29,652.8,318.9,424.95,675.67
279,M,False,268.29,257.81,362.98,389.73,180.78,344.48,95.837,215.94,226.43,138.08
280,M,False,45.199,30.123,81.152,167.24,92.997,62.084,42.886,33.756,81.251,149.11
281,M,False,81.251,149.11,198.19,147.17,157.6,204.58,138.62,146.99,130.48,127.53
282,M,False,310.66,355.54,583.1,579.48,328.03,566.69,391.07,574.48,609.71,308.14
283,M,True,851.62,805.18,815.22,794.71,723.33,776.26,749.14,741.1,790.97,815.31
284,M,False,743.33,775.05,760.68,768.62,797.3,751.25,755.23,717.19,735.98,759.29
285,M,False,445.0,440.39,442.33,428.92,428.54,437.19,436.6,428.96,442.1,427.27
286,M,False,733.7,526.71,543.65,560.32,779.88,569.45,608.33,857.7,868.28,845.19
287,M,True,521.68,586.88,567.19,629.08,585.38,582.16,559.13,573.44,616.59,667.12
288,M,False,567.19,629.08,585.38,582.16,559.13,573.44,616.59,667.12,642.83,588.0
289,M,False,734.38,751.0,779.33,769.85,735.23,725.17,751.79,717.93,715.98,746.75
290,M,False,85.545,103.72,95.132,89.092,91.574,140.44,60.704,97.364,74.803,84.853
291,M,False,319.93,304.71,324.13,285.63,286.69,289.76,307.9,314.95,312.82,309.23
292,M,True,357.96,344.08,363.71,373.49,364.5,393.73,387.02,397.98,402.66,380.65
293,M,False,415.16,419.06,435.12,434.64,435.5,432.19,419.79,401.79,387.51,410.38
294,M,True,509.12,583.23,600.43,601.66,612.02,585.99,588.84,598.96,580.26,609.21
295,M,True,858.7,907.2,900.1,911.94,903.16,905.12,890.32,1019.0,1061.5,1081.3
296,M,True,1095.1,1159.6,1152.5,1162.7,1241.2,1205.4,1232.6,1218.6,1272.1,1155.5
297,M,True,895.4,985.83,977.95,969.48,952.65,938.44,971.26,981.47,969.87,933.02
298,M,True,1002.0,968.17,923.16,934.63,902.86,844.26,870.91,781.77,815.0,776.12
299,M,False,275.53,279.01,282.12,285.44,296.63,321.05,329.45,314.15,311.5,306.98
300,M,False,71.563,89.621,94.405,103.66,99.153,100.88,123.94,138.57,154.6,138.2
301,M,False,952.63,936.56,959.04,982.19,955.09,960.7,942.4,935.83,954.59,941.03
302,M,False,239.51,212.82,204.39,216.34,224.43,218.65,237.36,228.58,228.59,234.54
303,M,True,213.45,183.96,160.14,181.5,196.58,173.57,133.5,128.08,126.61,131.58
304,M,True,77.745,76.305,69.502,74.37,72.512,77.118,49.577,50.458,38.809,13.955
305,M,False,55.964,50.86,74.917,79.193,109.15,125.84,164.38,247.48,213.34,170.07
306,M,False,402.68,367.32,695.2,323.64,117.21,616.79,287.99,274.2,277.19,249.32
307,M,True,479.85,481.19,491.93,451.68,464.59,475.11,466.41,451.07,438.92,449.22
308,M,False,456.07,449.43,441.09,469.95,485.13,496.48,512.2,514.31,558.58,503.86
309,M,False,0.85022,3.3773,7.0953,3.4395,10.274,26.54,20.976,9.7622,1.5509,6.8075
310,M,True,57.742,55.714,42.917,28.828,57.358,35.784,41.43,40.41,31.031,37.041
311,M,False,42.814,47.904,48.989,44.96,51.673,60.436,64.42,62.039,61.041,65.816
312,M,True,337.72,350.8,332.9,351.26,349.16,284.19,335.0,305.24,295.33,252.45
313,M,False,351.26,349.16,284.19,335.0,305.24,295.33,252.45,283.12,251.42,233.61
314,M,False,53.469,35.44,34.061,27.426,26.507,36.848,19.826,42.615,56.521,51.446
315,M,True,117.83,83.423,75.73,94.826,121.12,123.59,104.98,93.956,138.2,171.3
316,M,False,80.614,67.72,59.472,61.547,139.67,58.985,63.128,67.006,43.242,68.696
317,M,False,80.809,3.4364,98.647,7.7129,82.371,179.55,162.47,159.38,227.34,215.91
318,M,False,405.34,448.17,470.36,360.8,452.95,477.34,452.03,274.26,310.23,115.82
319,M,False,145.62,139.07,145.05,142.67,165.32,155.48,148.62,147.38,158.02,151.09
320,M,True,136.73,129.67,143.71,132.55,110.79,113.21,132.08,121.91,122.96,99.975
321,M,False,93.276,99.891,145.5,157.51,144.91,159.09,160.85,157.43,147.05,156.64
322,M,True,103.32,126.11,115.54,119.84,115.7,127.77,126.12,122.95,119.84,125.56
323,M,True,714.79,1025.0,915.04,832.9,851.78,755.75,964.95,894.68,767.26,802.39
324,M,True,1172.1,1161.7,1216.4,1203.5,1162.0,1227.6,1220.6,1189.3,1222.8,1144.8
325,M,False,1194.1,1252.2,1265.3,1231.8,1285.0,1271.5,1306.7,1326.3,1372.1,1382.5
326,M,False,1298.5,1383.8,1319.3,1277.4,1319.7,1355.4,1377.4,1333.2,1348.7,1334.4
327,M,False,65.565,66.783,103.28,97.179,66.218,120.21,101.09,64.62,30.207,25.088
328,M,False,196.6,188.5,186.54,195.31,196.76,185.54,177.96,177.88,179.28,164.7
329,M,True,1953.0,1906.1,1903.6,1935.8,1925.6,1959.5,1957.5,1947.0,1959.3,1979.3
330,M,False,8.5417,11.426,10.885,10.562,11.661,12.31,14.002,12.884,10.97,11.445
331,M,False,916.98,865.09,916.45,920.67,918.4,939.25,967.02,933.21,910.48,895.03
332,M,False,4.7408,1.1092,6.403,6.835,10.04,16.066,18.792,7.0491,31.803,40.676
333,M,False,123.4,134.37,138.31,146.05,152.23,162.07,135.5,161.38,161.29,169.7
334,M,False,160.05,149.65,136.17,137.1,132.99,128.2,148.46,134.61,131.46,134.75
335,M,False,128.2,148.46,134.61,131.46,134.75,130.28,177.76,135.98,141.93,146.77
336,M,False,336.59,230.03,425.95,385.52,343.08,324.96,263.27,395.59,394.09,412.57
337,M,False,455.85,555.03,497.51,495.11,505.89,440.01,571.37,302.74,444.03,380.5
338,M,True,58.535,12.292,36.662,25.583,70.469,68.876,75.304,88.094,67.274,115.12
339,M,False,88.094,67.274,115.12,5.193,118.68,23.954,64.882,23.783,21.975,54.1
340,M,False,331.52,232.65,304.48,162.02,221.73,208.65,229.14,243.95,452.99,164.06
341,M,True,685.41,674.22,666.3,661.05,727.64,706.54,705.68,687.27,732.93,671.16
342,M,False,758.32,788.73,845.71,908.04,883.68,899.23,942.58,917.36,955.08,1027.9
343,M,True,200.45,199.69,198.49,233.98,257.71,218.47,218.35,246.08,252.02,245.73
344,M,True,972.39,1034.4,1153.0,1189.2,1239.9,1305.0,1346.7,1349.5,1375.3,1417.6
345,M,False,1517.5,1505.5,1503.4,1536.8,1511.6,1520.6,1504.6,1501.1,1471.9,1452.6
346,M,False,1578.7,1664.1,1669.2,1722.9,1666.8,1599.9,1630.6,1662.0,1704.6,1690.5
347,M,False,194.23,199.65,235.49,232.07,233.09,231.39,256.57,254.05,260.15,279.43
348,M,False,1966.2,1875.5,1841.3,1816.1,1699.4,1797.6,1793.7,1721.6,1581.6,1612.5
349,M,False,2045.6,2098.9,2142.2,2015.1,2185.4,2109.7,2194.9,2346.1,2303.9,2273.3
350,M,False,256.75,280.74,270.67,304.64,298.7,302.84,321.46,308.22,306.49,330.07
351,M,True,2920.3,2796.1,2904.6,2865.1,2738.0,2807.0,2709.0,2721.8,2670.8,2746.4
352,M,False,2606.7,2689.2,2670.4,2663.3,2687.9,2790.5,2752.6,2778.4,2867.2,2842.6
353,M,False,2877.9,2858.6,2900.4,2931.3,2925.4,2918.6,2891.3,2916.6,2837.4,2888.9
354,M,False,1995.2,2562.4,2556.1,2350.7,2394.4,2401.3,2224.0,2392.5,2090.0,2312.7
355,M,True,1474.7,1466.9,1442.0,1467.6,1516.2,1495.6,1524.8,1528.7,1443.4,1501.4
356,M,False,1506.3,1525.6,1549.0,1515.0,1525.9,1574.9,1567.1,1545.1,1468.6,1523.9
357,M,False,985.75,940.21,918.61,920.28,817.72,829.97,884.29,779.11,782.89,832.35
358,M,True,89.913,95.389,98.697,120.88,95.47,99.317,113.15,83.758,106.5,95.628
359,M,True,83.688,63.243,23.634,41.37,2.981,12.784,15.388,46.513,65.526,58.91
360,M,True,514.8,532.26,544.85,534.58,524.15,530.06,546.72,561.93,584.81,583.62
361,M,True,589.85,578.56,580.51,558.94,593.45,582.17,544.87,527.25,523.81,493.06
362,M,True,197.21,194.4,189.3,171.37,123.55,130.85,65.282,70.827,45.744,32.762
363,M,True,458.97,476.73,483.52,442.74,447.42,444.5,380.57,353.32,357.08,330.09
364,M,True,444.5,380.57,353.32,357.08,330.09,339.73,340.5,310.69,273.37,326.22
365,M,False,337.84,332.43,330.89,343.77,309.24,313.91,300.09,307.45,279.23,231.81
366,M,False,170.61,142.43,127.19,92.781,108.34,106.17,118.2,123.79,135.96,134.39
367,M,True,66.825,116.37,111.28,60.194,25.955,42.447,17.856,39.581,41.863,36.264
368,M,False,36.932,102.54,104.46,86.49,140.99,126.58,180.75,182.22,169.83,134.89
369,M,False,126.58,180.75,182.22,169.83,134.89,150.76,115.47,146.1,141.9,101.88
370,M,False,140.13,154.26,148.55,139.37,158.82,108.73,60.528,49.373,76.365,102.97
371,M,False,37.721,27.925,25.327,12.163,5.6478,12.711,18.741,37.01,35.942,49.492
372,M,False,171.27,165.0,169.27,151.87,169.93,168.54,167.62,171.13,177.52,189.34
373,M,False,293.56,213.77,248.62,221.94,166.26,164.72,179.44,164.49,137.55,189.04
374,M,False,73.565,15.294,51.275,78.933,90.307,98.648,136.64,103.99,84.393,115.97
375,M,False,151.16,166.98,188.07,150.92,101.19,117.67,142.36,224.06,173.14,145.09
376,M,False,20.133,19.021,18.028,17.027,14.374,21.923,20.094,11.436,13.22,15.734
377,M,False,301.36,316.63,319.95,329.77,332.47,304.21,332.17,320.53,317.7,298.36
378,M,False,428.11,424.97,409.35,400.64,402.06,405.96,408.1,423.02,432.58,448.66
379,M,True,6.9406,14.162,106.82,135.03,130.71,103.6,84.096,95.828,103.46,99.721
380,M,True,76.224,65.396,129.47,75.196,70.026,61.549,66.037,65.77,63.454,67.331
381,M,True,157.43,164.06,84.086,110.23,110.24,161.26,122.93,126.38,136.35,170.51
382,M,False,209.54,187.63,215.56,215.88,205.93,198.51,211.77,201.12,198.23,240.06
383,M,False,152.39,159.95,160.33,162.61,176.47,153.45,177.49,173.33,146.25,276.53
384,M,False,316.61,297.26,281.38,298.98,329.77,332.93,314.1,324.72,349.28,353.7
385,M,True,33.436,39.485,18.062,26.087,39.8,59.973,57.188,56.945,63.729,60.906
386,M,False,135.11,144.6,159.07,184.0,181.21,189.65,208.4,204.09,183.94,177.34
387,M,False,12.663,3.7038,16.026,9.8937,1.3275,19.044,10.213,5.2581,17.37,38.303
388,M,True,317.35,321.62,381.45,372.0,393.0,366.48,366.29,369.76,359.91,299.05
389,M,True,311.8,392.4,394.54,287.79,208.31,219.2,231.15,248.47,264.8,213.09
390,M,False,345.57,249.79,323.39,153.24,233.69,230.66,274.74,216.56,70.13,184.05
391,M,False,418.87,423.92,404.02,401.99,419.83,440.68,445.79,444.86,452.62,438.14
392,M,False,239.21,239.27,118.77,244.49,213.66,125.48,156.58,123.36,123.03,190.64
393,M,True,65.937,44.388,42.64,52.778,49.834,58.274,59.788,46.89,59.251,49.826
394,M,False,58.181,75.209,81.033,78.908,91.126,96.141,100.39,108.16,97.118,89.945
