,FLARE_TYPE,COINCIDENCE,MEANSHR_1,MEANSHR_2,MEANSHR_3,MEANSHR_4,MEANSHR_5,MEANSHR_6,MEANSHR_7,MEANSHR_8,MEANSHR_9,MEANSHR_10
1736,B,False,34.895,35.282,35.514,35.882,35.84,34.959,35.118,34.761,34.604,34.538
1737,B,False,24.801,24.491,24.483,25.118,24.851,24.677,24.444,25.157,25.401,26.001
1738,B,False,42.244,42.534,42.929,42.883,42.355,42.285,42.371,42.448,42.256,42.429
1739,B,False,30.502,30.85,30.395,30.42,30.297,30.266,30.387,30.546,30.723,30.394
1740,B,False,27.136,27.092,27.357,26.689,26.692,27.388,26.99,27.382,27.283,27.252
1741,B,False,37.034,36.522,36.884,37.15,36.892,36.378,36.731,36.458,36.406,36.216
1742,B,False,20.739,20.299,20.142,19.446,19.993,20.289,20.376,20.612,20.67,20.037
1743,B,False,36.496,37.133,37.187,37.048,37.317,36.955,37.224,37.184,37.63,37.76
1744,B,False,36.735,35.59,35.617,35.864,34.592,32.419,33.487,33.807,32.196,33.254
1745,B,False,30.087,30.639,30.756,30.36,30.706,30.091,29.704,30.743,30.706,30.313
1746,B,False,0.0,0.0,25.742,29.252,39.716,43.413,35.428,41.759,34.019,28.302
1747,B,False,27.074,27.455,27.506,27.104,27.27,27.983,27.428,26.9,27.31,26.849
1748,B,False,24.591,23.915,23.649,24.482,24.397,23.998,23.293,23.733,23.749,23.532
1749,B,False,35.509,36.234,35.545,35.436,35.841,35.295,35.002,35.159,35.315,35.466
1750,B,False,21.154,19.892,20.83,20.309,21.359,20.392,20.91,20.396,21.009,20.182
1751,B,False,22.883,23.125,22.143,22.43,22.119,23.921,23.695,24.276,26.571,26.235
1752,B,False,24.074,24.502,23.781,24.331,24.404,23.961,24.322,24.709,25.02,24.544
1753,B,False,23.909,25.314,25.692,24.396,23.894,24.681,24.445,24.923,23.584,23.39
1754,B,False,23.487,23.51,23.542,23.562,23.578,23.462,23.733,23.816,23.716,23.749
