,FLARE_TYPE,COINCIDENCE,d_l_f_1,d_l_f_2,d_l_f_3,d_l_f_4,d_l_f_5,d_l_f_6,d_l_f_7,d_l_f_8,d_l_f_9,d_l_f_10,d_l_f_11,d_l_f_12,d_l_f_13,d_l_f_14,d_l_f_15,d_l_f_16,d_l_f_17,d_l_f_18,d_l_f_19,d_l_f_20,d_l_f_21,d_l_f_22,d_l_f_23,d_l_f_24,d_l_f_25,d_l_f_26,d_l_f_27,d_l_f_28,d_l_f_29,d_l_f_30,d_l_f_31,d_l_f_32,d_l_f_33,d_l_f_34,d_l_f_35,d_l_f_36,d_l_f_37,d_l_f_38,d_l_f_39,d_l_f_40,d_l_f_41,d_l_f_42,d_l_f_43,d_l_f_44,d_l_f_45,d_l_f_46,d_l_f_47,d_l_f_48,d_l_f_49,d_l_f_50,d_l_f_51,d_l_f_52,d_l_f_53,d_l_f_54,d_l_f_55,d_l_f_56,d_l_f_57,d_l_f_58,d_l_f_59,d_l_f_60,d_l_f_61,d_l_f_62,d_l_f_63,d_l_f_64,d_l_f_65,d_l_f_66,d_l_f_67,d_l_f_68,d_l_f_69,d_l_f_70,d_l_f_71,d_l_f_72,d_l_f_73,d_l_f_74,d_l_f_75,d_l_f_76,d_l_f_77,d_l_f_78,d_l_f_79,d_l_f_80
1090,B,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1091,B,False,121.95,125.72,126.14,127.05,127.05,127.48,113.86,114.13,128.38,114.44,111.35,110.27,111.94,107.99,109.4,107.18,67.791,113.97,108.7,108.42,105.48,102.85,107.32,106.28,104.97,102.69,105.31,104.59,103.99,92.763,91.782,93.598,93.557,94.541,94.541,94.541,95.525,95.525,96.509,96.338,96.338,97.324,97.324,97.165,97.165,97.015,97.015,98.153,98.005,98.995,98.995,98.858,99.85,99.85,99.985,100.98,100.98,100.98,101.83,101.83,102.83,102.83,102.83,102.7,103.7,103.82,103.7,104.81,103.82,105.68,105.68,104.69,104.69,104.69,105.57,105.57,105.48,105.57,106.47,106.47
1092,B,False,158.92,159.9,156.6,158.91,161.64,164.13,162.89,163.7,162.05,163.74,162.96,161.75,162.81,162.56,161.02,161.42,160.69,160.49,161.27,158.81,159.35,159.97,156.64,157.44,158.27,160.45,160.39,161.05,162.44,159.56,161.05,160.02,159.27,158.2,158.55,158.94,161.27,160.07,160.88,160.87,160.42,160.6,162.21,163.42,163.71,163.57,163.09,163.24,164.9,165.89,164.54,161.91,161.64,162.73,164.07,164.2,166.02,166.64,166.7,168.16,168.79,170.38,172.28,172.61,170.79,170.21,172.14,173.18,169.58,171.54,172.76,174.56,174.64,175.82,176.3,178.18,177.87,177.54,176.88,177.0
1093,B,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1094,B,False,86.29,98.267,98.559,96.062,81.7,99.273,93.766,78.648,79.795,94.807,88.265,121.56,118.6,119.06,119.7,119.92,119.82,31.623,9.7082,35.735,35.656,34.785,138.32,73.214,137.09,137.14,137.13,49.053,93.208,88.159,132.59,137.79,132.06,128.56,96.31,98.725,106.78,132.81,138.5,134.93,131.22,130.76,109.51,134.96,135.51,135.44,142.13,113.51,83.996,103.8,143.1,142.19,142.86,143.1,143.1,144.31,97.646,92.609,108.28,143.84,136.91,116.69,137.41,85.227,61.24,102.6,96.733,103.74,128.51,135.51,131.44,134.65,135.6,135.43,111.38,136.62,135.95,134.86,119.17,108.57
1095,B,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1096,B,True,197.09,197.06,198.06,198.06,199.06,200.06,200.04,200.06,200.04,200.04,200.04,200.06,200.06,201.06,201.06,203.04,203.04,203.06,203.04,203.04,204.06,205.06,205.12,204.12,204.12,205.12,207.15,206.12,207.12,207.15,208.15,209.15,209.15,209.12,210.12,210.12,210.12,210.12,210.12,211.12,211.09,211.09,211.09,211.09,212.08,213.08,212.06,202.4,204.25,214.06,213.06,213.08,214.08,215.06,215.08,216.08,0.0,218.06,219.06,219.04,219.04,219.04,219.04,0.0,0.0,0.0,0.0,114.23,145.37,151.14,117.05,117.05,118.6,118.6,119.54,118.93,140.06,155.72,143.09,121.15
1097,B,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1098,B,False,265.76,263.04,268.98,267.63,267.12,265.76,267.57,266.61,258.29,257.71,252.81,249.91,250.51,253.18,255.46,255.68,251.08,256.5,253.66,248.35,246.49,243.6,246.77,250.17,246.52,248.43,250.96,245.28,249.46,245.82,253.15,250.39,248.81,244.05,250.22,248.83,254.8,256.17,256.65,258.21,252.92,252.46,254.92,256.43,249.32,244.69,242.75,239.55,241.82,246.63,241.5,245.43,249.45,249.74,250.85,248.12,248.17,247.32,245.01,247.92,240.56,243.12,243.12,243.77,242.22,243.51,241.56,242.22,245.06,246.66,250.34,250.35,248.37,243.23,238.57,247.18,244.84,244.32,246.22,250.45
1099,B,False,88.441,87.385,87.966,88.955,89.764,89.499,90.523,90.577,90.891,91.504,91.455,91.629,92.27,92.933,92.825,93.615,93.414,93.674,94.461,94.731,94.556,95.072,9.8489,10.77,95.229,10.77,10.77,10.44,9.4868,9.4868,10.44,10.994,9.2195,11.108,4.4362,10.05,66.425,61.987,98.757,99.105,98.259,87.707,85.478,99.156,85.466,84.844,91.197,90.179,89.097,84.744,86.926,85.287,87.261,86.76,86.348,84.709,82.15,82.072,78.216,79.27,78.902,83.506,79.501,84.018,79.7,78.815,77.734,73.625,80.09,76.302,74.099,74.749,74.537,76.616,78.025,80.134,81.23,81.724,80.954,82.866
