T_REC,NOAA_AR,SAVNCPP,MEANPOT,EPSZ,TOTBSQ,TOTFZ,TOTABSTWIST
2012.03.09_17:48:00.000_TAI,11429,83911770000000.0,13537.0,-0.1391331898430085,62864228569.47228,-4621.756696856045,7886.166224525416
2012.03.12_17:36:00.000_TAI,11429,53600290000000.0,8246.2,-0.2935854288728765,56286830452.664055,-8732.004705384228,7050.102707214342
2012.03.13_15:24:00.000_TAI,11432,2445701000000.0,3338.0,-0.4276743470090788,7585205530.11388,-1714.1676015599655,2488.856822153519
2012.03.14_08:12:00.000_TAI,11432,1938184000000.0,3501.7,-0.3792635865370246,6219533916.395692,-1246.4408383204643,1721.1718318470623
2012.03.16_20:36:00.000_TAI,11434,1115142000000.0,4796.4,-0.3497861779512913,2449003545.013405,-452.6523780095789,494.1466578263117
2012.04.26_08:24:00.000_TAI,11466,1729185000000.0,8158.0,-0.2301242771619505,11880002227.38783,-1444.6136759546075,1637.2586571862823
2012.05.06_14:36:00.000_TAI,11471,4524158000000.0,8061.1,-0.2703303139972662,20384987353.240368,-2911.910349177173,3162.100860979433
2012.05.07_13:12:00.000_TAI,11476,33275190000000.0,11962.0,-0.2308910746647613,67084068179.00472,-8184.634593802562,7851.027171394391
2012.05.08_12:36:00.000_TAI,11476,36234650000000.0,13698.0,-0.1396318403697127,67603099635.70239,-4987.969634038597,8164.462413182588
2012.05.08_14:12:00.000_TAI,11476,31787940000000.0,13286.0,-0.1347793971692878,68924040803.72952,-4908.705168866747,8497.554477188483
2012.05.08_21:00:00.000_TAI,11476,62051140000000.0,14481.0,-0.1219863407944595,75836635480.356,-4888.358390697125,8519.381892958676
2012.05.09_04:24:00.000_TAI,11476,57905990000000.0,16277.0,-0.1112382444235433,79283732162.86856,-4660.269563053449,9105.74082105124
2012.07.11_03:12:00.000_TAI,11520,62709920000000.0,12019.0,-0.0688640889748791,79367792494.96512,-2888.084715704729,9165.537384258763
2011.09.09_21:12:00.000_TAI,11283,11521760000000.0,5480.5,-0.3653397982619665,40911809387.17836,-7898.02350563333,5322.3252170612295
2012.06.02_18:00:00.000_TAI,11496,6066639000000.0,3363.3,-0.5127815857792828,43464422603.43103,-11777.12049891243,8321.888015409333
2012.09.06_03:48:00.000_TAI,11560,12519730000000.0,3410.8,-0.110759694425173,14957786988.54172,-875.4310091602441,1747.5707232968468
2012.06.12_13:12:00.000_TAI,11504,19985930000000.0,10377.0,-0.1991220754598774,38195518919.43378,-4018.876302289653,5163.705982819383
2011.04.14_14:00:00.000_TAI,11190,14835170000000.0,7566.5,-0.3644041740675239,15418004747.981562,-2968.8226119906776,2741.8038447993385
2012.06.29_12:48:00.000_TAI,11513,10462330000000.0,5369.7,-0.398586169614932,20124983000.8142,-4238.680362957038,4157.510413235781
2012.06.29_18:36:00.000_TAI,11513,14124580000000.0,5424.9,-0.3638737744251938,20575012467.66749,-3956.067247691528,4151.151934862014
2012.06.30_19:24:00.000_TAI,11513,14077150000000.0,6980.0,-0.3018153401414736,18028792875.70277,-2875.284644195501,3503.7095182244584
2013.01.12_22:36:00.000_TAI,11652,13153940000000.0,5386.5,-0.298053135262822,21171476383.81756,-3334.3999860313365,4040.487605648226
2017.04.02_08:24:00.000_TAI,12644,12081230000000.0,8649.9,-0.1450596088132464,39042586679.97308,-2992.663954069049,5028.3252718743215
2015.10.14_17:24:00.000_TAI,12434,20356280000000.0,3464.4,-0.1237025038555277,42402254543.30978,-2771.661712670756,5352.009669177262
2012.07.02_00:00:00.000_TAI,11515,23022400000000.0,12344.0,-0.1144531016120362,43059042072.13971,-2604.1425221107143,5476.709324566459
2014.03.20_02:24:00.000_TAI,12010,16468980000000.0,5164.2,-0.1021979757333122,47280866986.92479,-2553.292634547832,6414.865521809526
2013.04.21_21:48:00.000_TAI,11726,23276770000000.0,15308.0,-0.0920116429985436,49463831957.51592,-2404.935295808224,6714.441823810356
2012.07.03_12:24:00.000_TAI,11515,25134960000000.0,12075.0,-0.075954538884996,50268534351.85182,-2017.543294543012,6856.52780352299
2013.10.26_19:12:00.000_TAI,11875,33167500000000.0,10446.0,-0.0727757260806586,51844175267.93768,-1993.697831396304,7253.61944161904
2012.07.03_16:36:00.000_TAI,11513,8513991000000.0,10574.0,-0.1728679096556183,26485051086.58962,-2419.290658973398,3371.141511479024
2012.07.03_22:12:00.000_TAI,11515,22256610000000.0,12173.0,-0.0955837062911511,55048824603.14192,-2780.383893786575,7375.011125792835
2012.07.04_00:00:00.000_TAI,11515,16191070000000.0,12507.0,-0.1127165016384885,55778176992.24038,-3322.1918118782887,7530.658181881698
2012.07.04_01:12:00.000_TAI,11515,16809820000000.0,12611.0,-0.1164518651084617,56114031790.148766,-3452.9538118280348,7610.5052815994095
2011.02.26_18:24:00.000_TAI,11164,18208010000000.0,5376.4,-0.1128587260029371,56349275841.87629,-3360.4419061512176,7733.802829205012
2015.10.01_07:36:00.000_TAI,12422,18654500000000.0,11564.0,-0.1093108127328018,56105025565.09769,-3240.691897319263,7775.969277245092
