,time_start,time_peak,time_end,nar,xray_class,magnitude,COINCIDENCE,AR_class,ABSNJZH,AREA_ACR,MEANGAM,MEANGBH,MEANGBT,MEANGBZ,MEANJZD,MEANJZH,MEANPOT,MEANSHR,R_VALUE,SAVNCPP,SHRGT45,TOTPOT,TOTUSJH,TOTUSJZ,USFLUX,d_l_f,g_s,slf
12,2018-01-18 08:00:00,2018-01-18 08:12:00,2018-01-18 08:12:00,12696,B,4.0,False,0,131.42,207.0,51.412,75.191,128.5,128.05,0.38761,0.026613,4250.5,40.412,3.5615,3202400000000.0,33.556,2.7874e+22,349.0,6650200000000.0,2.59e+21,70.495,521.11,16.749
13,2017-04-11 03:36:00,2017-04-11 04:00:00,2017-04-11 04:12:00,12650,B,1.3,True,0,76.64,232.52,30.869,33.796,70.819,74.058,-0.11925,0.004114,2780.8,23.668,3.6083,4520700000000.0,10.945,6.8796e+22,575.9,10691000000000.0,1.2925e+22,0.0,0.0,0.0
14,2012-02-14 23:00:00,2012-02-14 23:24:00,2012-02-14 23:36:00,11417,B,5.4,False,0,32.404,412.67,29.074,48.225,127.09,125.52,0.45948,-0.0030464,1877.8,23.83,2.3168,2505600000000.0,4.3245,2.6526e+22,431.64,9598700000000.0,6.5165e+21,0.0,0.0,0.0
15,2011-02-09 19:48:00,2011-02-09 20:00:00,2011-02-09 20:00:00,11157,B,2.9,False,0,7.2946,146.96,31.216,53.017,121.27,122.9,0.032055,-0.0012686,2855.1,25.473,3.4073,150190000000.0,8.6246,2.1806e+22,297.33,5639500000000.0,4.0475e+21,86.621,88.568,31.242
16,2013-03-25 13:00:00,2013-03-25 13:00:00,2013-03-25 13:12:00,11704,B,2.6,False,0,56.246,300.62,29.222,30.746,63.113,66.03,-0.30752,0.0025311,3450.9,22.191,3.7744,3992800000000.0,9.8686,1.0184e+23,598.31,11699000000000.0,1.5228e+22,0.0,0.0,0.0
17,2017-05-06 11:00:00,2017-05-06 11:12:00,2017-05-06 11:12:00,12655,B,1.1,False,0,76.192,154.22,44.009,73.144,133.05,135.9,-0.1151,-0.013505,4668.9,34.981,3.8641,2270800000000.0,25.86,3.4984e+22,356.18,6695400000000.0,3.6692e+21,64.419,2046.2,10.316
18,2012-09-14 23:24:00,2012-09-14 23:36:00,2012-09-14 23:48:00,11566,B,3.0,False,0,10.506,105.52,39.198,43.926,94.259,96.412,0.086167,-0.0017469,5210.2,32.811,3.4319,275780000000.0,22.897,4.1613e+22,220.24,4798900000000.0,3.7461e+21,0.0,0.0,0.0
19,2010-06-21 19:00:00,2010-06-21 19:12:00,2010-06-21 19:12:00,11082,B,1.3,False,0,48.49,276.67,42.387,64.658,121.98,120.14,0.66617,0.0058948,4968.6,32.656,3.4437,4301000000000.0,21.602,5.4279e+22,402.36,8892600000000.0,4.8055e+21,150.63,296.13,22.881
20,2018-06-17 13:12:00,2018-06-17 14:24:00,2018-06-17 15:00:00,12713,B,1.2,False,0,23.298,505.19,32.079,51.208,128.4,128.67,0.65389,-0.0027208,1705.4,25.183,2.166,3039400000000.0,8.6302,1.9394e+22,372.87,8853100000000.0,4.7692e+21,0.0,0.0,0.0
21,2011-06-29 00:12:00,2011-06-29 00:24:00,2011-06-29 00:48:00,11240,B,7.3,False,0,53.105,167.68,28.871,46.481,109.33,111.57,0.10068,-0.0048299,2795.8,23.797,3.5694,1757200000000.0,5.0932,4.0825e+22,493.37,9447500000000.0,7.3153e+21,97.824,61.571,37.836
22,2017-06-18 21:24:00,2017-06-18 21:36:00,2017-06-18 21:48:00,12663,B,2.1,False,0,31.164,293.2,49.094,63.48,109.5,107.1,0.16481,0.0030312,7025.2,38.907,3.4235,1313500000000.0,34.608,9.5919e+22,422.75,9496800000000.0,6.2356e+21,264.29,789.78,32.963
23,2019-04-08 13:48:00,2019-04-08 14:00:00,2019-04-08 14:00:00,12738,B,5.6,False,0,26.624,828.4,55.882,28.122,39.591,46.115,0.049281,-0.0013209,18304.0,50.73,4.5418,617910000000.0,57.283,4.8997e+23,664.93,8809700000000.0,1.5183e+22,327.77,17560.0,24.33
24,2018-06-19 02:12:00,2018-06-19 02:24:00,2018-06-19 02:24:00,12714,B,1.0,False,0,42.642,26.935,50.51,73.647,130.03,129.81,1.4567,0.034278,4410.9,42.59,3.0504,1888200000000.0,40.354,7.2872e+21,75.737,1765700000000.0,6.0432e+20,0.0,0.0,0.0
25,2016-10-07 00:36:00,2016-10-07 00:36:00,2016-10-07 00:36:00,12598,B,3.5,False,0,42.425,831.08,51.856,64.482,108.9,108.69,0.34041,-0.001775,5633.6,41.993,3.7873,4277900000000.0,38.342,1.7883e+23,1103.7,24896000000000.0,1.2624e+22,161.51,4240.1,14.807
26,2017-11-23 09:00:00,2017-11-23 09:12:00,2017-11-23 09:12:00,12687,B,1.7,False,0,7.271,327.6,29.624,52.248,131.73,129.39,-0.071092,-0.00096228,1837.9,23.789,0.0,481500000000.0,4.4336,1.8443e+22,282.47,6554200000000.0,4.5522e+21,0.0,0.0,0.0
27,2017-12-21 23:24:00,2017-12-21 23:24:00,2017-12-21 23:24:00,12692,B,1.2,False,0,2.9837,275.91,35.081,55.688,118.42,120.92,0.10386,0.00023416,3560.1,28.197,3.7425,696260000000.0,13.224,6.0244e+22,635.25,12101000000000.0,8.9135e+21,79.807,673.94,13.222
28,2012-05-22 04:00:00,2012-05-22 04:00:00,2012-05-22 04:00:00,11485,B,4.8,False,0,5.2096,96.67,33.444,76.911,162.59,160.5,0.82302,0.0056935,1826.2,20.844,0.0,405970000000.0,3.9344,2.2192e+21,44.636,963360000000.0,5.7314e+20,0.0,0.0,0.0
29,2015-02-15 00:36:00,2015-02-15 00:48:00,2015-02-15 00:48:00,12283,B,9.0,False,0,12.567,74.9,31.83,62.804,143.76,140.82,0.78969,-0.0082898,1905.3,23.293,0.0,613930000000.0,5.4749,3.8359e+21,71.218,1520000000000.0,9.2196e+20,0.0,0.0,0.0
30,2011-06-27 12:12:00,2011-06-27 12:12:00,2011-06-27 12:12:00,11241,B,3.2,False,0,28.103,247.15,34.002,70.289,147.75,143.56,-0.0016514,-0.0057494,2745.4,25.14,0.0,1180700000000.0,6.3011,1.7822e+22,260.65,5252400000000.0,3.3022e+21,139.01,39.691,53.768
31,2016-03-25 14:48:00,2016-03-25 15:00:00,2016-03-25 15:00:00,12526,B,6.5,False,0,109.8,500.44,49.851,27.619,54.651,71.068,-0.12789,-0.0049788,11762.0,41.351,3.9043,3419300000000.0,42.442,3.4454e+23,566.41,10521000000000.0,1.4166e+22,32.062,3752.9,3.1448
32,2016-01-17 10:36:00,2016-01-17 10:48:00,2016-01-17 11:12:00,12485,B,3.7,False,0,18.631,233.45,33.805,55.159,120.19,120.91,0.33748,-0.0020077,3188.1,27.348,3.5914,1594600000000.0,11.013,3.9291e+22,460.07,9001900000000.0,6.4029e+21,102.47,218.81,28.261
33,2010-10-03 21:36:00,2010-10-03 21:36:00,2010-10-03 21:48:00,11111,B,1.7,False,0,17.374,216.92,42.375,61.933,125.52,124.59,0.51328,0.0027767,2989.1,32.912,0.0,1691300000000.0,22.103,2.4838e+22,282.08,6331200000000.0,3.5083e+21,0.0,0.0,0.0
34,2017-07-03 09:36:00,2017-07-03 09:48:00,2017-07-03 10:00:00,12664,B,2.2,False,0,14.757,61.029,40.15,31.764,62.151,66.526,-0.21504,-0.0029638,4362.3,28.632,3.1589,681950000000.0,22.193,2.8845e+22,124.5,2156900000000.0,3.1595e+21,0.0,0.0,0.0
35,2017-08-02 00:00:00,2017-08-02 00:00:00,2017-08-02 00:12:00,12670,B,2.3,False,0,0.75708,20.524,25.673,24.265,29.76,34.685,-0.38735,-0.0037479,929.47,15.106,5.0445,42390000000.0,0.0,2.4935e+20,3.08,71234000000.0,1.1768e+20,205.35,110000.0,9.9166
36,2010-06-25 10:12:00,2010-06-25 10:12:00,2010-06-25 10:24:00,11082,B,3.4,False,0,24.729,85.286,26.609,39.212,100.74,100.26,-0.21983,-0.003675,2156.1,21.305,2.095,803980000000.0,2.7047,1.9267e+22,244.63,4669500000000.0,4.5989e+21,0.0,0.0,0.0
37,2018-12-07 19:48:00,2018-12-07 19:48:00,2018-12-07 20:00:00,12729,B,1.2,False,0,25.931,194.18,40.273,54.548,106.76,108.26,-0.15174,-0.0023298,4255.2,32.444,3.2845,862170000000.0,20.609,6.2902e+22,488.66,9911500000000.0,7.1019e+21,189.31,622.7,30.535
38,2011-05-06 03:00:00,2011-05-06 03:12:00,2011-05-06 03:12:00,11206,B,3.9,False,0,8.8276,41.479,26.54,42.364,125.3,124.97,-0.051734,0.0069784,1952.7,23.943,0.0,658970000000.0,3.7945,3.2805e+21,53.565,1178000000000.0,7.9993e+20,0.0,0.0,0.0
39,2013-03-01 06:00:00,2013-03-01 06:00:00,2013-03-01 06:12:00,11683,B,4.0,False,0,183.71,591.35,40.743,34.531,60.269,72.004,-0.23945,0.0065389,7077.8,33.909,3.8338,7658400000000.0,27.749,2.6408e+23,945.3,15413000000000.0,2.0701e+22,18.439,0.0,2.7383
40,2012-08-22 01:24:00,2012-08-22 01:36:00,2012-08-22 01:48:00,11552,B,3.3,False,0,2.4776,66.749,52.049,58.708,111.53,155.66,-0.18272,-0.001008,14886.0,45.825,4.1846,719250000000.0,52.929,4.8593e+22,217.31,2870000000000.0,1.7801e+21,544.35,0.0,126.58
41,2012-04-14 08:00:00,2012-04-14 08:00:00,2012-04-14 08:12:00,11455,B,5.1,False,0,136.13,419.74,52.028,83.166,127.41,130.67,0.078526,-0.012042,7113.2,39.526,3.9309,8531600000000.0,33.463,1.0679e+23,785.49,14899000000000.0,7.2551e+21,132.6,5629.2,13.169
42,2011-02-05 00:00:00,2011-02-05 00:00:00,2011-02-05 00:00:00,11152,B,3.6,False,0,9.9775,107.42,54.826,86.727,134.37,136.2,0.098552,0.0028177,5534.1,40.545,2.9537,684880000000.0,35.273,2.6025e+22,264.69,5082400000000.0,2.0118e+21,61.311,727.96,10.713
43,2014-01-24 05:12:00,2014-01-24 05:12:00,2014-01-24 05:12:00,11957,B,6.0,False,0,169.25,646.24,47.77,77.593,126.91,131.5,-0.094223,0.0089788,6266.9,36.869,4.1986,7249700000000.0,28.361,1.5688e+23,1160.3,23476000000000.0,1.2374e+22,157.44,6656.5,14.931
