,time_start,time_peak,time_end,nar,xray_class,magnitude,COINCIDENCE,AR_class,ABSNJZH,AREA_ACR,MEANGAM,MEANGBH,MEANGBT,MEANGBZ,MEANJZD,MEANJZH,MEANPOT,MEANSHR,R_VALUE,SAVNCPP,SHRGT45,TOTPOT,TOTUSJH,TOTUSJZ,USFLUX,d_l_f,g_s,slf
14,2016-01-08 11:12:00,2016-01-08 11:24:00,2016-01-08 11:36:00,12482,B,8.6,False,0,3.0066,1.5306,33.871,109.58,231.58,242.33,21.753,-0.17686,3513.4,18.999,2.3462,188100000000.0,0.0,7.9321e+19,3.4917,57777000000.0,1.3475e+19,0.0,0.0,0.0
15,2019-04-08 22:12:00,2019-04-08 22:24:00,2019-04-08 22:24:00,12738,B,1.7,False,0,68.861,722.38,49.014,28.916,49.527,61.504,0.064793,-0.0021618,13146.0,42.653,4.9562,2562800000000.0,42.053,5.5615e+23,891.98,14789000000000.0,2.1435e+22,472.25,80352.0,23.154
16,2016-04-01 03:36:00,2016-04-01 03:36:00,2016-04-01 03:36:00,12526,B,1.0,False,0,64.181,462.29,63.523,51.671,70.49,71.906,-0.016786,0.0054075,21390.0,54.536,2.6318,323180000000.0,66.647,3.3719e+23,451.78,10200000000000.0,7.9427e+21,0.0,0.0,0.0
17,2016-04-27 13:12:00,2016-04-27 13:12:00,2016-04-27 13:24:00,12532,B,5.7,False,0,63.678,295.12,25.401,34.929,86.411,90.106,-0.24272,0.0037152,2013.7,19.961,3.5695,2928100000000.0,2.987,4.584e+22,564.33,10336000000000.0,1.2502e+22,0.0,0.0,0.0
18,2021-02-18 19:48:00,2021-02-18 20:36:00,2021-02-18 21:00:00,12803,B,1.3,True,0,0.0,24.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.993,0.0,0.0,0.0,0.0,0.0,0.0,3.9584,0.0,0.83858
19,2018-04-14 00:00:00,2018-04-14 00:12:00,2018-04-14 00:12:00,12704,B,1.0,False,0,29.379,116.83,31.723,51.552,111.0,110.7,-0.096134,0.0049896,2940.6,25.972,0.0,1012700000000.0,5.8764,2.2994e+22,272.59,4518500000000.0,4.3846e+21,70.841,132.76,22.127
20,2013-08-08 17:48:00,2013-08-08 19:24:00,2013-08-08 19:24:00,11810,B,4.1,False,0,79.404,269.32,33.638,57.123,133.16,135.32,0.43799,0.011107,2852.6,27.138,3.092,3526000000000.0,9.8196,2.7083e+22,358.92,7016600000000.0,4.8275e+21,0.0,0.0,0.0
21,2017-04-10 21:12:00,2017-04-10 21:12:00,2017-04-10 21:24:00,12650,B,1.6,False,0,74.367,243.95,32.255,32.208,64.321,69.238,-0.034553,0.0040428,2955.6,24.735,3.2912,4418400000000.0,13.307,7.2208e+22,477.27,9041200000000.0,1.2664e+22,0.0,0.0,0.0
22,2016-03-26 23:12:00,2016-03-26 23:12:00,2016-03-26 23:24:00,12526,B,1.9,False,0,88.97,514.45,44.808,33.141,62.227,67.62,-0.077332,-0.0034061,11227.0,36.147,4.0418,1057100000000.0,35.519,3.8947e+23,855.87,16406000000000.0,1.7926e+22,37.202,0.0,3.1227
24,2018-01-18 08:00:00,2018-01-18 08:12:00,2018-01-18 08:12:00,12696,B,4.0,False,0,131.42,207.0,51.412,75.191,128.5,128.05,0.38761,0.026613,4250.5,40.412,3.5615,3202400000000.0,33.556,2.7874e+22,349.0,6650200000000.0,2.59e+21,70.495,521.11,16.749
25,2017-04-11 03:36:00,2017-04-11 04:00:00,2017-04-11 04:12:00,12650,B,1.3,True,0,76.64,232.52,30.869,33.796,70.819,74.058,-0.11925,0.004114,2780.8,23.668,3.6083,4520700000000.0,10.945,6.8796e+22,575.9,10691000000000.0,1.2925e+22,0.0,0.0,0.0
26,2012-02-14 23:00:00,2012-02-14 23:24:00,2012-02-14 23:36:00,11417,B,5.4,False,0,32.404,412.67,29.074,48.225,127.09,125.52,0.45948,-0.0030464,1877.8,23.83,2.3168,2505600000000.0,4.3245,2.6526e+22,431.64,9598700000000.0,6.5165e+21,0.0,0.0,0.0
