T_REC,NOAA_AR,USFLUX,MEANPOT,EPSZ,TOTBSQ,TOTFZ,TOTABSTWIST
2011.08.08_03:48:00.000_TAI,11263,3.814994e+22,10685.0,-0.2410205429197061,43365415255.21529,-5522.941060285869,4740.769940067825
2015.08.21_17:24:00.000_TAI,12403,3.797758e+22,10035.0,-0.2437968217313735,41477582308.92304,-5343.358386140757,4303.69624301685
2011.09.03_11:48:00.000_TAI,11286,1.849446e+22,4459.1,-0.4085277511122856,14332397554.624607,-3093.949008172196,2787.4039155086944
2011.09.04_04:24:00.000_TAI,11286,1.880212e+22,4593.8,-0.4569868649370628,14590409810.166548,-3523.2542623818927,2782.992216079805
2011.09.04_08:00:00.000_TAI,11286,1.971008e+22,4212.7,-0.464785223015208,14573441920.764038,-3579.209938305948,2815.784970037568
2014.01.04_07:36:00.000_TAI,11936,2.056403e+22,1767.1,-0.1603268292310589,21503639779.59408,-1821.7590656738007,3874.120947813439
2014.02.10_12:12:00.000_TAI,11974,1.758787e+22,8618.3,-0.1159410444716139,19439373488.09289,-1190.9464991039115,3336.5411871269207
2011.09.06_22:36:00.000_TAI,11283,1.574615e+22,10300.0,-0.1298513293652801,17860217009.770603,-1225.4790719708988,2942.494792112735
2011.09.07_15:48:00.000_TAI,11283,1.638136e+22,8475.4,-0.1603130894333833,16336432838.183607,-1383.881687575909,3285.3671269223632
2011.09.08_06:12:00.000_TAI,11283,1.984028e+22,7588.8,-0.2307318506751784,18869502572.419533,-2300.5986630525,3667.073705127292
2013.10.27_04:12:00.000_TAI,11882,2.004227e+22,13234.0,-0.2504126386091307,18365383652.83229,-2430.127797079545,3724.3665621654873
2011.09.09_07:36:00.000_TAI,11283,2.789386e+22,6554.2,-0.3388423579512642,24263022221.163376,-4344.255168478348,4824.558094890071
2011.09.20_12:24:00.000_TAI,11301,4.084702e+22,3215.7,-0.5424516758469194,26932819237.849564,-7719.971056278241,4904.257753696434
2011.09.22_02:00:00.000_TAI,11295,5.303203e+22,5521.9,-0.3691291769174105,43929150468.91462,-8568.484842003689,8581.414666633196
2011.09.22_22:12:00.000_TAI,11295,6.004445e+22,5601.8,-0.4177319884260934,48747052515.575584,-10760.161700878769,8283.242253590637
