T_REC,NOAA_AR,TOTUSJH,TOTPOT,TOTUSJZ,ABSNJZH,SAVNCPP,USFLUX,AREA_ACR,MEANPOT,R_VALUE,SHRGT45,EPSZ,TOTBSQ,TOTFZ,TOTABSTWIST
2011.11.14_08:00:00.000_TAI,11346,1213.182,1.7551e+23,25786000000000.0,154.62,6983400000000.0,2.3658e+22,568.28,3697.8,3.894,11.55,-0.1983586270788618,16463349029.659103,-1725.6070234527267,2486.3022397528616
2011.02.17_21:00:00.000_TAI,11162,1236.766,2.7891e+23,26975000000000.0,129.91,6402900000000.0,1.5165e+22,744.29,8282.0,3.6648,40.173,-0.2196250019339963,17128337780.68236,-1987.7861313397093,2562.594170430419
2014.10.07_04:48:00.000_TAI,12182,1556.563,1.2707e+23,32808000000000.0,1.6187,7510600000000.0,2.1148e+22,1432.1,2863.2,2.7334,9.8303,-0.4322801897781458,18631190128.917816,-4255.774757854888,3602.455884036854
2011.03.06_05:12:00.000_TAI,11164,4479.49,1.176e+24,83478000000000.0,738.51,51527000000000.0,5.4056e+22,2068.2,11872.0,5.0015,36.279,-0.2069168797023859,64408721903.71484,-7042.279768949809,8699.150947065571
2015.01.27_14:24:00.000_TAI,12268,2133.552,7.09e+23,47649000000000.0,193.53,9255900000000.0,2.6368e+22,1600.4,12736.0,4.2941,46.654,-0.444187994721952,25202455656.06721,-5915.375595873779,4215.227279892364
2011.03.06_08:12:00.000_TAI,11164,4354.476,1.1889e+24,82943000000000.0,631.9,39328000000000.0,5.7127e+22,2116.9,10984.0,5.082,34.062,-0.2099883276140116,65019425622.8269,-7214.57952528752,8824.855135635786
2015.09.28_11:36:00.000_TAI,12422,4223.063,1.3308e+24,74024000000000.0,1023.8,20900000000000.0,4.1375e+22,1564.9,16842.0,5.0357,55.12,-0.1988388645027536,64023561614.35407,-6726.880581015983,8355.941561317488
2012.03.05_11:00:00.000_TAI,11429,4176.670999999999,1.2173e+24,64529000000000.0,1583.0,53479000000000.0,4.8546e+22,1557.5,15546.0,4.9761,40.289,-0.2632894439625664,64400741378.27957,-8959.773814594962,8581.354267421399
2014.11.29_13:48:00.000_TAI,12222,3085.5290000000005,1.0684e+24,62688000000000.0,9.0285,6498300000000.0,3.8349e+22,1531.0,14504.0,4.8957,45.404,-0.4123671227548672,39297156339.9206,-8562.842181507018,5684.454202608051
2011.03.07_02:24:00.000_TAI,11165,3341.909,6.1515e+23,54288000000000.0,519.12,18440000000000.0,4.6236e+22,1376.0,7481.2,4.6942,24.023,-0.3843613573867358,43329191761.959946,-8800.209559217561,5748.148331329677
2011.03.08_23:12:00.000_TAI,11166,3133.608,9.6413e+23,62324000000000.0,170.57,10216000000000.0,3.071e+22,1395.5,15412.0,4.8723,55.66,-0.0546348284423162,45491552594.58197,-1313.327493524958,5103.55852017859
2011.03.10_20:12:00.000_TAI,11166,3518.8,1.0615e+24,66284000000000.0,131.51,5416000000000.0,3.724e+22,1579.3,14120.0,4.9514,51.332,-0.1067800245543301,52872396115.95589,-2983.264110611061,6019.909779529228
2014.02.10_18:12:00.000_TAI,11974,1826.64,3.5813e+23,36876000000000.0,65.526,6154800000000.0,1.7509e+22,1222.1,8920.2,4.512,40.382,-0.2701735137080562,23529897104.33033,-3359.1976296465755,3677.4397613119295
2015.12.22_03:48:00.000_TAI,12473,1833.468,3.7047e+23,26265000000000.0,18.469,3213300000000.0,2.0903e+22,782.7,11993.0,4.4607,30.97,-0.3332211620544619,23064776130.37961,-4061.2011966983055,3807.4942546977727
2011.03.24_23:24:00.000_TAI,11176,3242.051,6.9416e+23,67021000000000.0,357.74,5858000000000.0,5.4195e+22,1498.5,6282.9,4.5602,23.367,-0.3426350883960802,48395467327.99325,-8762.12120113241,7473.084131602039
2011.04.14_17:12:00.000_TAI,11190,2711.755,4.0965e+23,51893000000000.0,372.8,13892000000000.0,2.4585e+22,1565.8,7896.7,4.7725,34.563,-0.2179877980563308,25667546759.75276,-2956.577178216417,5247.2901399080765
2011.04.21_04:48:00.000_TAI,11195,2707.078,3.4822e+23,51955000000000.0,354.89,15136000000000.0,4.7312e+22,1320.0,3863.0,4.3757,13.48,-0.5168982946322996,34123508611.27331,-9320.335983712412,6642.837547758863
2011.04.21_15:48:00.000_TAI,11195,2991.605,3.6157e+23,61495000000000.0,397.52,16032000000000.0,5.1909e+22,1467.9,3320.4,4.4983,14.331,-0.5060616183812865,35569116010.10174,-9511.504228071532,7442.991513577383
2015.11.08_03:24:00.000_TAI,12449,1505.331,2.8685e+23,25617000000000.0,182.51,7196400000000.0,2.5636e+22,657.86,6652.2,4.1971,19.505,-0.4558865059368672,16334165387.872189,-3934.834978591404,4021.683731244969
2014.02.19_01:00:00.000_TAI,11976,1365.5770000000002,3.1069e+23,26584000000000.0,223.84,3652700000000.0,2.2956e+22,682.13,6673.2,3.9071,22.805,-0.4271314797233473,12329043274.387497,-2782.683797774805,2673.170516129158
2011.07.29_02:12:00.000_TAI,11261,1762.145,3.7454e+23,34899000000000.0,88.442,1770500000000.0,2.4333e+22,786.62,7750.7,4.5097,30.995,-0.288350706887546,23821150410.70581,-3629.581528053551,3647.566077559648
2011.08.01_06:24:00.000_TAI,11261,3236.741,6.3198e+23,57551000000000.0,25.364,6192700000000.0,2.3201e+22,1322.2,12170.0,4.8782,45.186,-0.0477640672611647,30248562887.57112,-763.4469578645561,5008.848419270242
2011.08.03_03:00:00.000_TAI,11261,2773.256,5.5239e+23,46457000000000.0,1138.6,43739000000000.0,2.2301e+22,1293.1,11959.0,4.7759,44.167,-0.0313434251396348,27774036410.81612,-460.000509015127,4026.595818770285
2011.08.02_04:36:00.000_TAI,11263,2492.929,1.1763e+24,47371000000000.0,731.49,27881000000000.0,2.8622e+22,1080.5,21462.0,4.8173,62.052,-0.0323837195318815,51807274793.67288,-886.5237180768178,3878.369126414296
2011.08.02_13:48:00.000_TAI,11261,2547.054,5.2695e+23,43012000000000.0,1080.5,44607000000000.0,1.99e+22,1259.1,12063.0,4.7775,44.09,-0.0598191891681746,25531531904.11063,-807.0310628119998,3979.908633526136
2011.08.03_03:48:00.000_TAI,11261,2823.87,5.5985e+23,46221000000000.0,1172.8,44323000000000.0,2.2361e+22,1288.1,12052.0,4.7285,43.817,-0.096059911167252,27764659529.97798,-1409.312643458435,4414.785641455149
2012.05.15_05:00:00.000_TAI,11476,2701.719,6.526e+23,54026000000000.0,450.47,23967000000000.0,4.5844e+22,1474.7,7296.6,4.6453,22.47,-0.176643324941946,44393052964.99416,-4143.669640303072,4906.310625317463
2012.05.15_19:36:00.000_TAI,11476,2552.583,6.2595e+23,49255000000000.0,401.62,20705000000000.0,4.7841e+22,1229.6,6887.6,4.43,18.883,-0.2410205429197061,43365415255.21529,-5522.941060285869,4740.769940067825
2012.03.03_23:36:00.000_TAI,11429,2283.018,9.7046e+23,32541000000000.0,957.6,35166000000000.0,3.7236e+22,1156.4,16343.0,4.3689,45.651,-0.2437968217313735,41477582308.92304,-5343.358386140757,4303.69624301685
2021.05.21_05:36:00.000_TAI,12824,1037.843,2.8382e+23,24250000000000.0,23.372,4552300000000.0,1.9872e+22,583.18,6642.5,4.0391,23.109,-0.4085277511122856,14332397554.624607,-3093.949008172196,2787.4039155086944
2011.09.04_04:24:00.000_TAI,11286,995.542,1.6452e+23,19881000000000.0,103.38,3729300000000.0,1.8802e+22,632.89,4593.8,3.821,12.767,-0.4569868649370628,14590409810.166548,-3523.2542623818927,2782.992216079805
2021.05.23_04:36:00.000_TAI,12824,1004.297,2.7072e+23,23925000000000.0,309.02,18502000000000.0,1.3716e+22,756.92,8434.6,4.1515,39.854,-0.464785223015208,14573441920.764038,-3579.209938305948,2815.784970037568
2011.09.05_01:48:00.000_TAI,11283,1899.916,3.7043e+23,40001000000000.0,47.596,8557100000000.0,2.0564e+22,1444.3,7791.1,4.1944,39.801,-0.1603268292310589,21503639779.59408,-1821.7590656738007,3874.120947813439
2014.02.24_19:12:00.000_TAI,11990,1710.04,4.9157e+23,28857000000000.0,463.52,17137000000000.0,3.4596e+22,951.09,7362.7,4.2724,20.307,-0.1159410444716139,19439373488.09289,-1190.9464991039115,3336.5411871269207
2011.09.06_22:36:00.000_TAI,11283,1630.318,3.3849e+23,29136000000000.0,360.82,18909000000000.0,1.5746e+22,1212.4,10300.0,4.3364,37.082,-0.1298513293652801,17860217009.770603,-1225.4790719708988,2942.494792112735
2011.09.07_15:48:00.000_TAI,11283,1406.411,3.1205e+23,29321000000000.0,287.01,15446000000000.0,1.6381e+22,1133.6,8475.4,4.3316,33.466,-0.1603130894333833,16336432838.183607,-1383.881687575909,3285.3671269223632
2011.02.27_08:36:00.000_TAI,11164,1551.882,2.2614e+23,27412000000000.0,500.14,23290000000000.0,2.6102e+22,544.97,4456.7,4.3248,12.937,-0.2307318506751784,18869502572.419533,-2300.5986630525,3667.073705127292
2013.05.04_05:48:00.000_TAI,11739,1525.27,1.9986e+23,27453000000000.0,304.87,13147000000000.0,2.3948e+22,535.89,4499.1,4.3531,10.834,-0.2504126386091307,18365383652.83229,-2430.127797079545,3724.3665621654873
2011.09.09_07:36:00.000_TAI,11283,2034.458,3.6755e+23,40929000000000.0,279.24,14380000000000.0,2.7894e+22,1045.8,6554.2,4.5232,20.833,-0.3388423579512642,24263022221.163376,-4344.255168478348,4824.558094890071
2014.02.14_23:00:00.000_TAI,11977,1876.751,4.3015e+23,40822000000000.0,32.06,5467600000000.0,2.4198e+22,1279.0,7838.4,4.2874,36.833,-0.5424516758469194,26932819237.849564,-7719.971056278241,4904.257753696434
2011.09.22_02:00:00.000_TAI,11295,3612.423,6.1391e+23,76451000000000.0,316.79,12257000000000.0,5.3032e+22,2043.7,5521.9,4.5615,22.444,-0.3691291769174105,43929150468.91462,-8568.484842003689,8581.414666633196
2011.09.22_22:12:00.000_TAI,11295,3519.015,6.4363e+23,68241000000000.0,400.45,14511000000000.0,6.0044e+22,1842.9,5601.8,4.6639,17.386,-0.4177319884260934,48747052515.575584,-10760.161700878769,8283.242253590637
2011.09.23_09:36:00.000_TAI,11302,4441.420999999999,1.526e+24,71785000000000.0,99.295,5239600000000.0,6.1151e+22,1909.3,13578.0,4.7549,39.155,-0.1858562942518982,77360783583.10828,-7597.502878583216,7046.944296137299
2011.09.23_13:12:00.000_TAI,11302,4647.335999999998,1.5101e+24,70340000000000.0,436.36,15436000000000.0,6.1336e+22,1936.5,14317.0,4.748,37.674,-0.206602187194616,78211355819.69627,-8538.419656516638,7158.588506674743
2011.09.23_17:00:00.000_TAI,11295,3553.579,8.5945e+23,61320000000000.0,13.781,3764600000000.0,6.6929e+22,1898.4,7156.2,4.6428,20.995,-0.3778392469072007,58569800374.78023,-11693.74597570903,7849.050050178725
2011.09.23_17:24:00.000_TAI,11302,5038.604,1.604e+24,76903000000000.0,648.79,17688000000000.0,6.1885e+22,1944.6,15260.0,4.821,38.473,-0.1997025365787114,81900636628.3265,-8642.584781637783,7762.1090793552
2011.09.23_18:12:00.000_TAI,11302,5100.956,1.6202e+24,81174000000000.0,646.36,17740000000000.0,6.3367e+22,1959.3,14432.0,4.8395,38.689,-0.198644013557081,82911089283.45328,-8702.838699436132,8227.44049121367
2013.01.11_07:24:00.000_TAI,11654,4794.664000000002,1.4065e+24,90551000000000.0,176.61,16734000000000.0,5.6615e+22,2048.3,13306.0,5.2366,44.315,-0.1598369601669474,84707736218.03972,-7154.397688088148,7529.501921708532
2014.02.14_03:36:00.000_TAI,11974,5378.856,1.1133e+24,100000000000000.0,5.445,12479000000000.0,4.2695e+22,1934.7,11937.0,5.1907,49.676,-0.1969437986327254,85205041799.16994,-8867.072426543185,7667.964159926211
2011.09.24_02:36:00.000_TAI,11302,5177.499,1.8829e+24,80626000000000.0,1077.5,20064000000000.0,6.2114e+22,1947.4,17684.0,4.8984,41.137,-0.1407727030387023,90619121450.6807,-6740.792989296327,7812.918958260803
2011.09.24_04:48:00.000_TAI,11302,5092.235,1.8758e+24,78744000000000.0,868.01,17089000000000.0,5.8339e+22,1942.6,19251.0,4.9454,41.965,-0.1151085428795228,87602577668.72116,-5328.404906700112,7801.72418275831
2011.09.24_08:48:00.000_TAI,11302,5228.554,1.8136e+24,81160000000000.0,458.79,10201000000000.0,5.4969e+22,1899.7,19149.0,4.9208,44.474,-0.0931932835475033,82086600212.42987,-4042.309750192947,8102.093037515268
2011.09.24_09:36:00.000_TAI,11303,258.259,2.4326e+22,6023600000000.0,44.339,2283700000000.0,3.8155e+21,48.238,2691.3,3.2322,21.981,-0.5538433674962292,2773803811.254012,-811.7746267211337,510.6064743819624
2011.09.24_15:36:00.000_TAI,11302,4941.262,1.8799e+24,79637000000000.0,404.21,10574000000000.0,5.2986e+22,1908.9,19711.0,4.9722,46.783,-0.054743173990419,81095173309.30998,-2345.8361580869487,7692.584057545852
2011.09.24_17:00:00.000_TAI,11303,531.288,7.7035e+22,9830400000000.0,131.03,4098000000000.0,7.6103e+21,118.26,5231.9,3.5697,23.09,-0.4589203409711508,6775402667.585993,-1643.029058902854,964.3511933560176
2012.07.08_09:48:00.000_TAI,11515,5502.839,1.4849e+24,79214000000000.0,148.17,8330000000000.0,7.6622e+22,2501.6,11390.0,4.8469,28.313,-0.0951326474177469,85737039434.88794,-4309.9365940216685,7167.538022407657
2011.09.24_00:36:00.000_TAI,11302,5152.291,1.893e+24,80238000000000.0,1087.3,19410000000000.0,6.2849e+22,1937.0,17475.0,4.8851,40.584,-0.0463391701049065,76444445448.75282,-1871.832656188796,6949.439192880786
2011.09.27_13:24:00.000_TAI,11302,3509.906,1.553e+24,64257000000000.0,363.31,9290200000000.0,3.7583e+22,1907.0,20598.0,4.9204,62.384,0.0112315436411437,65778751096.93887,390.3891811855244,5253.547472352417
2011.09.29_19:12:00.000_TAI,11305,820.562,2.7858e+23,16980000000000.0,215.19,8608600000000.0,8.9632e+21,479.95,13906.0,3.7613,52.168,-0.078928611620452,13612111124.982763,-567.7180361441405,1475.663273368948
2011.09.30_10:00:00.000_TAI,11305,761.569,2.9819e+23,15944000000000.0,307.46,9951600000000.0,7.9953e+21,507.86,16653.0,3.9814,55.774,-0.0289536166440679,13661567017.519505,-209.0143621867828,1173.4355210296494
2011.10.01_00:48:00.000_TAI,11305,998.342,3.6326e+23,19255000000000.0,516.66,20580000000000.0,9.601e+21,596.81,16824.0,4.2335,56.169,-0.0363744325652829,16971639287.63255,-326.20658233319176,1385.0997384682746
2014.12.03_17:00:00.000_TAI,12222,2810.624000000001,1.0899e+24,53612000000000.0,107.79,2523200000000.0,3.4899e+22,1535.8,16004.0,4.6862,51.596,-0.1938319895013013,48013463045.94447,-4917.691387571108,5301.594537048008
2011.09.24_10:12:00.000_TAI,11295,3131.768,9.9398e+23,55282000000000.0,199.66,12283000000000.0,6.8327e+22,1919.0,7176.5,4.5187,27.631,-0.3713887294394251,59122598717.79928,-11602.589261117071,8088.778598662468
2013.11.01_14:12:00.000_TAI,11884,2538.093,6.5389e+23,55156000000000.0,258.26,9344900000000.0,2.9148e+22,1698.0,9761.1,4.4682,45.345,-0.3503734531788321,54623129806.73784,-10113.010342287516,5936.627511272275
2014.06.14_01:36:00.000_TAI,12085,5555.378000000002,1.8921e+24,91779000000000.0,356.92,10493000000000.0,1.1241e+23,3351.2,9421.0,0.0,24.998,-0.2030506792288216,100038271194.41573,-10733.548149904169,9800.115740354451
2011.11.04_03:36:00.000_TAI,11339,5605.062,1.834e+24,94038000000000.0,15.886,2193600000000.0,8.0853e+22,2652.7,13113.0,4.9751,37.69,-0.2085840993047252,98202670664.22765,-10823.735521773157,9860.456858576315
2011.11.04_11:24:00.000_TAI,11339,5457.38,1.7254e+24,95774000000000.0,53.808,7609700000000.0,7.8228e+22,2714.9,12052.0,5.029,36.926,-0.1965420104064204,90997201591.67244,-9450.529834211273,10017.789773419454
2011.11.04_20:36:00.000_TAI,11339,5924.941999999999,1.8236e+24,104940000000000.0,131.2,2709400000000.0,8.0352e+22,2813.6,12783.0,5.1202,37.55,-0.1999926236435187,96990082995.74892,-10249.766682510695,11054.360916367708
2011.11.05_01:00:00.000_TAI,11339,5890.496,1.861e+24,108300000000000.0,129.09,5477800000000.0,8.2302e+22,2838.1,12102.0,5.1377,38.093,-0.1933671823271484,98452778659.70476,-10059.663572760022,10684.762107140625
2011.11.05_06:36:00.000_TAI,11339,5657.904,1.7878e+24,108210000000000.0,149.47,6740000000000.0,7.6305e+22,2838.5,11998.0,5.1382,39.621,-0.165300668342135,91463020135.48572,-7989.007648111978,10637.98947791457
2013.06.04_11:00:00.000_TAI,11762,2294.657,4.9263e+23,41502000000000.0,675.96,26802000000000.0,2.8736e+22,1097.4,9002.8,4.6681,29.255,-0.3371578883973216,31375085672.0115,-5589.731544597133,6091.084003317824
2011.11.14_12:48:00.000_TAI,11346,1207.372,1.7929e+23,24051000000000.0,147.78,6269200000000.0,2.2327e+22,680.66,4169.8,4.0454,11.203,-0.474107698156029,16224876080.507812,-4064.723967373121,3333.8770910382677
2011.12.25_02:24:00.000_TAI,11387,303.828,2.7045e+22,6359300000000.0,24.171,1916200000000.0,3.2068e+21,202.23,3678.6,3.2513,23.374,-0.3883841924276367,2618814379.474797,-537.4510321413493,684.2092179786184
2014.03.31_05:48:00.000_TAI,12014,1353.705,2.9967e+23,24453000000000.0,100.9,4530600000000.0,3.1655e+22,662.8,4828.3,3.7387,15.772,-0.1595928298945634,10155385013.471811,-856.4112342706172,2007.52436654484
2014.12.18_04:12:00.000_TAI,12241,3365.389,1.151e+24,61548000000000.0,1053.3,44520000000000.0,3.4419e+22,1473.3,17198.0,4.8783,54.921,-0.4109551378851519,53208239733.14445,-11554.35965002011,7949.583385019607
2011.12.30_13:12:00.000_TAI,11389,3714.933,7.3828e+23,73723000000000.0,282.31,13789000000000.0,5.8444e+22,2069.3,6449.9,4.6536,20.541,-0.3583915065033002,51415895342.75079,-9737.055489192762,9165.229496550131
2011.12.30_16:24:00.000_TAI,11389,3649.494,7.5849e+23,76871000000000.0,250.07,10530000000000.0,6.0365e+22,2061.9,6007.0,4.6325,21.223,-0.3501103568385689,52032741948.22477,-9626.187562497766,8927.949829614705
2012.01.17_19:12:00.000_TAI,11402,5431.075,1.436e+24,132410000000000.0,746.62,25921000000000.0,8.6153e+22,2419.8,7230.2,4.8769,34.403,-0.2704008878557514,84566746739.12685,-12083.15381650792,11380.031334258849
2012.01.22_04:00:00.000_TAI,11402,4774.057,9.7406e+23,96096000000000.0,897.21,23433000000000.0,5.996e+22,3152.7,8185.3,4.6717,31.68,-0.2723791174242197,61124106076.1294,-8797.49348731212,10604.53248398174
2015.11.09_07:48:00.000_TAI,12449,1414.745,2.1213e+23,31424000000000.0,3.7762,2284200000000.0,2.3452e+22,750.47,4204.9,3.878,20.152,-0.4104502479438568,21738781055.490314,-4714.8545881276505,3789.080910736656
2015.08.20_04:48:00.000_TAI,12403,2339.726,3.8424e+23,42649000000000.0,51.902,6672400000000.0,3.1801e+22,1142.8,6839.5,4.7662,19.626,-0.22678635194743,48525213397.60417,-5815.097960970187,3381.868812016284
2012.03.04_19:12:00.000_TAI,11429,3196.104000000001,9.2489e+23,51084000000000.0,1037.8,40839000000000.0,4.341e+22,1324.4,13193.0,4.8265,37.518,-0.2614381553622998,53298334829.011536,-7363.008329356898,5012.008065147217
2015.06.22_06:36:00.000_TAI,12371,3182.123,1.5344e+24,64433000000000.0,950.88,29015000000000.0,4.0667e+22,1769.0,18022.0,4.7485,61.724,-0.2600418442441644,53203876254.33557,-7310.7035660030515,5108.6008563328505
2011.09.22_01:24:00.000_TAI,11295,3561.423,6.1828e+23,75836000000000.0,302.03,9427600000000.0,5.2262e+22,2025.1,5590.1,4.4811,22.898,-0.2228646250099671,58700719348.6627,-6912.853143074532,5311.661272508673
2015.09.28_08:48:00.000_TAI,12422,3916.247,1.2938e+24,69685000000000.0,1051.5,29942000000000.0,4.0122e+22,1525.1,16716.0,5.0471,55.106,-0.2302487173546112,60993405614.41195,-7420.834567806227,5753.737283227294
2012.03.05_01:48:00.000_TAI,11429,4151.759,1.1466e+24,62816000000000.0,1572.2,54772000000000.0,4.8199e+22,1461.0,14541.0,4.9235,39.294,-0.2248436152842564,62832780034.28,-7465.167822786213,5890.297168198033
2012.07.17_09:00:00.000_TAI,11520,4457.062,1.3461e+24,83106000000000.0,874.17,49429000000000.0,1.0031e+23,2749.1,7010.4,4.943,20.733,-0.2107159921160361,64008236081.83067,-7126.987779393269,6292.116724735876
2012.03.05_08:00:00.000_TAI,11429,4298.676,1.2348e+24,67344000000000.0,1608.8,56214000000000.0,4.8798e+22,1564.0,15182.0,5.0102,41.143,-0.1981076417586844,65250269350.73714,-6830.558421242996,6146.196117082251
2012.03.05_12:36:00.000_TAI,11430,4215.963,1.242e+24,64447000000000.0,1552.8,55584000000000.0,4.7704e+22,1552.7,16121.0,4.9502,41.601,-0.1882548001234678,64915384890.39932,-6457.528847083494,5894.944218105426
2012.03.05_22:48:00.000_TAI,11430,4982.73,1.5488e+24,75374000000000.0,2139.3,78388000000000.0,5.3437e+22,1696.2,17438.0,5.1402,44.474,-0.1470944195222318,76183501128.23227,-5921.473561550802,7025.723421344354
2012.03.06_00:24:00.000_TAI,11429,5119.345,1.6047e+24,77800000000000.0,2130.6,76721000000000.0,5.3328e+22,1720.5,18207.0,5.1524,45.66,-0.1328987806723093,77811407539.56111,-5464.330717865316,7108.240169487399
2012.03.06_01:12:00.000_TAI,11430,5227.58,1.6094e+24,79465000000000.0,2198.9,80033000000000.0,5.3729e+22,1736.2,18190.0,5.1531,46.386,-0.1378813279413481,78332584123.1996,-5707.167357127043,7257.535023502563
2012.03.08_03:48:00.000_TAI,11429,5651.345,1.6871e+24,95208000000000.0,2385.1,91722000000000.0,5.64e+22,2318.0,16383.0,5.1903,51.824,-0.0840549264467003,79239904772.8143,-3519.4912059433755,8680.55361953212
2014.05.07_00:12:00.000_TAI,12055,4394.236,1.557e+24,75490000000000.0,269.78,4312600000000.0,8.1956e+22,2223.9,10056.0,0.0,29.269,-0.1391331898430085,62864228569.47228,-4621.756696856045,7886.166224525416
2014.01.03_07:24:00.000_TAI,11936,3219.169000000001,6.1509e+23,54506000000000.0,259.48,8046300000000.0,6.3446e+22,1877.5,5303.9,4.4537,17.125,-0.2935854288728765,56286830452.664055,-8732.004705384228,7050.102707214342
2012.03.13_15:24:00.000_TAI,11432,983.65,8.2387e+22,21860000000000.0,76.499,2445700000000.0,1.0582e+22,642.78,3338.0,3.7866,21.286,-0.4276743470090788,7585205530.11388,-1714.1676015599655,2488.856822153519
2012.03.14_08:12:00.000_TAI,11432,627.3580000000002,7.2324e+22,13820000000000.0,48.747,1938200000000.0,8.8324e+21,673.61,3501.7,3.3255,20.312,-0.3792635865370246,6219533916.395692,-1246.4408383204643,1721.1718318470623
2012.03.16_20:36:00.000_TAI,11434,198.732,2.6378e+22,4166300000000.0,8.0743,1115100000000.0,2.7672e+21,241.33,4796.4,1.7912,18.16,-0.3497861779512913,2449003545.013405,-452.6523780095789,494.1466578263117
2012.04.26_08:24:00.000_TAI,11466,869.138,1.7724e+23,17679000000000.0,30.769,1729200000000.0,1.0484e+22,640.43,8158.0,3.5022,40.546,-0.2301242771619505,11880002227.38783,-1444.6136759546075,1637.2586571862823
2011.09.02_19:48:00.000_TAI,11286,1327.8870000000004,2.1121e+23,28607000000000.0,112.89,3961600000000.0,2.0085e+22,951.69,4944.9,3.8241,23.282,-0.2703303139972662,20384987353.240368,-2911.910349177173,3162.100860979433
2012.05.07_13:12:00.000_TAI,11476,4436.884,1.2064e+24,75107000000000.0,906.4,33275000000000.0,5.8385e+22,2070.2,11962.0,4.8935,35.431,-0.2308910746647613,67084068179.00472,-8184.634593802562,7851.027171394391
2012.05.08_12:36:00.000_TAI,11476,4528.863,1.3429e+24,81141000000000.0,867.05,36235000000000.0,5.3357e+22,2101.6,13698.0,5.0362,39.496,-0.1396318403697127,67603099635.70239,-4987.969634038597,8164.462413182588
2012.05.08_14:12:00.000_TAI,11476,4706.012,1.3797e+24,86460000000000.0,800.92,31788000000000.0,5.4963e+22,2103.2,13286.0,4.9983,39.596,-0.1347793971692878,68924040803.72952,-4908.705168866747,8497.554477188483
2012.05.08_21:00:00.000_TAI,11476,5181.452,1.5378e+24,90193000000000.0,1463.7,62051000000000.0,5.7635e+22,2200.8,14481.0,5.0121,40.453,-0.1219863407944595,75836635480.356,-4888.358390697125,8519.381892958676
2012.05.09_04:24:00.000_TAI,11476,5671.095,1.6351e+24,93042000000000.0,1569.0,57906000000000.0,5.6517e+22,2241.9,16277.0,5.0139,41.434,-0.1112382444235433,79283732162.86856,-4660.269563053449,9105.74082105124
